證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 什項支出,　　　 外幣兌換損失,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 外幣兌換利益
1531,2015年第3季,,,                670919,                670919,,,                551411,                551411,                119508,                119508,,,                 37756,,                 78366,,                 11775,                127897,                 -8389,,,                  8562,                  8562,,                 80453,,                  1893,                 87122,                 78733,,                 14740,                 63993,                 63993,,,                 56376,                -11302,                  9584,                 35490,                 35490,                 99483,,                 63993,                              0,,                 99483,                              0,,                              0.35,,                              0.34,,,,,,,,,
1531,2015年第2季,,,                662222,                662222,,,                504074,                504074,                158148,                158148,,,                 42244,,                 45488,,                 12866,                100598,                 57550,,,                 10696,                 10696,,                 -7466,,                    386,                  2844,                 60394,,                 15959,                 44435,                 44435,,,                -31093,                -16139,                 -7967,                -39265,                -39265,                  5170,,                 44435,,,                  5170,,,                              0.24,,                              0.24,                    228,                  7238,,,,,,,
1531,2015年01月01日至2015年09月30日,,,              1980372,              1980372,,,              1572893,              1572893,                407479,                407479,,,                125135,,                165359,,                 41228,                331722,                 75757,,,                 31628,                 31628,,                 64456,,                  2841,                 93243,                169000,,                 40075,                128925,                128925,,,                -13283,                -37737,                 -6690,                -44330,                -44330,                 84595,,                128925,                              0,,                 84595,                              0,,                              0.70,,                              0.69,,,,,,,,,
1531,2015年01月01日至2015年06月30日,,,              1309453,              1309453,,,              1021482,              1021482,                287971,                287971,,,                 87379,,                 86993,,                 29453,                203825,                 84146,,,                 23066,                 23066,,                -15997,,                    948,                  6121,                 90267,,                 25335,                 64932,                 64932,,,                -69659,                -26435,                -16274,                -79820,                -79820,                -14888,,                 64932,,,                -14888,,,                              0.35,,                              0.35,                    861,                 15136,,,,,,,
1531,2015年01月01日至2015年03月31日,,,                647231,                647231,,,                517408,                517408,                129823,                129823,,,                 45135,,                 41505,,                 16587,                103227,                 26596,,,,                 12370,,                 -8531,,                    562,                  3277,                 29873,,                  9376,                 20497,                 20497,,,                -38566,                -10296,                 -8307,                -40555,                -40555,                -20058,,                 20497,                              0,,                -20058,                              0,,                              0.11,,                              0.11,,,                              0.11,                              0.11,,,,,
1531,2014年第3季,,,                644862,                644862,,,                550642,                550642,                 94220,                 94220,,,                 38543,,                 42596,,                 14951,                 96090,                 -1870,,,                 12543,                 12543,,                 27730,,                  1918,                 38355,                 36485,,                  4168,                 32317,                 32317,,,                 46029,                 32215,                 11257,                 66987,                 66987,                 99304,,                 32317,                              0,,                 99304,                              0,,                              0.16,,                              0.16,,,,,,,,,
1531,2014年第2季,,,                726918,                726918,,,                592883,                592883,                134035,                134035,,,                 40450,,                 37646,,                 16236,                 94332,                 39703,,,                  7344,                  7344,,                -25655,,                  2176,                -20487,                 19216,,                -16101,                 35317,                 35317,,,                -50678,                  5709,                 -8615,                -36354,                -36354,                 -1037,,                 35317,,,                 -1037,,,                              0.19,,                              0.18,                  1156,                 24499,,,,,,,
1531,2014年度,,,              2777856,              2777856,,,              2297730,              2297730,                480126,                480126,,,                169183,,                152160,,                 57830,                379173,                100953,,,                 43469,                 43469,,                 75946,,                  8009,                111406,                212359,,                 10309,                202050,                202050,,,,,,,                156776,                358826,,                202050,                              0,,                358826,                              0,,                              1.05,,                              1.05,,,,,                144206,                 41566,                 -4077,                -24919,
1531,2014年01月01日至2014年09月30日,,,              2133691,              2133691,,,              1770710,              1770710,                362981,                362981,,,                117634,,                107205,,                 43596,                268435,                 94546,,,                 33676,                 33676,,                 24543,,                  6478,                 51741,                146287,,                  2678,                143609,                143609,,,                 29474,                 35730,                  5108,                 60096,                 60096,                203705,,                143609,                              0,,                203705,                              0,,                              0.74,,                              0.74,,,,,,,,,
1531,2014年01月01日至2014年06月30日,,,              1488829,              1488829,,,              1220068,              1220068,                268761,                268761,,,                 79091,,                 64609,,                 28645,                172345,                 96416,,,                 21133,                 21133,,                 -3187,,                  4560,                 13386,                109802,,                 -1490,                111292,                111292,,,                -16555,                  3515,                 -6149,                 -6891,                 -6891,                104401,,                111292,,,                104401,,,                              0.58,,                              0.57,                  2094,                  1093,,,,,,,
1531,2014年01月01日至2014年03月31日,,,                761911,                761911,,,                627185,                627185,                134726,                134726,,,                 38641,,                 26963,,                 12409,                 78013,                 56713,,,,                 13789,,                 22468,,                  2384,                 33873,                 90586,,                 14611,                 75975,                 75975,,,                 34123,                 -2194,                  2466,                 29463,                 29463,                105438,,                 75975,                              0,,                105438,                              0,,                              0.39,,                              0.39,,,                              0.39,                              0.39,,,,,
1531,2013年第3季,,,                740474,                740474,,,                569148,                569148,                171326,                171326,,,                 38765,,                 35632,,                 11247,                 85644,                 85682,,,                 17466,                 17466,,                -20672,,                  1412,                 -4618,                 81064,,                 20760,                 60304,                 60304,,,,,,,                -14570,                 45734,,                 58134,                  2170,,                 46799,                 -1065,,                              0.30,,                              0.30,,,,,                -23626,                  7374,,                  1682,
1531,2013年第2季,,,                860036,                860036,,,                643006,                643006,                217030,                217030,,,                 43248,,                 51681,,                 12742,                107671,                109359,,,                 10213,                 10213,,                 12306,,                  1694,                 20825,                130184,,                 41425,                 88759,                 88759,,,,,,,                 41157,                129916,,                 83933,                  4826,,                118253,                 11663,,                              0.43,,,                 -1238,                              0,,,                 46381,                  1262,,                 -6486,                 11068
1531,2013年度,,,              3019440,              3019440,,,              2338718,              2338718,                680722,                680722,,,                154404,,                206799,,                 46297,                407500,                273222,,,                 46875,                 46875,,                 84329,,                  5752,                125452,                398674,,                109254,                289420,                289420,,,,,,,                137359,                426779,,                283438,                  5982,,                405304,                 21475,,                              1.47,,                              1.46,,,,,                142491,                 19469,                    391,                -24992,
1531,2013年07月01日至2013年09月30日,,,                740474,                740474,,,                569148,                569148,                171326,                171326,,,                 38765,,                 35632,,                 11247,                 85644,                 85682,,,                 17466,                 17466,,                -20672,,                  1412,                 -4618,                 81064,,                 20760,                 60304,                 60304,,,,,,,                -14570,                 45734,,                 58134,                  2170,,                 46799,                 -1065,,                              0.30,,                              0.30,,,,,                -23626,                  7374,,                  1682,
1531,2013年04月01日至2013年06月30日,,,                860036,                860036,,,                643006,                643006,                217030,                217030,,,                 43248,,                 51681,,                 12742,                107671,                109359,,,                 10213,                 10213,,                 12306,,                  1694,                 20825,                130184,,                 41425,                 88759,                 88759,,,,,,,                 41157,                129916,,                 83933,                  4826,,                118253,                 11663,,                              0.43,,,,,,,                 46381,                  1262,,                 -6486,
1531,2013年01月01日至2013年12月31日,,,              3019440,              3019440,,,              2338718,              2338718,                680722,                680722,,,                154404,,                206799,,                 46297,                407500,                273222,,,                 46875,                 46875,,                 84329,,                  5752,                125452,                398674,,                109254,                289420,                289420,,,,,,,                137359,                426779,,                283438,                  5982,,                405304,                 21475,,                              1.47,,                              1.46,,,,,                142491,                 19469,                    391,                -24992,
1531,2013年01月01日至2013年09月30日,,,              2414896,              2414896,,,              1846806,              1846806,                568090,                568090,,,                117130,,                145707,,                 35001,                297838,                270252,,,                 37442,                 37442,,                 64342,,                  4670,                 97114,                367366,,                124872,                242494,                242494,,,,,,,                 98906,                341400,,                236512,                  5982,,                319925,                 21475,,                              1.22,,                              1.22,,,,,                103888,                 12160,,                -17142,
1531,2013年01月01日至2013年06月30日,,,              1674422,              1674422,,,              1277658,              1277658,                396764,                396764,,,                 78365,,                110075,,                 23754,                212194,                184570,,,                 19976,                 19976,,                 85014,,                  3258,                101732,                286302,,                104112,                182190,                182190,,,,,,,                113476,                295666,,                178378,                  3812,,                273126,                 22540,,                              0.92,,,                -18150,                              0,,,                127514,                  4786,,                -18824,                 66864
1531,2013年01月01日至2013年03月31日,,,                814386,                814386,,,                634652,                634652,                179734,                179734,,,                 35117,,                 58394,,                 11012,                104523,                 75211,,,,                  9763,,                 72708,,                  1564,                 80907,                156118,,                 62687,                 93431,                 93431,,,,,,,                 72319,                165750,,                 94445,                 -1014,,                154873,                 10877,,                              0.49,,                              0.49,,,                              0.49,                              0.49,                 81133,                  3524,,                -12338,
1531,2012年07月01日至2012年09月30日,,,                644815,                644815,,,                498102,                498102,                146713,                146713,,,                 46129,,                 68041,,                 12850,                127020,                 19693,,,                 28315,                 28315,,                178553,,                  1971,                204897,                224590,,                 62619,                161971,                161971,,,,,,,                -78271,                 83700,,                138391,                 23580,,                 71774,                 11926,,                              0.72,,                              0.71,,,,,                -80601,                -11185,,                 13515,
1531,2012年04月01日至2012年06月30日,,,                699324,                699324,,,                570322,                570322,                129002,                129002,,,                 57361,,                 71367,,                 13163,                141891,                -12889,,,                 11720,                 11720,,                  1663,,                  1304,                 12079,                   -810,,                  6826,                 -7636,                 -7636,,,,,,,                 23272,                 15636,,                 -4555,                 -3081,,                 14839,                    797,,                             -0.02,,,,,,,                 35825,                -11943,,                   -610,
1531,2012年01月01日至2012年12月31日,,,              2719381,              2719381,,,              2089194,              2089194,                630187,                630187,,,                195325,,                235230,,                 49374,                479929,                150258,,,                 62403,                 62403,,                123004,,                  7135,                178272,                328530,,                 96799,                231731,                231731,,,,,,,                -97712,                134019,,                200061,                 31670,,                122411,                 11608,,                              1.04,,                              1.03,,,,,               -132051,                 13459,                  2220,                 18660,
1531,2012年01月01日至2012年09月30日,,,              2171233,              2171233,,,              1701452,              1701452,                469781,                469781,,,                150845,,                165320,,                 35178,                351343,                118438,,,                 51254,                 51254,,                156021,,                  5288,                201987,                320425,,                 92700,                227725,                227725,,,,,,,               -132507,                 95218,,                201618,                 26107,,                 89429,                  5789,,                              1.04,,                              1.04,,,,,               -132635,                -25581,,                 25709,
