證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1582,2015年第3季,,              2632722,,              2031588,                601134,                601134,,,                 65206,,                150088,,                 31761,                247055,                354079,,,,                 14913,                              0,                 14913,,                 56332,                   -545,,                              0,                  6292,                              0,,                  1076,                  1076,                 48419,,                  3867,                  3867,,                  5473,                              0,                  5473,                 64938,                419017,,                142993,                276024,                276024,,,                159163,                   -396,                158767,                158767,                434791,,                276024,                              0,,                434791,                              0,,                              1.84,,                              1.52,,,,
1582,2015年第2季,,              2351950,,              1850098,                501852,                501852,,,                 73228,,                156108,,                 27455,                256791,                245061,,,,                 21392,                  3008,                 24400,,                  3625,                    341,,,,                              0,,                  3710,                  3710,                    256,,                  5529,                  5529,,,,                  2033,                 21160,                266221,,                 92640,                173581,                173581,,,                -58755,                   -358,                -59113,                -59113,                114468,,                173581,                              0,,                114468,                              0,,                              1.16,,                              1.08,,,,
1582,2015年01月01日至2015年09月30日,,              7145719,,              5554351,              1591368,              1591368,,,                204098,,                484977,,                 87842,                776917,                814451,,,,                 51754,                    450,                 52204,,                 72237,                    228,,                              0,                              0,                              0,,                  4786,                  4786,                 67679,,                 13103,                 13103,,                  9035,                              0,                  9035,                115815,                930266,,                321677,                608589,                608589,,,                 15992,                    359,                 16351,                 16351,                624940,,                608589,                              0,,                624940,                              0,,                              4.06,,                              3.78,,,,
1582,2015年01月01日至2015年06月30日,,              4512997,,              3522763,                990234,                990234,,,                138892,,                334889,,                 56081,                529862,                460372,,,,                 36841,                  6742,                 43583,,                 15905,                    773,,,,                              0,,                  3710,                  3710,                 12968,,                  9236,                  9236,,,,                  3562,                 50877,                511249,,                178684,                332565,                332565,,,               -143171,                    755,               -142416,               -142416,                190149,,                332565,                              0,,                190149,                              0,,                              2.22,,                              2.10,,,,
1582,2015年01月01日至2015年03月31日,,              2161047,,              1672665,                488382,                488382,,,                 65664,,                178781,,                 28626,                273071,                215311,,,,                 15449,                  3734,                 19183,,                 12280,                    432,,,,                              0,,,,                 12712,,                  3707,                  3707,,,,                  1529,                 29717,                245028,,                 86044,                158984,                158984,,,                -84416,                  1113,                -83303,                -83303,                 75681,,                158984,                              0,,                 75681,                              0,,                              1.06,,                              1.03,,,,
1582,2014年第3季,,              2764711,,              2133821,                630890,                630890,,,                 62867,,                196128,,                 28934,                287929,                342961,,,,                 16968,                              0,                 16968,,                              0,                  1379,,                              0,                  3909,                  1235,,                  6435,                  6435,                -10200,,                  7201,                  7201,,                  4202,                              0,                  4202,                  3769,                346730,,                106851,                239879,                239879,,,                 95280,                   -372,                 94908,                 94908,                334787,,                239879,                              0,,                334787,                              0,,                              1.60,,                              1.59,,,,
1582,2014年第2季,,              2659881,,              2057428,                602453,                602453,,,                 61089,,                186158,,                 25104,                272351,                330102,,,,                 19828,                  6029,                 25857,,                  5322,                              0,,,,                              0,,                  9182,                  9182,                 -3860,,                  2088,                  2088,,,,                  3141,                 23050,                353152,,                115689,                237463,                237463,,,               -108135,                   -346,               -108481,               -108481,                128982,,                237463,                              0,,                128982,                              0,,                              1.58,,                              1.57,,,,
1582,2014年度,,             10062566,,              7764518,              2298048,              2298048,,,                261942,,                729813,,                106362,              1098117,              1199931,,,,                 64554,                  5219,                 69773,,                              0,                    778,,                              0,                              0,                  6218,,                 18971,                 18971,                -24411,,                 17505,                 17505,,,,                 16193,                 44050,              1243981,,                388122,                855859,                855859,,,,,,                311267,              1167126,,                855859,                              0,,              1167126,                              0,,                              5.71,,                              5.63,                310090,                     74,                  1329,                    226
1582,2014年01月01日至2014年09月30日,,              7404940,,              5753417,              1651523,              1651523,,,                181200,,                542629,,                 75392,                799221,                852302,,,,                 47124,                  6572,                 53696,,                  1825,                  1379,,                              0,                              0,                              0,,                 15617,                 15617,                -12413,,                 12063,                 12063,,                  8950,                              0,                  8950,                 38170,                890472,,                287158,                603314,                603314,,,                 61517,                    471,                 61988,                 61988,                665302,,                603314,                              0,,                665302,                              0,,                              4.03,,                              3.98,,,,
1582,2014年01月01日至2014年06月30日,,              4640229,,              3619596,              1020633,              1020633,,,                118333,,                346501,,                 46458,                511292,                509341,,,,                 30156,                 10481,                 40637,,                  3060,                              0,,,,                              0,,                  9182,                  9182,                 -6122,,                  4862,                  4862,,,,                  4748,                 34401,                543742,,                180307,                363435,                363435,,,                -33763,                    843,                -32920,                -32920,                330515,,                363435,                              0,,                330515,                              0,,                              2.43,,                              2.40,,,,
