證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 勞務收入,　　　 勞務收入合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 其他收入－其他,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額
2546,2015年第3季,,,                  1244,,              1786211,              1787455,,,                    116,,              1641101,              1641217,                146238,                146238,,,                 43405,                 43405,                102833,,,                 24879,,                -18047,,                     58,,                 -1580,                  5194,                108027,,                 21938,                 86089,                 86089,,,                              0,                              0,                              0,,                -34926,                              0,                -34926,                -34926,                 51163,,                 86089,                              0,,                 51172,                     -9,,                              0.81,,                              0.81,,,,,,,
2546,2015年第2季,,,                  1236,,              1215343,              1216579,,,                    117,,              1136358,              1136475,                 80104,                 80104,,,                 40797,                 40797,                 39307,,,                  6191,,                 -9782,,                      8,,                   -760,                 -4359,                 34948,,                  4427,                 30521,                 30521,,,                              0,                              0,                              0,,                -61759,                              0,                -61759,                -61759,                -31238,,                 30523,                     -2,,                -31222,                    -16,,                              0.29,,                              0.29,,,,,,,
2546,2015年01月01日至2015年09月30日,,,                  3709,,              4164663,              4168372,,,                    350,,              3883811,              3884161,                284211,                284211,,,                131655,                131655,                152556,,,                 36557,,                -20944,,                    382,,                    504,                 15735,                168291,,                 29332,                138959,                138959,,,                   -119,                              0,                   -119,,                -90296,                              0,                -90296,                -90415,                 48544,,                138959,                              0,,                 48565,                    -21,,                              1.31,,                              1.31,,,,,,,
2546,2015年01月01日至2015年06月30日,,,                  2465,,              2378452,              2380917,,,                    234,,              2242710,              2242944,                137973,                137973,,,                 88250,                 88250,                 49723,,,                 11678,,                 -2897,,                    324,,                  2084,                 10541,                 60264,,                  7394,                 52870,                 52870,,,                   -119,                              0,                   -119,,                -55370,                              0,                -55370,                -55489,                 -2619,,                 52870,                              0,,                 -2607,                    -12,,                              0.50,,                              0.50,,,,,,,
2546,2015年01月01日至2015年03月31日,,,                  1229,,              1163109,              1164338,,,                    117,,              1106352,              1106469,                 57869,                 57869,,,                 47453,                 47453,                 10416,,,                  5487,,                  6885,,                    316,,                  2844,                 14900,                 25316,,                  2967,                 22349,                 22349,,,                   -119,                              0,                   -119,,                  6389,                              0,                  6389,                  6270,                 28619,,                 22347,                      2,,                 28615,                      4,,                              0.21,,                              0.21,,,,,,,
2546,2014年第3季,,,                  1244,,              1025844,              1027088,,,                    116,,                971661,                971777,                 55311,                 55311,,,                 36403,                 36403,                 18908,,,                 20683,,                    530,,                    155,,                  1184,                 22242,                 41150,,                  5337,                 35813,                 35813,,,                              0,                              0,                              0,,                -11487,                              0,                -11487,                -11487,                 24326,,                 35809,                      4,,                 24325,                      1,,                              0.34,,                              0.34,,,,,,,
2546,2014年第2季,,,                  1236,,              1293907,              1295143,,,                    117,,              1184700,              1184817,                110326,                110326,,,                 34150,                 34150,                 76176,,,                  6441,,                 -8012,,                    156,,                    -94,                 -1821,                 74355,,                 21910,                 52445,                 52445,,,                              0,                              0,                              0,,                -26105,                              0,                -26105,                -26105,                 26340,,                 52447,                     -2,,                 26348,                     -8,,                              0.49,,                              0.49,,,,,,,
2546,2014年度,,,                  4953,,              5519908,              5524861,,,                    467,,              5146920,              5147387,                377474,                377474,,,                182102,                182102,                195372,,,                 37069,,                 -7898,,                    678,,                    792,                 29285,                224657,,                 46811,                177846,                177846,,,,,,,,,,                -47917,                129929,,                177846,                              0,,                129941,                    -12,,                              1.68,,                              1.68,,                              0,                -52020,                  4103,,,
2546,2014年01月01日至2014年09月30日,,,                  3709,,              3958884,              3962593,,,                    350,,              3659903,              3660253,                302340,                302340,,,                111642,                111642,                190698,,,                 29008,,                -12984,,                    487,,                  2203,                 17740,                208438,,                 44040,                164398,                164398,,,                              0,                              0,                              0,,                -56705,                              0,                -56705,                -56705,                107693,,                164397,                      1,,                107705,                    -12,,                              1.55,,                              1.55,,,,,,,
2546,2014年01月01日至2014年06月30日,,,                  2465,,              2933040,              2935505,,,                    234,,              2688242,              2688476,                247029,                247029,,,                 75239,                 75239,                171790,,,                  8325,,                -13514,,                    332,,                  1019,                 -4502,                167288,,                 38703,                128585,                128585,,,                              0,                              0,                              0,,                -45218,                              0,                -45218,                -45218,                 83367,,                128588,                     -3,,                 83380,                    -13,,                              1.21,,                              1.21,,,,,,,
2546,2014年01月01日至2014年03月31日,,,                  1229,,              1639133,              1640362,,,                    117,,              1503542,              1503659,                136703,                136703,,,                 41089,                 41089,                 95614,,,                  1884,,                 -5502,,                    176,,                  1113,                 -2681,                 92933,,                 16793,                 76140,                 76140,,,                              0,                              0,                              0,,                -19113,                              0,                -19113,                -19113,                 57027,,                 76141,                     -1,,                 57032,                     -5,,                              0.72,,                              0.72,,,,,,,
2546,2013年第3季,,,                  1244,,              1435490,              1437058,,,                    116,,              1374286,              1374402,                 62656,                 62656,,,                 32798,                 32798,                 29858,,,                 21021,,                 -1272,,                    208,,                  1159,                 20700,                 50558,,                  6767,                 43791,                 43791,,,,,,,,,,                -12449,                 31342,,                 43788,                      3,,                 31341,                      1,,                              0.41,,                              0.41,,                    324,                -12449,,,,
2546,2013年第2季,,,                  1236,,              1264685,              1267607,,,                    117,,              1203070,              1203187,                 64420,                 64420,,,                 30101,                 30101,                 34319,,,                 10272,,                 11527,,                    276,,                    246,                 21769,                 56088,,                  5268,                 50820,                 50820,,,,,,,,,,                 74701,                125521,,                 50818,                      2,,                125503,                     18,,                              0.48,,                              0.48,,                  1686,                 74701,,,,
2546,2013年度,,,                  4912,,              5965759,              5973224,,,                    467,,              5706413,              5706880,                266344,                266344,,,                137103,                137103,                129241,,,                 48078,,                 30175,,                    954,,                    591,                 77890,                207131,,                 29304,                177827,                177827,,,,,,,,,,                 90502,                268329,,                177817,                     10,,                268300,                     29,,                              1.68,,                              1.68,,                  2553,                 89632,                    870,,,
2546,2013年07月01日至2013年09月30日,,,                  1244,,              1433474,              1437058,,,                    116,,              1374286,              1374402,                 62656,                 62656,,,                 32798,                 32798,                 29858,,,                 21021,,                 -1272,,                    208,,                  1159,                 20700,                 50558,,                  6767,                 43791,                 43791,,,,,,,,,,                -12449,                 31342,,                 43788,                      3,,                 31341,                      1,,                              0.41,,                              0.41,,                  2340,                -12449,,                 21021,,
2546,2013年04月01日至2013年06月30日,,,                  1236,,              1259493,              1267607,,,                    117,,              1203070,              1203187,                 64420,                 64420,,,                 30101,                 30101,                 34319,,,                 10272,,                 11527,,                    276,,                    246,                 21769,                 56088,,                  5268,                 50820,                 50820,,,,,,,,,,                 74701,                125521,,                 50818,                      2,,                125503,                     18,,                              0.48,,                              0.48,,                  6878,                 74701,,                 10272,,
2546,2013年01月01日至2013年09月30日,,,                  3663,,              4062178,              4068394,,,                    350,,              3873263,              3873613,                194781,                194781,,,                 92313,                 92313,                102468,,,                 32434,,                 28113,,                    899,,                  3502,                 63150,                165618,,                 21482,                144136,                144136,,,,,,,,,,                107073,                251209,,                144126,                     10,,                251175,                     34,,                              1.36,,                              1.36,,                  2553,                107073,,,,
