證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3617,2015年第3季,,              1731214,,,                978129,                978129,                753085,                              0,                              0,                753085,,,                314189,,                156306,,                 54791,                525286,                227799,,,                  5534,,                134790,,                  1940,                138384,                366183,,                 68403,                297780,                297780,,,                 56481,                 56481,                 56481,                354261,,                295591,                  2189,,                350148,                  4113,,                              3.66,,                              3.64,,,,,,,,,,
3617,2015年第2季,,              1662336,,,,                948201,                714135,                              0,                              0,                714135,,,                313353,,                164600,,                 52811,                530764,                183371,,,                  9615,,                -28623,,                  2128,                -21136,                162235,,                 36344,                125891,                125891,,,                -15049,                -15049,                -15049,                110842,,                124677,                  1214,,                108904,                  1938,,                              1.55,,                              1.53,,,                              0,                              0,                              0,                              0,,,,
3617,2015年01月01日至2015年09月30日,,              4603957,,,              2613255,              2613255,              1990702,                              0,                              0,              1990702,,,                866887,,                464829,,                164047,              1495763,                494939,,,                 25949,,                 63692,,                  5947,                 83694,                578633,,                125091,                453542,                453542,,,                 17727,                 17727,                 17727,                471269,,                452015,                  1527,,                466876,                  4393,,                              5.62,,                              5.56,,,,,,,,,,
3617,2015年01月01日至2015年06月30日,,              2872743,,,,              1635126,              1237617,                              0,                              0,              1237617,,,                552698,,                308523,,                109256,                970477,                267140,,,                 20415,,                -71098,,                  4007,                -54690,                212450,,                 56688,                155762,                155762,,,                -38754,                -38754,                -38754,                117008,,                156424,                   -662,,                116728,                    280,,                              1.95,,                              1.93,,,                              0,                              0,                              0,                              0,,,,
3617,2015年01月01日至2015年03月31日,,              1210407,,,,                686925,                523482,                              0,                              0,                523482,,,                239345,,                143923,,                 56445,                439713,                 83769,,,                 10800,,                -42475,,                  1879,                -33554,                 50215,,                 20344,                 29871,                 29871,,,                -23705,                -23705,                -23705,                  6166,,                 31747,                 -1876,,                  7824,                 -1658,,                              0.40,,                              0.39,,,                              0,                              0,                              0,                              0,,,,
3617,2014年第3季,,              1386940,,,                783155,                783155,                603785,                              0,                              0,                603785,,,                252475,,                144887,,                 53245,                450607,                153178,,,                 11524,,                 24800,,                  1720,                 34604,                187782,,                 22772,                165010,                165010,,,                  6476,                  6476,                  6476,                171486,,                161167,                  3843,,                168085,                  3401,,                              2.01,,                              1.99,,,,,,,,,,
3617,2014年第2季,,              1323862,,,,                784606,                539256,                              0,                              0,                539256,,,                228401,,                147200,,                 53283,                428884,                110372,,,                  9938,,                -33895,,                  2317,                -26274,                 84098,,                 29422,                 54676,                 54676,,,                -18454,                -18454,                -18454,                 36222,,                 55601,                   -925,,                 35540,                    682,,                              0.70,,                              0.69,,,                              0,                              0,                              0,                              0,,,,
3617,2014年度,,              5214704,,,,              3038906,              2175798,,,              2175798,,,                969977,,                544828,,                217944,              1732749,                443049,,,                 46153,,                 81650,,                  7448,                120355,                563404,,                119026,                444378,                444378,,,,,                 30082,                474460,,                450236,                 -5858,,                479546,                 -5086,,                              5.64,,                              5.57,,,,,,,                 29907,                              0,                    406,                    231
3617,2014年01月01日至2014年09月30日,,              3823641,,,              2240897,              2240897,              1582744,                              0,                              0,              1582744,,,                701952,,                417013,,                158005,              1276970,                305774,,,                 35211,,                 16606,,                  5956,                 45861,                351635,,                 63225,                288410,                288410,,,                  5590,                  5590,                  5590,                294000,,                291132,                 -2722,,                295437,                 -1437,,                              3.65,,                              3.61,,,,,,,,,,
3617,2014年01月01日至2014年06月30日,,              2436701,,,,              1457742,                978959,                              0,                              0,                978959,,,                449477,,                272126,,                104760,                826363,                152596,,,                 23687,,                 -8194,,                  4236,                 11257,                163853,,                 40453,                123400,                123400,,,                   -886,                   -886,                   -886,                122514,,                129965,                 -6565,,                127352,                 -4838,,                              1.63,,                              1.61,,,                              0,                              0,                              0,                              0,,,,
3617,2014年01月01日至2014年03月31日,,              1112839,,,,                673136,                439703,                              0,                              0,                439703,,,                221076,,                124926,,                 51477,                397479,                 42224,,,                 13749,,                 25701,,                  1919,                 37531,                 79755,,                 11031,                 68724,                 68724,,,                 17568,                 17568,                 17568,                 86292,,                 74364,                 -5640,,                 91812,                 -5520,,                              0.94,,                              0.93,,,                              0,                              0,                              0,                              0,,,,
3617,2013年第3季,,              1280610,,,,                740402,                540208,                              0,                              0,                540208,,,                213743,,                142694,,                 54790,                411227,                128981,,,                  5146,,                 -1452,,                              0,                  3694,                132675,,                  7831,                124844,                124844,,,,,                -10086,                114758,,                125818,                   -974,,                114733,                     25,,                              1.59,,                              1.57,,,,,,,                 -9741,                   -345,,
3617,2013年第2季,,              1172031,,,,                674967,                497064,,,                497064,,,                217427,,                126602,,                 70026,                414055,                 83009,,,                  2808,,                   -878,,                              0,                  1930,                 84939,,                 20444,                 64495,                 64495,,,,,                  6527,                 71022,,                 66491,                 -1996,,                 73057,                 -2035,,                              0.84,,                              0.83,,,,,,,                  6482,                     45,,
3617,2013年度,,              4911627,,,,              2879580,              2032047,,,              2032047,,,                813567,,                533119,,                248770,              1595456,                436591,,,                 22407,,                 23436,,                    744,                 45099,                481690,,                 69643,                412047,                412047,,,,,                 29505,                441552,,                424635,                -12588,,                453469,                -11917,,                              5.36,,                              5.25,,,,,,,                 30290,                   -252,                   -642,                   -109
3617,2013年07月01日至2013年09月30日,,              1280610,,,,                740402,                540208,,,                540208,,,                213743,,                142694,,                 54790,                411227,                128981,,,                  5146,,                 -1452,,,                  3694,                132675,,                  7831,                124844,                124844,,,,,                -10086,                114758,,                125818,                   -974,,                114733,                     25,,                              1.59,,                              1.57,,,,,,,                 -9741,                   -345,,
3617,2013年04月01日至2013年06月30日,,              1172031,,,,                674967,                497064,,,                497064,,,                217427,,                126602,,                 70026,                414055,                 83009,,,                  2808,,                   -878,,,                  1930,                 84939,,                 20444,                 64495,                 64495,,,,,                  6527,                 71022,,                 66491,                 -1996,,                 73057,                 -2035,,                              0.84,,                              0.83,,,,,,,                  6482,                     45,,
3617,2013年01月01日至2013年12月31日,,              4911627,,,,              2879580,              2032047,,,              2032047,,,                813567,,                533119,,                248770,              1595456,                436591,,,                 22407,,                 23436,,                    744,                 45099,                481690,,                 69643,                412047,                412047,,,,,                 29505,                441552,,                424635,                -12588,,                453469,                -11917,,                              5.36,,                              5.25,,,,,,,                 30290,                   -252,                   -642,                   -109
3617,2013年01月01日至2013年09月30日,,              3533863,,,,              2049810,              1484053,                              0,                              0,              1484053,,,                612751,,                382510,,                179636,              1174897,                309156,,,                 14057,,                  7070,,                              0,                 21127,                330283,,                 38918,                291365,                291365,,,,,                 17214,                308579,,                297788,                 -6423,,                314087,                 -5508,,                              3.76,,                              3.71,,,,,,,                 17466,                   -252,,
3617,2013年01月01日至2013年06月30日,,              2253253,,,,              1309408,                943845,,,                943845,,,                399008,,                239816,,                124846,                763670,                180175,,,                  8911,,                  8522,,                              0,                 17433,                197608,,                 31087,                166521,                166521,,,,,                 27300,                193821,,                171970,                 -5449,,                199354,                 -5533,,                              2.17,,                              2.14,,,,,,,                 27207,                     93,,
3617,2013年01月01日至2013年03月31日,,              1081222,,,,                634441,                446781,,,                446781,,,                181581,,                113214,,                 54820,                349615,                 97166,,,                  6103,,                  9400,,                              0,                 15503,                112669,,                 10643,                102026,                102026,,,,,                 20773,                122799,,                105479,                 -3453,,                126297,                 -3498,,                              1.33,,                              1.32,,,,,,,                 20725,                     48,,
3617,2012年07月01日至2012年09月30日,,              1337482,,,,                804471,                533011,,,                533011,,,                213212,,                117491,,                 53188,                383891,                149120,,,                  6355,,                -12038,,,                 -5683,                143437,,                 24700,                118737,                118737,,,,,                -10492,                108245,,                117638,                  1099,,                107140,                  1105,,                              1.49,,                              1.47,,,,,,,                -10545,                     53,,
3617,2012年04月01日至2012年06月30日,,              1281902,,,,                801694,                480208,,,                480208,,,                198902,,                119721,,                 55098,                373721,                106487,,,                  4668,,                  7585,,,                 12253,                118740,,                 15448,                103292,                103292,,,,,                  2107,                105399,,                107923,                 -4631,,                110082,                 -4683,,                              1.37,,                              1.36,,,,,,,                  2053,                     54,,
3617,2012年01月01日至2012年12月31日,,              4894549,,,,              2976868,              1917681,,,              1917681,,,                786100,,                463902,,                217807,              1467809,                449872,,,                 28867,,                -22916,,                              0,                  5951,                455823,,                 58716,                397107,                397107,,,,,                -30274,                366833,,                402954,                 -5847,,                372754,                 -5921,,                              5.10,,                              5.04,,,,,,,                -29389,                    214,                 -1324,                   -225
3617,2012年01月01日至2012年09月30日,,              3617306,,,,              2208740,              1408566,,,              1408566,,,                570724,,                340325,,                157771,              1068820,                339746,,,                 16866,,                -18365,,,                 -1499,                338247,,                 39777,                298470,                298470,,,,,                -24537,                273933,,                304190,                 -5720,,                279699,                 -5766,,                              3.85,,                              3.80,,,,,,,                -24700,                    163,,
3617,2012年01月01日至2012年06月30日,,              2279824,,,,              1404269,                875555,,,                875555,,,                357512,,                222834,,                104583,                684929,                190626,,,                 10511,,                 -6327,,,                  4184,                194810,,                 15077,                179733,                179733,,,,,                -14045,                165688,,                186552,                 -6819,,                172559,                 -6871,,                              2.36,,                              2.35,,,,,,,                -14155,                    110,,
3617,2012年01月01日至2012年03月31日,,                997922,,,,                602575,                395347,,,                395347,,,                158610,,                103113,,                 49485,                311208,                 84139,,,                  5843,,                -13912,,,                 -8069,                 76070,,                   -371,                 76441,                 76441,,,,,                -16152,                 60289,,                 78426,                 -1985,,                 62477,                 -2188,,                              0.99,,                              0.99,,,,,,,                -16208,                     56,,
