證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2419,2015年第3季,,              1899646,,              1490482,                409164,                409164,,,                157395,,                101746,,                 70057,                329198,,                              0,                 79966,,,                  7311,,                 21834,,                  6774,                 22371,                102337,,                 23412,                 78925,                 78925,,,                 16980,                 16980,                 16980,                 95905,,                 74758,                  4167,,                 91465,                  4440,,                              0.32,,                              0.32,,,
2419,2015年第2季,,              2036261,,              1625623,                410638,                410638,,,                159411,,                 99023,,                 65324,                323758,,                              0,                 86880,,,                  5028,,                 -8992,,                  8352,                -12316,                 74564,,                 20259,                 54305,                 54305,,,                -10674,                -10674,                -10674,                 43631,,                 50239,                  4066,,                 39707,                  3924,,                              0.22,,                              0.21,,,
2419,2015年01月01日至2015年09月30日,,              5766489,,              4542857,              1223632,              1223632,,,                492905,,                303078,,                199186,                995169,,                              0,                228463,,,                 19545,,                -18977,,                 26456,                -25888,                202575,,                 64679,                137896,                137896,,,                  8547,                  8547,                  8547,                146443,,                111666,                 26230,,                120082,                 26361,,                              0.48,,                              0.47,,,
2419,2015年01月01日至2015年06月30日,,              3866843,,              3052375,                814468,                814468,,,                335510,,                201331,,                129130,                665971,,                              0,                148497,,,                 12233,,                -40810,,                 19683,                -48260,                100237,,                 41266,                 58971,                 58971,,,                 -8432,                 -8432,                 -8432,                 50539,,                 36908,                 22063,,                 28617,                 21922,,                              0.16,,                              0.16,,,
2419,2015年01月01日至2015年03月31日,,              1830582,,              1426752,                403830,                403830,,,                176099,,                102309,,                 63805,                342213,,,                 61617,,,                  7205,,                -31818,,                 11331,                -35944,                 25673,,                 21007,                  4666,                  4666,,,                  2242,                  2242,                  2242,                  6908,,                -13332,                 17998,,                -11090,                 17998,,                             -0.06,,                             -0.06,,,
2419,2014年第3季,,              1521532,,              1158036,                363496,                363496,,,                 91901,,                 73607,,                 74684,                240192,,                  2307,                125611,,,                -74446,,                 16523,,                  8339,                -66262,                 59349,,                  5829,                 53520,                 53520,,,                 17375,                 17375,                 17375,                 70895,,                 54221,                   -701,,                 71471,                   -576,,                              0.23,,                              0.22,,,
2419,2014年第2季,,              1240534,,                879604,                360930,                360930,,,                258859,,                 77821,,                 56213,                392893,,                    319,                -31644,,,                102249,,                -20947,,                  7488,                 73814,                 42170,,                  3190,                 38980,                 38980,,,                 -4959,                 -4959,                 -4959,                 34021,,                 25032,                 13948,,                 20197,                 13824,,                              0.10,,                              0.10,,,
2419,2014年度,,              6122613,,              4578337,              1544276,              1544276,,,                588844,,                437122,,                264902,              1290868,,                  6038,                259446,,,                 44839,,                 40069,,                 34252,                 50656,                310102,,                 75997,                234105,                234105,,,,,                 22941,                257046,,                148621,                 85484,,                172942,                 84104,,                              0.64,,                              0.62,                 21489,                  1750,                    298
2419,2014年01月01日至2014年09月30日,,              4258931,,              3159111,              1099820,              1099820,,,                524020,,                230800,,                193570,                948390,,                  2627,                154057,,,                 30632,,                 10790,,                 24849,                 16573,                170630,,                 15109,                155521,                155521,,,                  6751,                  6751,                  6751,                162272,,                127722,                 27799,,                134473,                 27799,,                              0.55,,                              0.53,,,
2419,2014年01月01日至2014年06月30日,,              2737399,,              2001075,                736324,                736324,,,                432118,,                157193,,                118887,                708198,,                    319,                 28445,,,                105078,,                 -5734,,                 16508,                 82836,                111281,,                  9280,                102001,                102001,,,                -10624,                -10624,                -10624,                 91377,,                 73501,                 28500,,                 63002,                 28375,,                              0.31,,                              0.30,,,
2419,2014年01月01日至2014年03月31日,,              1496866,,              1121471,                375395,                375395,,,                173259,,                 79372,,                 62675,                315306,,,                 60089,,,                  2829,,                 15213,,                  9020,                  9022,                 69111,,                  6090,                 63021,                 63021,,,                 -5665,                 -5665,                 -5665,                 57356,,                 48470,                 14551,,                 42805,                 14551,,                              0.21,,                              0.20,,,
2419,2013年第3季,,              1369280,,              1027019,                342261,                342261,,,                138603,,                131255,,                 49689,                319547,,                  3722,                 26436,,,                  8389,,                 -4134,,                  7637,                 -3382,                 23054,,                  8530,                 14524,                 14524,,,,,                 15744,                 30268,,                  1483,                 13041,,                 16997,                 13271,,                              0.01,,                              0.01,                 15744,,
2419,2013年第2季,,              2158119,,              1640177,                517942,                517942,,,                161222,,                158226,,                 48152,                367600,,                 -3836,                146506,,,                  4151,,                 19496,,                  6669,                 16978,                163484,,                 38803,                124681,                124681,,,,,                -16889,                107792,,                110662,                 14019,,                 93976,                 13816,,                              0.52,,                              0.45,                -16889,,
2419,2013年度,,              6842343,,              5130958,              1711385,              1711385,,,                867593,,                434211,,                202353,              1504157,,                  8000,                215228,,,                 30403,,                 29443,,                 26639,                 33207,                248435,,                102167,                146268,                146268,,,,,                 44221,                190489,,                 74612,                 71656,,                116715,                 73774,,                              0.35,,                              0.33,                 34157,                 12125,                  2061
2419,2013年07月01日至2013年09月30日,,              1369280,,              1027019,                342261,                342261,,,                138603,,                131255,,                 49689,                319547,,                  3722,                 26436,,,                  8389,,                 -4134,,                  7637,                 -3382,                 23054,,                  8530,                 14524,                 14524,,,,,                 15744,                 30268,,                  1483,                 13041,,                 16997,                 13271,,                              0.01,,                              0.01,                 15744,,
2419,2013年04月01日至2013年06月30日,,              2158119,,              1640177,                517942,                517942,,,                161222,,                158226,,                 48152,                367600,,,                150342,,,                    315,,                 19496,,                  6669,                 13142,                163484,,                 38803,                124681,                124681,,,,,                -16889,                107792,,                110662,                 14019,,                 93976,                 13816,,                              0.52,,                              0.45,                -16889,,
2419,2013年01月01日至2013年12月31日,,              6842343,,              5130958,              1711385,              1711385,,,                867593,,                434211,,                202353,              1504157,,                  8000,                215228,,,                 30403,,                 29443,,                 26639,                 33207,                248435,,                102167,                146268,                146268,,,,,                 44221,                190489,,                 74612,                 71656,,                116715,                 73774,,                              0.35,,                              0.33,                 34157,                 11250,                  1186
2419,2013年01月01日至2013年09月30日,,              4875859,,              3711584,              1164275,              1164275,,,                448560,,                379279,,                144390,                972229,,                  3721,                195767,,,                 15123,,                 39232,,                 18797,                 35558,                231325,,                 63286,                168039,                168039,,,,,                 26047,                194086,,                139558,                 28481,,                165375,                 28711,,                              0.66,,                              0.58,                 26047,,
2419,2013年01月01日至2013年06月30日,,              3506580,,              2684566,                822014,                822014,,,                309956,,                248025,,                 94701,                652682,,                              0,                169332,,,                  6734,,                 43366,,                 11162,                 38938,                208270,,                 54756,                153514,                153514,,,,,                 10303,                163817,,                138075,                 15439,,                148378,                 15439,,                              0.65,,                              0.57,                 10303,,
2419,2013年01月01日至2013年03月31日,,              1348460,,              1044388,                304072,                304072,,,                148734,,                 89799,,                 46549,                285082,,                  3836,                 22826,,,                  2583,,                 23869,,                  4492,                 21960,                 44786,,                 15953,                 28833,                 28833,,,,,                 27192,                 56025,,                 27413,                  1420,,                 54402,                  1623,,                              0.13,,                              0.11,                 27192,,
