證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　 當期所得稅費用（利益）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
9946,2015年第3季,,              2822632,,              2013910,                808722,                808722,,,                174770,,                 28609,                203379,                605343,,,                  3806,,                   -238,,                      2,                  3566,                608909,,                207065,                207065,                401844,                401844,                401844,,                401844,,                401844,,                              1.52,,                              1.52,,,,,,,,,,,,,,,,,,
9946,2015年第2季,,                287568,,                189531,                 98037,                 98037,,,                 32716,,                 13919,                 46635,                 51402,,,                  1013,,                    -77,,                      1,                    935,                 52337,,                 13669,                 13669,                 38668,                 38668,                 38668,,                 38668,,                 38668,,                              0.17,,                              0.16,,,,,,,,,,,,,,,,,,
9946,2015年01月01日至2015年09月30日,,              3247777,,              2287710,                960067,                960067,,,                219349,,                 58819,                278168,                681899,,,                  5218,,                   -589,,                      5,                  4624,                686523,,                224102,                224102,                462421,                462421,                462421,,                462421,,                462421,,                              1.91,,                              1.70,,,,,,,,,,,,,,,,,,
9946,2015年01月01日至2015年06月30日,,                425145,,                273800,                151345,                151345,,,                 44579,,                 30210,                 74789,                 76556,,,                  1412,,                   -351,,                      3,                  1058,                 77614,,                 17037,                 17037,                 60577,                 60577,                 60577,,                 60577,,                 60577,,                              0.28,,                              0.25,,,,,,,,,,,,,,,,,,
9946,2015年01月01日至2015年03月31日,,                137577,,                 84269,                 53308,                 53308,,,                 11863,,                 16291,                 28154,                 25154,,,                    399,,                   -274,,                      2,                    123,                 25277,,                  3368,                  3368,                 21909,                 21909,                 21909,,                 21909,,                 21909,,                              0.10,,                              0.10,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,,,,,
9946,2014年第3季,,                 17101,,                  4838,                 12263,                 12263,,,                  9516,,                 17991,                 27507,                -15244,,,                  1026,,                    -67,,                    182,                    777,                -14467,,                  1248,                  1248,                -15715,                -15715,                -15715,,                -15715,,                -15715,,                             -0.08,,                             -0.08,,,,,,,,,,,,,,,,,,
9946,2014年第2季,,                 28310,,                 11191,                 17119,                 17119,,,                  8734,,                 19686,                 28420,                -11301,,,                  1718,,                    -32,,                    164,                  1522,                 -9779,,                 61770,                 61770,                -71549,                -71549,                -71549,,                -71549,,                -71549,,                             -0.35,,                             -0.35,,,,,,,,,,,,,,,,,,
9946,2014年度,,                641533,,                453823,                187710,                187710,,,                 57866,,                 96606,                154472,                 33238,,,                 16696,,                    -74,,                    511,                 16111,                 49349,,,                  5604,                 43745,                 43745,                 44095,,                 43745,,                 44095,,                              0.21,,                              0.17,,,,,,,,,,,,,                    350,                  5604,                    422,                     72,,
9946,2014年01月01日至2014年09月30日,,                524717,,                391153,                133564,                133564,,,                 47981,,                 64003,                111984,                 21580,,,                  3801,,                   -231,,                    511,                  3059,                 24639,,                 64411,                 64411,                -39772,                -39772,                -39772,,                -39772,,                -39772,,                             -0.19,,                             -0.19,,,,,,,,,,,,,,,,,,
9946,2014年01月01日至2014年06月30日,,                507616,,                386315,                121301,                121301,,,                 38465,,                 46012,                 84477,                 36824,,,                  2775,,                   -164,,                    329,                  2282,                 39106,,                 63163,                 63163,                -24057,                -24057,                -24057,,                -24057,,                -24057,,                             -0.12,,                             -0.12,,,,,,,,,,,,,,,,,,
