證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益
1453,2015年第3季,,,,                 10929,                 10929,                 10929,,,                              0,                              0,                 10929,,,                 16376,,                              0,                 16376,                 -5447,                 -5447,,,                    683,,                  6855,                  7538,                -12985,,,                  4281,,                   -868,,                    125,                  3288,                 -9697,,                   -535,                 -9162,                 -9162,,,                 -8794,                 -8794,                 -8794,                -17956,,                 -9320,                    158,,                -18114,                    158,,                             -0.11,                             -0.11,,                              0.00,                              0.00,
1453,2015年第2季,,,,                 17005,                 17005,                 17005,,,                248600,                248600,                265605,,,                 23095,,                131262,                154357,                111248,                111248,,,                 14047,,                  9450,                 23497,                 87751,,,                  1192,,                   -860,,                     91,                    241,                 87992,,                   -464,                 88456,                 88456,,,                    485,                    485,                    485,                 88941,,                 88896,                   -440,,                 89381,                   -440,,                              1.01,                              1.01,,                              1.01,                              1.01,
1453,2015年01月01日至2015年09月30日,,,,                 58839,                 58839,                 58839,,,                248600,                248600,                307439,,,                 78002,,                131262,                209264,                 98175,                 98175,,,                 15646,,                 25060,                 40706,                 57469,,,                  7026,,                 -1224,,                    420,                  5382,                 62851,,                    235,                 62616,                 62616,,,                 -7350,                 -7350,                 -7350,                 55266,,                 62697,                    -81,,                 55347,                    -81,,                              0.71,                              0.71,,                              0.71,                              0.71,
1453,2015年01月01日至2015年06月30日,,,,                 47910,                 47910,                 47910,,,                248600,                248600,                296510,,,                 61626,,                131262,                192888,                103622,                103622,,,                 14963,,                 18205,                 33168,                 70454,,,                  2745,,                   -356,,                    295,                  2094,                 72548,,                    770,                 71778,                 71778,,,                  1444,                  1444,                  1444,                 73222,,                 72017,                   -239,,                 73461,                   -239,,                              0.82,                              0.82,,                              0.82,                              0.82,
1453,2015年01月01日至2015年03月31日,,,,                 30905,                 30905,                 30905,,,                              0,                              0,                 30905,,,                 38531,,                              0,                 38531,                 -7626,                 -7626,,,                    916,,                  8755,                  9671,                -17297,,,                  1553,,                    504,,                    204,                  1853,                -15444,,                  1234,                -16678,                -16678,,,                    959,                    959,                    959,                -15719,,                -16879,                    201,,                -15920,                    201,,                             -0.19,                             -0.19,,,,
1453,2014年第3季,,,,                 61139,                 61139,                 61139,,,                 18235,                 18235,                 79374,,,                 70135,,                 11406,                 81541,                 -2167,                 -2167,,,                    858,,                  8649,                  9507,                -11674,,,                  2437,,                  1332,,                    152,                  3617,                 -8057,,                  3555,                -11612,                -11612,,,                   -414,                   -414,                   -414,                -12026,,                -11440,                   -172,,                -11854,                   -172,,                             -0.13,                             -0.13,,                              0.00,                              0.00,
1453,2014年第2季,,,,                 39187,                 39187,                 39187,,,                              0,                              0,                 39187,,,                 53450,,                              0,                 53450,                -14263,                -14263,,,                  1562,,                  6392,                  7954,                -22217,,,                  2167,,                  1778,,                    119,                  3826,                -18391,,                 -1409,                -16982,                -16982,,,                    762,                    762,                    762,                -16220,,                -16963,                    -19,,                -16201,                    -19,,                             -0.20,                             -0.20,,                              0.00,                              0.00,
1453,2014年度,,,,                177622,                177622,                177622,,,                 55791,                 55791,                233413,,,                220717,,                 32552,                253269,                -19856,                -19856,,,                  6728,,                 31755,                 38483,                -58339,,,                  7122,,                  7388,,                    693,                 13817,                -44522,,                  2349,                -46871,                -46871,,,,,                 -4816,                -51687,,                -46643,                   -228,,                -51459,                   -228,,                             -0.54,                             -0.54,,                              0.00,                              0.00,                 -4816
1453,2014年01月01日至2014年09月30日,,,,                122834,                122834,                122834,,,                 55791,                 55791,                178625,,,                158462,,                 32552,                191014,                -12389,                -12389,,,                  5242,,                 22785,                 28027,                -40416,,,                  5662,,                  3134,,                    307,                  8489,                -31927,,                    774,                -32701,                -32701,,,                 -1211,                 -1211,                 -1211,                -33912,,                -32449,                   -252,,                -33660,                   -252,,                             -0.37,                             -0.37,,                              0.00,                              0.00,
1453,2014年01月01日至2014年06月30日,,,,                 61695,                 61695,                 61695,,,                 37556,                 37556,                 99251,,,                 88327,,                 21146,                109473,                -10222,                -10222,,,                  4384,,                 14136,                 18520,                -28742,,,                  3225,,                  1802,,                    155,                  4872,                -23870,,                 -2781,                -21089,                -21089,,,                   -797,                   -797,                   -797,                -21886,,                -21009,                    -80,,                -21806,                    -80,,                             -0.24,                             -0.24,,                              0.00,                              0.00,
