證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2392,2015年第3季,,             32031138,,             28664757,              3366381,              3366381,,,                748072,,              1162658,,                588042,              2498772,                867609,,,                 43175,,                326490,,                 72219,,                160333,                457779,              1325388,,                272125,              1053263,              1053263,,,              1150126,               -273717,,                 46431,                152899,                769941,                769941,              1823204,,              1024600,                 28663,,              1608754,                214450,,                              2.00,                              2.00,,                              1.99,                              1.99,,,,,,,,,,,
2392,2015年第2季,,             21581991,,             19697414,              1884577,              1884577,,,                664383,,              1079550,,                495176,              2239109,               -354532,,,                 28200,,                864930,,                 73559,,                107514,                927085,                572553,,                423544,                149009,                149009,,,               -355535,               -166835,,                -15680,                -67498,               -470552,               -470552,               -321543,,                144491,                  4518,,               -282518,                -39025,,                              0.28,                              0.28,,                              0.28,                              0.28,,                              0,,                              0,                              0,,,,,,
2392,2015年01月01日至2015年09月30日,,             75156641,,             67835328,              7321313,              7321313,,,              2116068,,              3165052,,              1563935,              6845055,                476258,,,                236402,,              1645563,,                218618,,                315945,              1979292,              2455550,,                909557,              1545993,              1545993,,,                505090,               -115825,,                 16996,                140962,                265299,                265299,              1811292,,              1399990,                146003,,              1552335,                258957,,                              2.73,                              2.73,,                              2.72,                              2.72,,,,,,,,,,,
2392,2015年01月01日至2015年06月30日,,             43125503,,             39170571,              3954932,              3954932,,,              1367996,,              2002394,,                975893,              4346283,               -391351,,,                193227,,              1319073,,                146399,,                155612,              1521513,              1130162,,                637432,                492730,                492730,,,               -645036,                157892,,                -29435,                -11937,               -504642,               -504642,                -11912,,                375390,                117340,,                -56419,                 44507,,                              0.73,                              0.73,,                              0.73,                              0.73,,                              0,,                              0,                              0,,,,,,
2392,2015年01月01日至2015年03月31日,,             21543512,,             19473157,              2070355,              2070355,,,                703613,,                922844,,                480717,              2107174,                -36819,,,                165027,,                454143,,                 72840,,                 48098,                594428,                557609,,                213888,                343721,                343721,,,               -289501,                324727,,                -13755,                 55561,                -34090,                -34090,                309631,,                230899,                112822,,                226099,                 83532,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,,,,,,,,
2392,2014年第3季,,             20850223,,             17905829,              2944394,              2944394,,,                622592,,              1087640,,                516017,              2226249,                718145,,,                114433,,                 63881,,                 75402,,                 92091,                195003,                913148,,                338598,                574550,                574550,,,                578604,                -17996,,                 32993,                119870,                473731,                473731,              1048281,,                525111,                 49439,,                949790,                 98491,,                              1.02,                              1.02,,                              1.00,                              1.00,,,,,,,,,,,
2392,2014年第2季,,             17522514,,             15542332,              1980182,              1980182,,,                639491,,                889679,,                403757,              1932927,                 47255,,,                150517,,                   -473,,                 73964,,                 50006,                126086,                173341,,                117418,                 55923,                 55923,,,               -454686,                607444,,                -18635,                222288,                -88165,                -88165,                -32242,,                153495,                -97572,,                116105,               -148347,,                              0.30,                              0.30,,                              0.30,                              0.30,,                              0,,                              0,                              0,,,,,,
2392,2014年度,,             91068480,,             80401405,             10667075,             10667075,,,              2471950,,              4525915,,              1927015,              8924880,              1742195,,,                512109,,                611119,,                298890,,                273139,              1097477,              2839672,,                948874,              1890798,              1890798,,,,,,,,,                543298,              2434096,,              1785792,                105006,,              2166245,                267851,,                              3.50,                              3.50,,                              3.43,                              3.43,,,,,,                945841,               -184583,                  9985,,                 57871,                285816
2392,2014年01月01日至2014年09月30日,,             62156157,,             54946257,              7209900,              7209900,,,              1907318,,              2921820,,              1331435,              6160573,              1049327,,,                389844,,                -47932,,                224507,,                226925,                344330,              1393657,,                521194,                872463,                872463,,,                155859,                764765,,                 -2039,                384006,                534579,                534579,              1407042,,                929206,                -56743,,              1417330,                -10288,,                              1.83,                              1.83,,                              1.79,                              1.79,,,,,,,,,,,
2392,2014年01月01日至2014年06月30日,,             41305934,,             37040428,              4265506,              4265506,,,              1284726,,              1834180,,                815418,              3934324,                331182,,,                275411,,               -111813,,                149105,,                134834,                149327,                480509,,                182596,                297913,                297913,,,               -422745,                782761,,                -35032,                264136,                 60848,                 60848,                358761,,                404095,               -106182,,                467540,               -108779,,                              0.80,                              0.80,,                              0.79,                              0.79,,                              0,,                              0,                              0,,,,,,
