證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1216,2015年第3季,,            110670088,,             73342044,             37328044,             37328044,,,             25500300,,              5431343,,                246814,             31178457,              6149587,,,              1402648,,               -993460,,                572720,,              1080960,                917428,              7067015,,              1245176,              5821839,              5821839,,,              2615158,               -253058,,               -102383,              2259717,              2259717,              8081556,,              3854960,              1966879,,              5961760,              2119796,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,
1216,2015年第2季,,            105025069,,             69097118,             35927951,             35927951,,,             23996935,,              5426901,,                249846,             29673682,              6254269,,,              1943566,,                -24557,,                613538,,              1319590,              2625061,              8879330,,              1959784,              6919546,              6919546,,,             -1117531,             -1067151,,                -55565,             -2240247,             -2240247,              4679299,,              4427878,              2491668,,              2940713,              1738586,,                              0.81,                              0.81,,                              0.81,                              0.81,,,,,,
1216,2015年第1季,,            104940238,,             70402856,             34537382,             34537382,,,             22712282,,              5313022,,                234184,             28259488,              6277894,,,              1161732,,                410471,,                598486,,              1117519,              2091236,              8369130,,              1752853,              6616277,              6616277,,,               -702395,               -204005,,                 96254,               -810146,               -810146,              5806131,,              4299459,              2316818,,              3641583,              2164548,,                              0.79,                              0.79,,                              0.78,                              0.78,,,,,,
1216,2015年01月01日至2015年09月30日,,            320635395,,            212842018,            107793377,            107793377,,,             72209517,,             16171266,,                730844,             89111627,             18681750,,,              4507946,,               -607546,,              1784744,,              3518069,              5633725,             24315475,,              4957813,             19357662,             19357662,,,                795232,             -1524214,,                -61694,               -790676,               -790676,             18566986,,             12582297,              6775365,,             12544056,              6022930,,                              2.21,                              2.21,,                              2.20,                              2.20,,,,,,
1216,2015年01月01日至2015年06月30日,,            209965307,,            139499974,             70465333,             70465333,,,             46709217,,             10739923,,                484030,             57933170,             12532163,,,              3105298,,                385914,,              1212024,,              2437109,              4716297,             17248460,,              3712637,             13535823,             13535823,,,             -1819926,             -1271156,,                 40689,             -3050393,             -3050393,             10485430,,              8727337,              4808486,,              6582296,              3903134,,                              1.60,                              1.60,,                              1.59,                              1.59,,,,,,
1216,2014年第3季,,            111086666,,             76786850,             34299816,             34299816,,,             24963444,,              4874848,,                269822,             30108114,              4191702,,,              1222204,,               -972620,,                531946,,                762091,                479729,              4671431,,              1130406,              3541025,              3541025,,,              1784499,                -62561,,                 10260,              1732198,              1732198,              5273223,,              1939233,              1601792,,              3311471,              1961752,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,,
1216,2014年第2季,,            104274809,,             71366379,             32908430,             32908430,,,             22665730,,              5140554,,                289306,             28095590,              4812840,,,              1235614,,               -330240,,                615734,,                981577,              1271217,              6084057,,              1215861,              4868196,              4868196,,,             -1233874,                 44972,,                -23117,             -1212019,             -1212019,              3656177,,              3097006,              1771190,,              2061845,              1594332,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,
1216,2014年第1季,,            107115302,,             74101402,             33013900,             33013900,,,             22279182,,              5319936,,                240423,             27839541,              5174359,,,              1200743,,                764913,,                612644,,              1138179,              2491191,              7665550,,              1129288,              6536262,              6536262,,,               -450024,               -273363,,                 92224,               -631163,               -631163,              5905099,,              4161367,              2374895,,              4039305,              1865794,,                              0.76,                              0.76,,                              0.76,                              0.76,,,,,,
1216,2014年度,,            425187182,,            293188184,            131998998,            131998998,,,             91543431,,             21650278,,              1030086,            114223795,             17775203,,,              4973012,,               -554224,,              2384834,,              2452657,              4486611,             22261814,,              4548633,             17713181,             17713181,,,,,,,,              2798736,             20511917,,             11122830,              6590351,,             13563132,              6948785,,                              2.04,                              2.04,,                              2.03,                              2.03,              2188766,                747656,               -158754,,                 -9140,                -30208
1216,2014年01月01日至2014年09月30日,,            322476777,,            222254631,            100222146,            100222146,,,             69908356,,             15335338,,                799551,             86043245,             14178901,,,              3658561,,               -537947,,              1760324,,              2881847,              4242137,             18421038,,              3475555,             14945483,             14945483,,,                100601,               -290952,,                 79367,               -110984,               -110984,             14834499,,              9197606,              5747877,,              9412621,              5421878,,                              1.62,                              1.62,,                              1.61,                              1.61,,,,,,
