證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6141,2015年第3季,,                664740,,                645661,                 19079,                 19079,,,                 28319,,                 57918,,                 24658,                110895,                -91816,,,                 21803,,                -18349,,                 15368,,                      4,                -11910,               -103726,,                  6277,               -110003,               -110003,,,                 81119,                 81119,                 81119,                -28884,,               -109855,                   -148,,                -28782,                   -102,,                             -0.84,                             -0.84,,                             -0.84,                             -0.84,,,
6141,2015年第2季,,                575131,,                577232,                 -2101,                 -2101,,,                 18912,,                 46268,,                 22251,                 87431,                -89532,,,                 20351,,                 -9453,,                 11613,,                    504,                   -211,                -89743,,                -15865,                -73878,                -73878,,,                -29206,                -29206,                -29206,               -103084,,                -73763,                   -115,,               -102950,                   -134,,                             -0.56,                             -0.56,,                             -0.56,                             -0.56,,,
6141,2015年01月01日至2015年09月30日,,              1847852,,              1814923,                 32929,                 32929,,,                 72666,,                163371,,                 68841,                304878,               -271949,,,                 56049,,                -39653,,                 39716,,                    508,                -22812,               -294761,,                -29696,               -265065,               -265065,,,                 29174,                 29174,                 29174,               -235891,,               -264677,                   -388,,               -235515,                   -376,,                             -2.01,                             -2.01,,                             -2.01,                             -2.01,,,
6141,2015年01月01日至2015年06月30日,,              1183112,,              1169262,                 13850,                 13850,,,                 44347,,                105453,,                 44183,                193983,               -180133,,,                 34246,,                -21304,,                 24348,,                    504,                -10902,               -191035,,                -35973,               -155062,               -155062,,,                -51945,                -51945,                -51945,               -207007,,               -154822,                   -240,,               -206733,                   -274,,                             -1.17,                             -1.17,,                             -1.17,                             -1.17,,,
6141,2015年01月01日至2015年03月31日,,                607981,,                592030,                 15951,                 15951,,,                 25435,,                 59185,,                 21932,                106552,                -90601,,,                 13895,,                -11851,,                 12735,,,                -10691,               -101292,,                -20108,                -81184,                -81184,,,                -22739,                -22739,                -22739,               -103923,,                -81059,                   -125,,               -103783,                   -140,,                             -0.61,                             -0.61,,                             -0.61,                             -0.61,,,
6141,2014年第3季,,                839893,,                712685,                127208,                127208,,,                 40487,,                 47122,,                 24108,                111717,                 15491,,,                 17693,,                  7737,,                 12274,,                              0,                 13156,                 28647,,                  7008,                 21639,                 21639,,,                 57315,                 57315,                 57315,                 78954,,                 21651,                    -12,,                 78925,                     29,,                              0.16,                              0.16,,                              0.16,                              0.16,,,
6141,2014年第2季,,                753759,,                669987,                 83772,                 83772,,,                 35653,,                 28895,,                 23176,                 87724,                 -3952,,,                 24583,,                 -3400,,                 12120,,                              0,                  9063,                  5111,,                  1292,                  3819,                  3819,,,                -39338,                -39338,                -39338,                -35519,,                  3851,                    -32,,                -35460,                    -59,,                              0.03,                              0.03,,                              0.03,                              0.03,,,
6141,2014年度,,              3103907,,              2723843,                380064,                380064,,,                146139,,                156120,,                 93583,                395842,                -15778,,,                 93352,,                    224,,                 51361,,,                 42215,                 26437,,                 12988,                 13449,                 13449,,,,,                 84876,                 98325,,                 13596,                   -147,,                 98419,                    -94,,                              0.10,                              0.10,,                              0.10,                              0.10,                 85479,                   -726,                   -123
6141,2014年01月01日至2014年09月30日,,              2297014,,              2000116,                296898,                296898,,,                 94579,,                131780,,                 69752,                296111,                    787,,,                 60376,,                 -4102,,                 37999,,                              0,                 18275,                 19062,,                  7376,                 11686,                 11686,,,                 18348,                 18348,                 18348,                 30034,,                 11778,                    -92,,                 30116,                    -82,,                              0.09,                              0.09,,                              0.09,                              0.09,,,
6141,2014年01月01日至2014年06月30日,,              1457121,,              1287431,                169690,                169690,,,                 54092,,                 84658,,                 45644,                184394,                -14704,,,                 42683,,                -11839,,                 25725,,                              0,                  5119,                 -9585,,                    368,                 -9953,                 -9953,,,                -38967,                -38967,                -38967,                -48920,,                 -9873,                    -80,,                -48809,                   -111,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,,,
6141,2014年01月01日至2014年03月31日,,                703362,,                617444,                 85918,                 85918,,,                 18439,,                 55763,,                 22468,                 96670,                -10752,,,                 18100,,                 -8439,,                 13605,,,                 -3944,                -14696,,                   -924,                -13772,                -13772,,,                    371,                    371,                    371,                -13401,,                -13724,                    -48,,                -13349,                    -52,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,,
6141,2013年第3季,,                792532,,                734370,                 58162,                 58162,,,                 32435,,                 44567,,                 15483,                 92485,                -34323,,,                 15543,,                 -1241,,                 13765,,,                    537,                -33786,,                 -2037,                -31749,                -31749,,,,,                -28249,                -59998,,                -31663,                    -86,,                -59190,                   -808,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,                -28249,,
6141,2013年第2季,,                828232,,                783148,                 45084,                 45084,,,                 32296,,                 34081,,                 17135,                 83512,                -38428,,,                 27183,,                  9295,,                 12869,,,                 23609,                -14819,,                  5094,                -19913,                -19913,,,,,                 39023,                 19110,,                -16471,                 -3442,,                 20092,                   -982,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,                 39023,                              0,                              0
6141,2013年度,,              3118956,,              2884719,                234237,                234237,,,                127659,,                143671,,                 78342,                349672,               -115435,,,                 89218,,                 14507,,                 46523,,,                 57202,                -58233,,                 17570,                -75803,                -75803,,,,,                119857,                 44054,,                -67019,                 -8784,,                 47474,                 -3420,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,                119006,                  1025,                    174
6141,2013年07月01日至2013年09月30日,,                792532,,                734370,                 58162,                 58162,,,                 32435,,                 44567,,                 15483,                 92485,                -34323,,,                 15543,,                 -1241,,                 13765,,,                    537,                -33786,,                 -2037,                -31749,                -31749,,,,,                -28249,                -59998,,                -31663,                    -86,,                -59190,                   -808,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,                -28249,,
