證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 外幣兌換利益,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分不動產、廠房及設備損失
1712,2015年第3季,,,              4295836,              4295836,,              3109760,              1186076,              1186076,,,                877113,,                 49433,,                 52354,                978900,                207176,,,                 14297,                 14297,,                   -317,                              0,                   -206,,                              0,                  1654,                              0,                118184,                              0,               -120361,,                              0,,                              0,,                 30917,                 30917,,                   -526,               -137507,                 69669,,                 49889,                 19780,                 19780,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 50445,                    301,,                 -1510,                 49236,                 49236,                 69016,,                 17029,                  2751,,                 66380,                  2636,,                              0.05,,                              0.04,,,,,,,,,,,,,,,
1712,2015年第2季,,,              4455199,              4455199,,              3285914,              1169285,              1169285,,,                885119,,                 56694,,                 50776,                992589,                176696,,,                 23003,                 23003,,                 -1036,                              0,                 -1034,,,                  3153,,                -45091,,                 39868,,,,,,                 31137,                 31137,,                 -1256,                 30478,                207174,,                 85768,                121406,                121406,,,,,,,,,,,,,,                -24060,                     17,,                 -1272,                -25315,                -25315,                 96091,,                121543,                   -137,,                 96228,                   -137,,                              0.35,,                              0.30,,              4455199,              4455199,                              0,                              0,,,,,,,,,,
1712,2015年01月01日至2015年09月30日,,,             13462132,             13462132,,             10021141,              3440991,              3440991,,,              2594260,,                144555,,                152032,              2890847,                550144,,,                 63111,                 63111,,                 -2253,                              0,                     90,,                              0,                  6738,                              0,                306291,                              0,               -315192,,                              0,,                              0,,                 91023,                 91023,,                 -3514,               -346618,                203526,,                 48185,                155341,                155341,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -21740,                    976,,                 -2402,                -23166,                -23166,                132175,,                151068,                  4273,,                128017,                  4158,,                              0.44,,                              0.40,,,,,,,,,,,,,,,
1712,2015年01月01日至2015年06月30日,,,              9166296,              9166296,,              6911381,              2254915,              2254915,,,              1717147,,                 95122,,                 99678,              1911947,                342968,,,                 48814,                 48814,,                 -1936,                              0,                    296,,,                  5084,,                188107,,               -194831,,,,,,                 60106,                 60106,,                 -2988,               -209111,                133857,,                 -1704,                135561,                135561,,,,,,,,,,,,,,                -72185,                    675,,                   -892,                -72402,                -72402,                 63159,,                134039,                  1522,,                 61637,                  1522,,                              0.39,,                              0.38,,              9166296,              9166296,                              0,                              0,,,,,,,,,,
1712,2015年01月01日至2015年03月31日,,,,              4711097,,              3625467,              1085630,              1085630,,,                832028,,                 38428,,                 48902,                919358,                166272,,,                 25811,                 25811,,                   -900,                              0,                  1330,,,                  1931,,,,               -234699,,                              0,,                              0,,,                 28969,,                 -1732,               -239589,                -73317,,                -87472,                 14155,                 14155,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -48125,                    658,,                    380,                -47087,                -47087,                -32932,,                 12496,                  1659,,                -34591,                  1659,,                              0.04,,                              0.03,,,,,,               -233198,                              0,                              0,,,,,,,
1712,2014年第3季,,,              4324663,              4324663,,              3281481,              1043182,              1043182,,,                786934,,                 53688,,                 52503,                893125,                150057,,,                 21790,                 21790,,                    -45,                    863,                   -224,,                              0,                  2098,                              0,                 37970,                              0,                -39474,,                              0,,                              0,,                 28368,                 28368,,                    945,                -45107,                104950,,                 25093,                 79857,                 79857,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -9665,                   -283,,                 -1001,                -10949,                -10949,                 68908,,                 77326,                  2531,,                 65198,                  3710,,                              0.23,,                              0.19,,,,,,,,,,,,,,,
1712,2014年第2季,,,              4475975,              4475975,,              3419500,              1056475,              1056475,,,                789763,,                 57351,,                 43092,                890206,                166269,,,                 14704,                 14704,,                     -5,                    618,                  2509,,,                  2005,,                 11089,,                 -9972,,,,,,                 27314,                 27314,,                 -1440,                -24022,                142247,,                 20949,                121298,                121298,,,,,,,,,,,,,,                -16926,                   -605,,                  1374,                -16157,                -16157,                105141,,                120158,                  1140,,                105180,                    -39,,                              0.36,,                              0.31,,              4475975,              4475975,                              0,                              0,,,,,,,,,,
1712,2014年度,,,,             17287684,,             12905331,              4382353,              4382353,,,              3297935,,                172138,,                176741,              3646814,                735539,,,                 63073,                 63073,,                 22644,                  2187,                  2324,,                              0,                 24661,                              0,                 34115,                              0,                -31621,,,,,,                109135,                109135,,                  3042,                -74641,                660898,,                149366,                511532,                511532,,,,,,,,,,,,,,,,,,,                 42653,                554185,,                506505,                  5027,,                548456,                  5729,,                              1.51,,                              1.29,,,,,,                              0,,,                 22182,                   -431,                 24324,,                    409,                  3831,
1712,2014年01月01日至2014年09月30日,,,             13143867,             13143867,,              9978261,              3165606,              3165606,,,              2366355,,                155843,,                140664,              2662862,                502744,,,                 52282,                 52282,,                 22772,                  2187,                  3005,,                              0,                  3936,                              0,                  4236,                              0,                 19792,,                              0,,                              0,,                 81099,                 81099,,                 -1882,                -10907,                491837,,                 85901,                405936,                405936,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -3553,                   -333,,                    666,                 -3220,                 -3220,                402716,,                401221,                  4715,,                398001,                  4715,,                              1.20,,                              1.07,,,,,,,,,,,,,,,
1712,2014年01月01日至2014年06月30日,,,              8819204,              8819204,,              6696780,              2122424,              2122424,,,              1579421,,                102155,,                 88161,              1769737,                352687,,,                 30492,                 30492,,                 22817,                  1324,                  3229,,,                  1838,,                -33734,,                 59266,,,,,,                 52731,                 52731,,                 -2827,                 34200,                386887,,                 60808,                326079,                326079,,,,,,,,,,,,,,                  6112,                    -49,,                  1667,                  7730,                  7730,                333809,,                323895,                  2184,,                332804,                  1005,,                              0.97,,                              0.90,,              8819204,              8819204,                              0,                              0,,,,,,,,,,
