證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2455,2015年第3季,,                589794,,                378811,                210983,                210983,,,                  2165,,                 23435,,                 29696,                 55296,                155687,,,                  1491,,                 41108,                 42599,                198286,,                 27645,                170641,                170641,,,                -30272,                              0,                -30272,                -30272,                140369,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,,
2455,2015年第2季,,                650150,,                399407,                250743,                250743,,,                  3308,,                 24356,,                 26313,                 53977,                196766,,,                 10695,,                 -6733,                  3962,                200728,,                 28122,                172606,                172606,,,                 -1920,                              0,                 -1920,                 -1920,                170686,,                              0.70,                              0.70,,                              0.69,                              0.69,,                              0,,                              0,                              0,,
2455,2015年01月01日至2015年09月30日,,              1764748,,              1098245,                666503,                666503,,,                  8016,,                 68257,,                 83512,                159785,                506718,,,                 13527,,                 31423,                 44950,                551668,,                 75405,                476263,                476263,,,                -29504,                              0,                -29504,                -29504,                446759,,                              1.93,                              1.93,,                              1.92,                              1.92,,,,,,,
2455,2015年01月01日至2015年06月30日,,              1174954,,                719434,                455520,                455520,,,                  5851,,                 44822,,                 53816,                104489,                351031,,,                 12036,,                 -9685,                  2351,                353382,,                 47760,                305622,                305622,,,                    768,                              0,                    768,                    768,                306390,,                              1.24,                              1.24,,                              1.23,                              1.23,,                              0,,                              0,                              0,,
2455,2015年01月01日至2015年03月31日,,                524804,,                320027,                204777,                204777,,,                  2543,,                 20466,,                 27503,                 50512,                154265,,,                  1341,,                 -2952,                 -1611,                152654,,                 19638,                133016,                133016,,,                  2688,                              0,                  2688,                  2688,                135704,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,
2455,2014年第3季,,                605484,,                390243,                215241,                215241,,,                  3788,,                 20654,,                 23281,                 47723,                167518,,,                  2433,,                  7700,                 10133,                177651,,                 22428,                155223,                155223,,,                 -3392,                              0,                 -3392,                 -3392,                151831,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,,,
2455,2014年第2季,,                526582,,                348856,                177726,                177726,,,                  3425,,                 19708,,                 24504,                 47637,                130089,,,                  1932,,                 -4827,                 -2895,                127194,,                 39518,                 87676,                 87676,,,                 -6208,                              0,                 -6208,                 -6208,                 81468,,                              0.36,                              0.36,,                              0.35,                              0.35,,                              0,,                              0,                              0,,
2455,2014年01月01日至2014年09月30日,,              1508169,,                995050,                513119,                513119,,,                  9932,,                 56296,,                 73372,                139600,                373519,,,                  5589,,                 11034,                 16623,                390142,,                 72859,                317283,                317283,,,                 -5024,                              0,                 -5024,                 -5024,                312259,,                              1.29,                              1.29,,                              1.28,                              1.28,,,,,,,
2455,2014年01月01日至2014年06月30日,,                902685,,                604807,                297878,                297878,,,                  6144,,                 35642,,                 50091,                 91877,                206001,,,                  3156,,                  3334,                  6490,                212491,,                 50431,                162060,                162060,,,                 -1632,                              0,                 -1632,                 -1632,                160428,,                              0.66,                              0.66,,                              0.65,                              0.65,,                              0,,                              0,                              0,,
2455,2014年01月01日至2014年03月31日,,                376103,,                255951,                120152,                120152,,,                  2719,,                 15934,,                 25587,                 44240,                 75912,,,                  1224,,                  8161,                  9385,                 85297,,                 10913,                 74384,                 74384,,,                  4576,                              0,                  4576,                  4576,                 78960,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,
