證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額
2430,2014年第3季,,              6719231,,              5598101,              1121130,              1121130,,,                866992,,                187440,              1054432,                 66698,,,                 31251,,                 -7700,,                    126,                 23677,                 90375,,                 21663,                 68712,,,                 68712,,                  1353,,,                     63,,                  1416,                 70128,,                 93364,                -24652,,                 94779,                -24651,,                              0.56,,                              0.56,,                              0.56,,                              0.56,,
2430,2014年第2季,,              6153798,,              5133334,              1020464,              1020464,,,                839323,,                140297,                979620,                 40844,,,                 15589,,                -13549,,                  2070,                  4110,                 44954,,                 23299,                 21655,,,                 21655,,                -14152,,,,,                -14152,                  7503,,                 51369,                -29714,,                 37217,                -29714,,                              0.31,,                              0.31,,                              0.31,,                              0.31,,
2430,2014年度,,             23384140,,             19690197,              3693943,              3693943,,,              2757481,,                439811,              3197292,                496651,,,                 58851,,                -63404,,                  2207,                 -2346,                494305,,                 82023,                412282,,               -453574,                -41292,,                 12290,                 -1244,,                    304,                   -211,                 11561,                -29731,,                110642,               -151934,,                122195,               -151926,,                              2.63,                             -1.97,                              0.66,,                              2.63,                             -1.97,                              0.66,,
2430,2014年01月01日至2014年09月30日,,             19652176,,             16342162,              3310014,              3310014,,,              2541829,,                477251,              3019080,                290934,,,                 56593,,                -22556,,                  3986,                 38023,                328957,,                 82274,                246683,,,                246683,,                  4735,,,                     63,,                  4798,                251481,,                321738,                -75055,,                326535,                -75054,,                              1.92,,                              1.92,,                              1.92,,                              1.92,,
2430,2014年01月01日至2014年06月30日,,             12932945,,             10744061,              2188884,              2188884,,,              1674837,,                289811,              1964648,                224236,,,                 25342,,                -14856,,                  3860,                 14346,                238582,,                 60611,                177971,,,                177971,,                  3382,,,,,                  3382,                181353,,                228374,                -50403,,                231756,                -50403,,                              1.36,,                              1.36,,                              1.36,,                              1.36,,
2430,2014年01月01日至2014年03月31日,,              6779147,,              5610727,              1168420,              1168420,,,                835514,,                149514,                985028,                183392,,,                  9753,,                 -1307,,                  1790,                 10236,                193628,,                 37312,                156316,,,                156316,,                 17534,,,,,                 17534,                173850,,                177005,                -20689,,                194539,                -20689,,                              1.06,,                              1.06,,                              1.05,,                              1.05,,
2430,2013年第3季,,              6563757,,              5538951,              1024806,              1024806,,,                680385,,                168540,                848925,                175881,,,                 10938,,                  9628,,                -10779,                  9787,                185668,,                 38615,                147053,,,                147053,,                -38933,,,                              0,,                -38933,                108120,,                160993,                -13940,,                122060,                -13940,,                              0.96,,                              0.96,,                              0.96,,                              0.96,,
2430,2013年第2季,,              6144750,,              5255015,                889735,                889735,,,                689381,,                 91092,                780473,                109262,,,                 14507,,                 -7427,,                 -4441,                  2639,                111901,,                 51987,                 59914,,,                 59914,,                 -1220,,,,,                 -1220,                 58694,,                 63092,                 -3178,,                 61872,                 -3178,,                              0.38,,                              0.38,,                              0.38,,                              0.38,,
2430,2013年度,,             24662046,,             20800412,              3861634,              3861634,,,              2727503,,                365139,              3092642,                768992,,,                 61518,,                -76177,,                -15133,                -29792,                739200,,                166185,                573015,,                -99793,                473222,,                -40276,                 10798,,                              0,                  1836,                -31314,                441908,,                520619,                -47397,,                489305,                -47397,,                              3.47,                             -0.36,                              3.11,,                              3.46,                             -0.36,                              3.10,,
2430,2013年07月01日至2013年09月30日,,              6563757,,              5538951,              1024806,              1024806,,,                680385,,                165151,                845536,                179270,,,                  7549,,                  9628,,                -10779,                  6398,                185668,,                 38615,                147053,,,                147053,,                -38933,,,,,                -38933,                108120,,                160993,                -13940,,                122060,                -13940,,                              0.96,,                              0.96,,                              0.96,,                              0.96,,                              0
