證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）
1503,2014年01月01日至2014年03月31日,,,              4384974,,                128345,,,                 20389,                 20389,,                  3249,              4536957,,,              3485800,,                 64875,,                 17259,                 17259,                    656,              3568590,                968367,                968367,,,                281608,,                229507,,                103889,                615004,                353363,,,,                  4375,,                 49040,,                 10782,,                 48776,                 91409,                444772,,                 83509,                361263,                361263,,,                 62646,                -62294,,                -47765,                 -1373,                -46040,                -46040,                315223,,                342376,                 18887,,                292536,                 22687,,                              0.66,                              0.66,,                              0.65,                              0.65,                              0,                              0,                              0,                              0,                -47765,                              0,                              0,                              0,                              0,,,,,,,,
1503,2013年第3季,,,              5039431,,                126474,,,                199550,                199550,,                  6498,              5371953,,,              4054434,,                 63440,,                123294,                123294,                  5900,              4247068,              1124885,              1124885,,,                276549,,                330677,,                114645,                721871,                403014,,,                 39010,                 39010,,                    940,,                  9500,,                 30315,                 60765,                463779,,                 87193,                376586,                376586,,,,,,,,,                -72478,                304108,,                361883,                 14703,,                290114,                 13994,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,,,,,                -74165,                -20610,,,                 15390,                  6907,,
1503,2013年第2季,,,              4432643,,                127434,,,                  9928,                  9928,,                  5872,              4575877,,,              3577301,,                 63301,,                 10585,                 10585,                  6201,              3657388,                918489,                918489,,,                268253,,                242431,,                116854,                627538,                290951,,,                 15464,                 15464,,                 27236,,                  8752,,                 10252,                 44200,                335151,,                100266,                234885,                234885,,,,,,,,,                 13863,                248748,,                221511,                 13374,,                233835,                 14913,,                              0.43,                              0.43,,                              0.42,                              0.42,,,,,,,,,,                 69851,                -64430,,,                  1517,                  6925,,
1503,2013年度,,,             18736173,,                508633,,,                384042,                384042,,                 13000,             19641848,,,             15461773,,                264387,,                348798,                348798,                 11469,             16086427,              3555421,              3555421,,,              1252744,,              1074809,,                466559,              2794112,                761309,,,                 61412,                 61412,,                695148,,                 41395,,                 67347,                782512,              1543821,,                318675,              1225146,              1225146,,,,,,,,,                315414,              1540560,,              1172687,                 52459,,              1482217,                 58343,,                              2.25,                              2.25,,                              2.24,                              2.24,,,,,,,,,,                145662,                296260,                -44973,,                  9581,                -91116,,
1503,2013年07月01日至2013年09月30日,,,              5039431,,                126474,,,                199550,                199550,,                  6498,              5371953,,,              4054434,,                 63440,,                123294,                123294,                  5900,              4247068,              1124885,              1124885,,,                276549,,                330677,,                114645,                721871,                403014,,,                 39010,                 39010,,                    940,,                  9500,,                 30315,                 60765,                463779,,                 87193,                376586,                376586,,,,,,,,,                -72478,                304108,,                361883,                 14703,,                290114,                 13994,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,,,,,                -74165,                -20610,,,                 15390,                  6907,,
1503,2013年04月01日至2013年06月30日,,,              4432643,,                127434,,,                  9928,                  9928,,                  5872,              4575877,,,              3577301,,                 63301,,                 10585,                 10585,                  6201,              3657388,                918489,                918489,,,                268253,,                242431,,                116854,                627538,                290951,,,,                 15464,,                 27236,,                  8752,,                 10252,                 44200,                335151,,                100266,                234885,                234885,,,,,,,,,                 13863,                248748,,                221511,                 13374,,                233835,                 14913,,                              0.43,                              0.43,,                              0.42,                              0.42,,,,,,,,,,                 69851,                -64430,,,                  1517,                  6925,,
1503,2013年01月01日至2013年12月31日,,,             18736173,,                508633,,,                384042,                384042,,                 13000,             19641848,,,             15461773,,                264387,,                348798,                348798,                 11469,             16086427,              3555421,              3555421,,,              1252744,,              1074809,,                466559,              2794112,                761309,,,                 61412,                 61412,,                695148,,                 41395,,                 67347,                782512,              1543821,,                318675,              1225146,              1225146,,,,,,,,,                315414,              1540560,,              1172687,                 52459,,              1482217,                 58343,,                              2.25,                              2.25,,                              2.24,                              2.24,,,,,,,,,,                145662,                296260,                -44973,,                  9581,                -91116,,
1503,2013年01月01日至2013年09月30日,,,             13578773,,                380749,,,                238488,                238488,,                 19498,             14217508,,,             10889030,,                188912,,                159520,                159520,                 20467,             11257929,              2959579,              2959579,,,                813685,,                797963,,                318527,              1930175,              1029404,,,                 57311,                 57311,,                 81260,,                 26514,,                 26617,                138674,              1168078,,                270387,                897691,                897691,,,,,,,,,               -228122,                669569,,                861318,                 36373,,                632063,                 37506,,                              1.65,                              1.65,,                              1.64,                              1.64,,,,,,,,,,                 71764,               -307087,,,                 -8953,                 16154,,
1503,2013年01月01日至2013年06月30日,,,              8539342,,                254275,,,                 38938,                 38938,,                 13000,              8845555,,,              6834596,,                125472,,                 36226,                 36226,                 14567,              7010861,              1834694,              1834694,,,                537136,,                467286,,                203882,              1208304,                626390,,,                 18301,                 18301,,                 80320,,                 17014,,                 -3698,                 77909,                704299,,                183194,                521105,                521105,,,,,,,,,               -155644,                365461,,                499435,                 21670,,                341949,                 23512,,                              0.96,                              0.96,,                              0.95,                              0.95,,,,,,,,,,                145929,               -286477,,,                -24343,                  9247,,
1503,2013年01月01日至2013年03月31日,,,              4106699,,                126841,,,                 29010,                 29010,,                  7128,              4269678,,,              3257295,,                 62171,,                 25641,                 25641,                  8366,              3353473,                916205,                916205,,,                268883,,                224855,,                 87028,                580766,                335439,,,,                  2837,,                 53084,,                  8262,,                -13950,                 33709,                369148,,                 82928,                286220,                286220,,,,,,,,,               -169507,                116713,,                277924,                  8296,,                108114,                  8599,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,,,                 76079,               -222047,,,                -25861,,                 -2322,                -25861
1503,2012年07月01日至2012年09月30日,,,              4720311,,                124123,,,                135132,                135132,,                 13026,              4992592,,,              3922206,,                 63138,,                115105,                115105,                  3360,              4103809,                888783,                888783,,,                287348,,                277734,,                 82276,                647358,                241425,,,                 43061,                 43061,,                 11879,,                  9237,,                 33416,                 79119,                320544,,                 54992,                265552,                265552,,,,,,,,,                354796,                620348,,                254652,                 10900,,                610402,                  9946,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,,,,                -82363,                416604,,,                 41128,                -20573,,
1503,2012年04月01日至2012年06月30日,,,              4900531,,                122644,,,                236545,                236545,,                 16433,              5276153,,,              3958916,,                 63107,,                209429,                209429,                 11455,              4242907,              1033246,              1033246,,,                290832,,                268092,,                110607,                669531,                363715,,,,                 10369,,                  5345,,                 11034,,                 44913,                 49593,                413308,,                113450,                299858,                299858,,,,,,,,,               -647939,               -348081,,                280472,                 19386,,               -364209,                 16128,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,,                 27064,               -655271,,,                -50884,                 31152,,
1503,2012年01月01日至2012年12月31日,,,             18641801,,                497234,,,                633844,                633844,,                 77292,             19850171,,,             15313678,,                255700,,                560156,                560156,                 41871,             16171405,              3678766,              3678766,,,              1079824,,                959393,,                447055,              2486272,              1192494,,,                 59868,                 59868,,                -18027,,                 37394,,                150138,                154585,              1347079,,                298608,              1048471,              1048471,,,,,,,,,                112069,              1160540,,              1008002,                 40469,,              1113134,                 47406,,                              1.93,                              1.93,,                              1.92,                              1.92,,,,,,,,,,               -100370,                222673,                -78976,,                 68065,                    677,,
1503,2012年01月01日至2012年09月30日,,,             14146917,,                370045,,,                560167,                560167,,                 57540,             15134669,,,             11559116,,                187739,,                490247,                490247,                 43054,             12280156,              2854513,              2854513,,,                818037,,                780648,,                275158,              1873843,                980670,,,                 53794,                 53794,,                 24468,,                 28159,,                144623,                194726,              1175396,,                258045,                917351,                917351,,,,,,,,,                232828,              1150179,,                882842,                 34509,,              1110500,                 39679,,                              1.69,                              1.69,,                              1.68,                              1.68,,,,,,,,,,               -124065,                297112,,,                 66079,                 -6298,,
1503,2012年01月01日至2012年06月30日,,,              9426606,,                245922,,,                425035,                425035,,                 44514,             10142077,,,              7636910,,                124601,,                375142,                375142,                 39694,              8176347,              1965730,              1965730,,,                530689,,                502914,,                192882,              1226485,                739245,,,,                 10733,,                 12589,,                 18922,,                111207,                115607,                854852,,                203053,                651799,                651799,,,,,,,,,               -121968,                529831,,                628190,                 23609,,                500098,                 29733,,                              1.21,                              1.21,,                              1.20,                              1.20,,,,,,,,,,                -41702,               -119492,,,                 24951,                 14275,,
1503,2012年01月01日至2012年03月31日,,,              4526075,,                123278,,,                188490,                188490,,                 28081,              4865924,,,              3677994,,                 61494,,                165713,                165713,                 28239,              3933440,                932484,                932484,,,                239857,,                234822,,                 82275,                556954,                375530,,,,                    364,,                  7244,,                  7888,,                 66294,                 66014,                441544,,                 89603,                351941,                351941,,,,,,,,,                525971,                877912,,                347718,                  4223,,                864307,                 13605,,                              0.67,                              0.67,,                              0.66,                              0.66,,,,,,,,,,                -68767,                535779,,,                 75836,,                 16877,                 75836
