證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3321,2015年第3季,,                745368,,                641847,                103521,                103521,,,                 36808,,                 49491,,                  9993,                 96292,                  7229,,,                  4154,,                 28922,,                  2247,                 30829,                 38058,,                  4115,                 33943,                 33943,,,                 32039,                  5447,                 26592,                 26592,                 60535,,                 33943,,                 60535,,                              0.42,                              0.42,,                              0.42,                              0.42,,
3321,2015年第2季,,                904475,,                730005,                174470,                174470,,,                 27756,,                 39027,,                 11101,                 77884,                 96586,,,                  5134,,                -10657,,                  2249,                 -7772,                 88814,,                 29285,                 59529,                 59529,,,                -10983,                 -1867,                 -9116,                 -9116,                 50413,,                 59529,,                 50413,,                              0.74,                              0.74,,                              0.74,                              0.74,,
3321,2015年01月01日至2015年09月30日,,              2564561,,              2079703,                484858,                484858,,,                109602,,                144314,,                 31351,                285267,                199591,,,                 11850,,                 11663,,                  7080,                 16433,                216024,,                 41323,                174701,                174701,,,                 13580,                  2309,                 11271,                 11271,                185972,,                174701,,                185972,,                              2.18,                              2.18,,                              2.16,                              2.16,,
3321,2015年01月01日至2015年06月30日,,              1819193,,              1437856,                381337,                381337,,,                 72794,,                 94823,,                 21358,                188975,                192362,,,                  7696,,                -17259,,                  4833,                -14396,                177966,,                 37208,                140758,                140758,,,                -18459,                 -3138,                -15321,                -15321,                125437,,                140758,,                125437,,                              1.76,                              1.76,,                              1.74,                              1.74,,
3321,2015年01月01日至2015年03月31日,,                914718,,                707851,                206867,                206867,,,                 45038,,                 55796,,                 10257,                111091,                 95776,,,                  2562,,                 -6602,,                  2584,                 -6624,                 89152,,                  7923,                 81229,                 81229,,,                 -7476,                 -1271,                 -6205,                 -6205,                 75024,,                 81229,,                 75024,,                              1.02,                              1.02,,                              1.00,                              1.00,,
3321,2014年第3季,,                886601,,                675370,                211231,                211231,,,                 40638,,                 36536,,                  7407,                 84581,                126650,,,                  1679,,                -19934,,                  3398,                -21653,                104997,,                              0,                104997,                104997,,,                 14998,                   -388,                 15386,                 15386,                120383,,                104997,,                120383,,                              1.40,                              1.40,,                              1.38,                              1.38,,
3321,2014年第2季,,                787572,,                577319,                210253,                210253,,,                 34041,,                 63191,,                  7000,                104232,                106021,,,                  4464,,                -19747,,                  4231,                -19514,                 86507,,                  3024,                 83483,                 83483,,,                -10621,                 -1806,                 -8815,                 -8815,                 74668,,                 83483,,                 74668,,                              1.11,                              1.11,,                              1.07,                              1.07,,
3321,2014年度,,              3195290,,              2447055,                748235,                748235,,,                155733,,                203443,,                 29795,                388971,                359264,,,                 14017,,                 -8114,,                 15201,                 -9298,                349966,,                  7217,                342749,                342749,,,,,,                 16805,                359554,,                342749,,                359554,,                              4.53,                              4.53,,                              4.41,                              4.41,                 23778,                  6973
3321,2014年上半年度,,              1471196,,              1109922,                361274,                361274,,,                 64369,,                119846,,                 13821,                198036,                163238,,,                 13429,,                 -9644,,                  9318,                 -5533,                157705,,                  3024,                154681,                154681,,,,,,                -15350,                139331,,                154681,,                139331,,                              2.06,                              2.06,,                              1.98,                              1.98,                -14962,                    388
3321,2014年01月01日至2014年09月30日,,              2357797,,              1785292,                572505,                572505,,,                105007,,                156382,,                 21228,                282617,                289888,,,                 15108,,                -29578,,                 12716,                -27186,                262702,,                  3024,                259678,                259678,,,                     36,                              0,                     36,                     36,                259714,,                259678,,                259714,,                              3.46,                              3.46,,                              3.32,                              3.32,,
