證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他
1219,2015年第3季,,,              2497043,              2497043,,              2270840,                226203,                226203,,,                127374,,                 67250,,                  7445,                202069,                 24134,,,                  7312,,                -12040,,                  6390,,                  8438,                 -2680,                 21454,,                  6755,                  6755,                 14699,                 14699,,,                  3387,                    487,                  2900,                  2900,                 17599,,                 25305,                -10606,,                 27679,                -10080,,                              0.08,,,,,,,,,,
1219,2015年第2季,,,              2305696,              2305696,,              2142079,                163617,                163617,,,                105870,,                 64623,,                  7263,                177756,                -14139,,,                  8559,,                  7670,,                  4261,,                 -3097,                  8871,                 -5268,,                  1854,                  1854,                 -7122,                 -7122,,,                 -1252,                   -180,                 -1072,                 -1072,                 -8194,,                 -2572,                 -4550,,                 -3449,                 -4745,,                             -0.01,,                              0,,,,,,,,
1219,2015年01月01日至2015年09月30日,,,              7127987,              7127987,,              6552194,                575793,                575793,,,                345686,,                177157,,                 21001,                543844,                 31949,,,                 23540,,                 -4919,,                 14490,,                  6487,                 10618,                 42567,,                 16002,                 16002,                 26565,                 26565,,,                  1257,                    181,                  1076,                  1076,                 27641,,                 45237,                -18672,,                 46118,                -18477,,                              0.14,,,,,,,,,,
1219,2015年01月01日至2015年06月30日,,,              4630944,              4630944,,              4281354,                349590,                349590,,,                218312,,                109907,,                 13556,                341775,                  7815,,,                 16228,,                  7121,,                  8100,,                 -1951,                 13298,                 21113,,                  9247,                  9247,                 11866,                 11866,,,                 -2130,                   -306,                 -1824,                 -1824,                 10042,,                 19932,                 -8066,,                 18439,                 -8397,,                              0.06,,                              0,,,,,,,,
1219,2015年01月01日至2015年03月31日,,,              2325248,              2325248,,              2139275,                185973,                185973,,,                112442,,                 45284,,                  6293,                164019,                 21954,,,                  7669,,                   -549,,                  3839,,                  1146,                  4427,                 26381,,                  7393,                  7393,                 18988,                 18988,,,                   -878,                   -126,                   -752,                   -752,                 18236,,                 22504,                 -3516,,                 21888,                 -3652,,                              0.07,,,,,,,,,,
1219,2014年第3季,,,              2737717,              2737717,,              2587684,                150033,                150033,,,                107674,,                 44496,,                  5920,                158090,                 -8057,,,                  9751,,                  3195,,                  5294,,                    894,                  8546,                    489,,                   -435,                   -435,                    924,                    924,,,                  2329,                    334,                  1995,                  1995,                  2919,,                  1801,                   -877,,                  3434,                   -515,,                              0.00,,,,,,,,,,
1219,2014年第2季,,,              2606452,              2606452,,              2450129,                156323,                156323,,,                111161,,                 38065,,                  5937,                155163,                  1160,,,                  6415,,                  2085,,                  5723,,                  5518,                  8295,                  9455,,                    891,                    891,                  8564,                  8564,,,                 -1622,                    -22,                 -1600,                 -1600,                  6964,,                  9436,                   -872,,                  9324,                 -2360,,                              0.03,,                              0,,,,,,,,
1219,2014年度,,,             10543589,             10543589,,              9809054,                734535,                734535,,,                432197,,                184569,,                 25957,                642723,                 91812,,,                 38014,,                  5415,,                 16476,,                 26963,                 53916,                145728,,,                 20929,                124799,                124799,,,,,,                -11196,                113603,,                134453,                 -9654,,                123899,                -10296,,                              0.43,,,                 20929,                  3790,                -15327,,                 -1511,                 -1511,                 -1852,
1219,2014年01月01日至2014年09月30日,,,              7803616,              7803616,,              7307484,                496132,                496132,,,                319713,,                126800,,                 18253,                464766,                 31366,,,                 26864,,                  5749,,                 12890,,                 10014,                 29737,                 61103,,                  8204,                  8204,                 52899,                 52899,,,                    778,                    321,                    457,                    457,                 53356,,                 54992,                 -2093,,                 56558,                 -3202,,                              0.17,,,,,,,,,,
1219,2014年01月01日至2014年06月30日,,,              5065899,              5065899,,              4719800,                346099,                346099,,,                212039,,                 82304,,                 12333,                306676,                 39423,,,                 17113,,                  2554,,                  7596,,                  9120,                 21191,                 60614,,                  8639,                  8639,                 51975,                 51975,,,                 -1551,                    -13,                 -1538,                 -1538,                 50437,,                 53191,                 -1216,,                 53124,                 -2687,,                              0.17,,                              0,,,,,,,,
