證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）
2543,2015年第3季,,              1365171,,              1270571,                 94600,                 94600,,,                  1374,,                 25941,                 27315,,                              0,                 67285,,,                  1545,,                  2721,,                  5635,                 -1369,                 65916,,                 11154,                 54762,,                              0,                 54762,                 54762,,                 50852,                  3910,,                 50852,                  3910,,                              0.21,,                              0.21,,,
2543,2015年第2季,,              1482563,,              1389097,                 93466,                 93466,,,                  1257,,                 84979,                 86236,,                              0,                  7230,,,                 37675,,                  2563,,                  6514,                 33724,                 40954,,                 16066,                 24888,,                              0,                 24888,                 24888,,                 20701,                  4187,,                 20701,                  4187,,                              0.09,,                              0.09,,,
2543,2015年01月01日至2015年09月30日,,              4285727,,              4004946,                280781,                280781,,,                  3982,,                137197,                141179,,                              0,                139602,,,                 46608,,                  6241,,                 18169,                 34680,                174282,,                 36398,                137884,,                              0,                137884,                137884,,                122720,                 15164,,                122720,                 15164,,                              0.51,,                              0.51,,,
2543,2015年01月01日至2015年06月30日,,              2920556,,              2734375,                186181,                186181,,,                  2608,,                111256,                113864,,                              0,                 72317,,,                 45063,,                  3520,,                 12534,                 36049,                108366,,                 25244,                 83122,,                              0,                 83122,                 83122,,                 71868,                 11254,,                 71868,                 11254,,                              0.30,,                              0.30,,,
2543,2015年01月01日至2015年03月31日,,              1437993,,              1345278,                 92715,                 92715,,,                  1351,,                 26277,                 27628,,,                 65087,,,                  7388,,                    957,,                  6020,                  2325,                 67412,,                  9178,                 58234,,,                 58234,                 58234,,                 51167,                  7067,,                 51167,                  7067,,                              0.21,,                              0.21,,,
2543,2014年第3季,,              1652719,,              1502435,                150284,                150284,,,                  1006,,                 32627,                 33633,,                              0,                116651,,,                 21138,,                  3158,,                  6837,                 17459,                134110,,                 21698,                112412,,                              0,                112412,                112412,,                109022,                  3390,,                109022,                  3390,,                              0.45,,                              0.45,,,
2543,2014年第2季,,              1094471,,              1039246,                 55225,                 55225,,,                    982,,                 23688,                 24670,,                              0,                 30555,,,                 38087,,                   -222,,                 12444,                 25421,                 55976,,                   -511,                 56487,,                              0,                 56487,                 56487,,                 58350,                 -1863,,                 58350,                 -1863,,                              0.26,,                              0.26,,,
2543,2014年度,,              5474793,,              5072770,                402023,                402023,,,                  4469,,                107394,                111863,,,                290160,,,                 89034,,                 12180,,                 41602,                 59612,                349772,,                 43858,                305914,,,                305914,                304230,,                290816,                 15098,,                289039,                 15191,,                              1.31,,                              1.31,,                 -1684,                 -1684
2543,2014年01月01日至2014年09月30日,,              3655673,,              3407609,                248064,                248064,,,                  3349,,                 83451,                 86800,,                              0,                161264,,,                 78575,,                  9288,,                 34349,                 53514,                214778,,                 25264,                189514,,                              0,                189514,                189514,,                187442,                  2072,,                187442,                  2072,,                              0.87,,                              0.87,,,
2543,2014年01月01日至2014年06月30日,,              2002954,,              1905174,                 97780,                 97780,,,                  2343,,                 50824,                 53167,,                              0,                 44613,,,                 57437,,                  6130,,                 27512,                 36055,                 80668,,                  3566,                 77102,,                              0,                 77102,                 77102,,                 78420,                 -1318,,                 78420,                 -1318,,                              0.39,,                              0.39,,,
