證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計,　　 投資收入（投資公司適用）,　　　 投資收入,　　　　 採用權益法之關聯企業及合資利益之份額,　　　　 投資收入合計,　　　 投資收入（投資公司適用）合計,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
3703,2015年第3季,,,                 66062,,,              3771190,                              0,              3771190,              3771190,,                 59559,              3896811,,,                 21212,,              3549873,              3549873,                  4977,              3576062,                320749,                320749,,,                 29484,,                283959,                313443,                  7306,,,                126891,,               -182545,,                 53348,,                -28022,               -137024,               -129718,,                  8472,               -138190,               -138190,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 73178,               -284243,                 21710,,                199504,                 10149,                 10149,               -128041,,               -127871,                -10319,,               -116514,                -11527,,                             -0.14,,                             -0.14,,,,,,,,,,,,,,,,,,,
3703,2015年第2季,,,                 63154,,,              4276314,,              4276314,              4276314,,                 59611,              4399079,,,                 33709,,              4090658,              4090658,                  5519,              4129886,                269193,                269193,,,                 25589,,                271425,                297014,                -27821,,,                 92378,,                -28379,,                 56494,,                  2477,                  9982,                -17839,,                 13838,                -31677,                -31677,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -70886,              1713042,                 -7917,,                -38474,              1595765,              1595765,              1564088,,                -36607,                  4930,,              1560210,                  3878,,                             -0.04,,,,,,,,,,,,,,,,,,,,,
3703,2015年第1季,,,                 60753,,,              7907435,,              7907435,              7907435,,                 59515,              8027703,,,                 23717,,              7138727,              7138727,                  5350,              7167794,                859909,                859909,,,                 19451,,                260261,                279712,                580197,,,                 14244,,                -24880,,                 49630,,                  8352,                -51914,                528283,,                 78061,                450222,                450222,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -2274,                601896,                 -2637,,                -40579,                556406,                556406,              1006628,,                454233,                 -4011,,              1012651,                 -6023,,                              0.51,,,,,,,,,,,,,,,,,,,,,
3703,2015年01月01日至2015年09月30日,,,                189969,,,             15954939,                              0,             15954939,             15954939,,                178685,             16323593,,,                 78638,,             14779258,             14779258,                 15846,             14873742,              1449851,              1449851,,,                 74524,,                815645,                890169,                559682,,,                233513,,               -235804,,                159472,,                -17193,               -178956,                380726,,                100371,                280355,                280355,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                     18,              2030695,                 11156,,                120451,              2162320,              2162320,              2442675,,                289755,                 -9400,,              2456347,                -13672,,                              0.33,,                              0.33,,,,,,,,,,,,,,,,,,,
3703,2015年01月01日至2015年06月30日,,,                123907,,,             12183749,,             12183749,             12183749,,                119126,             12426782,,,                 57426,,             11229385,             11229385,                 10869,             11297680,              1129102,              1129102,,,                 45040,,                531686,                576726,                552376,,,                106622,,                -53259,,                106124,,                 10829,                -41932,                510444,,                 91899,                418545,                418545,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -73160,              2314938,                -10554,,                -79053,              2152171,              2152171,              2570716,,                417626,                    919,,              2572861,                 -2145,,                              0.47,,,,,,,,,,,,,,,,,,,,,
3703,2014年第3季,,,                 69368,,,              4959093,                              0,              4959093,              4959093,,                 51518,              5079979,,,                 21142,,              4429335,              4429335,                  5837,              4456314,                623665,                623665,,,                 65934,,                297072,                363006,                260659,,,                 16718,,                  8721,,                 43122,,                 85303,                 67620,                328279,,                 15325,                312954,                312954,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -18156,               -157999,                  4092,,                 46764,               -125299,               -125299,                187655,,                311968,                    986,,                186647,                  1008,,                              0.35,,                              0.35,,,,,,,,,,,,,,,,,,,
3703,2014年第2季,,,                 68155,,,              6924673,,              6924673,              6924673,,                 56940,              7049768,,,                 32052,,              5681084,              5681084,                  5891,              5719027,              1330741,              1330741,,,                152724,,                244410,                397134,                933607,,,                100633,,                  2000,,                 65008,,                 69765,                107390,              1040997,,                161633,                879364,                879364,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -33697,               -188091,                 -1173,,                -53086,               -276047,               -276047,                603317,,                877280,                  2084,,                601213,                  2104,,                              0.99,,,,,,,,,,,,,,,,,,,,,
3703,2014年第1季,,,                 65735,,,              4595551,,              4595551,              4595551,,                 57538,              4718824,,,                 20903,,              4411096,              4411096,                  6148,              4438147,                280677,                280677,,,                 27957,,                239456,                267413,                 13264,,,                  9766,,                 -2892,,                 69369,,                -39351,               -101846,                -88582,,                  8241,                -96823,                -96823,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 88577,               -534183,                  1204,,                 61108,               -383294,               -383294,               -480117,,               -101687,                  4864,,               -485106,                  4989,,                             -0.12,,,,,,,,,,,,,,,,,,,,,
3703,2014年度,,,                267956,,,             20738703,                              0,             20738703,             20738703,,                220746,             21227405,,,                100527,,             18015081,             18015081,                 22839,             18138447,              3088958,              3088958,,,                346012,,              1245492,              1591504,              1497454,,,                350091,,             -2242219,,                227597,,               -202937,             -2322662,               -825208,,                151068,               -976276,               -976276,,,,,,,,,,,,,,,,,,,,              1331476,                355200,,               -979878,                  3602,,                352298,                  2902,,                             -1.11,,                              0.00,               -202937,                205231,              1122922,                 19116,                -19028,                 -3235,,,,,,,,,,,,,
3703,2014年01月01日至2014年09月30日,,,                203258,,,             16479317,                              0,             16479317,             16479317,,                165996,             16848571,,,                 74097,,             14521515,             14521515,                 17876,             14613488,              2235083,              2235083,,,                246615,,                780938,              1027553,              1207530,,,                127117,,                  7829,,                177499,,                115717,                 73164,              1280694,,                185199,              1095495,              1095495,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 36724,               -880273,                  4123,,                 54786,               -784640,               -784640,                310855,,              1087561,                  7934,,                302754,                  8101,,                              1.23,,                              1.23,,,,,,,,,,,,,,,,,,,
