證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3501,2015年第3季,,              1574483,,              1131205,                443278,                443278,,,                 75293,,                121946,,                 14549,                211788,                231490,,,                  9453,,                 96968,,                    958,                105463,                336953,,                 74825,                262128,                262128,,,                155057,                 26500,                128557,                128557,                390685,,                267066,                 -4938,,                396448,                 -5763,,                              2.31,                              2.31,,                              2.28,                              2.28,,,
3501,2015年第2季,,              1324391,,                983846,                340545,                340545,,,                 48207,,                114490,,                 25715,                188412,                152133,,,                  5801,,                 91760,,                    808,                 96753,                248886,,                 81376,                167510,                167510,,,                -51427,                 -8687,                -42740,                -42740,                124770,,                167828,                   -318,,                125412,                   -642,,                              1.45,                              1.45,,                              1.42,                              1.42,,,
3501,2015年01月01日至2015年09月30日,,              4119592,,              3011532,              1108060,              1108060,,,                188507,,                344753,,                 35637,                568897,                539163,,,                 31735,,                178685,,                  2507,                207913,                747076,,                179822,                567254,                567254,,,                 72191,                 12351,                 59840,                 59840,                627094,,                572505,                 -5251,,                632806,                 -5712,,                              4.95,                              4.95,,                              4.86,                              4.86,,,
3501,2015年01月01日至2015年06月30日,,              2545109,,              1880327,                664782,                664782,,,                108781,,                213275,,                 35053,                357109,                307673,,,                 22282,,                 81717,,                  1549,                102450,                410123,,                104997,                305126,                305126,,,                -82866,                -14149,                -68717,                -68717,                236409,,                305439,                   -313,,                236358,                     51,,                              2.64,                              2.64,,                              2.59,                              2.59,,,
3501,2015年01月01日至2015年03月31日,,              1220718,,                896481,                324237,                324237,,,                 60574,,                 98785,,                  9338,                168697,                155540,,,                 16481,,                -10043,,                    741,                  5697,                161237,,                 23621,                137616,                137616,,,                -31439,                 -5462,                -25977,                -25977,                111639,,                137611,                      5,,                110946,                    693,,                              1.19,                              1.19,,                              1.17,                              1.17,,,
3501,2014年第3季,,              1401279,,              1082834,                318445,                318445,,,                 65809,,                107589,,                 11369,                184767,                133678,,,                  3878,,                 17406,,                    240,                 21044,                154722,,                 30806,                123916,                123916,,,                100682,                 16908,                 83774,                 83774,                207690,,                125890,                 -1974,,                208440,                   -750,,                              1.11,                              1.11,,                              1.08,                              1.08,,,
3501,2014年第2季,,              1298636,,                984056,                314580,                314580,,,                 61086,,                 98874,,                 13326,                173286,                141294,,,                 14285,,                -30789,,                    849,                -17353,                123941,,                 42258,                 81683,                 81683,,,                -52639,                 -9140,                -43499,                -43499,                 38184,,                 82538,                   -855,,                 37911,                    273,,                              0.73,                              0.73,,                              0.71,                              0.71,,,
3501,2014年度,,              5357889,,              4172092,              1185797,              1185797,,,                231279,,                403380,,                 97312,                731971,                453826,,,                 55143,,                 89057,,                  2334,                141866,                595692,,                140902,                454790,                454790,,,,,,                116518,                571308,,                459345,                 -4555,,                573612,                 -2304,,                              4.03,                              4.03,,                              3.95,                              3.95,                139805,                    117,                 23404
3501,2014年01月01日至2014年09月30日,,              3844922,,              2988367,                856555,                856555,,,                181599,,                312530,,                 39130,                533259,                323296,,,                 37839,,                 26927,,                  1591,                 63175,                386471,,                 92854,                293617,                293617,,,                 40360,                  6487,                 33873,                 33873,                327490,,                297930,                 -4313,,                329601,                 -2111,,                              2.62,                              2.62,,                              2.55,                              2.55,,,
3501,2014年01月01日至2014年06月30日,,              2443643,,              1905533,                538110,                538110,,,                115790,,                204941,,                 27761,                348492,                189618,,,                 33961,,                  9521,,                  1351,                 42131,                231749,,                 62048,                169701,                169701,,,                -60322,                -10421,                -49901,                -49901,                119800,,                172040,                 -2339,,                121161,                 -1361,,                              1.51,                              1.51,,                              1.47,                              1.47,,,
3501,2014年01月01日至2014年03月31日,,              1145007,,                921477,                223530,                223530,,,                 54704,,                106067,,                 14435,                175206,                 48324,,,                 19676,,                 40310,,                    502,                 59484,                107808,,                 19790,                 88018,                 88018,,,                 -7683,                 -1281,                 -6402,                 -6402,                 81616,,                 89502,                 -1484,,                 83250,                 -1634,,                              0.79,                              0.79,,                              0.77,                              0.77,,,
3501,2013年第3季,,              1381338,,              1070693,                310645,                310645,,,                 65490,,                 97146,,                 12562,                175198,                135447,,,                 22193,,                -15871,,                  1473,                  4849,                140296,,                 32771,                107525,                107525,,,,,,                -24820,                 82705,,                107686,                   -161,,                 81800,                    905,,                              0.96,                              0.96,,                              0.93,                              0.93,                -30123,                              0,                 -5303
3501,2013年第2季,,              1388694,,              1051817,                336877,                336877,,,                 65133,,                 90532,,                 14955,                170620,                166257,,,                  4345,,                 12730,,                  1420,                 15655,                181912,,                 47001,                134911,                134911,,,,,,                 38262,                173173,,                135555,                   -644,,                173792,                   -619,,                              1.22,                              1.22,,                              1.18,                              1.18,                 46093,                              0,                  7831
3501,2013年度,,              5277177,,              4069428,              1207749,              1207749,,,                266947,,                386000,,                 48933,                701880,                505869,,,                 69698,,                 45645,,                  5242,                110101,                615970,,                140177,                475793,                475793,,,,,,                118770,                594563,,                476620,                   -827,,                595704,                 -1141,,                              4.25,                              4.25,,                              4.14,                              4.14,                139545,                  3616,                 24391
3501,2013年07月01日至2013年09月30日,,              1381338,,              1070693,                310645,                310645,,,                 65490,,                 97146,,                 12562,                175198,                135447,,,                 22193,,                -15871,,                  1473,                  4849,                140296,,                 32771,                107525,                107525,,,,,,                -24820,                 82705,,                107686,                   -161,,                 81800,                    905,,,                              0.96,,,                              0.93,                -30123,,                 -5303
3501,2013年04月01日至2013年06月30日,,              1388694,,              1051817,                336877,                336877,,,                 65133,,                 90532,,                 14955,                170620,                166257,,,                  4345,,                 12730,,                  1420,                 15655,                181912,,                 47001,                134911,                134911,,,,,,                 38262,                173173,,                135555,                   -644,,                173792,                   -619,,,                              1.22,,,                              1.19,                 46093,,                  7831
3501,2013年01月01日至2013年12月31日,,              5277177,,              4069428,              1207749,              1207749,,,                266947,,                386000,,                 48933,                701880,                505869,,,                 69698,,                 45645,,                  5242,                110101,                615970,,                140177,                475793,                475793,,,,,,                118770,                594563,,                476620,                   -827,,                595704,                 -1141,,,                              4.25,,,                              4.14,                139545,                  3616,                 24391
