證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
1530,2015年第3季,,                959258,,                743192,                216066,                  1986,                              0,                214080,,,                 60411,,                 33834,,                 16305,                110550,                103530,,,                 11053,,                 91971,,                  8985,,                   -813,                 93226,                196756,,                 36060,                160696,                160696,,,                 29711,                  5051,                 24660,                 24660,                185356,,                160778,                    -82,,                185438,                    -82,,                              1.75,,                              1.74,,,,,,,,,,,,,,
1530,2015年第2季,,                969531,,                800206,                169325,                              0,                  1565,                170890,,,                 75547,,                 35067,,                 21475,                132089,                 38801,,,                  2901,,                -16658,,                  7942,,                  1983,                -19716,                 19085,,                  9472,                  9613,                  9613,,,,                 -1524,                 -7444,                 -7444,                  2169,,                  8253,                  1360,,                    809,                  1360,,                              0.09,,                              0.01,,                 -8968,,,,,,,,,,,,
1530,2015年01月01日至2015年09月30日,,              2840736,,              2262862,                577874,                  2989,                              0,                574885,,,                216789,,                110212,,                 58105,                385106,                189779,,,                128133,,                 15823,,                 23823,,                    246,                120379,                310158,,                 73635,                236523,                236523,,,                 14915,                  2536,                 12379,                 12379,                248902,,                235840,                    683,,                248219,                    683,,                              2.57,,                              2.56,,,,,,,,,,,,,,
1530,2015年01月01日至2015年06月30日,,              1881478,,              1519670,                361808,                  1003,                              0,                360805,,,                156378,,                 76378,,                 41800,                274556,                 86249,,,                117080,,                -76148,,                 14838,,                  1059,                 27153,                113402,,                 37575,                 75827,                 75827,,,,                 -2515,                -12281,                -12281,                 63546,,                 75062,                    765,,                 62781,                    765,,                              0.82,,                              0.81,,                -14796,,,,,,,,,,,,
1530,2015年01月01日至2015年03月31日,,                911947,,                719464,                192483,,                 -2568,                189915,,,                 80831,,                 41311,,                 20325,                142467,                 47448,,,                114179,,                -59490,,                  6896,,                   -924,                 46869,                 94317,,                 28103,                 66214,                 66214,,,                 -5828,                   -991,                 -4837,                 -4837,                 61377,,                 66809,                   -595,,                 61972,                   -595,,                              0.73,,                              0.72,,,,,,,,,,,,,,
1530,2014年第3季,,                959291,,                752329,                206962,                              0,                    166,                207128,,,                 83872,,                 30791,,                 20212,                134875,                 72253,,,                  5592,,                 12287,,                  7001,,                  1326,                 12204,                 84457,,                 14247,                 70210,                 70210,,,                 13983,                  2377,                 11606,                 11606,                 81816,,                 69209,                  1001,,                 80815,                  1001,,                              0.75,,                              0.75,,,,,,,,,,,,,,
1530,2014年第2季,,                999573,,                777214,                222359,                              0,                    398,                222757,,,                 85136,,                 32383,,                 20055,                137574,                 85183,,,                  5640,,                -24299,,                  5809,,                    859,                -23609,                 61574,,                 19552,                 42022,                 42022,,,,                 -1793,                 -8757,                 -8757,                 33265,,                 40498,                  1524,,                 31741,                  1524,,                              0.44,,                              0.44,,                -10550,,,,,,,,,,,,
1530,2014年度,,              3913307,,              3059319,                853988,,                  3928,                857916,,,                334105,,                135055,,                 80396,                549556,                308360,,,                 19421,,                 48808,,                 24095,,                  9344,                 53478,                361838,,                 82060,                279778,                279778,,,,,,                 12665,                292443,,                272871,                  6907,,                288065,                  4378,,                              2.97,,                              2.96,,,                 18611,                 -5946,,                              0,,,,,,,,
1530,2014年01月01日至2014年09月30日,,              2814004,,              2198336,                615668,                              0,                  3318,                618986,,,                236722,,                 93260,,                 58667,                388649,                230337,,,                 12962,,                  2273,,                 17699,,                  2552,                     88,                230425,,                 46675,                183750,                183750,,,                  3075,                    523,                  2552,                  2552,                186302,,                177475,                  6275,,                180027,                  6275,,                              1.93,,                              1.93,,,,,,,,,,,,,,
1530,2014年01月01日至2014年06月30日,,              1854713,,              1446007,                408706,                              0,                  3152,                411858,,,                152850,,                 62469,,                 38455,                253774,                158084,,,                  7370,,                -10014,,                 10698,,                  1226,                -12116,                145968,,                 32428,                113540,                113540,,,,                 -1854,                 -9054,                 -9054,                104486,,                108266,                  5274,,                 99212,                  5274,,                              1.18,,                              1.17,,                -10908,,,,,,,,,,,,
1530,2014年01月01日至2014年03月31日,,                855140,,                668793,                186347,,                  2754,                189101,,,                 67714,,                 30086,,                 18400,                116200,                 72901,,,                  1730,,                 14285,,                  4889,,                    367,                 11493,                 84394,,                 12876,                 71518,                 71518,,,                   -358,                    -61,                   -297,                   -297,                 71221,,                 67768,                  3750,,                 67471,                  3750,,                              0.74,,                              0.73,,,,,,,,,,,,,,
