證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2511,2015年第3季,,              2299092,,              1409000,                890092,                890092,,,                 60665,,                587664,                648329,                241763,,,                 59835,,                 45217,,                 76444,,                -51426,                -22818,                218945,,                 81489,                137456,                137456,,,                    301,                155576,                155877,                155877,                293333,,                146050,                 -8594,,                301927,                 -8594,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,
2511,2015年第2季,,              3015255,,              1916155,              1099100,              1099100,,,                 99915,,                616164,                716079,                383021,,,                161878,,                 93280,,                 83449,,                 31971,                203680,                586701,,                 71528,                515173,                515173,,,                   -299,               -325427,               -325726,               -325726,                189447,,                518789,                 -3616,,                193063,                 -3616,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,,
2511,2015年01月01日至2015年09月30日,,              8030333,,              5093749,              2936584,              2936584,,,                241403,,              1785397,              2026800,                909784,,,                269008,,                 89712,,                254246,,                 17795,                122269,              1032053,,                185577,                846476,                846476,,,                      2,               -292734,               -292732,               -292732,                553744,,                856486,                -10010,,                563754,                -10010,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,
2511,2015年01月01日至2015年06月30日,,              5731241,,              3684749,              2046492,              2046492,,,                180738,,              1197733,              1378471,                668021,,,                209173,,                 44495,,                177802,,                 69221,                145087,                813108,,                104088,                709020,                709020,,,                   -299,               -448310,               -448609,               -448609,                260411,,                710436,                 -1416,,                261827,                 -1416,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,
2511,2015年01月01日至2015年03月31日,,              2715986,,              1768594,                947392,                947392,,,                 80823,,                581569,                662392,                285000,,,                 47295,,                -48785,,                 94353,,                 37250,                -58593,                226407,,                 32560,                193847,                193847,,,                              0,               -122883,               -122883,               -122883,                 70964,,                191647,                  2200,,                 68764,                  2200,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,
2511,2014年第3季,,              3111259,,              2126208,                985051,                985051,,,                 99937,,                624164,                724101,                260950,,,                 54636,,                  4010,,                 73413,,                 56976,                 42209,                303159,,                 -9244,                312403,                312403,,,                    274,               -279642,               -279368,               -279368,                 33035,,                318758,                 -6355,,                 39586,                 -6551,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,
2511,2014年第2季,,              4142792,,              2903571,              1239221,              1239221,,,                 97019,,                654344,                751363,                487858,,,                129800,,                -36175,,                 97763,,                 16174,                 12036,                499894,,                 56471,                443423,                443423,,,                   -274,                -63592,                -63866,                -63866,                379557,,                451088,                 -7665,,                387196,                 -7639,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,
2511,2014年度,,             19424465,,             14216886,              5207579,              5207579,,,                636575,,              2105710,              2742285,              2465294,,,                384772,,                -39614,,                350296,,                 82945,                 77807,              2543101,,                163467,              2379634,              2379634,,,,,,               -567511,              1812123,,              2398718,                -19084,,              1831570,                -19447,,                              1.51,                              1.51,,                              1.51,                              1.51,                  2549,               -566304,                 -5097,,                  1341
2511,2014年01月01日至2014年09月30日,,              9780693,,              6692095,              3088598,              3088598,,,                251112,,              1956049,              2207161,                881437,,,                380943,,                -40330,,                267961,,                 93048,                165700,              1047137,,                 77036,                970101,                970101,,,                  1900,               -554903,               -553003,               -553003,                417098,,                991809,                -21708,,                439002,                -21904,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,
2511,2014年01月01日至2014年06月30日,,              6669434,,              4565887,              2103547,              2103547,,,                151175,,              1331885,              1483060,                620487,,,                326307,,                -44340,,                194548,,                 36072,                123491,                743978,,                 86280,                657698,                657698,,,                  1626,               -275261,               -273635,               -273635,                384063,,                673051,                -15353,,                399416,                -15353,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,
2511,2014年01月01日至2014年03月31日,,              2526642,,              1662316,                864326,                864326,,,                 54156,,                677541,                731697,                132629,,,                196507,,                 -8165,,                 96785,,                 19898,                111455,                244084,,                 29809,                214275,                214275,,,                  1900,               -211669,               -209769,               -209769,                  4506,,                221963,                 -7688,,                 12220,                 -7714,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,
2511,2013年第3季,,              2435178,,              1563086,                872092,                872092,,,                 65620,,                493919,                559539,                312553,,,                 58333,,               -501318,,                 94005,,                 33223,               -503767,               -191214,,                 -8093,               -183121,               -183121,,,,,,                438735,                255614,,               -173276,                 -9845,,                265456,                 -9842,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,                 -2287,                441022,,,
2511,2013年第2季,,              2751187,,              1947449,                803738,                803738,,,                135169,,                616164,                751333,                 52405,,,                 34947,,                -24640,,                 91091,,                 35829,                -44955,                  7450,,                 -4307,                 11757,                 11757,,,,,,               -124852,               -113095,,                 20480,                 -8723,,               -102812,                -10283,,                              0.01,                              0.01,,                              0.01,                              0.01,                    565,               -125417,,,
2511,2013年度,,             17242007,,             12542510,              4699497,              4699497,,,                734911,,              1945043,              2679954,              2019543,,,                569194,,               -574438,,                378106,,                 94679,               -288671,              1730872,,                 95400,              1635472,              1635472,,,,,,                404732,              2040204,,              1652753,                -17281,,              2057023,                -16819,,                              1.26,                              1.26,,                              1.26,                              1.26,                   -859,                410485,                 -4381,,                   -513
2511,2013年07月01日至2013年09月30日,,              2435178,,              1563086,                872092,                872092,,,                 65620,,                493919,                559539,                312553,,,                 58333,,               -501318,,                 94005,,                 33223,               -503767,               -191214,,                 -8093,               -183121,               -183121,,,,,,                439318,                256197,,               -173276,                 -9845,,                266042,                 -9845,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,                 -2287,                441605,,,
2511,2013年04月01日至2013年06月30日,,              2751187,,              1947449,                803738,                803738,,,                135169,,                616164,                751333,                 52405,,,                 34947,,                -24640,,                 91091,,                 35829,                -44955,                  7450,,                 -4307,                 11757,                 11757,,,,,,               -123292,               -111535,,                 20480,                 -8723,,               -102812,                 -8723,,                              0.02,                              0.02,,                              0.02,                              0.02,                    565,               -123857,,,
2511,2013年01月01日至2013年12月31日,,             17242007,,             12542510,              4699497,              4699497,,,                734911,,              1945043,              2679954,              2019543,,,                569194,,               -574438,,                378106,,                 94679,               -288671,              1730872,,                 95400,              1635472,              1635472,,,,,,                404732,              2040204,,              1652753,                -17281,,              2057023,                -16819,,                              1.30,                              1.30,,                              1.29,                              1.29,                   -859,                410485,                 -4381,,                   -513
