證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　　 利息收入,　　　　 利息收入合計
6213,2015年第3季,,              5021291,,              4358034,                663257,                663257,,,                151192,,                112327,,                 53098,                316617,                346640,,,                 26159,,                -23936,,                 18421,,                 -1771,                -17969,                328671,,                149075,                179596,                179596,,,                272044,                 24600,                 46248,                250396,                250396,                429992,,                179596,,                429992,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,
6213,2015年第2季,,              4344747,,              3875133,                469614,                469614,,,                150920,,                108471,,                 51342,                310733,                158881,,,                  3875,,                  5148,,                 16795,,                 -1975,                 -9747,                149134,,                 77918,                 71216,                 71216,,,                -92388,                -41875,                -15706,               -118557,               -118557,                -47341,,                 71216,,                -47341,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,
6213,2015年01月01日至2015年09月30日,,             13915876,,             12269419,              1646457,              1646457,,,                427806,,                322772,,                148743,                899321,                747136,,,                 32980,,                -36110,,                 53548,,                 -6597,                -63275,                683861,,                313549,                370312,                370312,,,                 51463,                -23531,                  8750,                 19182,                 19182,                389494,,                370312,,                389494,,                              1.18,                              1.18,,                              1.17,                              1.17,,,,,,,
6213,2015年01月01日至2015年06月30日,,              8894585,,              7911385,                983200,                983200,,,                276614,,                210445,,                 95645,                582704,                400496,,,                  6821,,                -12174,,                 35127,,                 -4826,                -45306,                355190,,                164474,                190716,                190716,,,               -220581,                -48131,                -37498,               -231214,               -231214,                -40498,,                190716,,                -40498,,                              0.60,                              0.60,,                              0.60,                              0.60,,,,,,,
6213,2015年01月01日至2015年03月31日,,              4549838,,              4036252,                513586,                513586,,,                125694,,                101974,,                 44303,                271971,                241615,,,                  2946,,                -17322,,                 18332,,                 -2851,                -35559,                206056,,                 86556,                119500,                119500,,,               -128193,                 -6256,                -21792,               -112657,               -112657,                  6843,,                119500,,                  6843,,                              0.38,                              0.38,,                              0.37,                              0.37,,,,,,,
6213,2014年第3季,,              5038361,,              4541304,                497057,                497057,,,                139312,,                123933,,                 59154,                322399,                174658,,,                 33677,,                 -4263,,                 20444,,                              0,                  8970,                183628,,                 84093,                 99535,                 99535,,,                151650,                -81935,                 25780,                 43935,                 43935,                143470,,                 99535,,                143470,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,
6213,2014年第2季,,              5081495,,              4525903,                555592,                555592,,,                134607,,                118711,,                 51389,                304707,                250885,,,                 14525,,                -12568,,                 16720,,                 -1693,                -16456,                234429,,                 97786,                136643,                136643,,,               -170275,                 26631,                -13774,               -129870,               -129870,                  6773,,                136643,,                  6773,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,
6213,2014年度,,             20145767,,             17960021,              2185746,              2185746,,,                554165,,                503176,,                215240,              1272581,                913165,,,                126575,,                -32366,,                 71025,,                 -5976,                 17208,                930373,,                400705,                529668,                529668,,,,,,,                308150,                837818,,                529668,,                837818,,                              1.62,                              1.62,,                              1.62,                              1.62,                485835,                -82976,                  3055,                 97764,,,
6213,2014年01月01日至2014年09月30日,,             15019445,,             13397160,              1622285,              1622285,,,                398198,,                398014,,                163343,                959555,                662730,,,                 72670,,                -32649,,                 51167,,                 -2487,                -13633,                649097,,                268461,                380636,                380636,,,                101660,                -85547,                 32455,                -16342,                -16342,                364294,,                380636,,                364294,,                              1.17,                              1.17,,                              1.16,                              1.16,,,,,,,
6213,2014年01月01日至2014年06月30日,,              9981084,,              8855856,              1125228,              1125228,,,                258886,,                274081,,                104189,                637156,                488072,,,                 38993,,                -28386,,                 30723,,                 -2487,                -22603,                465469,,                184368,                281101,                281101,,,                -49990,                 -3612,                  6675,                -60277,                -60277,                220824,,                281101,,                220824,,                              0.86,                              0.86,,                              0.86,                              0.86,,,,,,,
