證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 廉價購買利益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計
2723,2015年第3季,,              5485843,,              2402083,              3083760,              3083760,,,              2282589,,                268559,,                  8066,              2559214,                524546,,,                 81664,,                -62876,,                    801,,                  1855,                 19842,                544388,,                123532,                420856,                420856,,,                289585,                289585,,                -24867,                -24867,                264718,                685574,,                413814,                  7042,,                677604,                  7970,,                              2.93,                              2.93,,                              2.93,                              2.93,,,,,,,
2723,2015年第2季,,              4743880,,              1999174,              2744706,              2744706,,,              2146408,,                234456,,                  9378,              2390242,                354464,,,                 61425,,               -121069,,                   -446,,                    724,                -58474,                295990,,                102071,                193919,                193919,,,                -96697,                -96697,,                 17620,                 17620,                -79077,                114842,,                185635,                  8284,,                107014,                  7828,,                              1.32,                              1.32,,,,,,,,,,
2723,2015年01月01日至2015年09月30日,,             15005419,,              6446375,              8559044,              8559044,,,              6591077,,                747195,,                 27765,              7366037,              1193007,,,                160865,,               -253375,,                  2166,,                  6249,                -88427,              1104580,,                297670,                806910,                806910,,,                129164,                129164,,                  3368,                  3368,                132532,                939442,,                788740,                 18170,,                923326,                 16116,,                              5.59,                              5.59,,                              5.59,                              5.59,,,,,,,
2723,2015年01月01日至2015年06月30日,,              9519576,,              4044292,              5475284,              5475284,,,              4308488,,                478636,,                 19699,              4806823,                668461,,,                 79201,,               -190499,,                  1365,,                  4394,               -108269,                560192,,                174138,                386054,                386054,,,               -160421,               -160421,,                 28235,                 28235,               -132186,                253868,,                374926,                 11128,,                245722,                  8146,,                              2.66,                              2.66,,,,,,,,,,
2723,2015年01月01日至2015年03月31日,,              4775696,,              2045118,              2730578,              2730578,,,              2162080,,                244180,,                 10321,              2416581,                313997,,,                 17776,,                -69430,,                  1811,,                  3670,                -49795,                264202,,                 72067,                192135,                192135,,,                -63724,                -63724,,                 10615,                 10615,                -53109,                139026,,                189291,                  2844,,                138708,                    318,,                              1.34,                              1.34,,,,,,,,,,
2723,2014年第3季,,              4736857,,              2158222,              2578635,              2578635,,,              2173747,,                241935,,                  4819,              2420501,                158134,,,                 71714,,                 -8804,,                              0,,                -10432,                 52478,                210612,,                 78868,                131744,                131744,,,                158177,                158177,,                -40291,                -40291,                117886,                249630,,                124363,                  7381,,                244049,                  5581,,                              0.88,                              0.88,,                              0.88,                              0.88,,,,,,,
2723,2014年第2季,,              4123428,,              1790720,              2332708,              2332708,,,              2002111,,                231060,,                 12015,              2245186,                 87522,,,                 31453,,                -31894,,                              0,,                 -9614,                -10055,                 77467,,                 64476,                 12991,                 12991,,,               -116323,               -116323,,                 26144,                 26144,                -90179,                -77188,,                  8597,                  4394,,                -81197,                  4009,,                              0.06,                              0.06,,,,,,,,,,
2723,2014年度,,             17921236,,              7836415,             10084821,             10084821,,,              8265903,,                935236,,                 35868,              9237007,                847814,,,                177311,,                -90602,,,,                -21622,                 65087,                912901,,                369115,                543786,                543786,,,,,,,,                177980,                721766,,                527509,                 16277,,                705756,                 16010,,                              3.74,                              3.74,,,,                  8310,                169001,                177980,,,,
2723,2014年01月01日至2014年09月30日,,             13079073,,              5756042,              7323031,              7323031,,,              6069181,,                700791,,                 23975,              6793947,                529084,,,                140398,,                -64218,,                              0,,                -18646,                 57534,                586618,,                256122,                330496,                330496,,,                 14661,                 14661,,                  4965,                  4965,                 19626,                350122,,                315786,                 14710,,                335101,                 15021,,                              2.24,                              2.24,,                              2.24,                              2.24,,,,,,,
2723,2014年01月01日至2014年06月30日,,              8342216,,              3597820,              4744396,              4744396,,,              3895434,,                458856,,                 19156,              4373446,                370950,,,                 68684,,                -55414,,                              0,,                 -8214,                  5056,                376006,,                177254,                198752,                198752,,,               -143516,               -143516,,                 45256,                 45256,                -98260,                100492,,                191423,                  7329,,                 91052,                  9440,,                              1.36,                              1.36,,,,,,,,,,
2723,2014年01月01日至2014年03月31日,,              4218788,,              1807100,              2411688,              2411688,,,              1893323,,                227796,,                  7141,              2128260,                283428,,,                 37231,,                -23520,,                              0,,                  1400,                 15111,                298539,,                112778,                185761,                185761,,,                -27193,                -27193,,                 19112,                 19112,                 -8081,                177680,,                182826,                  2935,,                172249,                  5431,,                              1.30,                              1.30,,,,,,,,,,
2723,2013年第3季,,              4004767,,              1798446,              2206321,              2206321,,,              1755241,,                218160,,                  4159,              1977560,                228761,,,                 89029,,                -64847,,,,                 -6918,                 17264,                246025,,                 81988,                164037,                164037,,,,,,,,                -57539,                106498,,                157618,                  6419,,                101554,                  4944,,                              1.12,                              1.12,,,,,,                -57539,,,,
2723,2013年第2季,,              3592574,,              1566292,              2026282,              2026282,,,              1614225,,                178348,,                  4659,              1797232,                229050,,,                 24306,,                -28376,,,,                 -4540,                 -8610,                220440,,                 74234,                146206,                146206,,,,,,,,                 63212,                209418,,                139935,                  6271,,                207233,                  2185,,                              0.99,                              0.99,,,,,,                 63212,,,,
2723,2013年度,,             15114334,,              6719096,              8395238,              8395238,,,              6637887,,                798346,,                 17561,              7453794,                941444,,,                157970,,               -159179,,,,                -16496,                -17705,                923739,,                319391,                604348,                604348,,,,,,,,                221146,                825494,,                574032,                 30316,,                799638,                 25856,,                              4.07,                              4.07,,,,                              0,                157970,                221146,,,,
2723,2013年07月01日至2013年09月30日,,              4004767,,              1798446,              2206321,              2206321,,,              1755241,,                218160,,                  4159,              1977560,                228761,,,                 89029,,                -64847,,,,                 -6918,                 17264,                246025,,                 81988,                164037,                164037,,,,,,,,                -57539,                106498,,                157618,                  6419,,                101554,                  4944,,                              1.12,                              1.12,,,,,,                -57539,,,,
2723,2013年04月01日至2013年06月30日,,              3592574,,              1566292,              2026282,              2026282,,,              1614225,,                178348,,                  4659,              1797232,                229050,,,                 24306,,                -28376,,,,                 -4540,                 -8610,                220440,,                 74234,                146206,                146206,,,,,,,,                 63212,                209418,,                139935,                  6271,,                207233,                  2185,,                              0.99,                              0.99,,,,,,                 63212,,,,
2723,2013年01月01日至2013年12月31日,,             15114334,,              6719096,              8395238,              8395238,,,              6637887,,                798346,,                 17561,              7453794,                941444,,,                157970,,               -159179,,,,                -16496,                -17705,                923739,,                319391,                604348,                604348,,,,,,,,                221146,                825494,,                574032,                 30316,,                799638,                 25856,,                              4.07,                              4.07,,                              4.07,                              4.07,,,                221146,,,,
2723,2013年01月01日至2013年09月30日,,             11182073,,              4937902,              6244171,              6244171,,,              4901939,,                578568,,                 12672,              5493179,                750992,,,                138631,,               -104713,,,,                -17956,                 15962,                766954,,                267320,                499634,                499634,,,,,,,,                144899,                644533,,                482410,                 17224,,                630977,                 13556,,                              3.42,                              3.42,,,,,,                144899,,,,
2723,2013年01月01日至2013年06月30日,,              7177306,,              3139456,              4037850,              4037850,,,              3146698,,                360408,,                  8513,              3515619,                522231,,,                 49602,,                -39866,,,,                -11038,                 -1302,                520929,,                185332,                335597,                335597,,,,,,,,                202438,                538035,,                324792,                 10805,,                529423,                  8612,,                              2.30,                              2.30,,,,,,                202438,,,,
