證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 繼續營業單位淨利（淨損）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 投資收入,　　　　 投資收入合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2201,2015年第3季,,,             24825172,,                 38664,,              1718444,,                776318,,              2269394,             29627992,,,             22600086,,                  5960,,              1525659,,                584040,                323765,             25039510,              4588482,                  1159,                              0,              4587323,,,              2243313,,              2051600,,                 68359,              4363272,                224051,,,,                 26188,                205197,                231385,,                 79649,,                114887,,                357772,                553919,                777970,,                166148,                611822,                611822,,,                    273,,                    -92,                    181,,                396804,               -181389,                   -800,,                491871,                706486,                706667,              1318489,,                777446,               -165624,,              1297956,                 20533,,                              0.53,,,,,,,,,,,,
2201,2015年第2季,,,             23914649,,                 23926,,              1922196,,                559533,,              2016697,             28437001,,,             20589906,,                 38778,,              1513793,,                437734,              1236789,             23817000,              4620001,,                -10668,              4609333,,,              2455980,,              1889356,,                 64734,              4410070,                199263,,,,,,                 64995,,                 42518,,                 32517,,                898365,                973361,              1172624,,                393491,                779133,                779133,,,                   -344,,                    -95,                   -439,,               -178002,                  1489,                    158,,               -140594,               -316949,               -317388,                461745,,                647189,                131944,,                401751,                 59994,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,,
2201,2015年01月01日至2015年09月30日,,,             75979092,,                191865,,              5482333,,              1951423,,              6124893,             89729606,,,             66969844,,                 55175,,              4527623,,              1351130,              2819705,             75723477,             14006129,                 11353,                              0,             13994776,,,              6813791,,              5786329,,                220789,             12820909,              1173867,,,,                168674,                499617,                668291,,                  6649,,                315705,,              2020708,              2379943,              3553810,,                845764,              2708046,              2708046,,,                 15387,,                 -8201,                  7186,,                 11677,               -293512,                   -965,,                215658,                -67142,                -59956,              2648090,,              2298375,                409671,,              2243944,                404146,,                              1.57,,,,,,,,,,,,
2201,2015年01月01日至2015年06月30日,,,             51153920,,                153201,,              3763889,,              1175105,,              3855499,             60101614,,,             44369758,,                 49215,,              3001964,,                767090,              2495940,             50683967,              9417647,,                -10194,              9407453,,,              4570478,,              3734729,,                152430,              8457637,                949816,,,,,,                294420,,                -73000,,                 58332,,              1662936,              1826024,              2775840,,                679616,              2096224,              2096224,,,                 15114,,                 -8109,                  7005,,               -385127,               -112123,                   -165,,               -276213,               -773628,               -766623,              1329601,,              1520929,                575295,,                945988,                383613,,                              1.04,                              1.04,,                              1.04,                              1.04,,,,,,,,
2201,2015年01月01日至2015年03月31日,,,             27239271,,                129275,,              1841693,,                615572,,              1838802,             31664613,,,             23779852,,                 10437,,              1488171,,                329356,              1259151,             26866967,              4797646,,                    474,              4798120,,,              2114498,,              1845373,,                 87696,              4047567,                750553,,,,,,                229425,,               -115518,,                 25815,,                764571,                852663,              1603216,,                286125,              1317091,              1317091,,,                 15458,,                 -8014,                  7444,,               -207125,               -113612,                   -323,,               -135619,               -456679,               -449235,                867856,,                873740,                443351,,                544237,                323619,,                              0.60,                              0.60,,                              0.60,                              0.60,,                129275,,,,,,
2201,2014年第3季,,,             28896688,,                 23505,,              1918394,,                591271,,              1628109,             33057967,,,             24793194,,                 17648,,              1511701,,                382613,                608885,             27314041,              5743926,                  3286,                              0,              5740640,,,              2651422,,              1988179,,                119593,              4759194,                981446,,,,                 76295,                206209,                282504,,               -105952,,                 96504,,                702509,                782557,              1764003,,                246687,              1517316,              1517316,,,                              0,,                   -228,                   -228,,                209442,                 -7142,                     12,,                270503,                472815,                472587,              1989903,,              1172649,                344667,,              1574692,                415211,,                              0.80,,,,,,,,,,,,
2201,2014年第2季,,,             24221005,,                 44418,,              1861884,,                551014,,              1746195,             28424516,,,             21872569,,                 39407,,              1486210,,                313625,                723052,             24434863,              3989653,,                   -216,              3989437,,,              1825278,,              1834041,,                 99427,              3758746,                230691,,,,,,                148498,,                -38125,,                 65878,,                502030,                546525,                777216,,                236026,                541190,                541190,,,                              0,,                   -397,                   -397,,               -120427,               -119828,                     -5,,               -259786,               -500046,               -500443,                 40747,,                564835,                -23645,,                110828,                -70081,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,
2201,2014年度,,,            103876276,,,,              7459189,,              2649670,,              6625381,            120610516,,,             91955662,,,,              6032091,,              1618501,              3652284,            103258538,             17351978,,                    744,             17352722,,,              8710388,,              7879850,,                354114,             16944352,                408370,,,,,,                649201,,               -389502,,                137164,,              3079895,              3202430,              3610800,,                801394,              2809406,              2809406,,,,,,,,,,,,,,              1530098,              4339504,,              2210346,                599060,,              3565907,                773597,,                              1.51,                              1.51,,                              1.51,                              1.51,,,                754481,                -24878,                 -1125,               -111731,,                913351
2201,2014年01月01日至2014年09月30日,,,             75502406,,                122963,,              5650027,,              1669385,,              4662596,             87607377,,,             66272751,,                 78755,,              4473979,,              1007967,              1854914,             73688366,             13919011,                  4225,                              0,             13914786,,,              6314751,,              5522928,,                302017,             12139696,              1775090,,,,                175623,                508173,                683796,,               -228459,,                301406,,              1783783,              1937714,              3712804,,                705075,              3007729,              3007729,,,                              0,,                   -606,                   -606,,                164787,                -25008,                     16,,                172796,                312591,                311985,              3319714,,              2535337,                472392,,              2827665,                492049,,                              1.73,,,,,,,,,,,,
2201,2014年01月01日至2014年06月30日,,,             46605718,,                 99458,,              3731633,,              1078114,,              3034487,             54549410,,,             41479557,,                 61107,,              2962278,,                625354,              1246029,             46374325,              8175085,,                   -939,              8174146,,,              3663329,,              3534749,,                182424,              7380502,                793644,,,,,,                301964,,               -122507,,                105574,,              1081274,              1155157,              1948801,,                458388,              1490413,              1490413,,,                              0,,                   -378,                   -378,,                -44655,                -17866,                      4,,                -97707,               -160224,               -160602,              1329811,,              1362690,                127723,,              1252973,                 76838,,                              0.93,                              0.93,,                              0.93,                              0.93,,,,,,,,
