證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計
3022,2015年第3季,,,,              1592370,                  7357,              1585013,              1585013,,,                994549,                994549,                590464,                     49,                590513,,,                 87857,,                 99998,,                114409,                302264,                288249,,,,                 35993,                 37285,                 73278,,                    114,                 89150,                -86291,                -78129,                    144,                -75300,,                 28251,,                 81461,                 51188,                339437,,                 50547,                288890,                288890,,,                122005,                 -2950,,                -10792,                108263,                108263,                397153,,                288890,                              0,,                397153,                              0,,                              0.88,,                              0.87,,,,,,,,,,
3022,2015年第2季,,,,              2008727,                  4394,              2004333,              2004333,,,              1329238,              1329238,                675095,                     18,                675113,,,                 98891,,                102667,,                107270,                308828,                366285,,,,                 31252,                 26703,                 57955,,                    219,                 10867,                -13984,                 23695,                  2319,                 18478,,                 29544,,                 51867,                 98756,                465041,,                140321,                324720,                324720,,,                -41363,                 -6186,,                 -2327,                -49876,                -49876,                274844,,                324720,                              0,,                274844,                              0,,                              0.99,,                              0.98,                              0,,,,,,,,,
3022,2015年01月01日至2015年09月30日,,,,              5302753,                 24015,              5278738,              5278738,,,              3478514,              3478514,              1800224,                   -114,              1800110,,,                285870,,                295822,,                334847,                916539,                883571,,,,                128052,                110430,                238482,,                 -2112,                111487,               -107156,                -44115,                  2828,                -44724,,                 82946,,                219643,                330455,              1214026,,                265555,                948471,                948471,,,                 22318,                -11787,,                -14003,                 -3472,                 -3472,                944999,,                948471,                              0,,                944999,                              0,,                              2.89,,                              2.84,,,,,,,,,,
3022,2015年01月01日至2015年06月30日,,,,              3710383,                 16658,              3693725,              3693725,,,              2483965,              2483965,              1209760,                              0,              1209597,,,                198013,,                195824,,                220438,                614275,                595322,,,,                 92059,                 73145,                165204,,                 -2226,                 22337,                -20865,                 34014,                  2684,                 30576,,                 54695,,                138182,                279267,                874589,,                215008,                659581,                659581,,,                -99687,                 -8837,,                 -3211,               -111735,               -111735,                547846,,                659581,                              0,,                547846,                              0,,                              2.01,,                              1.98,                    163,,,,,,,,,
3022,2015年01月01日至2015年03月31日,,,,              1701656,                 12264,              1689392,              1689392,,,              1154727,              1154727,                534665,                   -181,                534484,,,                 99122,,                 93157,,                113168,                305447,                229037,,,,                 60807,                 46442,                107249,,                 -2445,                 11470,                 -6881,                 10319,                    365,                 12098,,                 25151,,                 86315,                180511,                409548,,                 74687,                334861,                334861,,,                -58324,                 -2651,,                   -884,                -61859,                -61859,                273002,,                334861,                              0,,                273002,                              0,,                              1.02,,                              1.01,,,,,,,,,,
3022,2014年第3季,,,,              1936331,                  6331,              1930000,              1930000,,,              1346461,              1346461,                583539,                   -139,                583400,,,                110680,,                114826,,                133099,                358605,                224795,,,,                 27845,                 21182,                 49027,,                    630,                 16692,                 39925,                 28521,                    908,                 84860,,                 39945,,                125933,                219875,                444670,,                 71054,                373616,                373616,,,                 65323,                 -8936,,                 10183,                 66570,                 66570,                440186,,                373616,                              0,,                440186,                              0,,                              1.14,,                              1.13,,,,,,,,,,
3022,2014年第2季,,,,              1688555,                  7819,              1680736,              1680736,,,              1131734,              1131734,                549002,                    181,                549183,,,                108905,,                 99607,,                126301,                334813,                214370,,,,                 68320,                 13522,                 81842,,                 -5114,                 65612,                 -9634,                -25572,                    263,                 25029,,                 52067,,                112619,                167423,                381793,,                 64104,                317689,                317689,,,                -67886,                   -155,,                  7617,                -60424,                -60424,                257265,,                317689,                              0,,                257265,                              0,,                              0.97,,                              0.96,                              0,,,,,,,,,
3022,2014年度,,,,              6397847,                 26431,              6371416,              6371416,,,              4348126,              4348126,              2023290,                    100,              2023390,,,                402086,,                422984,,                513283,              1338353,                685037,,,,                219116,                190762,                409878,,                122183,                123602,                102679,                 33651,                 10528,                371587,,                148960,,                452137,              1084642,              1769679,,                288922,              1480757,              1480757,,,,,,,,                238822,              1719579,,              1480757,                              0,,              1719579,                              0,,                              4.51,,                              4.45,,                216567,                    738,                 -4947,,                 25623,                   -841,,,
3022,2014年01月01日至2014年09月30日,,,,              4886642,                 22049,              4864593,              4864593,,,              3331979,              3331979,              1532614,                      1,              1532615,,,                318011,,                319115,,                378645,              1015771,                516844,,,,                138454,                 59093,                197547,,                121867,                105288,                 36064,                 19480,                 10872,                271827,,                111120,,                364125,                722379,              1239223,,                175918,              1063305,              1063305,,,                 43451,                  1350,,                 21442,                 66243,                 66243,              1129548,,              1063305,                              0,,              1129548,                              0,,                              3.24,,                              3.20,,,,,,,,,,
3022,2014年01月01日至2014年06月30日,,,,              2950311,                 15718,              2934593,              2934593,,,              1985518,              1985518,                949075,                    140,                949215,,,                207331,,                204289,,                245546,                657166,                292049,,,,                110609,                 37911,                148520,,                121237,                 88596,                 -3861,                 -9041,                  9964,                186967,,                 71175,,                238192,                502504,                794553,,                104864,                689689,                689689,,,                -21872,                 10286,,                 11259,                   -327,                   -327,                689362,,                689689,                              0,,                689362,                              0,,                              2.10,,                              2.07,                              0,,,,,,,,,
