證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 利息費用
2383,2015年第3季,,,              6008531,              6008531,,,              4460236,              4460236,              1548295,              1548295,,,                347961,,                124925,,                 47015,                519901,              1028394,,,                  1783,,                 29571,,                  6721,                 24633,              1053027,,                282148,                770879,                770879,,,                337372,                 57285,                280087,                280087,              1050966,,                769960,                    919,,              1049643,                  1323,,                              2.43,,                              2.41,,,,,,,,,,,,,,,,,,,,
2383,2015年第2季,,,,              4873024,,,,              3723532,              1149492,              1149492,,,                261452,,                110393,,                 49743,                421588,                727904,,,                  1616,,                 11275,,                 10843,                  2048,                729952,,                250461,                479491,                479491,,,               -104768,                -17790,                -86978,                -86978,                392513,,                478818,                    673,,                391965,                    548,,                              1.51,,                              1.50,,,,,,,,,,,,,,,,,,,,
2383,2015年01月01日至2015年09月30日,,,             15844159,             15844159,,,             12014232,             12014232,              3829927,              3829927,,,                870599,,                328031,,                137756,              1336386,              2493541,,,                  4982,,                 47589,,                 27726,                 24845,              2518386,,                724184,              1794202,              1794202,,,                158857,                 27123,                131734,                131734,              1925936,,              1791975,                  2227,,              1924399,                  1537,,                              5.66,,                              5.61,,,,,,,,,,,,,,,,,,,,
2383,2015年01月01日至2015年06月30日,,,,              9835628,,,,              7553996,              2281632,              2281632,,,                522638,,                203106,,                 90741,                816485,              1465147,,,                  3199,,                 18018,,                 21005,                    212,              1465359,,                442036,              1023323,              1023323,,,               -178515,                -30162,               -148353,               -148353,                874970,,              1022015,                  1308,,                874756,                    214,,                              3.23,,                              3.20,,,,,,,,,,,,,,,,,,,,
2383,2015年01月01日至2015年03月31日,,,,              4962604,,,,              3830464,              1132140,              1132140,,,                261186,,                 92713,,                 40998,                394897,                737243,,,                  1583,,                  6743,,                 10162,                 -1836,                735407,,                191575,                543832,                543832,,,                -73747,                -12372,                -61375,                -61375,                482457,,                543197,                    635,,                482791,                   -334,,                              1.72,,                              1.70,                191575,,,,,,,,,,,,,,,,,,,
2383,2014年第3季,,,              5095442,              5095442,,,              4124858,              4124858,                970584,                970584,,,                292018,,                 94112,,                 38469,                424599,                545985,,,                    960,,                  1300,,                 10766,                 -8506,                537479,,                 81033,                456446,                456446,,,                164709,                 27921,                136788,                136788,                593234,,                455557,                    889,,                591873,                  1361,,                              1.46,,                              1.43,,,,,,,,,,,,,,,,,,,,
2383,2014年第2季,,,,              4358726,,,,              3616033,                742693,                742693,,,                237208,,                 86864,,                 36362,                360434,                382259,,,                  1038,,                 -1054,,                 10615,                -10631,                371628,,                 74023,                297605,                297605,,,               -114407,                -19394,                -95013,                -95013,                202592,,                296905,                    700,,                202217,                    375,,                              0.95,,                              0.94,,,,,,,,,,,,,,,,,,,,
2383,2014年度,,,,             18884745,,,,             15454173,              3430572,              3430572,,,              1054894,,                376278,,                167009,              1598181,              1832391,,,                  4267,,                 48660,,                 47067,                  5860,              1838251,,                296618,              1541633,              1541633,,,,,,                227042,              1768675,,              1538696,                  2937,,              1765330,                  3345,,                              4.91,,                              4.84,,                256855,                  4958,                 34771,,,,,,,,,,,,,,,,
2383,2014年01月01日至2014年09月30日,,,             13643763,             13643763,,,             11268457,             11268457,              2375306,              2375306,,,                755146,,                267580,,                123429,              1146155,              1229151,,,                  2736,,                  5518,,                 35048,                -26794,              1202357,,                198971,              1003386,              1003386,,,                 27425,                  4651,                 22774,                 22774,              1026160,,              1001210,                  2176,,              1023913,                  2247,,                              3.20,,                              3.15,,,,,,,,,,,,,,,,,,,,
2383,2014年01月01日至2014年06月30日,,,,              8548321,,,,              7143599,              1404722,              1404722,,,                463128,,                173468,,                 84960,                721556,                683166,,,                  1776,,                  4218,,                 24282,                -18288,                664878,,                117938,                546940,                546940,,,               -137284,                -23270,               -114014,               -114014,                432926,,                545653,                  1287,,                432040,                    886,,                              1.75,,                              1.72,,,,,,,,,,,,,,,,,,,,
