證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本
3583,2015年第3季,,,                765000,,                 31179,,                    781,                796960,,                599375,                197585,                197585,,,                114823,,                 32835,,                 49207,                196865,                    720,,,                    892,,                 13773,,                              0,,                  2989,,                   -754,                 10922,                 11642,,                  7779,                  3863,                  3863,,,                 16628,,                              0,                  2826,                 13802,                 13802,                 17665,,                  3863,                              0,                              0,,                 17665,                              0,                              0,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,
3583,2015年第2季,,,                637272,,                 21222,,                  1386,                659880,,                449041,                210839,                210839,,,                 98594,,                 35045,,                 47390,                181029,                 29810,,,                  1886,,                 -7616,,                    179,,                  3213,,                              0,                 -8764,                 21046,,                 21765,                   -719,                   -719,,,                 -4404,,                              0,                   -748,                 -3656,                 -3656,                 -4375,,                   -719,                              0,                              0,,                 -4375,                              0,                              0,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
3583,2015年01月01日至2015年09月30日,,,              2055362,,                 69783,,                  2678,              2127823,,              1518187,                609636,                609636,,,                314760,,                105909,,                146924,                567593,                 42043,,,                  2469,,                   -600,,                 14939,,                  8304,,                   -754,                  7750,                 49793,,                 36267,                 13526,                 13526,,,                  8391,,                              0,                  1426,                  6965,                  6965,                 20491,,                 13526,                              0,                              0,,                 20491,                              0,                              0,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,,,
3583,2015年01月01日至2015年06月30日,,,              1290362,,                 38604,,                  1897,              1330863,,                918812,                412051,                412051,,,                199937,,                 73074,,                 97717,                370728,                 41323,,,                  2550,,                -15346,,                 14939,,                  5315,,                              0,                 -3172,                 38151,,                 28488,                  9663,                  9663,,,                 -8237,,                              0,                 -1400,                 -6837,                 -6837,                  2826,,                  9663,                              0,                              0,,                  2826,                              0,                              0,,                              0.12,                              0.12,,                              0.12,                              0.12,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
3583,2015年01月01日至2015年03月31日,,,                653090,,                 17382,,                    511,                670983,,                469771,                201212,                201212,,,                101343,,                 38029,,                 50327,                189699,                 11513,,,                    664,,                 -7730,,                 14760,,                  2102,,                              0,                  5592,                 17105,,                  6723,                 10382,                 10382,,,                 -3833,,                              0,                   -652,                 -3181,                 -3181,                  7201,,                 10382,,,,                  7201,,,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,,,,,,,,
3583,2014年第3季,,,                636471,,                 40075,,                  4358,                680904,,                397936,                282968,                282968,,,                 97457,,                 42112,,                 43566,                183135,                 99833,,,                    667,,                 -2542,,                    269,,                  2605,,                 -1162,                 -5373,                 94460,,                 16547,                 77913,                 77913,,,                  2128,,                    577,                    460,                  2245,                  2245,                 80158,,                 77913,                              0,                              0,,                 80158,                              0,                              0,,                              0.96,                              0.96,,                              0.96,                              0.96,,,,,,,,,,,,,,,
3583,2014年第2季,,,                639390,,                  9064,,                  1510,                649964,,                448124,                201840,                201840,,,                 80874,,                 37532,,                 38256,                156662,                 45178,,,                  6299,,                 -4183,,                    -38,,                  2467,,                   -860,                 -1249,                 43929,,                 11453,                 32476,                 32476,,,                 -3128,,                    -37,                   -307,                 -2858,                 -2858,                 29618,,                 32476,                              0,                              0,,                 29618,                              0,                              0,,                              0.40,                              0.40,,                              0.40,                              0.40,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
3583,2014年度,,,              2618004,,                 90402,,                  8252,              2716658,,              1746634,                970024,                970024,,,                351014,,                162395,,                159933,                673342,                296682,,,                 16714,,                 17670,,,,                 10671,,                 -3287,                 20426,                317108,,                 70831,                246277,                246277,,,,,,,,                 15880,                262157,,                246277,,,,                262157,,,,                              3.04,                              3.04,,                              3.03,                              3.03,,,,,,                 16714,                 16638,                  3307,                 -4065,,,,,,
3583,2014年01月01日至2014年09月30日,,,              1812617,,                 59092,,                  6789,              1878498,,              1230804,                647694,                647694,,,                261813,,                119933,,                117768,                499514,                148180,,,                 12243,,                  1568,,                    523,,                  7579,,                 -3276,                  3479,                151659,,                 35742,                115917,                115917,,,                  2209,,                    651,                  1684,                  1176,                  1176,                117093,,                115917,                              0,                              0,,                117093,                              0,                              0,,                              1.43,                              1.43,,                              1.43,                              1.43,,,,,,,,,,,,,,,
3583,2014年01月01日至2014年06月30日,,,              1176146,,                 19017,,                  2431,              1197594,,                832868,                364726,                364726,,,                164356,,                 77821,,                 74202,                316379,                 48347,,,                 11576,,                  4110,,                    254,,                  4974,,                 -2114,                  8852,                 57199,,                 19195,                 38004,                 38004,,,                     81,,                     74,                  1224,                 -1069,                 -1069,                 36935,,                 38004,                              0,                              0,,                 36935,                              0,                              0,,                              0.47,                              0.47,,                              0.47,                              0.47,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
