證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1309,2015年第3季,,,              4090059,              4090059,,,              4102277,              4102277,                -12218,                -12218,,,                101240,,                 53306,,                  4202,                158748,               -170966,,,                 41312,,                -39451,,                 18275,                 18275,,                 -4449,                -20863,               -191829,,                -10504,               -181325,               -181325,,,                  3436,                 13470,,                  3374,                    584,                 19696,                 19696,               -161629,,               -181325,,               -161629,,                             -0.55,,                             -0.55,,,,,,,,
1309,2015年第2季,,,              5026391,              5026391,,,              4617025,              4617025,                409366,                409366,,,                125399,,                 52035,,                  5207,                182641,                226725,,,                 33315,,                -16014,,                 17036,                 17036,,                  3347,                  3612,                230337,,                 40143,                190194,                190194,,,                -11079,                -52805,,                 -7516,                 -1884,                -69516,                -69516,                120678,,                190194,,                120678,,                              0.58,,                              0.58,                              0,                              0,,,,,,
1309,2015年01月01日至2015年09月30日,,,             13191550,             13191550,,,             12518300,             12518300,                673250,                673250,,,                364667,,                153506,,                 14385,                532558,                140692,,,                 97007,,                -68056,,                 55565,                 55565,,                 -1856,                -28470,                112222,,                 21155,                 91067,                 91067,,,                -33189,                -58615,,                -10860,                 -5642,                -97022,                -97022,                 -5955,,                 91067,,                 -5955,,                              0.28,,                              0.28,,,,,,,,
1309,2015年01月01日至2015年06月30日,,,              9101491,              9101491,,,              8416023,              8416023,                685468,                685468,,,                263427,,                100200,,                 10183,                373810,                311658,,,                 55695,,                -28605,,                 37290,                 37290,,                  2593,                 -7607,                304051,,                 31659,                272392,                272392,,,                -36625,                -72085,,                -14234,                 -6226,               -116718,               -116718,                155674,,                272392,,                155674,,                              0.83,,                              0.83,                              0,                              0,,,,,,
1309,2015年01月01日至2015年03月31日,,,              4075100,              4075100,,,              3798998,              3798998,                276102,                276102,,,                138028,,                 48165,,                  4976,                191169,                 84933,,,                 22380,,                -12591,,                 20254,                 20254,,                   -754,                -11219,                 73714,,                 -8484,                 82198,                 82198,,,                -25546,                -19280,,                 -6718,                 -4342,                -47202,                -47202,                 34996,,                 82198,,                 34996,,                              0.25,,                              0.25,,,,,,,,
1309,2014年第3季,,,              5827497,              5827497,,,              5779254,              5779254,                 48243,                 48243,,,                130733,,                 50587,,                  4979,                186299,               -138056,,,                 19952,,                 23509,,                 28438,                 28438,,                  2740,                 17763,               -120293,,                 -8395,               -111898,               -111898,,,                 28145,                -59861,,                -10025,                  4784,                -46525,                -46525,               -158423,,               -111898,,               -158423,,                             -0.34,,                             -0.34,,,,,,,,
1309,2014年第2季,,,              5721611,              5721611,,,              5596495,              5596495,                125116,                125116,,,                127747,,                 47970,,                  4629,                180346,                -55230,,,                 29786,,                -27291,,                 28130,                 28130,,                  1978,                -23657,                -78887,,                    951,                -79838,                -79838,,,                -32547,                 -9151,,                  2130,                 -5533,                -34035,                -34035,               -113873,,                -79838,,               -113873,,                             -0.24,,                             -0.24,                              0,                              0,,,,,,
1309,2014年度,,,             20933816,             20933816,,,             20855152,             20855152,                 78664,                 78664,,,                516681,,                190447,,                 19483,                726611,               -647947,,,                 92806,,                 16229,,                103036,                103036,,                  3738,                  9737,               -638210,,                 -7024,               -631186,               -631186,,,,,,,,,                  9577,               -621609,,               -631186,,               -621609,,                             -1.93,,                             -1.93,,,                 81014,                -46671,                 -8119,,                 -4255,                 12392
1309,2014年01月01日至2014年09月30日,,,             15912612,             15912612,,,             15745348,             15745348,                167264,                167264,,,                374963,,                144312,,                 14577,                533852,               -366588,,,                 65716,,                -46870,,                 77927,                 77927,,                  6143,                -52938,               -419526,,                -14930,               -404596,               -404596,,,                 14050,                -83535,,                -13173,                  2388,                -85046,                -85046,               -489642,,               -404596,,               -489642,,                             -1.23,,                             -1.23,,,,,,,,
1309,2014年01月01日至2014年06月30日,,,             10085115,             10085115,,,              9966094,              9966094,                119021,                119021,,,                244230,,                 93725,,                  9598,                347553,               -228532,,,                 45764,,                -70379,,                 49489,                 49489,,                  3403,                -70701,               -299233,,                 -6535,               -292698,               -292698,,,                -14095,                -23674,,                 -3148,                 -2396,                -38521,                -38521,               -331219,,               -292698,,               -331219,,                             -0.89,,                             -0.89,                              0,                              0,,,,,,
