證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　 停業單位損益,　　 停業單位損益合計
1468,2014年01月01日至2014年03月31日,,,                207446,                207446,,,                191140,                191140,                 16306,                 16306,,,                 15100,,                 28988,,                    656,                 44744,                -28438,,,                    460,                    460,,                 12434,,                  5939,,                   -218,                  6737,                -21701,,                              0,                -21701,                -21701,,,                  3468,,                              0,                    491,                  2977,                  2977,                -18724,,                -17445,                 -4256,,                -15048,                 -3676,,                             -1.10,                             -1.10,,                             -1.10,                             -1.10,,,,,,,
1468,2013年第3季,,,                172688,                172688,,,                147358,                147358,                 25330,                 25330,,,                 13313,,                 44871,,                    658,                 58842,                -33512,,,                    866,                    866,,                 -3059,,                  8296,,                     11,                -10478,                -43990,,,                -43990,                -43990,,,,,,,,                 -1832,                -45822,,                -43380,                   -610,,                -44854,                   -968,,                             -0.27,                             -0.27,,,,                 -2139,,,                              0,                    307,,
1468,2013年第2季,,,                252635,                252635,,,                210678,                210678,                 41957,                 41957,,,                 13718,,                 26132,,                  1847,                 41697,                    260,,,                    263,                    263,,                  7852,,                  7884,,                              0,                    231,                    491,,                              0,                    491,                    491,,,,,,,,                  4561,                  5052,,                    185,                    306,,                  3856,                  1196,,                              0.00,                              0.00,,,,                  5313,,,,                   -752,,                              0
1468,2013年度,,,                766219,                766219,,,                655680,                655680,                110539,                110539,,,                 46549,,                106652,,                  6763,                159964,                -49425,,,                    917,                    917,,                 29517,,                 29721,,                   -376,                    337,                -49088,,                              0,                -49088,                -49088,,,,,,,,                 13416,                -35672,,                -47741,                 -1347,,                -36813,                  1141,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,                 14861,                    720,,                     61,                 -2226,,
1468,2013年07月01日至2013年09月30日,,,                172688,                172688,,,                147358,                147358,                 25330,                 25330,,,                 13313,,                 44871,,                    658,                 58842,                -33512,,,                    866,                    866,,                 -3059,,                  8296,,                     11,                -10478,                -43990,,                              0,                -43990,                -43990,,,,,,,,                 -1832,                -45822,,                -43380,                   -610,,                -44854,                   -968,,                             -0.27,                             -0.27,,,,                 -2139,,,,                    307,,
1468,2013年04月01日至2013年06月30日,,,                252635,                252635,,,                210678,                210678,                 41957,                 41957,,,                 13718,,                 26132,,                  1847,                 41697,                    260,,,                    263,                    263,,                  7852,,                  7884,,                              0,                    231,                    491,,                              0,                    491,                    491,,,,,,,,                  4561,                  5052,,                    185,                    306,,                  3856,                  1196,,,                              0.00,,,,                  5313,,,,                   -752,,
1468,2013年01月01日至2013年12月31日,,,                766219,                766219,,,                655680,                655680,                110539,                110539,,,                 46549,,                106652,,                  6763,                159964,                -49425,,,                    917,                    917,,                 29517,,                 29721,,                   -376,                    337,                -49088,,                              0,                -49088,                -49088,,,,,,,,                 13416,                -35672,,                -47741,                 -1347,,                -36813,                  1141,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,                 14861,                    720,,                     61,                 -2226,,
1468,2013年01月01日至2013年09月30日,,,                628598,                628598,,,                555816,                555816,                 72782,                 72782,,,                 36329,,                 96833,,                  5948,                139110,                -66328,,,                  1405,                  1405,,                 22248,,                 23139,,                     37,                    551,                -65777,,,                -65777,                -65777,,,,,,,,                  9011,                -56766,,                -60585,                 -5192,,                -53331,                 -3435,,                             -0.38,                             -0.38,,,,                 10492,,,                              0,                 -1481,,
1468,2013年01月01日至2013年06月30日,,,                455910,                455910,,,                408458,                408458,                 47452,                 47452,,,                 23016,,                 51962,,                  5290,                 80268,                -32816,,,                    539,                    539,,                 25307,,                 14843,,                     26,                 11029,                -21787,,                              0,                -21787,                -21787,,,,,,,,                 10843,                -10944,,                -17205,                 -4582,,                 -8477,                 -2467,,                              0.11,                              0.11,,,,                 12631,,,,                 -1788,,                              0
1468,2013年01月01日至2013年03月31日,,,                203275,                203275,,,                197780,                197780,                  5495,                  5495,,,                  9298,,                 25830,,                  3443,                 38571,                -33076,,,                    276,                    276,,                 17455,,                  6959,,                     26,                 10798,                -22278,,                              0,                -22278,                -22278,,,,,,,,                  6282,                -15996,,                -17390,                 -4888,,                -12333,                 -3663,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,                  7318,,,,                 -1036,,
1468,2012年07月01日至2012年09月30日,,,                146456,                146456,,,                158884,                158884,                -12428,                -12428,,,                  9351,,                 39169,,                  6976,                 55496,                -67924,,,                    364,                    364,,                 -7310,,                  8279,,                     27,                -15198,                -83122,,                     74,                -83196,                -83196,,,,,,,,                 -5641,                -88837,,                -76888,                 -6308,,                -81429,                 -7408,,                             -0.48,                             -0.48,,,,                 -6571,,,,                    930,,
1468,2012年04月01日至2012年06月30日,,,                232163,                232163,,,                259026,                259026,                -26863,                -26863,,,                  9842,,                 19704,,                  6379,                 35925,                -62788,,,                    311,                    311,,                 11038,,                  6874,,                     50,                  4525,                -58263,,                    113,                -58376,                -58376,,,,,,,,                  1471,                -56905,,                -53935,                 -4441,,                -51902,                 -5003,,,                             -0.33,,,,                  1888,,,,                   -417,,
1468,2012年01月01日至2012年12月31日,,,                806181,                806181,,,                889124,                889124,                -82943,                -82943,,,                 40571,,                 88271,,                 26057,                154899,               -237842,,,                  1166,                  1166,,                 -2319,,                 30014,,                     93,                -31074,               -268916,,                  1013,               -269929,               -269929,,,,,,,,                -15236,               -285165,,               -248923,                -21006,,               -261919,                -23246,,                             -1.55,                             -1.55,,                             -1.55,                             -1.55,                -13384,                 -4513,,                              0,                  2661,,
1468,2012年01月01日至2012年09月30日,,,                661292,                661292,,,                703409,                703409,                -42117,                -42117,,,                 33375,,                 83885,,                 20685,                137945,               -180062,,,                    880,                    880,,                 -3636,,                 21884,,                    127,                -24513,               -204575,,                    145,               -204720,               -204720,,,,,,,,                -11540,               -216260,,               -188241,                -16479,,               -197531,                -18729,,                             -1.17,                             -1.17,,,,                -13442,,,,                  1902,,
1468,2012年01月01日至2012年06月30日,,,                514836,                514836,,,                544525,                544525,                -29689,                -29689,,,                 24024,,                 44716,,                 13709,                 82449,               -112138,,,                    516,                    516,,                  3674,,                 13605,,                    100,                 -9315,               -121453,,                     71,               -121524,               -121524,,,,,,,,                 -5899,               -127423,,               -111353,                -10171,,               -116102,                -11321,,,                             -0.69,,,,                 -6871,,,,                    972,,
1468,2012年01月01日至2012年03月31日,,,                282673,                282673,,,                285499,                285499,                 -2826,                 -2826,,,                 14182,,                 25012,,                  7330,                 46524,                -49350,,,                    205,                    205,,                 -7364,,                  6731,,                     50,                -13840,                -63190,,                    -42,                -63148,                -63148,,,,,,,,                 -7370,                -70518,,                -57418,                 -5730,,                -64200,                 -6318,,,                             -0.36,,,,                 -8759,,,,                  1389,,
