證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 租賃收入,　　　 租賃收入合計
3519,2015年第3季,,,,              3836641,                 39170,              3797471,              3797471,,              3854834,                -57363,                -57363,,,                 34954,,                121882,,                 25562,                182398,               -239761,,,                 19338,,               -264703,,                 66216,,                 -9595,               -321176,               -560937,,                  6173,               -567110,               -567110,,,                 72017,                -28375,,                 12753,                 11989,                 44406,                 44406,               -522704,,               -567010,                              0,                   -100,,               -536842,                              0,                 14138,,                             -1.37,,,,,,,,,,,,
3519,2015年第2季,,,,              3448773,                 45254,              3403519,              3403519,,              3819216,               -415697,               -415697,,,                 22023,,                108133,,                 29557,                159713,               -575410,,,                 10552,,                 74592,,                 63276,,                  6602,                 28470,               -546940,,                  5297,               -552237,               -552237,,,                -28926,                -26483,,,                 -3944,                -51465,                -51465,               -603702,,               -525946,,                -26291,,               -571692,,                -32010,,                             -1.34,,,,,,,,,,,,
3519,2015年01月01日至2015年09月30日,,,,             11316517,                 86646,             11229871,             11229871,,             11968926,               -739055,               -739055,,,                 79379,,                343906,,                 82161,                505446,             -1244501,,,                 60619,,               -125268,,                205714,,                 -6204,               -276567,             -1521068,,                 13230,             -1534298,             -1534298,,,                 -2564,                -46345,,                 12753,                  1818,                -37974,                -37974,             -1572272,,             -1475575,                              0,                -58723,,             -1513042,                              0,                -59230,,                             -3.69,,,,,,,,,,,,
3519,2015年01月01日至2015年06月30日,,,,              7479876,                 47476,              7432400,              7432400,,              8114092,               -681692,               -681692,,,                 44425,,                222024,,                 56599,                323048,             -1004740,,,                 41281,,                139435,,                139498,,                  3391,                 44609,               -960131,,                  7057,               -967188,               -967188,,,                -74581,                -17970,,,                -10171,                -82380,                -82380,             -1049568,,               -908565,,                -58623,,               -976200,,                -73368,,                             -2.31,,,,,,,,,,,,
3519,2015年01月01日至2015年03月31日,,,,              4031103,                  2222,              4028881,              4028881,,              4294876,               -265995,               -265995,,,                 22402,,                113891,,                 27042,                163335,               -429330,,,                 30729,,                 64843,,                 76222,,                 -3211,                 16139,               -413191,,                  1760,               -414951,               -414951,,,                -45655,                  8513,,,                 -6227,                -30915,                -30915,               -445866,,               -382619,,                -32332,,               -404508,,                -41358,,                             -1.01,,,                              0,                              0,,,,,,,,
3519,2014年第3季,,,,              3805698,                    582,              3805116,              3805116,,              4147267,               -342151,               -342151,,,                 22412,,                131231,,                 33731,                187374,               -529525,,,                  8956,,                -56108,,                 74082,,                 -5469,               -126703,               -656228,,                -18683,               -637545,               -637545,,,                 57566,                -16078,,                 18844,                 11165,                 49167,                 49167,               -588378,,               -635915,                              0,                 -1630,,               -597477,                              0,                  9099,,                             -1.69,,,,,,,,,,,,
3519,2014年第2季,,,,              3446510,                  1012,              3445498,              3445498,,              3572819,               -127321,               -127321,,,                 12728,,                114892,,                 25466,                153086,               -280407,,,                 13085,,                 86642,,                 57180,,                 -1804,                 40743,               -239664,,                 -1410,               -238254,               -238254,,,                -62214,                 -2837,,,                 -8596,                -56455,                -56455,               -294709,,               -252518,,                 14264,,               -297325,,                  2616,,                             -0.67,,,,,,,,,,,,
3519,2014年度,,,,             15395135,                110313,             15284822,             15284822,,             15842592,               -557770,               -557770,,,                 90828,,                447738,,                106683,                645249,             -1203019,,,                 37963,,               -636592,,                277106,,                 -6992,               -882727,             -2085746,,                -17579,             -2068167,             -2068167,,,,,,,,,                101640,             -1966527,,             -2091190,                              0,                 23023,,             -2022944,                              0,                 56417,,                             -5.54,,,,,                168918,                -58640,                 -2035,,                 19385,                 25988,,
3519,2014年01月01日至2014年09月30日,,,,             11037899,                  4184,             11033715,             11033715,,             11309757,               -276042,               -276042,,,                 69882,,                352577,,                 81564,                504023,               -780065,,,                 28981,,                -67915,,                186004,,                 -7273,               -232211,             -1012276,,                 -5693,             -1006583,             -1006583,,,                 33014,                -30265,,                 18844,                  7706,                 13887,                 13887,               -992696,,             -1031710,                              0,                 25127,,             -1024349,                              0,                 31653,,                             -2.74,,,,,,,,,,,,
3519,2014年01月01日至2014年06月30日,,,,              7232201,                  3602,              7228599,              7228599,,              7162490,                 66109,                 66109,,,                 47470,,                221346,,                 47833,                316649,               -250540,,,                 20025,,                -11807,,                111922,,                 -1804,               -105508,               -356048,,                 12990,               -369038,               -369038,,,                -24552,                -14187,,,                 -3459,                -35280,                -35280,               -404318,,               -395795,,                 26757,,               -426872,,                 22554,,                             -1.06,,,,,,,,,,,,
