證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3149,2013年第3季,,              2068535,,              2112454,                -43919,                -43919,,,                 25230,,                160156,,                178294,                363680,               -407599,,,                  2938,,                 19192,,                 42820,                -20690,               -428289,,                -44012,               -384277,               -384277,,,,,,,,,,,                -43024,               -427301,,               -372926,                -11351,,               -413541,                -13760,,                             -1.39,                             -1.39,,                             -1.39,                             -1.39,                -43024,
3149,2013年第2季,,              2611549,,              2666017,                -54468,                -54468,,,                 43146,,                137948,,                111733,                292827,               -347295,,,                  3229,,                 -4111,,                 39915,                -40797,               -388092,,                 41762,               -429854,               -429854,,,,,,,,,,,                 62653,               -367201,,               -422403,                 -7451,,               -360943,                 -6258,,                             -1.59,                             -1.59,,                              0.00,                              0.00,                 62653,
3149,2013年度,,              9978690,,              9914062,                 64628,                 64628,,,                122453,,                612925,,                567336,              1302714,             -1238086,,,                 14250,,                144318,,                162735,                 -4167,             -1242253,,                 47739,             -1289992,             -1289992,,,,,,,,,,,                193110,             -1096882,,             -1265534,                -24458,,             -1076109,                -20773,,                             -4.74,                             -4.74,,                              0.00,                              0.00,                193110,                              0
3149,2013年07月01日至2013年09月30日,,              2068535,,              2112454,                -43919,                -43919,,,                 25230,,                160156,,                156039,                341425,               -385344,,,                  2938,,                 -3063,,                 42820,                -42945,               -428289,,                -44012,               -384277,               -384277,,,,,,,,,,,                -43024,               -427301,,               -372926,                -11351,,               -413541,                -13760,,                             -1.39,                             -1.39,,                              0.00,                              0.00,                -43024,
3149,2013年04月01日至2013年06月30日,,              2611549,,              2672258,                -60709,                -60709,,,                 43146,,                137948,,                101557,                282651,               -343360,,,                  3229,,                 -8046,,                 39915,                -44732,               -388092,,                 41762,               -429854,               -429854,,,,,,,,,,,                 62653,               -367201,,               -422403,                 -7451,,               -360943,                 -6258,,                             -1.59,                             -1.59,,                              0.00,                              0.00,                 62653,
3149,2013年01月01日至2013年12月31日,,              9978690,,              9914062,                 64628,                 64628,,,                122453,,                612925,,                567336,              1302714,             -1238086,,,                 14250,,                144318,,                162735,                 -4167,             -1242253,,                 47739,             -1289992,             -1289992,,,,,,,,,,,                193110,             -1096882,,             -1265534,                -24458,,             -1076109,                -20773,,                             -4.74,                             -4.74,,                              0.00,                              0.00,                193110,                              0
3149,2013年01月01日至2013年09月30日,,              8168343,,              7847107,                321236,                321236,,,                 97748,,                434164,,                391430,                923342,               -602106,,,                 11224,,                 74710,,                123129,                -37195,               -639301,,                 92764,               -732065,               -732065,,,,,,,,,,,                116133,               -615932,,               -714001,                -18064,,               -600512,                -15420,,                             -2.68,                             -2.68,,                             -2.68,                             -2.68,                116133,
3149,2013年01月01日至2013年06月30日,,              6099808,,              5734653,                365155,                365155,,,                 72518,,                274008,,                213136,                559662,               -194507,,,                  8286,,                 55518,,                 80309,                -16505,               -211012,,                136776,               -347788,               -347788,,,,,,,,,,,                159157,               -188631,,               -341075,                 -6713,,               -186971,                 -1660,,                             -1.28,                             -1.28,,                              0.00,                              0.00,                159157,
3149,2013年01月01日至2013年03月31日,,              3488259,,              3068636,                419623,                419623,,,                 29372,,                136060,,                 99554,                264986,                154637,,,                  5057,,                 57780,,                 40394,                 22443,                177080,,                 95014,                 82066,                 82066,,,,,,,,,,,                 96504,                178570,,                 81328,                    738,,                173972,                  4598,,                              0.31,                              0.31,,                              0.31,                              0.31,                 96504,
3149,2012年07月01日至2012年09月30日,,              2352740,,              1881590,                471150,                471150,,,                 16568,,                153035,,                124973,                294576,                176574,,,                  1209,,                  9474,,                 10624,                     59,                176633,,                 42847,                133786,                133786,,,,,,,,,,,                -37763,                 96023,,                135120,                 -1334,,                101728,                 -5705,,                              0.57,                              0.57,,                              0.57,                              0.57,                -37763,
3149,2012年04月01日至2012年06月30日,,              1861182,,              1420094,                441088,                441088,,,                 33852,,                144643,,                106642,                285137,                155951,,,                  5186,,                 35275,,                 13552,                 26909,                182860,,                 46561,                136299,                136299,,,,,,,,,,,                 13765,                150064,,                140992,                 -4693,,                151437,                 -1373,,                              0.60,                              0.60,,                              0.60,                              0.60,                 13765,
3149,2012年01月01日至2012年12月31日,,              9373868,,              7437538,              1936330,              1936330,,,                116386,,                549880,,                398548,              1064814,                871516,,,                 12490,,                 57800,,                 79680,                 -9390,                862126,,                191742,                670384,                670384,,,,,,,,,,,                -85619,                584765,,                671192,                   -808,,                585563,                   -798,,                              2.76,                              2.76,,                              2.75,                              2.75,                -97191,                -11572
3149,2012年01月01日至2012年09月30日,,              6151568,,              4792495,              1359073,              1359073,,,                 67587,,                398928,,                287298,                753813,                605260,,,                  9736,,                 40013,,                 38761,                 10988,                616248,,                126639,                489609,                489609,,,,,,,,,,,                -85600,                404009,,                495636,                 -6027,,                411087,                 -7078,,                              2.10,                              2.10,,                              2.09,                              2.09,                -85600,
3149,2012年01月01日至2012年06月30日,,              3798828,,              2910905,                887923,                887923,,,                 51019,,                245893,,                162325,                459237,                428686,,,                  8527,,                 30539,,                 28137,                 10929,                439615,,                 83792,                355823,                355823,,,,,,,,,,,                -47837,                307986,,                360516,                 -4693,,                309359,                 -1373,,                              1.53,                              1.53,,                              1.52,                              1.52,                -47837,
3149,2012年01月01日至2012年03月31日,,              1937646,,              1490811,                446835,                446835,,,                 17167,,                101250,,                 55683,                174100,                272735,,,                  3341,,                 -4736,,                 14585,                -15980,                256755,,                 37231,                219524,                219524,,,,,,,,,,,                -61602,                157922,,                219524,                              0,,                157922,                              0,,                              0.93,                              0.93,,                              0.93,                              0.93,                -61602,
