證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2207,2015年第3季,,             33501787,,             28725780,              4776007,                 54971,                 83714,              4804750,,,              1968084,,              1113493,              3081577,              1723173,,,                715804,,               -110991,,                 14841,,                531251,              1121223,              2844396,,                387536,              2456860,              2456860,,,                182471,                -91846,                   -412,,                 18591,                    -71,                108875,                108875,              2565735,,              2211384,                245476,,              2296209,                269526,,                              4.05,                              4.05,,                              4.05,                              4.05,,,,,,,,
2207,2015年第2季,,             42034410,,             36340629,              5693781,                 39620,                 21542,              5675703,,,              2052512,,                868357,              2920869,              2754834,,,                209465,,                 70017,,                 14436,,                672234,                937280,              3692114,,                889338,              2802776,              2802776,,,                -60960,                 31841,                  8663,,                 -7242,                  1473,                -29171,                -29171,              2773605,,              2525011,                277765,,              2501518,                272087,,                              4.62,                              4.62,,                              4.62,                              4.62,,,,,,,,
2207,2015年第1季,,             43476264,,             37725170,              5751094,                 65637,                 21542,              5706999,,,              1812834,,                973682,              2786516,              2920483,,,                402836,,                -40246,,                 18153,,                591542,                935979,              3856462,,                593751,              3262711,              3262711,,,                -44236,                 29587,                 18879,,                 -5249,                  3209,                 -4228,                 -4228,              3258483,,              2957447,                305264,,              2952539,                305944,,                              5.41,                              5.41,,                              5.41,                              5.41,,,,,,,,
2207,2015年01月01日至2015年09月30日,,            119012461,,            102791580,             16220881,                 54971,                 21542,             16187452,,,              5833430,,              2955532,              8788962,              7398490,,,              1328105,,                -81220,,                 47430,,              1795027,              2994482,             10392972,,              1870625,              8522347,              8522347,,,                 77275,                -30418,                 27130,,                  6100,                  4611,                 75476,                 75476,              8597823,,              7693842,                828505,,              7750266,                847557,,                             14.09,                             14.09,,                             14.08,                             14.08,,,,,,,,
2207,2015年01月01日至2015年06月30日,,             85510674,,             74065800,             11444874,                 83714,                 21542,             11382702,,,              3865346,,              1842039,              5707385,              5675317,,,                612301,,                 29771,,                 32589,,              1263776,              1873259,              7548576,,              1483089,              6065487,              6065487,,,               -105196,                 61428,                 27542,,                -12491,                  4682,                -33399,                -33399,              6032088,,              5482458,                583029,,              5454057,                578031,,                             10.04,                             10.04,,                             10.03,                             10.03,,,,,,,,
2207,2014年第3季,,             38834324,,             33663227,              5171097,                 32453,                 26445,              5165089,,,              1999697,,                772134,              2771831,              2393258,,,                289052,,                 71798,,                 20558,,                487033,                827325,              3220583,,                492240,              2728343,              2728343,,,                118796,                  9701,                     85,,                 15091,                     14,                143659,                143659,              2872002,,              2421798,                306545,,              2548614,                323388,,                              4.43,                              4.43,,                              4.43,                              4.43,,,,,,,,
2207,2014年第2季,,             41684557,,             36580296,              5104261,                  5925,                 11914,              5110250,,,              1994689,,                941651,              2936340,              2173910,,,                474957,,                 -5408,,                 16166,,                662146,              1115529,              3289439,,                521730,              2767709,              2767709,,,                -76050,                 25032,                 29442,,                 -9536,                 -4687,                -26425,                -26425,              2741284,,              2503592,                264117,,              2476596,                264688,,                              4.58,                              4.58,,                              4.58,                              4.58,,,,,,,,
2207,2014年第1季,,             37782712,,             32635965,              5146747,                 32434,                 11914,              5126227,,,              1699700,,                883901,              2583601,              2542626,,,                347473,,                    725,,                 17281,,                152475,                483392,              3026018,,                521654,              2504364,              2504364,,,                 -3497,                -30878,                 32709,,                  6539,                              0,                  4873,                  4873,              2509237,,              2242124,                262240,,              2237068,                272169,,                              4.11,                              4.11,,                              4.10,                              4.10,,,,,,,,
2207,2014年度,,            160214136,,            139903501,             20310635,                 21542,                 11914,             20301007,,,              7668156,,              3606859,             11275015,              9025992,,,              1528047,,                 14897,,                376268,,              2036268,              3202944,             12228936,,              1935575,             10293361,             10293361,,,,,,,,,,                366443,             10659804,,              9196735,              1096626,,              9516264,              1143540,,                             16.84,                             16.84,,                             16.83,                             16.83,                168582,                 11706,                 71582,                              0,,                111490,                              0,                 -3083
2207,2014年01月01日至2014年09月30日,,            118301593,,            102879488,             15422105,                 32453,                 11914,             15401566,,,              5694086,,              2597686,              8291772,              7109794,,,              1111482,,                 67115,,                 54005,,              1301654,              2426246,              9536040,,              1535624,              8000416,              8000416,,,                 39249,                  3855,                 62236,,                 12094,                 -4673,                122107,                122107,              8122523,,              7167514,                832902,,              7262278,                860245,,                             13.12,                             13.12,,                             13.12,                             13.12,,,,,,,,
2207,2014年01月01日至2014年06月30日,,             79467269,,             69216261,             10251008,                 26445,                 11914,             10236477,,,              3694389,,              1825552,              5519941,              4716536,,,                822430,,                 -4683,,                 33447,,                814621,              1598921,              6315457,,              1043384,              5272073,              5272073,,,                -79547,                 -5846,                 62151,,                 -2997,                 -4687,                -21552,                -21552,              5250521,,              4745716,                526357,,              4713664,                536857,,                              8.69,                              8.69,,                              8.69,                              8.69,,,,,,,,
2207,2014年01月01日至2014年03月31日,,             37782712,,             32534048,              5248664,                 32434,                 11914,              5228144,,,              1699700,,                883901,              2583601,              2644543,,,                347473,,                -43015,,                 75459,,                152476,                381475,              3026018,,                521654,              2504364,              2504364,,,,,,,,,,                  4873,              2509237,,              2242124,                262240,,              2237068,                272169,,                              4.11,                              4.11,,                              4.10,                              4.10,                 -3497,                -30878,                 32709,,,                  6539,,
2207,2013年第3季,,             34070459,,             29473515,              4596944,                 12670,                 27493,              4611767,,,              1739460,,                747176,              2486636,              2125131,,,                358893,,                 91173,,                 61205,,                198862,                587723,              2712854,,                461518,              2251336,              2251336,,,,,,,,,,                 20395,              2271731,,              1957697,                293639,,              1981576,                290155,,                              3.58,                              3.58,,                              3.58,                              3.58,                -19058,                 31441,                  6610,,,                  1402,,                              0
2207,2013年第2季,,             34352988,,             29994110,              4358878,                 27493,                 35626,              4367011,,,              1810802,,                868171,              2678973,              1688038,,,                373734,,                113731,,                 55463,,                392076,                824078,              2512116,,                626948,              1885168,              1885168,,,,,,,,,,                 31863,              1917031,,              1667465,                217703,,              1690691,                226340,,                              3.05,                              3.05,,                              3.05,                              3.05,                 20972,                 -1703,                  1644,                              0,,                 10950,                              0,                              0
2207,2013年度,,            146466911,,            128144952,             18321959,                 11914,                  6920,             18316965,,,              7159706,,              3552188,             10711894,              7605071,,,              1723977,,                122011,,                238788,,              1358993,              2966193,             10571264,,              1938013,              8633251,              8633251,,,,,,,,,,                236208,              8869459,,              7650112,                983139,,              7871803,                997656,,                             14.01,                             14.01,,                             14.00,                             14.00,                188236,                124898,                -55868,                 20312,,                -46583,                 10441,                  5228
2207,2013年07月01日至2013年09月30日,,             34070459,,             29473515,              4596944,                 12670,                 27493,              4611767,,,              1739460,,                899676,              2639136,              1972631,,,                511393,,                 91173,,                 61205,,                198862,                740223,              2712854,,                461518,              2251336,              2251336,,,,,,,,,,                 20395,              2271731,,              1957697,                293639,,              1981576,                290155,,                              3.58,                              3.58,,                              3.58,                              3.58,                -17656,                 31441,                  6610,,,,,
2207,2013年04月01日至2013年06月30日,,             34352988,,             29994110,              4358878,                 27493,                 35626,              4367011,,,              1807617,,                871356,              2678973,              1688038,,,                373734,,                113731,,                 55463,,                392076,                824078,              2512116,,                626948,              1885168,              1885168,,,,,,,,,,                 31863,              1917031,,              1667465,                217703,,              1690691,                226340,,                              3.05,                              3.05,,                              3.05,                              3.05,                 34700,                 -4481,                  1644,,,,,
2207,2013年01月01日至2013年12月31日,,            146466911,,            128577607,             17889304,                 11914,                  6920,             17884310,,,              7159707,,              3552188,             10711895,              7172415,,,              1688989,,                589655,,                238788,,              1358993,              3398849,             10571264,,              1938013,              8633251,              8633251,,,,,,,,,,                236208,              8869459,,              7650112,                983139,,              7871803,                997656,,                             14.01,                             14.01,,                             14.00,                             14.00,                188236,                124898,                -55868,                 30753,,                -46583,,                  5228
2207,2013年01月01日至2013年09月30日,,            106722458,,             93250639,             13471819,                 12670,                  6920,             13466069,,,              5130738,,              2493885,              7624623,              5841446,,,              1082993,,                363704,,                171804,,                874516,              2149409,              7990855,,              1528693,              6462162,              6462162,,,,,,,,,,                233083,              6695245,,              5730683,                731479,,              5947502,                747743,,                             10.49,                             10.49,,                             10.49,                             10.49,                114934,                 83653,                 12007,,,                 22489,,                              0
2207,2013年01月01日至2013年06月30日,,             72651999,,             63777124,              8874875,                 27493,                  6920,              8854302,,,              3391278,,              1746709,              5137987,              3716315,,,                724100,,                272531,,                110599,,                675654,              1561686,              5278001,,              1067175,              4210826,              4210826,,,,,,,,,,                212688,              4423514,,              3772986,                437840,,              3965926,                457588,,                              6.91,                              6.91,,                              6.91,                              6.91,                133992,                 52212,                  5397,                              0,,                 21087,                              0,                              0
2207,2013年01月01日至2013年03月31日,,             38299011,,             33783014,              4515997,                 35626,                  6920,              4487291,,,              1580476,,                878538,              2459014,              2028277,,,                350366,,                158800,,                 55136,,                283578,                737608,              2765885,,                440227,              2325658,              2325658,,,,,,,,,,                180825,              2506483,,              2105521,                220137,,              2275235,                231248,,                              3.86,                              3.86,,                              3.85,                              3.85,                113020,                 53915,                  3753,,,                 10137,,
2207,2012年07月01日至2012年09月30日,,             34023149,,             29971907,              4051242,                 19827,                 24162,              4055577,,,              1577110,,                682088,              2259198,              1796379,,,                171833,,                157583,,                 55228,,                360127,                634315,              2430694,,                359832,              2070862,              2070862,,,,,,,,,,                  1297,              2072159,,              1836649,                234213,,              1847914,                224245,,                              3.36,                              3.36,,                              3.36,                              3.36,                 -6344,                 18338,                -10697,,,,,
2207,2012年04月01日至2012年06月30日,,             34543046,,             30349949,              4193097,                 24162,                 31540,              4200475,,,              1788164,,                778369,              2566533,              1633942,,,                795541,,                 -2108,,                 21712,,                515883,              1287604,              2921546,,                615270,              2306276,              2306276,,,,,,,,,,                137476,              2443752,,              2054526,                251750,,              2194841,                248911,,                              3.76,                              3.76,,                              3.76,                              3.76,                126357,                 23172,                -12053,,,,,
