證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 什項支出,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3694,2015年第3季,,,              2162977,,                  2898,              2165875,,,              1862065,                     15,              1862080,                303795,                303795,,,                 66835,,                 60801,,                 91903,                219539,                 84256,,,                    560,,                  2768,                 -4729,                   -342,                 -1619,,                              0,,                              0,,                  3557,,                   -868,                 -5484,                 78772,,                              0,                 78772,                 78772,,,                 22355,                 22355,                 22355,                101127,,                 78772,,                101127,,                              0.61,                              0.61,,,,,
3694,2015年第2季,,,              1350616,,                  5817,              1356433,,,              1167114,                     74,              1167188,                189245,                189245,,,                 59147,,                 49216,,                102206,                210569,                -21324,,,                    202,,,                    968,                     26,                  1105,,,,,,                  3198,,,                 -1891,                -23215,,                  1932,                -25147,                -25147,,,                -11941,                -11941,                -11941,                -37088,,                -25147,,                -37088,,                             -0.19,                             -0.19,                   -163,,,,
3694,2015年01月01日至2015年09月30日,,,              4456407,,                 31619,              4488026,,,              3829119,                    376,              3829495,                658531,                658531,,,                198740,,                167543,,                301433,                667716,                 -9185,,,                    924,,                  3515,                 -8313,                   -325,                 -4473,,                              0,,                              0,,                  9429,,                   -868,                -13846,                -23031,,                  4800,                -27831,                -27831,,,                  1077,                  1077,                  1077,                -26754,,                -27831,,                -26754,,                             -0.21,                             -0.21,,,,,
3694,2015年01月01日至2015年06月30日,,,              2293430,,                 28721,              2322151,,,              1967054,                    361,              1967415,                354736,                354736,,,                131905,,                106742,,                209530,                448177,                -93441,,,                    364,,,                 -3584,                     17,                 -2854,,,,,,                  5872,,,                 -8362,               -101803,,                  4800,               -106603,               -106603,,,                -21278,                -21278,                -21278,               -127881,,               -106603,,               -127881,,                             -0.82,                             -0.82,                   -747,,,,
3694,2015年01月01日至2015年03月31日,,,                942814,,                 22904,                965718,,,                799940,                    287,                800227,                165491,                165491,,,                 72758,,                 57526,,                107324,                237608,                -72117,,,                    162,,                    584,                 -4552,                     -9,                 -3959,,,,,,                  2674,,                              0,                 -6471,                -78588,,                  2868,                -81456,                -81456,,,                 -9337,                 -9337,                 -9337,                -90793,,                -81456,,                -90793,,                             -0.63,                             -0.63,,,                             -0.63,,
3694,2014年第3季,,,              1656606,,                  3634,              1660240,,,              1400811,                  2907,              1403718,                256522,                256522,,,                 71014,,                 56779,,                123082,                250875,                  5647,,,                  1067,,                 13483,                  7189,                    531,                 20141,,                              0,,                              0,,                  2407,,                              0,                 18801,                 24448,,                  1465,                 22983,                 22983,,,                 16495,                 16495,                 16495,                 39478,,                 22983,,                 39478,,                              0.18,                              0.18,,,,,
3694,2014年第2季,,,              1153491,,                 21446,              1174937,,,              1267346,                     54,              1267400,                -92463,                -92463,,,                 70239,,                 59288,,                117167,                246694,               -339157,,,                    347,,,                 -2406,                    330,                 -1841,,,,,,                  2695,,,                 -4189,               -343346,,                 15620,               -358966,               -358966,,,                -19810,                -19810,                -19810,               -378776,,               -358966,,               -378776,,                             -2.76,                             -2.76,                   -895,,,,
3694,2014年度,,,              5364503,,                 30394,              5394897,,,              4975776,                  4352,              4980128,                414769,                414769,,,                280751,,                208288,,                480837,                969876,               -555107,,,                  2289,,                 22944,                 18686,                  9193,                 32437,,,,,,                 14043,,                              0,                 20683,               -534424,,                 28013,               -562437,               -562437,,,,,                 51174,               -511263,,               -562437,,               -511263,,                             -4.33,                             -4.33,,,,                 51235,                    -61
3694,2014年01月01日至2014年09月30日,,,              4068361,,                 28801,              4097162,,,              3774296,                  3353,              3777649,                319513,                319513,,,                203615,,                171777,,                362412,                737804,               -418291,,,                  1656,,                 14955,                  4906,                  6705,                 13156,,                              0,,                              0,,                  7692,,                              0,                  7120,               -411171,,                 17085,               -428256,               -428256,,,                 11243,                 11243,                 11243,               -417013,,               -428256,,               -417013,,                             -3.30,                             -3.30,,,,,
3694,2014年01月01日至2014年06月30日,,,              2411755,,                 25167,              2436922,,,              2373485,                    446,              2373931,                 62991,                 62991,,,                132601,,                114998,,                239330,                486929,               -423938,,,                    589,,,                 -2283,                  6174,                 -6985,,,,,,                  5285,,,                -11681,               -435619,,                 15620,               -451239,               -451239,,,                 -5252,                 -5252,                 -5252,               -456491,,               -451239,,               -456491,,                             -3.48,                             -3.48,                 -1472,,,,
3694,2014年01月01日至2014年03月31日,,,              1258264,,                  3721,              1261985,,,              1106139,                    392,              1106531,                155454,                155454,,,                 62362,,                 55710,,                122163,                240235,                -84781,,,                    242,,                    577,                    123,                  5844,                 -5144,,,,,,                  2590,,                              0,                 -7492,                -92273,,                              0,                -92273,                -92273,,,                 14558,                 14558,                 14558,                -77715,,                -92273,,                -77715,,                             -0.71,                             -0.71,,,                             -0.71,,
3694,2013年第3季,,,              1705370,,                  6949,              1712319,,,              1470283,                    439,              1470722,                241597,                241597,,,                 89629,,                 53640,,                145359,                288628,                -47031,,,                    195,,                  1494,                -10988,                  2256,                -11750,,                              0,,                              0,,                  2759,,                              0,                -14314,                -61345,,                  3507,                -64852,                -64852,,,,,                -10364,                -75216,,                -64852,,                -75216,,                             -0.50,                             -0.50,,,,                -10364,
3694,2013年第2季,,,              1633833,,                  7305,              1641138,,,              1444655,                  1431,              1446086,                195052,                195052,,,                 71448,,                 53312,,                152187,                276947,                -81895,,,                  3040,,,                  8766,                      4,                  8762,,,,,,                  2991,,,                  8811,                -73084,,                 -8324,                -64760,                -64760,,,,,                 21767,                -42993,,                -64760,,                -42993,,                             -0.50,                             -0.50,,,,                 21767,
3694,2013年度,,,              6377306,,                 27938,              6405244,,,              5552457,                  2635,              5555092,                850152,                850152,,,                307655,,                260223,,                569621,              1137499,               -287347,,,                  1001,,                  2652,                 30318,                  2275,                 30695,,,,,,                 13184,,                              0,                 18512,               -268835,,                -10067,               -258768,               -258768,,,,,                 59398,               -199370,,               -258768,,               -199370,,                             -1.99,                             -1.99,,,,                 59455,                    -57
3694,2013年07月01日至2013年09月30日,,,              1705370,,                  6949,              1712319,,,              1470283,                    439,              1470722,                241597,                241597,,,                 89629,,                 53640,,                145359,                288628,                -47031,,,                  1689,,,                -10988,                  2256,                -13244,,,,,,                  2759,,                              0,                -14314,                -61345,,                  3507,                -64852,                -64852,,,,,                -10364,                -75216,,                -64852,,                -75216,,                             -0.50,                             -0.50,,,,                -10364,
3694,2013年04月01日至2013年06月30日,,,              1633833,,                  7305,              1641138,,,              1444655,                  1431,              1446086,                195052,                195052,,,                 71448,,                 53312,,                152187,                276947,                -81895,,,                  3040,,,                  8766,                      4,                  8762,,,,,,                  2991,,                              0,                  8811,                -73084,,                 -8324,                -64760,                -64760,,,,,                 21767,                -42993,,                -64760,,                -42993,,                             -0.50,                             -0.50,,,,                 21767,
