證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額
3049,2015年第3季,,              1022897,,                784408,                238489,                238489,,,                  8749,,                 36720,,                  7711,                 53180,                185309,,,                 33590,,                 67307,,                 39918,                 60979,                246288,,                              0,                246288,,                -63025,                183263,,,                              0,                 -3373,                 -3373,                 -3373,                179890,,                183263,,                179890,,                              0.33,                             -0.09,                              0.24,,                              0.33,                             -0.09,                              0.24,,,,,,,,,,,,,,,,,,
3049,2015年第2季,,                805329,,                770286,                 35043,                 35043,,,                  4058,,                 35523,,                  6874,                 46455,                -11412,,,                 17870,,                -42351,,                 41263,                -65744,                -77156,,                              0,                -77156,,                -30000,               -107156,,,                              0,                 -4181,                 -4181,                 -4181,               -111337,,               -107156,,               -111337,,                             -0.07,                             -0.02,                             -0.09,,                             -0.07,                             -0.02,                             -0.09,,,,,,,,,,,,,,,,,,
3049,2015年01月01日至2015年09月30日,,              3153852,,              2627851,                526001,                526001,,,                 19489,,                102979,,                 15066,                137534,                388467,,,                 63174,,                 24881,,                126288,                -38233,                350234,,                              0,                350234,,               -137205,                213029,,,                              0,                -10509,                -10509,                -10509,                202520,,                213029,,                202520,,                              0.48,                             -0.19,                              0.29,,                              0.48,                             -0.19,                              0.29,,,,,,,,,,,,,,,,,,
3049,2015年01月01日至2015年06月30日,,              2130955,,              1843443,                287512,                287512,,,                 10740,,                 66259,,                  7355,                 84354,                203158,,,                 29584,,                -42426,,                 86370,                -99212,                103946,,                              0,                103946,,                -74180,                 29766,,,                              0,                 -7136,                 -7136,                 -7136,                 22630,,                 29766,,                 22630,,                              0.09,                             -0.06,                              0.03,,                              0.09,                             -0.06,                              0.03,,,,,,,,,,,,,,,,,,
3049,2015年01月01日至2015年03月31日,,              1325626,,              1073157,                252469,                252469,,,                  6682,,                 30736,,                    481,                 37899,                214570,,,                 11714,,                    -75,,                 45107,                -33468,                181102,,                              0,                181102,,                -44180,                136922,,,                              0,                 -2955,                 -2955,                 -2955,                133967,,                136922,,                133967,,                              0.16,                             -0.04,                              0.12,,                              0.16,                             -0.04,                              0.12,,,,,,,,,,,,,,,,,,
3049,2014年第3季,,              1128518,,                918246,                210272,                210272,,,                  2034,,                 73325,,                  3977,                 79336,                130936,,,                 25917,,                 30707,,                 66030,                 -9406,                121530,,                 12832,                108698,,                              0,                108698,,,                              0,                -10250,                -10250,                -10250,                 98448,,                108698,,                 98448,,                              0.10,                              0.00,                              0.10,,                              0.10,                              0.00,                              0.10,,,,,,,,,,,,,,,,,,
3049,2014年第2季,,              1207248,,                824623,                382625,                382625,,,                  4548,,                 69497,,                  8056,                 82101,                300524,,,                  9716,,                -17742,,                 72963,                -80989,                219535,,                 70248,                149287,,                              0,                149287,,,                              0,                  5625,                  5625,                  5625,                154912,,                149287,,                154912,,                              0.17,                              0.00,                              0.17,,                              0.17,                              0.00,                              0.17,,,,,,,,,,,,,,,,,,
3049,2014年度,,              4472664,,              3307056,              1165608,              1165608,,,                 22149,,                258612,,                 22722,                303483,                862125,,,                 75488,,                 46427,,                257361,               -135446,                726679,,                 83080,                643599,,                -65633,                577966,,,,,,                 29233,                607199,,                577966,,                607199,,                              0.64,                             -0.06,                              0.58,,                              0.64,                             -0.06,                              0.58,,                              0,                 11599,                 -2951,                 24801,,                              0,                  4216,                              0,                              0,,,,,,,,
3049,2014年01月01日至2014年09月30日,,              3188743,,              2290462,                898281,                898281,,,                 11917,,                163824,,                 27571,                203312,                694969,,,                 49066,,                 -4863,,                209364,               -165161,                529808,,                 83080,                446728,,                111418,                558146,,,                 11599,                 -4625,                  6974,                  6974,                565120,,                558146,,                565120,,                              0.47,                              0.12,                              0.59,,                              0.47,                              0.12,                              0.59,,,,,,,,,,,,,,,,,,
3049,2014年01月01日至2014年06月30日,,              2060225,,              1372216,                688009,                688009,,,                  9883,,                 90499,,                 23594,                123976,                564033,,,                 23149,,                -35570,,                143334,               -155755,                408278,,                 70248,                338030,,                111418,                449448,,,                 11599,                  5625,                 17224,                 17224,                466672,,                449448,,                466672,,                              0.38,                              0.13,                              0.51,,                              0.38,                              0.13,                              0.51,,,,,,,,,,,,,,,,,,
