證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1315,2015年第3季,,                748254,,                609578,                138676,                138676,,,                 33602,,                 74485,                108087,                 30589,,,                106443,,                 42486,,                  2668,,                 15699,                161960,                192549,,                 13032,                179517,                179517,,,                 29089,               -554544,,                -18772,                -18772,                  4940,               -549167,               -549167,               -369650,,                182918,                 -3401,,               -366281,                 -3369,,                              0.96,                              0.00,                              0.96,,                              0.96,,,,,,,,,,,,,,,,,,
1315,2015年第2季,,                684545,,                557503,                127042,                127042,,,                 31392,,                 78788,                110180,                 16862,,,                 10240,,                  7325,,                  2333,,                   -850,                 14382,                 31244,,                  8457,                 22787,                 22787,,,                 -8757,                 72054,,                -34288,                -34288,                 -1490,                 30499,                 30499,                 53286,,                 25969,                 -3182,,                 56464,                 -3178,,                              0.14,                              0.00,                              0.14,,                              0.14,,,,,,,,,,,,,,,,,,
1315,2015年01月01日至2015年09月30日,,              2071424,,              1687803,                383621,                383621,,,                 96277,,                229257,                325534,                 58087,,,                128382,,                 36799,,                  7128,,                 14194,                172247,                230334,,                 24950,                205384,                205384,,,                 14266,               -355654,,                -61357,                -61357,                  2417,               -405162,               -405162,               -199778,,                215091,                 -9707,,               -190118,                 -9660,,                              1.13,                              0.00,                              1.13,,                              1.13,,,,,,,,,,,,,,,,,,
1315,2015年01月01日至2015年06月30日,,              1323170,,              1078225,                244945,                244945,,,                 62675,,                154772,                217447,                 27498,,,                 21939,,                 -5687,,                  4460,,                 -1505,                 10287,                 37785,,                 11918,                 25867,                 25867,,,                -14822,                198889,,                -42585,                -42585,                 -2523,                144005,                144005,                169872,,                 32173,                 -6306,,                176163,                 -6291,,                              0.17,                              0.00,                              0.17,,                              0.17,,,,,,,,,,,,,,,,,,
1315,2015年01月01日至2015年03月31日,,                638625,,                520722,                117903,                117903,,,                 31284,,                 75983,                107267,                 10636,,,                 11699,,                -13011,,                  2127,,                   -655,                 -4094,                  6542,,                  3461,                  3081,                  3081,,,                 -6066,                126835,,                 -8297,                 -8297,                 -1033,                113505,                113505,                116586,,                  6204,                 -3123,,                119699,                 -3113,,                              0.03,                              0.00,                              0.03,,                              0.03,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,
1315,2014年第3季,,                844288,,                682946,                161342,                161342,,,                 29090,,                 80222,                109312,                 52030,,,                 93758,,                 -1184,,                  2112,,                 12949,                103411,                155441,,                 11508,                143933,                143933,,,                  5646,               -173843,,                 -7662,                 -7662,                    927,               -176786,               -176786,                -32853,,                144516,                   -583,,                -32462,                   -391,,                              0.72,                              0.00,                              0.72,,                              0.72,,,,,,,,,,,,,,,,,,
1315,2014年第2季,,                757846,,                611660,                146186,                146186,,,                 34908,,                 88531,                123439,                 22747,,,                  8501,,                 -2818,,                  2144,,                   -518,                  3021,                 25768,,                  8620,                 17148,                 17148,,,                 -9526,                228829,,                 -6278,                 -6278,                 -1594,                214619,                214619,                231767,,                 19349,                 -2201,,                234119,                 -2352,,                              0.09,                              0.00,                              0.09,,                              0.09,,,,,,,,,,,,,,,,,,
1315,2014年度,,              2989773,,              2428795,                560978,                560978,,,                128195,,                340598,                468793,                 92185,,,                125155,,                 51035,,                  8832,,                 10869,                178227,                270412,,                 44842,                225570,                225570,,,,,,,,,,               -182832,                 42738,,                235661,                -10091,,                 52787,                -10049,,                              1.16,                              0.00,                              1.16,,                              1.16,,,,,,,,,,,,                 11437,               -153340,                 -2118,,                -36874,                -36874,                  1937
1315,2014年01月01日至2014年09月30日,,              2233972,,              1821615,                412357,                412357,,,                 93486,,                257744,                351230,                 61127,,,                117355,,                 -1117,,                  6532,,                 11672,                121378,                182505,,                 24515,                157990,                157990,,,                  7393,                -87249,,                -21739,                -21739,                  1256,               -102851,               -102851,                 55139,,                163970,                 -5980,,                 61115,                 -5976,,                              0.79,                              0.00,                              0.79,,                              0.79,,,,,,,,,,,,,,,,,,
1315,2014年01月01日至2014年06月30日,,              1389684,,              1138670,                251014,                251014,,,                 62151,,                177521,                239672,                 11342,,,                 21353,,                     67,,                  4421,,                 -1277,                 15722,                 27064,,                 13007,                 14057,                 14057,,,                  1747,                 86594,,                -14077,                -14077,                    329,                 73935,                 73935,                 87992,,                 19454,                 -5397,,                 93577,                 -5585,,                              0.09,                              0.00,                              0.09,,                              0.09,,,,,,,,,,,,,,,,,,
