證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2704,2015年第3季,,                865947,,                566662,                299285,                299285,,,                111520,,                142758,                254278,                 45007,,,                106874,,                    205,,                  6515,,                 15505,                116069,                161076,,                  9712,                151364,                151364,,,                147670,,                 23815,                  5759,                165726,                165726,                317090,,                155970,                 -4606,,                321696,                 -4606,,                              0.43,,,,,,,
2704,2015年第2季,,                868228,,                527047,                341181,                341181,,,                103277,,                135139,                238416,                102765,,,                  5908,,                    104,,                  5768,,                 -2525,                 -2281,                100484,,                 30707,                 69777,                 69777,,,               -158904,,                -22768,                 -3593,               -178079,               -178079,               -108302,,                 70023,                   -246,,               -108056,                   -246,,                              0.19,,                              0.19,,,,,
2704,2015年01月01日至2015年09月30日,,              2665112,,              1647387,              1017725,              1017725,,,                319922,,                400770,                720692,                297033,,,                117847,,                    423,,                 18049,,                  9561,                109782,                406815,,                 66506,                340309,                340309,,,                -13858,,                     53,                  2620,                -16425,                -16425,                323884,,                347087,                 -6778,,                330662,                 -6778,,                              0.95,,,,,,,
2704,2015年01月01日至2015年06月30日,,              1799165,,              1080725,                718440,                718440,,,                208402,,                258012,                466414,                252026,,,                 10973,,                    218,,                 11534,,                 -5944,                 -6287,                245739,,                 56794,                188945,                188945,,,               -161528,,                -23762,                 -3139,               -182151,               -182151,                  6794,,                191117,                 -2172,,                  8966,                 -2172,,                              0.52,,                              0.52,,,,,
2704,2015年01月01日至2015年03月31日,,                930937,,                553678,                377259,                377259,,,                105125,,                122873,                227998,                149261,,,                  5065,,                    114,,                  5766,,                 -3419,                 -4006,                145255,,                 26087,                119168,                119168,,,                 -2624,,                   -994,                    454,                 -4072,                 -4072,                115096,,                121094,                 -1926,,                117022,                 -1926,,                              0.33,,                              0.33,,,,,
2704,2014年第3季,,                850494,,                530134,                320360,                320360,,,                117470,,                132801,                250271,                 70089,,,                 99123,,                     94,,                  6420,,                 10170,                102967,                173056,,                 11704,                161352,                161352,,,                248841,,                 35608,                  9340,                275109,                275109,                436461,,                163027,                 -1675,,                438127,                 -1666,,                              0.44,,,,,,,
2704,2014年第2季,,                835686,,                499246,                336440,                336440,,,                109525,,                121561,                231086,                105354,,,                  4654,,                     49,,                  6478,,                 -2739,                 -4514,                100840,,                 37162,                 63678,                 63678,,,               -120358,,                  7201,                    485,               -113642,               -113642,                -49964,,                 62608,                  1070,,                -51005,                  1041,,                              0.17,,                              0.17,,,,,
2704,2014年度,,              3479525,,              2080031,              1399494,              1399494,,,                483090,,                503835,                986925,                412569,,,                113975,,                   -786,,                 26120,,                   -634,                 86435,                499004,,                 88665,                410339,                410339,,,,,,,,                -60380,                349959,,                410085,                    254,,                349705,                    254,,                              1.12,,                              1.11,                -77709,                    207,,                 21596,                  4474
2704,2014年01月01日至2014年09月30日,,              2580531,,              1547680,              1032851,              1032851,,,                337210,,                370443,                707653,                325198,,,                108356,,                    292,,                 19639,,                  2761,                 91770,                416968,,                 71665,                345303,                345303,,,                 48427,,                 27012,                  7990,                 67449,                 67449,                412752,,                342031,                  3272,,                409508,                  3244,,                              0.93,,,,,,,
2704,2014年01月01日至2014年06月30日,,              1730037,,              1017546,                712491,                712491,,,                219740,,                237642,                457382,                255109,,,                  9233,,                    198,,                 13219,,                 -7409,                -11197,                243912,,                 59961,                183951,                183951,,,               -200414,,                 -8596,                 -1350,               -207660,               -207660,                -23709,,                179004,                  4947,,                -28619,                  4910,,                              0.49,,                              0.49,,,,,
