證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 銷貨折讓,　　　 銷貨成本,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
3561,2015年第3季,,,,              2924922,                 29967,              2894955,              2894955,,,              2716371,              2716371,                178584,                178584,,,                 55584,,                160205,,                 17319,                233108,                -54524,,,                 55238,,                 45423,,                 17799,,                 -5600,                 77262,                 22738,,                              0,                 22738,                 22738,,,                -77380,               -102744,                -13155,               -166969,               -166969,               -144231,,                 22746,                     -8,,               -144249,                     18,,                              0.06,,                              0.00,,,,,,,,,
3561,2015年第2季,,,,              2290431,                  3982,              2286449,              2286449,,,              2362082,              2362082,                -75633,                -75633,,,                 57229,,                106614,,                 18506,                182349,               -257982,,,                  9244,,                -15898,,                 17988,,                -19597,                -44239,               -302221,,                              0,               -302221,               -302221,,,               -112608,               -181441,                -19143,               -274906,               -274906,               -577127,,               -302216,                     -5,,               -577116,                    -11,,                             -0.82,,                              0.00,              2290431,,,,,,,,
3561,2015年01月01日至2015年09月30日,,,,              7259427,                167053,              7092374,              7092374,,,              7022387,              7022387,                 69987,                 69987,,,                146915,,                312925,,                 55114,                514954,               -444967,,,                 74393,,                 44185,,                 54234,,                -48288,                 16056,               -428911,,                     25,               -428936,               -428936,,,               -191153,               -459068,                -32496,               -617725,               -617725,             -1046661,,               -428918,                    -18,,             -1046659,                     -2,,                             -1.17,,                              0.00,,,,,,,,,
3561,2015年01月01日至2015年06月30日,,,,              4334505,                137086,              4197419,              4197419,,,              4306016,              4306016,               -108597,               -108597,,,                 91331,,                152720,,                 37795,                281846,               -390443,,,                 19155,,                 -1238,,                 36435,,                -42688,                -61206,               -451649,,                     25,               -451674,               -451674,,,               -113773,               -356324,                -19341,               -450756,               -450756,               -902430,,               -451664,                    -10,,               -902410,                    -20,,                             -1.23,,                              0.00,              4334505,,,,,,,,
3561,2015年01月01日至2015年03月31日,,,,              2044074,,              1910970,              1910970,,,              1943934,              1943934,                -32964,                -32964,,,                 34102,,                 46106,,                 19289,                 99497,               -132461,,,                  9911,,                 14660,,                 18447,,                -23091,                -16967,               -149428,,                     25,               -149453,               -149453,,,                 -1165,               -174883,                   -198,               -175850,               -175850,               -325303,,               -149448,                     -5,,               -325294,                     -9,,                             -0.41,,                              0.00,              2044074,                133104,              1943934,                             -0.41,                              0.00,,,,
3561,2014年第3季,,,,              1976000,                  5237,              1970763,              1970763,,,              1950531,              1950531,                 20232,                 20232,,,                 55242,,                 44180,,                 18392,                117814,                -97582,,,                 31930,,                  8281,,                 15890,,                -17395,                  6926,                -90656,,                              0,                -90656,                -90656,,,                     53,               -187999,                      9,               -187955,               -187955,               -278611,,                -90652,                     -4,,               -278614,                      3,,                             -0.25,,                              0.00,,,,,,,,,
3561,2014年第2季,,,,              2684717,                    492,              2684225,              2684225,,,              2444971,              2444971,                239254,                239254,,,                 38294,,                 58066,,                 20137,                116497,                122757,,,                 10786,,                -16836,,                 14157,,                -16588,                -36795,                 85962,,                              0,                 85962,                 85962,,,                 -1687,                 17488,                   -286,                 16087,                 16087,                102049,,                 85965,                     -3,,                102059,                    -10,,                              0.23,,                              0.23,              2684717,,,,,,,,
3561,2014年度,,,,              9649811,                  8273,              9641538,              9641538,,,              9004189,              9004189,                637349,                637349,,,                161377,,                205908,,                 78452,                445737,                191612,,,                 62155,,                 27614,,                 67519,,                -61819,                -39569,                152043,,                     36,                152007,                152007,,,,,,,                102184,                254191,,                152020,                    -13,,                254181,                     10,,                              0.42,,                              0.42,              9649811,,              9004189,                              0.42,                              0.42,                     36,                  1959,                100558,                    333
3561,2014年01月01日至2014年09月30日,,,,              7316918,                  6116,              7310802,              7310802,,,              6778915,              6778915,                531887,                531887,,,                123855,,                158489,,                 58200,                340544,                191343,,,                 51759,,                  3935,,                 49598,,                -49861,                -43765,                147578,,                     36,                147542,                147542,,,                     80,               -113674,                     14,               -113608,               -113608,                 33934,,                147552,                    -10,,                 33937,                     -3,,                              0.42,,                              0.41,,,,,,,,,
3561,2014年01月01日至2014年06月30日,,,,              5340918,                    879,              5340039,              5340039,,,              4828384,              4828384,                511655,                511655,,,                 68613,,                114309,,                 39808,                222730,                288925,,,                 19829,,                 -4346,,                 33708,,                -32466,                -50691,                238234,,                     36,                238198,                238198,,,                     27,                 74325,                      5,                 74347,                 74347,                312545,,                238204,                     -6,,                312551,                     -6,,                              0.68,,                              0.68,              5340918,,,,,,,,
