證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 其他綜合損益,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）
2540,2015年第3季,,                157220,,                 25325,                131895,                131895,,,                 15595,,                 37953,                 53548,                 78347,,,                  2361,,                              0,,                  9945,                 -7584,                 70763,,                 11335,                 59428,,                              0,                 59428,,,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,                 59428,,                 59428,                              0,,                 59428,                              0,,                              0.41,,,,,,,,,
2540,2015年第2季,,                178265,,                124340,                 53925,                 53925,,,                 17554,,                 34203,                 51757,                  2168,,,                    803,,                   -334,,                  7617,                 -7148,                 -4980,,                 -7303,                  2323,,                              0,                  2323,,,,                              0,,                              0,,,                              0,,                              0,                              0,                  2323,,                  2323,                              0,,                  2323,                              0,,                              0.02,,,,,,,,,
2540,2015年01月01日至2015年09月30日,,                543361,,                257989,                285372,                285372,,,                 53966,,                106356,                160322,                125050,,,                  4148,,                   -175,,                 24074,                -20101,                104949,,                 12032,                 92917,,                              0,                 92917,,,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,                 92917,,                 92917,                              0,,                 92917,                              0,,                              0.63,,,,,,,,,
2540,2015年01月01日至2015年06月30日,,                386141,,                232664,                153477,                153477,,,                 38371,,                 68403,                106774,                 46703,,,                  1787,,                   -175,,                 14129,                -12517,                 34186,,                    697,                 33489,,                              0,                 33489,,,,                              0,,                              0,,,                              0,,                              0,                              0,                 33489,,                 33489,                              0,,                 33489,                              0,,                              0.23,,,,,,,,,
2540,2015年01月01日至2015年03月31日,,                207876,,                108324,                 99552,                 99552,,,                 20817,,                 34200,                 55017,                 44535,,,                    984,,                    159,,                  6512,                 -5369,                 39166,,                  8000,                 31166,,,                 31166,,,,,,,,,,,,,                 31166,,                 31166,                              0,,                 31166,                              0,,                              0.21,,,,,,,,,
2540,2014年第3季,,                291665,,                150053,                141612,                141612,,,                 24680,,                 38696,                 63376,                 78236,,,                    391,,                    -43,,                  7222,                 -6874,                 71362,,                              0,                 71362,,                              0,                 71362,,,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,                 71362,,                 71362,                              0,,                 71362,                              0,,                              0.74,                              0,,,,,,,,
2540,2014年第2季,,                315154,,                178919,                136235,                136235,,,                 21863,,                 34177,                 56040,                 80195,,,                    442,,                    421,,                  4204,                 -3341,                 76854,,                  2000,                 74854,,                              0,                 74854,,,,                              0,,                              0,,,                              0,,                              0,                              0,                 74854,,                 74853,                      1,,                 74853,                      1,,                              0.77,,,,,,,,,
2540,2014年度,,              1150490,,                822550,                327940,                327940,,,                 86695,,                145541,                232236,                 95704,,,                  3514,,                    -29,,                 21449,                -17964,                 77740,,                    617,                 77123,,,                 77123,,,,,,,,,,,,,                 77123,,                 77124,                     -1,,                 77124,                     -1,,                              0.73,,,,,,,,,
2540,2014年01月01日至2014年09月30日,,                805424,,                518836,                286588,                286588,,,                 64518,,                104649,                169167,                117421,,,                  1190,,                    -22,,                 13783,                -12615,                104806,,                  2000,                102806,,                              0,                102806,,,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,                102806,,                102806,                              0,,                102806,                              0,,                              1.06,                              0,,,,,,,,
2540,2014年01月01日至2014年06月30日,,                513759,,                368783,                144976,                144976,,,                 39838,,                 65953,                105791,                 39185,,,                    799,,                     21,,                  6561,                 -5741,                 33444,,                  2000,                 31444,,                              0,                 31444,,,,                              0,,                              0,,,                              0,,                              0,                              0,                 31444,,                 31443,                      1,,                 31443,                      1,,                              0.33,,,,,,,,,
2540,2014年01月01日至2014年03月31日,,                198605,,                189864,                  8741,                  8741,,,                 17975,,                 31776,                 49751,                -41010,,,                    357,,                   -400,,                  2357,                 -2400,                -43410,,                              0,                -43410,,,                -43410,,,,,,,,,,,,,                -43410,,                -43410,                              0,,                -43410,                              0,,                             -0.45,,,,,,,,,
2540,2013年第3季,,                 56329,,                 53642,                  2687,                  2687,,,                      1,,                 17808,                 17809,                -15122,,,                     20,,                              0,,                    959,                   -939,                -16061,,                              0,                -16061,,                              0,                -16061,,,,,,,,,,,,                              0,                -16061,,                -16062,                      1,,                -16062,                      1,,                             -1.15,                              0,,,,,,,,
2540,2013年第2季,,                    120,,                     88,                     32,                     32,,,                      7,,                  5471,                  5478,                 -5446,,,                    105,,                   -187,,                  1002,                 -1084,                 -6530,,                              0,                 -6530,,                              0,                 -6530,,,,,,,,,,,,                              0,                 -6530,,                 -6529,                     -1,,                 -6529,                     -1,,                             -0.51,                              0,,,,,,,,
2540,2013年度,,                507048,,                227189,                279859,                279859,,,                  4141,,                 66755,                 70896,                208963,,,                    492,,                    182,,                  9586,                 -8912,                200051,,                              0,                200051,,,                200051,,,,,,,,,,,,,                200051,,                200004,                     47,,                200004,                     47,,                              7.91,,,,,,,,,
2540,2013年07月01日至2013年09月30日,,                 56329,,                 53642,                  2687,                  2687,,,                      1,,                 17808,                 17809,                -15122,,,                     20,,                              0,,                    959,                   -939,                -16061,,                              0,                -16061,,,                -16061,,,,,,,,,,,,,                -16061,,                -16062,                      1,,                -16062,                      1,,                             -1.15,,,                              0.00,,,,,,
2540,2013年04月01日至2013年06月30日,,                    120,,                     88,                     32,                     32,,,                      7,,                  5471,                  5478,                 -5446,,,                    105,,                   -187,,                  1002,                 -1084,                 -6530,,                              0,                 -6530,,,                 -6530,,,,,,,,,,,,                              0,                 -6530,,                 -6529,                     -1,,                 -6529,                     -1,,                             -0.51,,,                             -0.51,,                              0,                              0,                              0,                              0,
2540,2013年01月01日至2013年12月31日,,                507048,,                227189,                279859,                279859,,,                  4141,,                 66755,                 70896,                208963,,,                    492,,                    182,,                  9586,                 -8912,                200051,,                              0,                200051,,,                200051,,,,,,,,,,,,,                200051,,                200004,                     47,,                200004,                     47,,                              7.91,,,,,,,,,
2540,2013年01月01日至2013年09月30日,,                 56613,,                 54192,                  2421,                  2421,,,                     16,,                 26523,                 26539,                -24118,,,                    293,,                     -1,,                  2972,                 -2680,                -26798,,                              0,                -26798,,                              0,                -26798,,,,,,,,,,,,                              0,                -26798,,                -26798,                              0,,                -26798,                              0,,                             -2.46,                              0,,                              0.00,,,,,,
2540,2013年01月01日至2013年06月30日,,                    284,,                    176,                    108,                    108,,,                     15,,                  8715,                  8730,                 -8622,,,                    258,,                   -360,,                  2013,                 -2115,                -10737,,                              0,                -10737,,                              0,                -10737,,,,,,,,,,,,                              0,                -10737,,                -10736,                     -1,,                -10736,                     -1,,                             -1.09,                              0,,,,,,,,
2540,2013年01月01日至2013年03月31日,,                    164,,                     88,                     76,                     76,,,                      8,,                  3244,                  3252,                 -3176,,,                    153,,                   -173,,                  1011,                 -1031,                 -4207,,,                 -4207,,,                 -4207,,,,,,,,,,,,,                 -4207,,                 -4207,                              0,,                 -4207,                              0,,                             -0.60,,,,,,,,,
2540,2012年07月01日至2012年09月30日,,                    164,,                    277,                   -113,                   -113,,,                      7,,                  2703,                  2710,                 -2823,,,                    612,,                     -2,,                  1099,                   -489,                 -3312,,                              0,                 -3312,,,                 -3312,,,,,,,,,,,,,                 -3312,,                 -3335,                     23,,                 -3335,                     23,,                             -0.48,,,                              0.00,,,,,,
2540,2012年04月01日至2012年06月30日,,                  2876,,                  2319,                    557,                    557,,,                     55,,                  3071,                  3126,                 -2569,,,                    349,,                   -209,,                  1109,                   -969,                 -3538,,                              0,                 -3538,,,                 -3538,,,,,,,,,,,,                              0,                 -3538,,                 -3573,                     35,,                 -3573,                     35,,                             -0.51,,,                             -0.51,,                              0,                              0,                              0,                              0,
