證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2109,2015年第3季,,,,              1597566,                    250,                  2501,              1594815,              1594815,,,              1155730,              1155730,                439085,                439085,,,                139291,,                 85781,,                 11153,                236225,                202860,,,                 -5286,,                -54792,,                 11864,,                 -3378,                -75320,                127540,,                 68599,                 58941,                 58941,,,                              0,                              0,                              0,,                 91497,                   -179,,                   -738,                 17837,                 72743,                 72743,                131684,,                  6885,                 52056,,                 92705,                 38979,,                              0.02,,                              0.02,,,,
2109,2015年第2季,,,,              1681597,                    347,                  2684,              1678566,              1678566,,,              1270589,              1270589,                407977,                407977,,,                144019,,                 83707,,                 11001,                238727,                169250,,,                 15180,,                 10275,,                 10841,,                -10818,                  3796,                173046,,                 88359,                 84687,                 84687,,,                              0,                              0,                              0,,               -125693,                  6505,,                 -1940,                -13501,               -107627,               -107627,                -22940,,                 40429,                 44258,,                -23816,                    876,,                              0.12,,                              0.12,,,,
2109,2015年01月01日至2015年09月30日,,,,              5039531,                    742,                  7686,              5031103,              5031103,,,              3758080,              3758080,              1273023,              1273023,,,                425848,,                253807,,                 32326,                711981,                561042,,,                 22031,,                -99622,,                 33743,,                -19388,               -130722,                430320,,                196903,                233417,                233417,,,                 -2848,                              0,                 -2848,,                -58495,                  7056,,                 -2994,                    304,                -54737,                -57585,                175832,,                 97124,                136293,,                 96333,                 79499,,                              0.30,,                              0.30,,,,
2109,2015年01月01日至2015年06月30日,,,,              3441965,                    492,                  5185,              3436288,              3436288,,,              2602350,              2602350,                833938,                833938,,,                286557,,                168026,,                 21173,                475756,                358182,,,                 27317,,                -44830,,                 21879,,                -16010,                -55402,                302780,,                128304,                174476,                174476,,,                 -2848,                              0,                 -2848,,               -149992,                  7235,,                 -2256,                -17533,               -127480,               -130328,                 44148,,                 90239,                 84237,,                  3628,                 40520,,                              0.28,,                              0.28,,,,
2109,2015年01月01日至2015年03月31日,,,,              1760368,                    145,                  2501,              1757722,              1757722,,,              1331761,              1331761,                425961,                425961,,,                142538,,                 84319,,                 10172,                237029,                188932,,,                 12137,,                -55105,,                 11038,,                 -5192,                -59198,                129734,,                 39945,                 89789,                 89789,,,                 -2848,                              0,                 -2848,,                -24394,                    509,,,                 -4032,                -19853,                -22701,                 67088,,                 49810,                 39979,,                 27444,                 39644,,                              0.15,,                              0.15,,,,
2109,2014年第3季,,,,              1746353,                  3023,                  1937,              1741393,              1741393,,,              1326675,              1326675,                414718,                414718,,,                143158,,                 87604,,                 10539,                241301,                173417,,,                 13265,,                 -6649,,                 12297,,                              0,                 -5681,                167736,,                 29691,                138045,                138045,,,                              0,                              0,                              0,,                 66524,                  3018,,                              0,                  3171,                 66371,                 66371,                204416,,                108994,                 29051,,                155529,                 48887,,                              0.32,,                              0.32,,,,
2109,2014年第2季,,,,              1701262,                    225,                  2045,              1698992,              1698992,,,              1312684,              1312684,                386308,                386308,,,                143496,,                 75394,,                  9263,                228153,                158155,,,                 13316,,                -22093,,                 11128,,                              0,                -19905,                138250,,                 51344,                 86906,                 86906,,,                              0,                              0,                              0,,                -59722,                 -2971,,                              0,                 -2533,                -60160,                -60160,                 26746,,                 60129,                 26777,,                 16092,                 10654,,                              0.18,,                              0.18,,,,
2109,2014年度,,,,              6874203,                  4846,                  8324,              6861033,              6861033,,,              5320295,              5320295,              1540738,              1540738,,,                592463,,                376738,,                 41916,              1011117,                529621,,,                 40461,,                598855,,                 51781,,                 -1804,                585731,              1115352,,                195293,                920059,                920059,,,,,,,,,,,,,                190017,              1110076,,                791264,                128795,,                926551,                183525,,                              2.36,,                              2.35,                217380,                   -198,                    484,                 27649
2109,2014年01月01日至2014年09月30日,,,,              5109300,                  4623,                  6140,              5098537,              5098537,,,              3918788,              3918788,              1179749,              1179749,,,                420109,,                262659,,                 28973,                711741,                468008,,,                 34494,,                -23617,,                 38847,,                              0,                -27970,                440038,,                111394,                328644,                328644,,,                              0,                              0,                              0,,                 90300,                     -7,,                              0,                 12642,                 77651,                 77651,                406295,,                233924,                 94720,,                279110,                127185,,                              0.69,,                              0.69,,,,
2109,2014年01月01日至2014年06月30日,,,,              3362947,                  1600,                  4203,              3357144,              3357144,,,              2592113,              2592113,                765031,                765031,,,                276951,,                175055,,                 18434,                470440,                294591,,,                 21229,,                -16968,,                 26550,,                              0,                -22289,                272302,,                 81703,                190599,                190599,,,                              0,                              0,                              0,,                 23776,                 -3025,,                              0,                  9471,                 11280,                 11280,                201879,,                124930,                 65669,,                123581,                 78298,,                              0.37,,                              0.37,,,,
