證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
6702,2015年第3季,,              2645262,,              3035696,               -390434,               -390434,,                332915,               -723349,,,                 30405,,                513860,,                 58587,,                 16204,                501882,               -221467,,                -16888,               -204579,               -204579,,,                              0,                 -7442,                -88595,,                              0,                              0,                -96037,                -96037,               -300616,,               -204579,                              0,,               -300616,                              0,,                             -0.32,,                             -0.32,,,,,,,,
6702,2015年第2季,,              2309132,,              2713558,               -404426,               -404426,,                286788,               -691214,,,                240141,,                272101,,                 55805,,                 16151,                472588,               -218626,,                   -629,               -217997,               -217997,,,                   -134,                 11878,                 35955,,                              0,                              0,                 47699,                 47699,               -170298,,               -217997,                              0,,               -170298,                              0,,                             -0.35,,                             -0.35,,,,,,,,
6702,2015年01月01日至2015年09月30日,,              7811887,,              8469028,               -657141,               -657141,,                963178,             -1620319,,,              1115195,,                135987,,                169731,,                 43637,              1125088,               -495231,,                -11509,               -483722,               -483722,,,                   -240,                  4769,                -58929,,                              0,                              0,                -54400,                -54400,               -538122,,               -483722,                              0,,               -538122,                              0,,                             -0.77,,                             -0.77,,,,,,,,
6702,2015年01月01日至2015年06月30日,,              5166625,,              5433332,               -266707,               -266707,,                630263,               -896970,,,              1084790,,               -377873,,                111144,,                 27433,                623206,               -273764,,                  5379,               -279143,               -279143,,,                   -240,                 12211,                 29666,,                              0,                              0,                 41637,                 41637,               -237506,,               -279143,                              0,,               -237506,                              0,,                             -0.45,,                             -0.45,,,,,,,,
6702,2015年01月01日至2015年03月31日,,              2857493,,              2719774,                137719,                137719,,                343475,               -205756,,,                844649,,               -649974,,                 55339,,                 11282,                150618,                -55138,,                  6008,                -61146,                -61146,,,                   -106,                    333,                 -6289,,,                              0,                 -6062,                 -6062,                -67208,,                -61146,                              0,,                -67208,                              0,,                             -0.10,,                             -0.10,,,,,,,,
6702,2014年第3季,,              3541085,,              3101367,                439718,                439718,,                339515,                100203,,,                448977,,               -359080,,                 46723,,                 18294,                 61468,                161671,,                 27642,                134029,                134029,,,                    141,                 12708,                    298,,                    446,                              0,                 13593,                 13593,                147622,,                134029,                              0,,                147622,                              0,,                              0.24,,                              0.20,,,,,,,,
6702,2014年第2季,,              3547976,,              3010118,                537858,                537858,,                350942,                186916,,,                 38791,,                -40381,,                 41644,,                 19159,                -24075,                162841,,                 54152,                108689,                108689,,,                   -150,                 -8858,                   -298,,                  1280,                              0,                 -8026,                 -8026,                100663,,                108689,                              0,,                100663,                              0,,                              0.20,,                              0.18,,,,,,,,
6702,2014年度,,             13215447,,             11533626,              1681821,              1681821,,              1281587,                400234,,,                568138,,               -403691,,                179633,,                 61259,                 46073,                446307,,                141396,                304911,                304911,,,,,,,,,,                -95767,                209144,,                304911,                              0,,                209144,                              0,,                              0.55,,                              0.44,                    494,                 -5362,                -33355,                -70011,,                    565,                -11902,
6702,2014年01月01日至2014年09月30日,,             10061077,,              8681182,              1379895,              1379895,,                966526,                413369,,,                508144,,               -455120,,                125444,,                 52484,                -19936,                393433,,                101097,                292336,                292336,,,                    156,                 15594,                 -1748,,                    317,                              0,                 14319,                 14319,                306655,,                292336,                              0,,                306655,                              0,,                              0.52,,                              0.45,,,,,,,,
6702,2014年01月01日至2014年06月30日,,              6519992,,              5579815,                940177,                940177,,                627011,                313166,,,                 59167,,                -96040,,                 78721,,                 34190,                -81404,                231762,,                 73455,                158307,                158307,,,                     15,                  2886,                 -2046,,                   -129,                              0,                    726,                    726,                159033,,                158307,                              0,,                159033,                              0,,                              0.29,,                              0.27,,,,,,,,
6702,2014年01月01日至2014年03月31日,,              2972016,,              2569697,                402319,                402319,,                276069,                126250,,,                 20376,,                -55659,,                 37077,,                 15031,                -57329,                 68921,,                 19303,                 49618,                 49618,,,                    165,                 10335,                 -1748,,,                              0,                  8752,                  8752,                 58370,,                 49618,                              0,,                 58370,                              0,,                              0.09,,                              0.09,,,,,,,,
6702,2013年第3季,,              3493945,,              3089172,                404773,                404773,,                295137,                109636,,,                 23854,,                  3709,,                 32283,,                 15317,                 10597,                120233,,                 16563,                103670,                103670,,,,,,,,,,                 -2886,                100784,,                103670,                              0,,                100784,                              0,,                              0.19,,                              0.19,                   -107,                 -4864,                  2864,,,                   -779,                              0,
6702,2013年第2季,,              3026260,,              2831848,                194412,                194412,,                276252,                -81840,,,                 10622,,                 13703,,                 36671,,                 14669,                  2323,                -79517,,                -22675,                -56842,                -56842,,,,,,,,,,                 17742,                -39100,,                -56842,                              0,,                -39100,                              0,,                             -0.10,,                             -0.10,                     44,                 20309,                 -2738,,,                    127,                              0,
