證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 與其他綜合損益組成部分相關之所得稅
2501,2015年第3季,,                697240,,                535866,                161374,                161374,,                261595,               -100221,,,                127679,,                 -5591,,                 42437,,                 -5047,                 74604,                -25617,,                 -1066,                -24551,                -24551,,,                 68361,               -590080,,                 -5493,               -527212,               -527212,               -551763,,                  8968,                -33519,,               -537521,                -14242,,                              0.01,,,,,,,
2501,2015年第2季,,              2063400,,              1403521,                659879,                659879,,                312252,                347627,,,                 28378,,                 82333,,                 47463,,                 -4714,                 58534,                406161,,                102107,                304054,                304054,,,                -25081,                154413,,                 -1109,                128223,                128223,                432277,,                334689,                -30635,,                471550,                -39273,,                              0.20,,,,,,,
2501,2015年第1季,,              3911530,,              2066074,              1845456,              1845456,,                235216,              1610240,,,                 12013,,                -16379,,                 51709,,                    455,                -55620,              1554620,,                 77073,              1477547,              1477547,,,                -33347,                180989,,                   -707,                146935,                146935,              1624482,,              1510452,                -32905,,              1668491,                -44009,,                              0.91,,,,,,,
2501,2015年01月01日至2015年09月30日,,              6672170,,              4005461,              2666709,              2666709,,                809063,              1857646,,,                168070,,                 60363,,                141609,,                 -9306,                 77518,              1935164,,                178114,              1757050,              1757050,,,                  9933,               -254678,,                 -7309,               -252054,               -252054,              1504996,,              1854109,                -97059,,              1602520,                -97524,,                              1.12,,,,,,,
2501,2015年01月01日至2015年06月30日,,              5974930,,              3469595,              2505335,              2505335,,                547468,              1957867,,,                 40391,,                 65954,,                 99172,,                 -4259,                  2914,              1960781,,                179180,              1781601,              1781601,,,                -58428,                335402,,                 -1816,                275158,                275158,              2056759,,              1845141,                -63540,,              2140041,                -83282,,                              1.11,,,,,,,
2501,2014年第3季,,              1681642,,              1102611,                579031,                579031,,                260800,                318231,,,                103396,,                120782,,                 60791,,                  1312,                164699,                482930,,                 37567,                445363,                445363,,,                 68984,                456757,,                    118,                525859,                525859,                971222,,                450302,                 -4939,,                953219,                 18003,,                              0.27,,,,,,,
2501,2014年第2季,,              2044408,,              1345670,                698738,                698738,,                284306,                414432,,,                108437,,                  8158,,                 48312,,                  3138,                 71421,                485853,,                158021,                327832,                327832,,,                -27830,                124294,,                -27005,                 69459,                 69459,                397291,,                356650,                -28818,,                443779,                -46488,,                              0.21,,,,,,,
2501,2014年第1季,,              1051342,,                863063,                188279,                188279,,                283578,                -95299,,,                 14769,,                   -379,,                 45535,,                  6349,                -24796,               -120095,,                 -6841,               -113254,               -113254,,,                -54577,               -238270,,                 27160,               -265687,               -265687,               -378941,,                -84997,                -28257,,               -340669,                -38272,,                             -0.05,,,,,,,
2501,2014年度,,              9892378,,              5570441,              4321937,              4321937,,              1323636,              2998301,,,                251446,,                106353,,                212428,,                  4785,                150156,              3148457,,                287028,              2861429,              2861429,,,,,,,,                 55126,              2916555,,              2953316,                -91887,,              2984941,                -68386,,                              1.78,                 72111,                -21084,,                  4099,,,
2501,2014年01月01日至2014年09月30日,,              4777392,,              3311344,              1466048,              1466048,,                828684,                637364,,,                226602,,                128561,,                154638,,                 10799,                211324,                848688,,                188747,                659941,                659941,,,                -13423,                342781,,                    273,                329631,                329631,                989572,,                721955,                -62014,,              1056329,                -66757,,                              0.44,,,,,,,
