證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3706,2015年第3季,,             10177575,,              8758687,              1418888,              1418888,,,                331819,,                399727,,                586571,              1318117,                100771,,,                182175,,                 46067,,                  9143,,                300524,                519623,                620394,,                129173,                491221,                491221,,,              1103148,               -197382,,                -31573,                874193,                874193,              1365414,,                491221,                              0,,              1365414,                              0,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,
3706,2015年第2季,,             16625857,,             15039466,              1586391,              1586391,,,                328217,,                358793,,                603072,              1290082,                296309,,,                 64410,,                -23026,,                 12836,,                313876,                342424,                638733,,                118044,                520689,                520689,,,               -157380,                 29551,,               -174925,               -302754,               -302754,                217935,,                520689,                              0,,                217935,                              0,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,
3706,2015年01月01日至2015年09月30日,,             40217284,,             35715162,              4502122,              4502122,,,              1024663,,              1100067,,              1806656,              3931386,                570736,,,                301076,,                 16341,,                 32894,,                972430,              1256953,              1827689,,                383771,              1443918,              1443918,,,                659356,               -160733,,               -187772,                310851,                310851,              1754769,,              1443918,                              0,,              1754769,                              0,,                              1.91,                              1.91,,                              1.90,                              1.90,,,,,,
3706,2015年01月01日至2015年06月30日,,             30039709,,             26956475,              3083234,              3083234,,,                692844,,                700340,,              1220085,              2613269,                469965,,,                118901,,                -29726,,                 23751,,                671906,                737330,              1207295,,                254598,                952697,                952697,,,               -443792,                 36649,,               -156199,               -563342,               -563342,                389355,,                952697,                              0,,                389355,                              0,,                              1.27,                              1.27,,                              1.26,                              1.26,,,,,,
3706,2015年01月01日至2015年03月31日,,             13413852,,             11917009,              1496843,              1496843,,,                364627,,                341547,,                617013,              1323187,                173656,,,                 54491,,                 -6700,,                 10915,,                358030,                394906,                568562,,                136554,                432008,                432008,,,               -286412,                  7098,,                 18726,               -260588,               -260588,                171420,,                432008,                              0,,                171420,                              0,,                              0.58,                              0.58,,                              0.57,                              0.57,,,,,,
3706,2014年第3季,,              9989217,,              8639635,              1349582,              1349582,,,                408970,,                362846,,                760513,              1532329,               -182747,,,                169883,,                  3240,,                 10901,,                304181,                466403,                283656,,                 65254,                218402,                218402,,,                347312,               -136310,,                -97111,                113891,                113891,                332293,,                218463,                    -61,,                332354,                    -61,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,
3706,2014年第2季,,             11745022,,             10166276,              1578746,              1578746,,,                440259,,                351871,,                713041,              1505171,                 73575,,,                 83822,,                -14709,,                 12917,,                280320,                336516,                410091,,                 98398,                311693,                311693,,,               -306417,                  3899,,                 78835,               -223683,               -223683,                 88010,,                311753,                    -60,,                 88070,                    -60,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,
3706,2014年度,,             42060342,,             36356436,              5703906,              5703906,,,              1671976,,              1473662,,              2919197,              6064835,               -360929,,,                390563,,               -148370,,                 44146,,              1213705,              1411752,              1050823,,                289903,                760920,                760920,,,,,,,,                782609,              1543529,,                761086,                   -166,,              1543695,                   -166,,                              1.03,                              1.03,,                              1.02,                              1.02,                889391,                -94686,                -42706,,                 23350,                 -7260
3706,2014年01月01日至2014年09月30日,,             30233050,,             26115524,              4117526,              4117526,,,              1294259,,              1090219,,              2131947,              4516425,               -398899,,,                312150,,                 40007,,                 31591,,                775693,              1096259,                697360,,                205192,                492168,                492168,,,                239153,               -144780,,                 13391,                107764,                107764,                599932,,                492285,                   -117,,                600049,                   -117,,                              0.67,                              0.67,,                              0.65,                              0.65,,,,,,
3706,2014年01月01日至2014年06月30日,,             20243833,,             17475889,              2767944,              2767944,,,                885289,,                727373,,              1371434,              2984096,               -216152,,,                142267,,                 36767,,                 20690,,                471512,                629856,                413704,,                139938,                273766,                273766,,,               -108159,                 -8470,,                110502,                 -6127,                 -6127,                267639,,                273822,                    -56,,                267695,                    -56,,                              0.37,                              0.37,,                              0.36,                              0.36,,,,,,
