證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換利益,　 已實現銷貨（損）益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資損失,　　 重估價之利益（損失）,　　 其他綜合損益
2204,2015年第2季,,,              8889720,,                293975,              9183695,,,              7297060,                 44083,              7341143,              1842552,                -11369,              1853921,,,                368668,,                244568,,                447440,              1060676,                793245,,,,                 57436,                 22518,                 79954,,                 23113,                 25167,                  4317,                 26602,,                  1677,                 15684,,                 10305,                 10305,,                292212,                377545,              1170790,,                161822,              1008968,              1008968,,,                 -8873,                -11417,                              0,,               -140511,                              0,               -160801,               -160801,                848167,,                932601,                 76367,,                795473,                 52694,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,,,,,,,,
2204,2015年01月01日至2015年06月30日,,,             19262527,,                802250,             20064777,,,             15956680,                102986,             16059666,              4005111,                 26899,              3978212,,,                857546,,                533557,,                884420,              2275523,              1702689,,,,                107097,                 33192,                140289,,                 36399,                 47344,                  9708,                 46459,,                  1677,                 25899,,                 16005,                 16005,,                534317,                684500,              2387189,,                314193,              2072996,              2072996,,,                -11064,                -29862,                              0,,               -258792,                              0,               -299718,               -299718,              1773278,,              1921241,                151755,,              1664510,                108768,,                              1.41,                              1.41,,                              1.41,                              1.41,,,,,,,,,,,,,
2204,2015年01月01日至2015年03月31日,,,             10372807,,                508275,             10881082,,,              8659620,                 58903,              8718523,              2162559,                 38268,              2124291,,,                488878,,                288989,,                436980,              1214847,                909444,,,,                 49661,                 10674,                 60335,,                 13286,                 22177,                  5391,                 19857,,,                 10215,,                  5700,                  5700,,                242105,                306955,              1216399,,                152371,              1064028,              1064028,,,                 -2191,                -18445,                              0,,               -118281,                              0,               -138917,               -138917,                925111,,                988640,                 75388,,                869037,                 56074,,                              0.73,                              0.73,,                              0.72,                              0.72,                              0,,,,,,,,,,,,
2204,2014年第3季,,,              8335062,,                171476,              8506538,,,              6966101,                 21794,              6987895,              1518643,                -25478,              1544121,,,                244094,,                283087,,                477883,              1005064,                539057,,,,                 38927,                 50331,                 89258,,                 16384,                              0,                 10459,                              0,,                              0,                 -2335,,                  6246,                  6246,,                194754,                275431,                814488,,                 95850,                718638,                718638,,,,,,,,,,                236958,                955596,,                669186,                 49452,,                871561,                 84035,,                              0.49,                              0.49,,                              0.48,                              0.48,                 51749,,                 60009,                    530,                107010,                -12375,,,                139689,                 -2104,                              0,,
2204,2014年第2季,,,              9557262,,                317343,              9874605,,,              7998453,                 18924,              8017377,              1857228,                  4230,              1852998,,,                415253,,                299738,,                390852,              1105843,                747155,,,,                 37355,                 25604,                 62959,,                 24073,                  9584,                 11096,                 38466,,                 71438,                -87343,,                  6858,                  6858,,                170402,                139160,                886315,,                105343,                780972,                780972,,,                   -589,                 28843,                  2467,,               -142023,                    419,               -111721,               -111721,                669251,,                698576,                 82396,,                610167,                 59084,,                              0.52,                              0.52,,                              0.51,                              0.51,,,,,,,,,,,,,
2204,2014年度,,,             34767347,,              1184080,             35951427,,,             29115654,                782315,             29897969,              6053458,,              6062064,,,                760460,,              1200183,,              2131257,              4091900,              1970164,,,,                154425,                157658,                312083,,                 76151,,                 19190,,,                129130,                    550,,                 21313,                 21313,,                978415,              1269735,              3239899,,                418187,              2821712,              2821712,,,,,,,,,,                732318,              3554030,,              2558290,                263422,,              3223882,                330148,,                              1.88,                              1.88,,                              1.88,                              1.88,                107254,                  8606,                 34535,                 66064,                248114,                              0,                -24801,,                438725,                 -4216,,,
2204,2014年01月01日至2014年09月30日,,,             27597651,,                881196,             28478847,,,             23190840,                 58732,             23249572,              5229275,                 11337,              5217938,,,              1114419,,                836743,,              1311012,              3262174,              1955764,,,,                116385,                 90630,                207015,,                 78459,                              0,                 27016,                              0,,                 71438,                  1831,,                 22447,                 22447,,                623811,                810210,              2765974,,                371649,              2394325,              2394325,,,,,,,,,,                146694,              2541019,,              2203274,                191051,,              2344031,                196988,,                              1.62,                              1.62,,                              1.61,                              1.61,                 24789,,                  2963,                    600,                140980,                -12375,,,                 15385,                 -2104,                              0,,
2204,2014年01月01日至2014年06月30日,,,             19262589,,                709720,             19972309,,,             16224739,                 36938,             16261677,              3710632,                 36815,              3673817,,,                870325,,                553656,,                833129,              2257110,              1416707,,,,                 77458,                 40299,                117757,,                 62075,                 57046,                 16557,                 26960,,                 71438,                  4166,,                 16201,                 16201,,                429057,                534779,              1951486,,                275799,              1675687,              1675687,,,                     70,                 33970,                              0,,               -124304,                              0,                -90264,                -90264,              1585423,,              1534088,                141599,,              1472470,                112953,,                              1.13,                              1.13,,                              1.12,                              1.12,,,,,,,,,,,,,
2204,2014年01月01日至2014年03月31日,,,              9705327,,                392377,             10097704,,,              8226286,                 18014,              8244300,              1853404,                 32585,              1820819,,,                455072,,                253918,,                442277,              1151267,                669552,,,,                 40103,                 14695,                 54798,,                 38002,                 47462,                  5461,                              0,,,                 91509,,                  9343,                  9343,,                258655,                395619,              1065171,,                170456,                894715,                894715,,,                    659,                  5127,                 -2467,,                 17719,                   -419,                 21457,                 21457,                916172,,                835512,                 59203,,                862303,                 53869,,                              0.61,                              0.61,,                              0.61,                              0.61,                 11506,,,,,,,,,,,,
2204,2013年第3季,,,              7874571,,                300385,              8174956,,,              6696220,                 21691,              6717911,              1457045,                -13206,              1470251,,,                342186,,                227299,,                459736,              1029221,                441030,,,,                 35046,                 51130,                 86176,,                              0,                 80945,                -19767,                 30282,,                118299,                -61461,,                  7337,                  7337,,                184916,                202294,                643324,,                 69686,                573638,                573638,,,,,,,,,,                 40887,                614525,,                499385,                 74253,,                554554,                 59971,,                              0.37,                              0.37,,                              0.37,                              0.37,                              0,,                              0,                 -1328,                 43054,                              0,,,                   -839,                              0,                 13592,,
2204,2013年第2季,,,              8240260,,                315919,              8556179,,,              7071470,                 53434,              7124904,              1431275,                 -6802,              1438077,,,                362812,,                263138,,                398881,              1024831,                413246,,,,                 29407,                 31092,                 60499,,                 12248,                              0,                  7413,                              0,,                              0,                 66310,,                  9540,                  9540,,                385879,                503148,                916394,,                 88093,                828301,                828301,,,,,,,,,,              1088054,              1916355,,                789921,                 38380,,              1857329,                 59026,,                              0.58,                              0.58,,,,                 83567,,                 22092,                  5202,                929200,                 10996,,,                144526,                  1870,,,
2204,2013年度,,,             34200990,,              1338835,             35539825,,,             29447799,                937470,             30385269,              5154556,,              5182483,,,                596377,,              1375383,,              1830214,              3801974,              1380509,,,,                126559,                180568,                307127,,                 69088,,                 36909,,,                139490,                 45768,,                 28024,                 28024,,              1360568,              1685439,              3065948,,                314926,              2751022,              2751022,,,,,,,,,,              1916382,              4667404,,              2531878,                219144,,              4368486,                298918,,                              1.86,                              1.86,,                              1.86,                              1.86,                154866,                 27927,                  1787,                 88358,              1023953,                 48706,                140228,,                638976,                 23839,,,
2204,2013年07月01日至2013年09月30日,,,              7874571,,                300385,              8174956,,,              6696220,                 21691,              6717911,              1457045,                -13206,              1470251,,,                342186,,                227299,,                459736,              1029221,                441030,,,,                 35046,                 51130,                 86176,,                 23139,                 44214,                 98532,                 30282,,,                -61461,,                  7337,                  7337,,                184916,                202294,                643324,,                 69686,                573638,                573638,,,,,,,,,,                 40860,                614498,,                499385,                 74253,,                554527,                 59971,,                              0.37,                              0.37,,,,                              0,,                              0,                 -1328,                 43054,                              0,,,                   -866,,,,
2204,2013年04月01日至2013年06月30日,,,              8240260,,                315919,              8556179,,,              7071470,                 53434,              7124904,              1431275,                 -6802,              1438077,,,                362812,,                263138,,                398881,              1024831,                413246,,,,                 29407,                 31092,                 60499,,                              0,                  8140,                  7413,                              0,,,                 66310,,                  9540,                  9540,,                385879,                503148,                916394,,                 88093,                828301,                828301,,,,,,,,,,              1088054,              1916355,,                789921,                 38380,,              1857329,                 59026,,                              0.58,                              0.58,,,,                 83567,,                              0,                  5202,                929200,                 10996,,,                144526,                  1870,                 17984,,
2204,2013年01月01日至2013年12月31日,,,             34200990,,              1338835,             35539825,,,             29447799,                937470,             30385269,              5154556,,              5182483,,,                596377,,              1375383,,              1830214,              3801974,              1380509,,,,                126559,                180568,                307127,,                140970,,                 36909,                              0,,                139490,                 45768,,                 28024,                 28024,,              1360568,              1685439,              3065948,,                314926,              2751022,              2751022,,,,,,,,,,              1916382,              4667404,,              2531878,                219144,,              4368486,                298918,,                              1.86,                              1.86,,,,                154866,                 27927,                 73669,                 88358,              1023953,                 48706,,,                632893,,,                147996,                -25524
2204,2013年01月01日至2013年09月30日,,,             25880294,,                913524,             26793818,,,             22395001,                 56099,             22451100,              4342718,                 -1619,              4344337,,,              1027215,,              1058340,,              1202582,              3288137,              1056200,,,,                 91338,                110506,                201844,,                              0,                              0,                 34710,                              0,,                118299,                -77588,,                 24123,                 24123,,                975149,              1075282,              2131482,,                231486,              1899996,              1899996,,,,,,,,,,              1446311,              3346307,,              1770197,                129799,,              3164062,                182245,,                              1.30,                              1.30,,                              1.30,                              1.30,                104735,,                 18323,                 15061,              1055294,                 48706,,,                327250,                              0,                 10991,,
2204,2013年01月01日至2013年06月30日,,,             18005723,,                613139,             18618862,,,             15698781,                 70921,             15769702,              2849160,                 11587,              2837573,,,                685029,,                831041,,                742846,              2258916,                578657,,,,                 56292,                 59376,                115668,,                  2601,                              0,                 17964,                              0,,                              0,                 20386,,                 16786,                 16786,,                790233,                909501,              1488158,,                161800,              1326358,              1326358,,,,,,,,,,              1405424,              2731782,,              1270812,                 55546,,              2609508,                122274,,                              0.93,                              0.93,,,,                135017,,                 99268,                 16389,              1012240,                 48706,,,                328089,                              0,,,
2204,2013年01月01日至2013年03月31日,,,              9765463,,                297220,             10062683,,,              8627311,                 17487,              8644798,              1417885,                 18389,              1399496,,,                322217,,                567903,,                343965,              1234085,                165411,,,,                 26885,                 28284,                 55169,,                              0,                              0,                 10551,,,,                -45924,,                  7246,                  7246,,                404354,                406353,                571764,,                 73707,                498057,                498057,,,,,,,,,,                317370,                815427,,                480891,                 17166,,                752179,                 63248,,                              0.35,                              0.35,,,,                 51450,,                 77176,                 11187,                 83040,                 37710,,,                183563,                 -1870,                  9647,,
