證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 什項支出,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9926,2014年01月01日至2014年03月31日,,                848161,,                724266,                123895,                123895,,                 36640,,                  1155,                  1155,                 88410,,,,                  1156,                              0,                    323,                  1479,,                  1808,                     20,,                  1788,,                   -756,                  2511,                 90921,,                 15295,                 75626,                 75626,,,                -12505,,                     56,                -12449,                -12449,                 63177,,                 75626,,                 63177,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,,,,
9926,2013年第3季,,                496186,,                430088,                 66098,                 66098,,                 37834,,,                  1367,                 29631,,,,                  1113,                 17538,                    495,                 19146,,                  8659,                              0,,                  8659,,                   -560,                 27245,                 56876,,                  5142,                 51734,                 51734,,,,,,,                 -2121,                 49613,,                 51734,,                 49613,,                              0.31,                              0.31,,                              0.31,                              0.31,,,                 -2121,,,                              0,
9926,2013年第2季,,                626357,,                522940,                103417,                103417,,                 38057,,,                    998,                 66358,,,,                  1310,                    230,                     92,                  1632,,                  6248,                              0,,                  6248,,                   -976,                  6904,                 73262,,                 12059,                 61203,                 61203,,,,,,,                  5785,                 66988,,                 61203,,                 66988,,                              0.38,                              0.38,,                              0.38,                              0.38,,,                  4938,,,                    847,
9926,2013年度,,              2562940,,              2199877,                363063,                363063,,                160181,,,                  4887,                207769,,,,                  4494,                 17767,                  1512,                 23773,,                 24031,                              0,,                 24031,,                 -3603,                 44080,                251849,,                 36797,                215052,                215052,,,,,,,                 31889,                246941,,                215052,,                246941,,                              1.29,                              1.29,,                              1.29,                              1.29,,                    121,                 31434,                    706,,                   -131,                    120
9926,2013年07月01日至2013年09月30日,,                496186,,                430088,                 66098,                 66098,,                 37834,,,                  1367,                 29631,,,,,,,                 19146,,,,,                  8659,,                   -560,                 27245,                 56876,,                  5142,                 51734,                 51734,,,,,,,                 -2121,                 49613,,                 51734,,                 49613,,                              0.32,                              0.32,,                              0.32,                              0.32,,                              0,                 -2121,,,,
9926,2013年04月01日至2013年06月30日,,                626357,,                522940,                103417,                103417,,                 38057,,,                              0,                 65360,,,,,,,                  2647,,,,,                  6231,,                   -976,                  7902,                 73262,,                 12059,                 61203,                 61203,,,,,,,                  5785,                 66988,,                 61203,,                 66988,,                              0.40,                              0.40,,                              0.40,                              0.40,,                              0,                  5785,,,,
9926,2013年01月01日至2013年12月31日,,              2562940,,              2199877,                363063,                363063,,                160181,,,                  4887,                207769,,,,                  4494,                 17767,                  1512,                 23773,,                 24031,                              0,,                 24031,,                 -3603,                 44080,                251849,,                 36797,                215052,                215052,,,,,,,                 31889,                246941,,                215052,,                246941,,                              1.34,                              1.34,,                              1.34,                              1.34,,                    121,                 31434,                    706,,                   -131,                    120
9926,2013年01月01日至2013年09月30日,,              1837980,,              1597089,                240891,                240891,,                110870,,,                  3914,                133935,,,,                  3250,                 17768,                    692,                 21710,,                 19602,                              0,,                 19602,,                 -2739,                 38573,                172508,,                 23724,                148784,                148784,,,,,,,                 34002,                182786,,                148784,,                182786,,                              0.89,                              0.89,,                              0.89,                              0.89,,,                 33983,,,                     19,
9926,2013年01月01日至2013年06月30日,,              1341794,,              1167001,                174793,                174793,,                 73036,,,                  2547,                104304,,,,                  2137,                    230,                    197,                  2564,,                 10943,                              0,,                 10943,,                 -2179,                 11328,                115632,,                 18582,                 97050,                 97050,,,,,,,                 36123,                133173,,                 97050,,                133173,,                              0.61,                              0.61,,                              0.60,                              0.60,,,                 35421,,,                    702,
9926,2013年01月01日至2013年03月31日,,                715437,,                644061,                 71376,                 71376,,                 34979,,,                  1549,                 37946,,,,,,,                    932,,,,,                  4695,,                 -1203,                  4424,                 42370,,                  6523,                 35847,                 35847,,,,,,,                 30338,                 66185,,                 35847,,                 66185,,                              0.22,                              0.22,,                              0.22,                              0.22,,,                 30483,,,                   -145,
9926,2012年07月01日至2012年09月30日,,                527643,,                430434,                 97209,                 97209,,                 39504,,,                  1571,                 59276,,,,,,,                 18262,,,,,                 -1366,,                              0,                 16895,                 76171,,                 10403,                 65768,                 65768,,,,,,,                 47622,                113390,,                 65768,,                113390,,                              0.41,                              0.41,,                              0.41,                              0.41,,                      1,                 47622,,,,
9926,2012年04月01日至2012年06月30日,,                611704,,                489781,                121923,                121923,,                 38882,,,                   -199,                 82842,,,,,,,                  4452,,,,,                  3182,,                 -2020,                  5613,                 88455,,                 14523,                 73932,                 73932,,,,,,,                -21739,                 52193,,                 73932,,                 52193,,                              0.49,                              0.49,,                              0.49,                              0.49,,                      1,                -21739,,,,
9926,2012年01月01日至2012年12月31日,,              2734035,,              2227310,                506725,                506725,,                172521,,,                  4499,                338703,,,,                  3720,                 17225,                  1804,                 22749,,                  5510,                    541,,                  4969,,                 -3609,                 24107,                362810,,                 58066,                304744,                304744,,,,,,,                 37031,                341775,,                304744,,                341775,,                              1.90,                              1.90,,                              1.89,                              1.89,,                      2,                 33143,                  4692,,                     -6,                    798
9926,2012年01月01日至2012年09月30日,,              1942243,,              1584811,                357432,                357432,,                116472,,,                  2716,                243676,,,,,,,                 21684,,,,,                  5380,,                 -2020,                 25042,                268718,,                 42001,                226717,                226717,,,,,,,                 37622,                264339,,                226717,,                264339,,                              1.41,                              1.41,,                              1.41,                              1.41,,                      2,                 37622,,,,
9926,2012年01月01日至2012年06月30日,,              1414600,,              1154377,                260223,                260223,,                 76968,,,                   -644,                182611,,,,,,,                  5994,,,,,                  5963,,                 -2020,                  9936,                192547,,                 31598,                160949,                160949,,,,,,,                -10000,                150949,,                160949,,                150949,,                              1.06,                              1.06,,                              1.06,                              1.06,,                      1,                -10000,,,,
9926,2012年01月01日至2012年03月31日,,                802896,,                664596,                138300,                138300,,                 38086,,,                   -445,                 99769,,,,                    430,,                  1112,                  1542,,,,,                  2781,,                              0,                  4323,                104092,,                 17075,                 87017,                 87017,,,,,,,                 11739,                 98756,,                 87017,,                 98756,,                              0.58,                              0.58,,                              0.57,                              0.57,,,                 11739,,,,
