證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資損失,　　　 外幣兌換損失,　　　 租金收入,　　　 股利收入,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分不動產、廠房及設備損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　　 採用權益法認列之關聯企業及合資利益之份額,　 未實現銷貨（損）益,　 已實現銷貨（損）益
3653,2014年01月01日至2014年03月31日,,                872757,,                666063,                206694,                206694,,,                 22416,,                 64080,,                 51630,                138126,                 68568,,,,                  2498,                              0,                  2498,,,                 25047,                    355,                     86,                 24606,,,,,                  3553,                 -3553,                 23551,                 92119,,                  8668,                 83451,,,                 83451,,,                 10399,                  1820,,,                 12219,                 12219,                 95670,,                 83451,,                 95670,,                              0.79,                              0.79,,                              0.78,                              0.78,,                              0,,,,,,,,,,,,,,,,,,,,,
3653,2013年第3季,,              1006245,,                709126,                297119,                297119,,,                 24621,,                 59763,,                 47759,                132143,                164976,,,,                  2202,                    782,                  2984,,,,,                -20555,                  9961,,                              0,                              0,,                  3544,                 -3544,                  9401,                174377,,                 23339,                151038,,,                151038,,,,,,,,                 -7014,                144024,,                151038,,                144024,,                              1.43,                              1.43,,                              1.42,                              1.42,                              0,                 10594,,,,,,                 -7418,                    404,,,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,
3653,2013年第2季,,                860089,,                661259,                198830,                198830,,,                 27637,,                 49893,,                 44641,                122171,                 76659,,,,                  3160,                              0,                  3160,,,                  5149,                  4940,                 54067,                -53858,,,                     19,,                  1512,                 -1512,                -52229,                 24430,,                 -4768,                 29198,,,                 29198,,,,,,,,                 17149,                 46347,,                 29198,,                 46347,,                              0.28,                              0.28,,                              0.27,                              0.27,                              0,                              0,,,,,,                 16575,                    574,,,,,,,,                              0,                              0,                              0,                              0,                              0,,
3653,2013年度,,              3552253,,              2679528,                872725,                872725,,,                 95216,,                226804,,                187619,                509639,                363086,,,,                 10711,                  1906,                 13332,,                              0,,                  6307,,                -28627,,                    321,                    321,,,                 -6201,                -21817,                341269,,                 51955,                289314,,,                289314,,,,,,,,                 39711,                329025,,                289314,,                329025,,                              2.73,                              2.73,,                              2.71,                              2.71,,                -23468,                    224,                    491,                    187,                -45126,                    849,                 45998,                  1675,                -10723,                  2761,,,,,,,,,,,,
3653,2013年07月01日至2013年09月30日,,              1006245,,                709126,                297119,                297119,,,                 24621,,                 59763,,                 47759,                132143,                164976,,,,                  2202,,                  2202,,                              0,,                   -786,,                 10743,,                              0,                              0,,,                 -3544,                  9401,                174377,,                 23339,                151038,,,                151038,,,,,,,,                 -7014,                144024,,                151038,,                144024,,                              1.43,                              1.43,,                              1.42,                              1.42,,                 10594,,,                     -4,                 20555,,                 -7418,                    404,,,,,,,,,,,,,,
3653,2013年04月01日至2013年06月30日,,                860089,,                661259,                198830,                198830,,,                 27637,,                 49893,,                 44641,                122171,                 76659,,,,                  3160,,                  3160,,                              0,,                  5035,,                -53858,,                     19,                     19,,,                 -1512,                -52229,                 24430,,                 -4768,                 29198,,,                 29198,,,,,,,,                 17149,                 46347,,                 29198,,                 46347,,                              0.28,                              0.28,,                              0.27,                              0.27,,                 -5149,,,                     95,                -54067,,                 16575,                    574,,,,,,,,,,,,,,
3653,2013年01月01日至2013年12月31日,,              3552253,,              2679528,                872725,                872725,,,                 95216,,                226804,,                187619,                509639,                363086,,,,                 10711,                  1906,                 13332,,                              0,,                  6307,,                -28627,,                    321,                    321,,,                 -6201,                -21817,                341269,,                 51955,                289314,,,                289314,,,,,,,,                 39711,                329025,,                289314,,                329025,,,                              2.73,,,                              2.71,,                -23468,                    224,                    491,                    187,                -45126,                    849,                 45998,                  1675,                -10723,                  2761,,,,,,,,,,,,
3653,2013年01月01日至2013年09月30日,,              2591844,,              1997246,                594598,                594598,,,                 66557,,                166079,,                135705,                368341,                226257,,,,                  8549,                 -3893,                  4656,,,,,                 43913,                -28884,,                    319,                    319,,                  2162,                 -2162,                -26709,                199548,,                 15923,                183625,,,                183625,,,,,,,,                 34273,                217898,,                183625,,                217898,,                              1.73,                              1.73,,                              1.72,                              1.72,                              0,                -15029,,,,,,                 33235,                  1038,,,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,
3653,2013年01月01日至2013年06月30日,,              1585599,,              1288120,                297479,                297479,,,                 41936,,                106316,,                 87946,                236198,                 61281,,,,                  6347,                              0,                  6347,,,                 25623,                  4675,                 64468,                -43520,,,                    319,,                              0,                  1382,                -36110,                 25171,,                 -7416,                 32587,,,                 32587,,,,,,,,                 41287,                 73874,,                 32587,,                 73874,,                              0.31,                              0.31,,                              0.30,                              0.30,                              0,                              0,,,,,,                 40653,                    634,,,,,,,,                              0,                              0,                              0,                              0,                  1382,,
3653,2013年01月01日至2013年03月31日,,                725510,,                626861,                 98649,                 98649,,,                 14299,,                 56423,,                 43305,                114027,                -15378,,,,                  3187,                    265,                  3452,,,                 20474,                              0,                 10401,                 10073,,                    300,                    300,,                              0,                  2894,                 16119,                    741,,                 -2648,                  3389,,,                  3389,,,,,,,,                 24138,                 27527,,                  3389,,                 27527,,,                              0.03,,,                              0.03,,,,,,,,                 24078,                     60,,,,,,,,                              0,                              0,                              0,                              0,                  2894,                              0,                              0
3653,2012年07月01日至2012年09月30日,,                883339,,                673829,                209510,                209510,,,                 25354,,                 57210,,                 46740,                129304,                 80206,,,,                  2556,,                  2556,,                    155,,                   -795,,                  2141,,                    673,                    673,,,                 -3077,                    947,                 81153,,                 21953,                 59200,,,                 59200,,,,,,,,                -18482,                 40718,,                 59200,,                 40718,,                              0.56,                              0.56,,                              0.55,                              0.55,,                 11361,,,                   -151,                 12703,,                -19246,                    764,,,,,,,,,,,,,,
3653,2012年04月01日至2012年06月30日,,                850912,,                607999,                242913,                242913,,,                 28216,,                 51616,,                 51060,                130892,                112021,,,,                  2958,,                  2958,,                              0,,                   -335,,                 -1417,,                    486,                    486,,,                   -251,                    804,                112825,,                 28069,                 84756,,,                 84756,,,,,,,,                  2387,                 87143,,                 84756,,                 87143,,                              0.79,                              0.79,,                              0.78,                              0.78,,                 -5121,,,                    208,                 -7081,,                  5522,                 -3135,,,,,,,,,,,,,,
3653,2012年01月01日至2012年12月31日,,              3292283,,              2482036,                810247,                810247,,,                 94863,,                212298,,                186810,                493971,                316276,,,,                 12656,                  6109,                 19509,,                    201,,                    870,,                 -5541,,                  2760,                  2760,,,                -11561,                   -353,                315923,,                 75033,                240890,,,                240890,,,,,,,,                -35595,                205295,,                240890,,                205295,,,                              2.26,,,                              2.23,,                  8337,                    116,                    628,                  1008,                  2899,                    442,                -31193,                  1120,                 -5522,                              0,,,,,,,,,,,,
3653,2012年01月01日至2012年09月30日,,              2555813,,              1870956,                684857,                684857,,,                 93338,,                162199,,                145008,                400545,                284312,,,,                  8899,,                  8899,,                    201,,                 -3077,,                 -2196,,                  1945,                  1945,,,                 -4229,                    529,                284841,,                 55591,                229250,,,                229250,,,,,,,,                -29600,                199650,,                229250,,                199650,,                              2.15,                              2.15,,                              2.12,                              2.12,,                 11691,,,                   -298,                  6515,,                -31078,                  1478,,,,,,,,,,,,,,
3653,2012年01月01日至2012年06月30日,,              1672474,,              1197127,                475347,                475347,,,                 67984,,                104989,,                 98268,                271241,                204106,,,,                  6343,,                  6343,,                     46,,                 -2282,,                 -4337,,                  1272,                  1272,,,                 -1152,                   -418,                203688,,                 33638,                170050,,,                170050,,,,,,,,                -11118,                158932,,                170050,,                158932,,                              1.59,                              1.59,,                              1.57,                              1.57,,                    330,,,                   -147,                 -6188,,                -11832,                    714,,,,,,,,,,,,,,
3653,2012年01月01日至2012年03月31日,,                821562,,                589128,                232434,                232434,,,                 39768,,                 53373,,                 47208,                140349,                 92085,,,,                  3385,                  1919,                  5332,,                     46,,,                              0,                 -4867,,                    786,                    786,,,                   -901,                 -1222,                 90863,,                  5569,                 85294,,,                 85294,,,,,,,,                -13505,                 71789,,                 85294,,                 71789,,                              0.80,                              0.80,,                              0.79,                              0.79,,                  5451,                     28,,                   -355,                    893,,                -17354,                  3849,,,,,,,,,                              0,,                              0,,,
