證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1434,2015年第3季,,             10265621,,              8993139,              1272482,              1272482,,,                432659,,                234654,,                 13136,                680449,                592033,,,                441073,,                 92237,,                 48828,,                151439,                635921,              1227954,,                105979,              1121975,              1121975,,,                541501,               -744325,,                 86159,               -116665,               -116665,              1005310,,              1019150,                102825,,                923792,                 81518,,                              0.67,                             -0.06,                              0.61,,,,
1434,2015年第2季,,             11596003,,              9696288,              1899715,              1899715,,,                502981,,                242557,,                 12539,                758077,              1141638,,,                 88644,,               -295936,,                 47216,,                109252,               -145256,                996382,,                227343,                769039,                769039,,,                -86986,              3438888,,                -55269,              3296633,              3296633,              4065672,,                687343,                 81696,,              3994396,                 71276,,                              0.46,                             -0.05,                              0.41,,,,
1434,2015年第1季,,             11029926,,              9534764,              1495162,              1495162,,,                438804,,                232601,,                 12568,                683973,                811189,,,                126336,,               -111975,,                 46914,,                  2044,                -30509,                780680,,                164726,                615954,                615954,,,               -105111,                 -9568,,                -39783,               -154462,               -154462,                461492,,                517351,                 98603,,                354007,                107485,,                              0.37,                             -0.06,                              0.31,,,,
1434,2015年01月01日至2015年09月30日,,             32891550,,             28224191,              4667359,              4667359,,,              1374444,,                709812,,                 38243,              2122499,              2544860,,,                656053,,               -315674,,                142958,,                262735,                460156,              3005016,,                498048,              2506968,              2506968,,,                349404,              2684995,,                 -8893,              3025506,              3025506,              5532474,,              2223844,                283124,,              5272195,                260279,,                              1.49,                             -0.16,                              1.33,,,,
1434,2015年01月01日至2015年06月30日,,             22625929,,             19231052,              3394877,              3394877,,,                941785,,                475158,,                 25107,              1442050,              1952827,,,                214980,,               -407911,,                 94130,,                111296,               -175765,              1777062,,                392069,              1384993,              1384993,,,               -192097,              3429320,,                -95052,              3142171,              3142171,              4527164,,              1204694,                180299,,              4348403,                178761,,                              0.82,                             -0.10,                              0.72,,,,
1434,2014年第3季,,             11820926,,             10508588,              1312338,              1312338,,,                490000,,                233212,,                 11573,                734785,                577553,,,              1037641,,                 41630,,                 52483,,                129237,              1156025,              1733578,,                 88233,              1645345,              1645345,,,                216084,             -1805078,,                 28991,             -1560003,             -1560003,                 85342,,              1577773,                 67572,,                 25136,                 60206,,                              0.98,                             -0.04,                              0.94,,,,
1434,2014年第2季,,             13081901,,             11428773,              1653128,              1653128,,,                509981,,                241315,,                 11752,                763048,                890080,,,                 43039,,               -101722,,                 52918,,                 70319,                -41282,                848798,,                 35969,                812829,                812829,,,               -149240,                781836,,               -162944,                469652,                469652,              1282481,,                743416,                 69413,,              1197926,                 84555,,                              0.48,                             -0.04,                              0.44,,,,
1434,2014年第1季,,             11926770,,             10576897,              1349873,              1349873,,,                429071,,                205500,,                 13191,                647762,                702111,,,                 58100,,                 28168,,                 56254,,                 -1310,                 28704,                730815,,                140295,                590520,                590520,,,                 79896,             -1702758,,                130211,             -1492651,             -1492651,               -902131,,                540917,                 49603,,               -950680,                 48549,,                              0.35,                             -0.03,                              0.32,,,,
1434,2014年度,,             48191112,,             42451350,              5739762,              5739762,,,              1893970,,                898922,,                 50326,              2843218,              2896544,,,              1197173,,                 59883,,                211869,,                230208,              1275395,              4171939,,                352290,              3819649,              3819649,,,,,,,,             -3790273,                 29376,,              3518374,                301275,,               -283212,                312588,,                              2.27,                             -0.18,                              2.09,                464689,             -4268475,,                 13513
1434,2014年01月01日至2014年09月30日,,             36829597,,             32514258,              4315339,              4315339,,,              1429052,,                680027,,                 36516,              2145595,              2169744,,,              1138780,,                -31924,,                161655,,                198246,              1143447,              3313191,,                264497,              3048694,              3048694,,,                146740,             -2726000,,                 -3742,             -2583002,             -2583002,                465692,,              2862106,                186588,,                272382,                193310,,                              1.81,                             -0.11,                              1.70,,,,
