證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）
1326,2014年01月01日至2014年03月31日,,            100960296,,             95975080,              4985216,              4985216,,,              1949065,,              1347567,              3296632,              1688584,,,                413524,,              3071900,,                645999,,              2520457,              5359882,              7048466,,                731562,              6316904,              6316904,,,,,,,,,,,,             -4970086,              1346818,,              5679397,                637507,,              1465677,               -118859,,                              0.97,                              0.97,              1205938,             -5651147,,               -388967,                135910,                              0.00
1326,2013年第3季,,            108316274,,             98684474,              9631800,              9631800,,,              1934059,,              1439949,              3374008,              6257792,,,              1481507,,                 -5278,,                679380,,              3319592,              4116441,             10374233,,                606115,              9768118,              9768118,,,,,,,,,,,,             -5146325,              4621793,,              9438638,                329480,,              4275195,                346598,,                              1.67,                              1.61,               -865047,             -3248991,,             -1129047,                -96760,                             -0.06
1326,2013年第2季,,            108647758,,            100922570,              7725188,              7725188,,,              2028782,,              1468398,              3497180,              4228008,,,                638052,,                961164,,                660899,,                960955,              1899272,              6127280,,              1535207,              4592073,              4592073,,,,,,,,,,,,             14622421,             19214494,,              4087093,                504980,,             18741314,                473180,,                              0.79,                              0.70,                739017,             11602752,,              2411326,                130674,                             -0.09
1326,2013年度,,            427999934,,            395440460,             32559474,             32559474,,,              7858437,,              5722801,             13581238,             18978236,,,              2834028,,              1998590,,              2620766,,              9116739,             11328591,             30306827,,              3628303,             26678524,             26678524,,,,,,,,,,,,             17610959,             44289483,,             24863645,              1814879,,             42928742,              1360741,,                              4.25,                              4.25,              2582805,             12786383,,              2552268,                310497,                              0.00
1326,2013年07月01日至2013年09月30日,,            108316274,,             98684474,              9631800,              9631800,,,              1934059,,              1439949,              3374008,              6257792,,,              1481507,,                 -5278,,                679380,,              3319592,              4116441,             10374233,,                606115,              9768118,              9768118,,,,,,,,,,,,             -5146325,              4621793,,              9438638,                329480,,              4275195,                346598,,                              1.61,                              1.61,               -865047,             -3248991,,             -1129047,                -96760,                              0.00
1326,2013年04月01日至2013年06月30日,,            112980396,,            105255208,              7725188,              7725188,,,              2028782,,              1468398,              3497180,              4228008,,,                638052,,                961164,,                660899,,                960955,              1899272,              6127280,,              1535207,              4592073,              4592073,,,,,,,,,,,,             14622421,             19214494,,              4087093,                504980,,             18741314,                473180,,                              0.70,                              0.70,                739017,             11602752,,              2411326,                130674,
1326,2013年01月01日至2013年12月31日,,            427999934,,            395440460,             32559474,             32559474,,,              7858437,,              5722801,             13581238,             18978236,,,              2834028,,              1998590,,              2620766,,              9116739,             11328591,             30306827,,              3628303,             26678524,             26678524,,,,,,,,,,,,             17610959,             44289483,,             24863645,              1814879,,             42928742,              1360741,,                              4.25,                              4.25,              2582805,             12786383,,              2552268,                310497,                              0.00
1326,2013年01月01日至2013年09月30日,,            318712810,,            291799872,             26912938,             26912938,,,              5825623,,              4216300,             10041923,             16871015,,,              2454142,,              1859248,,              2012109,,              6726596,              9027877,             25898892,,              3005625,             22893267,             22893267,,,,,,,,,,,,              9933399,             32826666,,             21621769,              1271498,,             33129307,               -302641,,                              3.92,                              3.70,              1522076,              6156422,,              2417436,                162535,                             -0.22
1326,2013年01月01日至2013年06月30日,,            210396536,,            193115398,             17281138,             17281138,,,              3891564,,              2776351,              6667915,             10613223,,,                972635,,              1864526,,              1332729,,              3407004,              4911436,             15524659,,              2399510,             13125149,             13125149,,,,,,,,,,,,             15079724,             28204873,,             12183131,                942018,,             28854112,               -649239,,                              2.25,                              2.09,              2387123,              9405413,,              3546483,                259295,                             -0.16
1326,2013年01月01日至2013年03月31日,,            101748778,,             92192828,              9555950,              9555950,,,              1862782,,              1307953,              3170735,              6385215,,,                334583,,                903362,,                671830,,              2446049,              3012164,              9397379,,                864303,              8533076,              8533076,,,,,,,,,,,,                457303,              8990379,,              8096038,                437038,,             10112798,             -1122419,,                              1.39,                              1.39,              1648106,             -2197339,,              1135157,                128621,                              0.00
1326,2012年07月01日至2012年09月30日,,             91221426,,             87668973,              3552453,              3552453,,,              1728059,,              1191865,              2919924,                632529,,,              4434297,,               -355176,,                674204,,              2904333,              6309250,              6941779,,                162941,              6778838,              6778838,,,,,,,,,,,,              3542423,             10321261,,              6242617,                536221,,              8552782,              1768479,,                              1.07,                              1.07,             -1395200,              4932733,,               -159203,               -164093,                              0.00
1326,2012年04月01日至2012年06月30日,,             98002467,,             98367464,               -364997,               -364997,,,              1849098,,              1182366,              3031464,             -3396461,,,                708242,,                 86716,,                654699,,             -2315316,             -2175057,             -5571518,,                 77953,             -5649471,             -5649471,,,,,,,,,,,,            -15869054,            -21518525,,             -6075431,                425960,,            -19331258,             -2187267,,                             -1.04,                             -1.04,                515518,            -14999945,,             -1322512,                 62115,
1326,2012年01月01日至2012年12月31日,,            391599981,,            376428517,             15171464,             15171464,,,              7318721,,              4681658,             12000379,              3171085,,,              6090590,,                -18734,,              2849008,,              2899510,              6122358,              9293443,,                790058,              8503385,              8503385,,,,,,,,,,,,             -6072166,              2431219,,              7315163,              1188222,,              3617863,             -1186644,,                              1.25,                              1.25,             -2182261,             -4167218,,                 13067,               -264246,                              0.00
1326,2012年01月01日至2012年09月30日,,            294137281,,            284772417,              9364864,              9364864,,,              5394847,,              3563930,              8958777,                406087,,,              5529478,,               -462708,,              1993464,,              1870916,              4944222,              5350309,,                772270,              4578039,              4578039,,,,,,,,,,,,             -4924531,               -346492,,              3566747,              1011292,,                481967,               -828459,,                              0.61,                              0.61,             -2178302,             -2695273,,               -327660,               -276704,                              0.00
1326,2012年01月01日至2012年06月30日,,            202915855,,            197103444,              5812411,              5812411,,,              3666788,,              2372065,              6038853,               -226442,,,              1095181,,               -107532,,              1319260,,             -1033417,             -1365028,             -1591470,,                609329,             -2200799,             -2200799,,,,,,,,,,,,             -8466954,            -10667753,,             -2675870,                475071,,             -8070815,             -2596938,,                             -0.46,                             -0.46,               -783102,             -7628006,,               -168457,               -112611,
1326,2012年01月01日至2012年03月31日,,            104913388,,             98735980,              6177408,              6177408,,,              1817690,,              1189699,              3007389,              3170019,,,                386939,,               -194248,,                664561,,              1281899,                810029,              3980048,,                531376,              3448672,              3448672,,,,,,,,,,,,              7402100,             10850772,,              3399561,                 49111,,             11260443,               -409671,,                              0.60,                              0.60,             -1298620,              7371939,,              1154055,               -174726,
