證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 停業單位淨利（淨損）
2031,2014年01月01日至2014年03月31日,,,,              2079432,              2079432,,,                 61956,                 61956,,                  8893,              2150281,,,              1951484,,                 55615,                 55615,                  2872,              2009971,                140310,                140310,,,                 35378,,                 16564,                 51942,,                 30483,                 30483,                118851,,,                  1020,                  1020,,                -22264,,                 25370,,                     21,                -46593,                 72258,,                 13375,                 58883,                 58883,,,                  1791,                -93049,                -91258,                -91258,                -32375,,                 61206,                 -2323,,                -30064,                 -2311,,                              0.22,                              0.22,,                              0.20,                              0.20,,,,
2031,2013年第3季,,,,              1933457,              1933457,,,                              0,                              0,,                 22211,              1955668,,,              1918064,,                              0,                              0,                    205,              1918269,                 37399,                 37399,,,                 38201,,                 16760,                 54961,,                 65564,                 65564,                 48002,,,                  1003,                  1003,,                 38524,,                 25893,,                    511,                 14145,                 62147,,                -10155,                 72302,                 72302,,,,,,                112022,                184324,,                 72098,                    204,,                184128,                    196,,                              0.26,                              0.26,,                              0.26,                              0.26,                 -1227,                113249,,
2031,2013年第2季,,,,              1969609,              1969609,,,                              0,                              0,,                  5251,              1974860,,,              1872516,,                              0,                              0,                    192,              1872708,                102152,                102152,,,                 34335,,                 14691,                 49026,,                -13930,                -13930,                 39196,,,                 16131,                 16131,,                 15376,,                 27212,,                    350,                  4645,                 43841,,                 10212,                 33629,                 33629,,,,,,                -94497,                -60868,,                 34309,                   -680,,                -60204,                   -664,,                              0.12,                              0.12,,                              0.12,                              0.12,                  2312,                -96809,,
2031,2013年度,,,,              8515528,              8515528,,,                 34951,                 34951,,                 73405,              8623884,,,              8123904,,                 19916,                 19916,                    778,              8144598,                479286,                479286,,,                149317,,                 68239,                217556,,                186424,                186424,                448154,,,                 14586,                 14586,,                 -6289,,                105567,,                    918,                -96352,                351802,,                 19119,                332683,                332683,,,,,,                  6642,                339325,,                331162,                  1521,,                337763,                  1562,,                              1.20,                              1.20,,                              1.09,                              1.09,                  6200,                  1322,                   -880,                              0.00
2031,2013年07月01日至2013年09月30日,,,,              1933457,              1933457,,,,,,                 22211,              1955668,,,              1918064,,,,                    205,              1918269,                 37399,                 37399,,,                 38201,,                 16760,                 54961,,                 65564,                 65564,                 48002,,,                  1003,                  1003,,                 38524,,                 25893,,                    511,                 14145,                 62147,,                -10155,                 72302,                 72302,,,,,,                112022,                184324,,                 72098,                    204,,                184128,                    196,,                              0.26,                              0.26,,                              0.26,                              0.26,                 -1227,                113249,,
2031,2013年04月01日至2013年06月30日,,,,              1969609,              1969609,,,,,,                  5251,              1974860,,,              1872516,,,,                    192,              1872708,                102152,                102152,,,                 34335,,                 14691,                 49026,,                -13930,                -13930,                 39196,,,                 16131,                 16131,,                 15376,,                 27212,,                    350,                  4645,                 43841,,                 10212,                 33629,                 33629,,,,,,                -94497,                -60868,,                 34309,                   -680,,                -60204,                   -664,,                              0.12,                              0.12,,                              0.12,                              0.12,                  2312,                -96809,,
2031,2013年01月01日至2013年12月31日,,,,              8515528,              8515528,,,                 34951,                 34951,,                 73405,              8623884,,,              8123904,,                 19916,                 19916,                    778,              8144598,                479286,                479286,,,                149317,,                 68239,                217556,,                186424,                186424,                448154,,,                 14586,                 14586,,                 -6289,,                105567,,                    918,                -96352,                351802,,                 19119,                332683,                332683,,,,,,                  6642,                339325,,                331162,                  1521,,                337763,                  1562,,                              1.20,                              1.20,,                              1.09,                              1.09,                  6200,                  1322,                   -880,
2031,2013年01月01日至2013年09月30日,,,,              6306044,              6306044,,,                              0,                              0,,                 49366,              6355410,,,              5989512,,                              0,                              0,                    641,              5990153,                365257,                365257,,,                106337,,                 41006,                147343,,                130375,                130375,                348289,,,                 12603,                 12603,,                -10770,,                 79742,,                    938,                -76971,                271318,,                 23219,                248099,                248099,,,,,,                -66867,                181232,,                250405,                 -2306,,                183510,                 -2278,,                              0.90,                              0.90,,                              0.90,                              0.90,                  4182,                -71049,,
2031,2013年01月01日至2013年06月30日,,,,              4372587,              4372587,,,                              0,                              0,,                 27155,              4399742,,,              4071448,,                              0,                              0,                    436,              4071884,                327858,                327858,,,                 68136,,                 24246,                 92382,,                 58650,                 58650,                294126,,,                 17761,                 17761,,                -49294,,                 53849,,                    427,                -84955,                209171,,                 33374,                175797,                175797,,,,,,               -178889,                 -3092,,                178307,                 -2510,,                   -618,                 -2474,,                              0.64,                              0.64,,                              0.64,                              0.64,                  5409,               -184298,,
2031,2013年01月01日至2013年03月31日,,,,              2402978,              2402978,,,                              0,                              0,,                 21904,              2424882,,,              2198932,,                              0,                              0,                    244,              2199176,                225706,                225706,,,                 33801,,                  9555,                 43356,,                 72580,                 72580,                254930,,,                  1630,                  1630,,                -64670,,                 26637,,                     77,                -89600,                165330,,                 23162,                142168,                142168,,,,,,                -84392,                 57776,,                143998,                 -1830,,                 59586,                 -1810,,                              0.52,                              0.52,,                              0.51,                              0.51,                  3097,                -87489,,
2031,2012年07月01日至2012年09月30日,,,,              1813812,              1813812,,,,,,                 27685,              1841497,,,              1958193,,,,                  6762,              1964955,               -123458,               -123458,,,                 39216,,                  7196,                 46412,,                127369,                127369,                -42501,,,                  6940,                  6940,,                 33316,,                 27020,,                    487,                 13723,                -28778,,                -12340,                -16438,                -16438,,,,,,                -58380,                -74818,,                -17506,                  1068,,                -75872,                  1054,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,                 -2251,                -56129,,
2031,2012年04月01日至2012年06月30日,,,,              1965151,              1965151,,,,,,                      7,              1965158,,,              1952095,,,,                  8680,              1960775,                  4383,                  4383,,,                 38354,,                  8553,                 46907,,                -78087,                -78087,               -120611,,,                    537,                    537,,                -17238,,                 26454,,                    309,                -42846,               -163457,,                 -5225,               -158232,               -158232,,,,,,               -157132,               -315364,,               -153941,                 -4291,,               -311078,                 -4286,,                             -0.57,                             -0.57,,                             -0.57,                             -0.57,                    869,               -158001,,
2031,2012年01月01日至2012年12月31日,,,,              7525235,              7525235,,,                              0,                              0,,                 58097,              7583332,,,              7737581,,                              0,                              0,                 12700,              7750281,               -166949,               -166949,,,                146214,,                 46793,                193007,,                130387,                130387,               -229569,,,                 11259,                 11259,,                 65237,,                104710,,                    674,                -27540,               -257109,,                -40709,               -216400,               -216400,,,,,,                -64547,               -280947,,               -215638,                   -762,,               -280159,                   -788,,                             -0.78,                             -0.78,,                             -0.78,                             -0.78,                 -3979,                -60568,                              0,
2031,2012年01月01日至2012年09月30日,,,,              5583468,              5583468,,,,,,                 44909,              5628377,,,              5685279,,,,                  8401,              5693680,                -65303,                -65303,,,                109973,,                 30353,                140326,,                157792,                157792,                -47837,,,                  8780,                  8780,,                 45557,,                 79973,,                    715,                -24921,                -72758,,                -19762,                -52996,                -52996,,,,,,               -117682,               -170678,,                -53173,                    177,,               -170830,                    152,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,                 -3754,               -113928,,
2031,2012年01月01日至2012年06月30日,,,,              3769656,              3769656,,,,,,                 17224,              3786880,,,              3727086,,,,                  1639,              3728725,                 58155,                 58155,,,                 70757,,                 23157,                 93914,,                 30423,                 30423,                 -5336,,,                  1840,                  1840,,                 12241,,                 52953,,                    228,                -38644,                -43980,,                 -7422,                -36558,                -36558,,,,,,                -59302,                -95860,,                -35667,                   -891,,                -94958,                   -902,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,                 -1503,                -57799,,
2031,2012年01月01日至2012年03月31日,,,,              1804505,              1804505,,,,,,                 24390,              1828895,,,              1774990,,,,                    133,              1775123,                 53772,                 53772,,,                 32403,,                 14604,                 47007,,                108510,                108510,                115275,,,                  1303,                  1303,,                 29479,,                 26499,,                    -81,                  4202,                119477,,                 -2197,                121674,                121674,,,,,,                 97830,                219504,,                118274,                  3400,,                216120,                  3384,,                              0.44,                              0.44,,                              0.43,                              0.43,                 -2372,                100202,,
