證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　　 外幣兌換損失
2395,2015年第3季,,,              9197608,,                240144,              9437752,,              5691445,              3746307,              3746307,,,                997954,,                495075,,                929194,              2422223,              1324084,,,,                 12282,                138334,                 34418,                185034,,                 -1456,                  8460,                 69531,                  2426,                    502,                106734,                -28275,,                  1736,                  1736,,                 39492,                194515,              1518599,,                282681,              1235918,              1235918,,,                              0,                              0,                              0,,                446873,               -272685,,                  8555,                 77936,                104807,                104807,              1340725,,              1228025,                  7893,,              1335846,                  4879,,                              1.94,,                              1.94,,,,,,,
2395,2015年第2季,,,              9755333,,                271614,             10026947,,              6046484,              3980463,              3980463,,,                963749,,                515032,,                869447,              2348228,              1632235,,,,                 12241,                    165,                 28637,                 41043,,                   -733,                 -7996,                -32238,                 14947,                  1666,                 39209,                -66895,,                  1195,                  1195,,                 19405,                 -7642,              1624593,,                291900,              1332693,              1332693,,,                              0,                              0,                              0,,               -102908,                -22517,,                   -963,                -15609,               -110779,               -110779,              1221914,,              1327917,                  4776,,              1229196,                 -7282,,                              2.10,,                              2.10,,,,,,,
2395,2015年01月01日至2015年09月30日,,,             27531015,,                718351,             28249366,,             16931817,             11317549,             11317549,,,              2879458,,              1483292,,              2647322,              7010072,              4307477,,,,                 35659,                138587,                 87317,                261563,,                 -3555,                169614,               -103841,                 72906,                  2397,                156296,                -23569,,                  3782,                  3782,,                 81874,                316086,              4623563,,                848740,              3774823,              3774823,,,                              0,                              0,                              0,,                105059,               -418866,,                  3460,                 21339,               -331686,               -331686,              3443137,,              3762812,                 12011,,              3448129,                 -4992,,                              5.96,,                              5.93,,,,,,,
2395,2015年01月01日至2015年06月30日,,,             18333407,,                478207,             18811614,,             11240372,              7571242,              7571242,,,              1881504,,                988217,,              1718128,              4587849,              2983393,,,,                 23377,                    253,                 52899,                 76529,,                 -2099,                161154,               -173372,                 70480,                  1895,                 49562,                  4706,,                  2046,                  2046,,                 42382,                121571,              3104964,,                566059,              2538905,              2538905,,,                              0,                              0,                              0,,               -341814,               -146181,,                 -5095,                -56597,               -436493,               -436493,              2102412,,              2534787,                  4118,,              2112283,                 -9871,,                              4.01,,                              4.00,,,,,,,
2395,2015年01月01日至2015年03月31日,,,              8578074,,                206593,              8784667,,              5193888,              3590779,              3590779,,,                917755,,                473185,,                848681,              2239621,              1351158,,,,                 11136,                     88,                 24262,                 35486,,                 -1366,                169150,               -141134,                 55533,                    229,                 10353,                 71601,,                    851,                    851,,                 22977,                129213,              1480371,,                274159,              1206212,              1206212,,,                              0,                              0,                              0,,               -238906,               -123664,,                 -4132,                -40988,               -325714,               -325714,                880498,,              1206870,                   -658,,                883087,                 -2589,,                              1.91,,                              1.91,,,,,,,
2395,2014年第3季,,,              8933587,,                190950,              9124537,,              5508412,              3616125,              3616125,,,                831544,,                586947,,                861746,              2280237,              1335888,,,,                 13134,                130716,                 17174,                161024,,                 -2469,                 15376,                 21630,                 43429,                  1729,                  1979,                 74258,,                  1606,                  1606,,                 27935,                261611,              1597499,,                270357,              1327142,              1327142,,,                              0,                              0,                              0,,                 90374,               -254579,,                    690,                 15989,               -179504,               -179504,              1147638,,              1319749,                  7393,,              1143235,                  4403,,                              2.10,,                              2.09,,,,,,,
2395,2014年第2季,,,              9056541,,                221472,              9278013,,              5560706,              3717307,              3717307,,,                983279,,                502434,,                719926,              2205639,              1511668,,,,                 11418,                              0,                 22598,                 34016,,                   -996,                -17944,                -88865,                 12830,                  4014,                -17301,                -81688,,                  1120,                  1120,,                 25781,                -23011,              1488657,,                280074,              1208583,              1208583,,,                              0,                              0,                              0,,               -145708,                252450,,                 -2639,                -24251,                128354,                128354,              1336937,,              1201847,                  6736,,              1335894,                  1043,,                              1.91,,                              1.90,,,,,,,
2395,2014年度,,,             34662269,,              1069430,             35731699,,             21339035,             14392664,             14392664,,,              3533354,,              2115599,,              3235226,              8884179,              5508485,,,,                 54355,                130737,                 91185,                276277,,                 56473,                 27143,                 78206,                 85664,                 13815,                 49171,                184500,,                 14420,                 14420,,                100264,                546621,              6055106,,              1123096,              4932010,              4932010,,,,,,,,,,,,,                840008,              5772018,,              4907782,                 24228,,              5750571,                 21447,,                              7.80,,                              7.77,                243904,                638811,                 -5723,,                  4711,                -41695,
2395,2014年01月01日至2014年09月30日,,,             25874022,,                675080,             26549102,,             15836645,             10712457,             10712457,,,              2657780,,              1560038,,              2281869,              6499687,              4212770,,,,                 39125,                130716,                 62796,                232637,,                 -3307,                 16007,                -25936,                 57432,                  6568,                 40188,                 -2560,,                  4009,                  4009,,                 81754,                307822,              4520592,,                828746,              3691846,              3691846,,,                    161,                     27,                    134,,                 30078,                214036,,                    449,                  6266,                238297,                238431,              3930277,,              3674203,                 17643,,              3918967,                 11310,,                              5.85,,                              5.82,,,,,,,
2395,2014年01月01日至2014年06月30日,,,             16940435,,                484130,             17424565,,             10328233,              7096332,              7096332,,,              1826236,,                973091,,              1420123,              4219450,              2876882,,,,                 25991,                              0,                 45622,                 71613,,                   -838,                    631,                -47566,                 14003,                  4839,                 38209,                -76818,,                  2403,                  2403,,                 53819,                 46211,              2923093,,                558389,              2364704,              2364704,,,                    161,                     27,                    134,,                -60296,                468615,,                   -241,                 -9723,                417801,                417935,              2782639,,              2354454,                 10250,,              2775732,                  6907,,                              3.75,,                              3.73,,,,,,,
2395,2014年01月01日至2014年03月31日,,,              7883894,,                262658,              8146552,,              4767527,              3379025,              3379025,,,                842957,,                470657,,                700197,              2013811,              1365214,,,,                 14573,                              0,                 23024,                 37597,,                    158,                 18575,                 41299,                  1173,                    825,                 55510,                  4870,,                  1283,                  1283,,                 28038,                 69222,              1434436,,                278315,              1156121,              1156121,,,                    161,                     27,                    134,,                 85412,                216165,,                  2398,                 14528,                289447,                289581,              1445702,,              1152607,                  3514,,              1439838,                  5864,,                              1.84,,                              1.83,,,,,,,
2395,2013年第3季,,,              7787919,,                161438,              7949357,,              4749048,              3200309,              3200309,,,                772680,,                502663,,                676860,              1952203,              1248106,,,,                  7000,                107980,                 15370,                130350,,                     -9,                  8375,                 11266,                  6615,                  1423,                 10068,                 14756,,                    871,                    871,,                 19331,                163566,              1411672,,                303338,              1108334,              1108334,,,,,,,,,,,,,               -234547,                873787,,              1104256,                  4078,,                875281,                 -1494,,                              1.77,,                              1.76,                -63585,               -179892,,,                 -1123,                 10053,
2395,2013年第2季,,,              7617297,,                191340,              7808637,,              4613672,              3194965,              3194965,,,                790277,,                444309,,                665205,              1899791,              1295174,,,,                  6953,,                 19343,                 26296,,                 42770,                 22971,                 30289,                  8780,                    775,                 21259,                 82776,,                  2243,                  2243,,                 20238,                127067,              1422241,,                296200,              1126041,              1126041,,,,,,,,,,,,,               -432335,                693706,,              1119093,                  6948,,                689729,                  3977,,                              1.98,,                              1.96,                 50956,               -474796,,,                    810,                 -9305,
2395,2013年度,,,             29828793,,                831241,             30660034,,             18074403,             12585631,             12585631,,,              3084308,,              2072236,,              2760937,              7917481,              4668150,,,,                 30422,                120141,                101690,                252253,,                 41816,                 56542,                144682,                 34883,                 15246,                 76812,                185865,,                 11402,                 11402,,                 73680,                500396,              5168546,,              1041337,              4127209,              4127209,,,,,,,,,,,,,                -14730,              4112479,,              4106397,                 20812,,              4087236,                 25243,,                              6.59,,                              6.55,                282941,               -244478,                -10829,,                  3883,                -46247,
2395,2013年07月01日至2013年09月30日,,,              7787919,,                161438,              7949357,,              4749048,              3200309,              3200309,,,                772680,,                502663,,                676860,              1952203,              1248106,,,,                  7000,                107980,                 15370,                130350,,                     -9,                  8375,                 11266,                  6615,                  1423,                 10068,                 14756,,                    871,                    871,,                 19331,                163566,              1411672,,                303338,              1108334,              1108334,,,,,,,,,,,,,               -234547,                873787,,              1104256,                  4078,,                875281,                 -1494,,                              1.95,,                              1.94,                -63585,               -179892,,,                 -1123,                 10053,                              0
2395,2013年04月01日至2013年06月30日,,,              7617297,,                191340,              7808637,,              4613672,              3194965,              3194965,,,                790277,,                444309,,                665205,              1899791,              1295174,,,,                  6953,,                 19343,                 26296,,                 42770,                 22971,                 30289,                  8780,                    775,                 21259,                 82776,,                  2243,                  2243,,                 20238,                127067,              1422241,,                296200,              1126041,              1126041,,,,,,,,,,,,,               -432335,                693706,,              1119093,                  6948,,                689729,                  3977,,                              1.98,,                              1.96,                 50956,               -474796,,,                    810,                 -9305,                              0
2395,2013年01月01日至2013年12月31日,,,             29828793,,                831241,             30660034,,             18074403,             12585631,             12585631,,,              3084308,,              2072236,,              2760937,              7917481,              4668150,,,,                 30422,                120141,                101690,                252253,,                 41816,                 56542,                144682,                 34883,                 15246,                 76812,                185865,,                 11402,                 11402,,                 73680,                500396,              5168546,,              1041337,              4127209,              4127209,,,,,,,,,,,,,                -14730,              4112479,,              4106397,                 20812,,              4087236,                 25243,,                              7.26,,                              7.20,                282941,               -244478,                -10829,,                  3883,                -46247,                              0
