證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
3593,2015年第3季,,                181213,,                173084,                  8129,                  8129,,,                 11311,,                 28961,,                      5,                 40277,                -32148,,,                  1593,,                 16305,,                  5003,                 12895,                -19253,,                    767,                -20020,                -20020,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 26302,                  6085,                 20217,                 20217,                    197,,                -20020,,                    197,,                             -0.18,,                             -0.18,,,,,,,,,,,,,
3593,2015年第2季,,                162748,,                187801,                -25053,                -25053,,,                  6110,,                 32830,,                      5,                 38945,                -63998,,,                  2308,,                    804,,                  4874,                 -1762,                -65760,,                  8338,                -74098,                -74098,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -9167,                 -1558,                 -7609,                 -7609,                -81707,,                -74098,,                -81707,,                             -0.66,,                             -0.66,,,,,,,,,,,,,
3593,2015年01月01日至2015年09月30日,,                484611,,                484716,                   -105,                   -105,,,                 22692,,                 90350,,                     23,                113065,               -113170,,,                  8864,,                -17027,,                 11625,                -19788,               -132958,,                 -2965,               -129993,               -129993,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  8064,                  3449,                  4615,                  4615,               -125378,,               -129993,,               -125378,,                             -1.15,,                             -1.15,,,,,,,,,,,,,
3593,2015年01月01日至2015年06月30日,,                303398,,                311632,                 -8234,                 -8234,,,                 11381,,                 61389,,                     18,                 72788,                -81022,,,                  7271,,                -33332,,                  6622,                -32683,               -113705,,                 -3732,               -109973,               -109973,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -18797,                 -3195,                -15602,                -15602,               -125575,,               -109973,,               -125575,,                             -0.98,,                             -0.98,,,,,,,,,,,,,
3593,2015年01月01日至2015年03月31日,,                140650,,                123831,                 16819,                 16819,,,                  5271,,                 28559,,                     13,                 33843,                -17024,,,                  4963,,                -34136,,                  1748,                -30921,                -47945,,                -12070,                -35875,                -35875,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,                              0,,                 -9630,                 -1637,                 -7993,                 -7993,                -43868,,                -35875,,                -43868,,                             -0.32,,                             -0.32,                              0,                              0,                              0,                              0,,,,,,,,,
3593,2014年第3季,,                 26583,,                 26072,                    511,                    511,,,                    729,,                 18956,,                     43,                 19728,                -19217,,,                  4704,,                 17626,,                    378,                 21952,                  2735,,                    207,                  2528,                  2528,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 15853,                  2694,                 13159,                 13159,                 15687,,                  2528,,                 15687,,                              0.02,,                              0.02,,,,,,,,,,,,,
3593,2014年第2季,,                 15082,,                 61883,                -46801,                -46801,,,                    389,,                 28634,,                    515,                 29538,                -76339,,,                  3913,,                 -4210,,                    606,                   -903,                -77242,,                 10249,                -87491,                -87491,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -9224,                 -1568,                 -7656,                 -7656,                -95147,,                -87491,,                -95147,,                             -0.78,,                             -0.78,,,,,,,,,,,,,
3593,2014年度,,                 92060,,                200023,               -107963,               -107963,,,                  2842,,                 96278,,                  1255,                100375,               -208338,,,                 19625,,                 -5199,,                  1540,                 12886,               -195452,,                 11322,               -206774,               -206774,,,,,,,,,,,,,,,,,                 23627,               -183147,,               -206774,,               -183147,,                             -1.83,,                             -1.83,,,,,,                              0,,                              0,,                              0,                 28466,                              0,                 -4839
3593,2014年01月01日至2014年09月30日,,                 55174,,                106352,                -51178,                -51178,,,                  1174,,                 72799,,                  1221,                 75194,               -126372,,,                 11392,,                 12757,,                  1602,                 22547,               -103825,,                 11967,               -115792,               -115792,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  4241,                    720,                  3521,                  3521,               -112271,,               -115792,,               -112271,,                             -1.03,,                             -1.03,,,,,,,,,,,,,
3593,2014年01月01日至2014年06月30日,,                 28591,,                 80280,                -51689,                -51689,,,                    445,,                 53843,,                  1178,                 55466,               -107155,,,                  6688,,                 -4869,,                  1224,                    595,               -106560,,                 11760,               -118320,               -118320,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -11612,                 -1974,                 -9638,                 -9638,               -127958,,               -118320,,               -127958,,                             -1.05,,                             -1.05,,,,,,,,,,,,,
