證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本合計,　　　 可能重分類至損益之其他項目,　　 當期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨成本
8103,2015年第3季,,,,                657036,                  4245,                 11047,                641744,                641744,,                478037,                163707,                163707,,,                 41177,,                209012,,                  5238,                255427,                -91720,,,                  8631,,                 60116,,                  1927,,                   -352,                   -352,                 66468,                -25252,,                 28820,                 28820,                -54072,                -54072,,,                 86365,                    670,                 87035,                 87035,                 32963,,                -54492,                    420,,                 31927,                  1036,,                             -0.70,,                             -0.70,,,,,,,,,,,,
8103,2015年第2季,,,,                740240,                  5677,                  6066,                728497,                728497,,                522700,                205797,                205797,,,                 49522,,                 64246,,                  7861,                121629,                 84168,,,                  7462,,                    -52,,                  2113,,                    -93,                    -93,                  5204,                 89372,,,                 37411,                 51961,                 51961,,,                -29912,                 -8983,                -38895,                -38895,                 13066,,                 52360,                   -399,,                 13722,                   -656,,                              0.67,,                              0.67,                740240,,                522700,,,,,,,,,
8103,2015年01月01日至2015年09月30日,,,,              2198569,                 11920,                 24844,              2161805,              2161805,,              1576670,                585135,                585135,,,                143586,,                340306,,                 18544,                502436,                 82699,,,                 20556,,                 53332,,                  6056,,                   -578,                   -578,                 67254,                149953,,                 78907,                 78907,                 71046,                 71046,,,                 36584,                 -5767,                 30817,                 30817,                101863,,                 71118,                    -72,,                101751,                    112,,                              0.92,,                              0.91,,,,,,,,,,,,
8103,2015年01月01日至2015年06月30日,,,,              1541533,                  7675,                 13797,              1520061,              1520061,,              1098633,                421428,                421428,,,                102409,,                131294,,                 13306,                247009,                174419,,,                 11925,,                 -6784,,                  4129,,                   -226,                   -226,                    786,                175205,,,                 50087,                125118,                125118,,,                -49781,                 -6437,                -56218,                -56218,                 68900,,                125610,                   -492,,                 69824,                   -924,,                              1.62,,                              1.60,              1541533,,              1098633,,,,,,,,,
8103,2015年01月01日至2015年03月31日,,,,                801293,                  1998,                  7731,                791564,                791564,,                575933,                215631,                215631,,,                 52887,,                 67048,,                  5445,                125380,                 90251,,,                  4463,,                 -6732,,                  2016,,                   -133,                   -133,                 -4418,                 85833,,,                 12676,                 73157,                 73157,,,                -19869,                  2546,                -17323,                -17323,                 55834,,                 73250,                    -93,,                 56102,                   -268,,                              0.96,,                              0.93,,,                575933,                              0,,,,,,,,
8103,2014年第3季,,,,                897524,                  2791,                  6072,                888661,                888661,,                613315,                275346,                275346,,,                 52488,,                 71377,,                  8610,                132475,                142871,,,                  9225,,                  6242,,                  1580,,                   -230,                   -230,                 13657,                156528,,                 27618,                 27618,                128910,                128910,,,                 48056,                 -9332,                 38724,                 38724,                167634,,                128223,                    687,,                166506,                  1128,,                              1.70,,                              1.64,,,,,,,,,,,,
8103,2014年第2季,,,,                783436,                  5182,                  3659,                774595,                774595,,                519253,                255342,                255342,,,                 50891,,                 69289,,                  7524,                127704,                127638,,,                  4226,,                 -6647,,                  1728,,                   -242,                   -242,                 -4391,                123247,,,                 38234,                 85013,                 85013,,,                -33310,                  5183,                -28127,                -28127,                 56886,,                 84723,                    290,,                 56907,                    -21,,                              1.13,,                              1.08,                783436,,                519253,,,,,,,,,
8103,2014年度,,,,              3160184,                 44062,                 30411,              3085711,              3085711,,              2131633,                954078,                954078,,,                204421,,                274057,,                 35482,                513960,                440118,,,                 22771,,                 53825,,                  7369,,                   -850,                   -850,                 68377,                508495,,,                116270,                392225,                392225,,,,,,                 77133,                469358,,                391250,                    975,,                467753,                  1605,,                              5.18,,                              4.95,,,              2131633,,                116270,,                              0,                 71181,                  6174,                   -267,                    -45,
8103,2014年01月01日至2014年09月30日,,,,              2304380,                 18387,                 16002,              2269991,              2269991,,              1545523,                724468,                724468,,,                149902,,                201696,,                 22031,                373629,                350839,,,                 18917,,                 20071,,                  5289,,                   -668,                   -668,                 33031,                383870,,                 90031,                 90031,                293839,                293839,,,                  7159,                  4973,                 12132,                 12132,                305971,,                292759,                  1080,,                304830,                  1141,,                              3.89,,                              3.72,,,,,,,,,,,,
8103,2014年01月01日至2014年06月30日,,,,              1406856,                 15596,                  9930,              1381330,              1381330,,                932208,                449122,                449122,,,                 97414,,                130319,,                 13421,                241154,                207968,,,                  9692,,                 13829,,                  3709,,                   -438,                   -438,                 19374,                227342,,,                 62413,                164929,                164929,,,                -40897,                 14305,                -26592,                -26592,                138337,,                164536,                    393,,                138324,                     13,,                              2.19,,                              2.10,              1406856,,                932208,,,,,,,,,
8103,2014年01月01日至2014年03月31日,,,,                623420,                 10414,                  6271,                606735,                606735,,                412955,                193780,                193780,,,                 46523,,                 61030,,                  5897,                113450,                 80330,,,                  5466,,                 20476,,                  1981,,                   -196,                   -196,                 23765,                104095,,,                 24179,                 79916,                 79916,,,                 -7587,                  9122,                  1535,                  1535,                 81451,,                 79813,                    103,,                 81415,                     36,,                              1.06,,                              1.02,,,                412955,                              0,,,,,,,,
8103,2013年第3季,,,,,,,                698771,                698771,,                480360,                218411,                218411,,,                 47306,,                 60693,,                  5117,                113116,                105295,,,                  3486,,                 -4891,,                  1469,,                   -181,                   -181,                 -3055,                102240,,,                 24763,                 77477,                 77477,,,,,,                -17781,                 59696,,                 77549,                    -72,,                 59133,                    563,,                              1.03,,                              0.99,,,                480360,,                 24763,,,                -18869,                  1088,,                              0,
8103,2013年第2季,,,,                655126,                  4662,                  4662,                645802,                645802,,                449546,                196256,                196256,,,                 46871,,                 58343,,                  8038,                113252,                 83004,,,                  3062,,                  1041,,                  1185,,,                 -2571,                    347,                 83351,,,                 20323,                 63028,                 63028,,,,,,                 29165,                 92193,,                 62635,                    393,,                 91534,                    659,,                              0.84,,                              0.80,,,                449546,,,,,                 27737,                  1428,,,
8103,2013年度,,,,              2560077,                 16872,                 21909,              2521296,              2521296,,              1747301,                773995,                773995,,,                187254,,                249413,,                 20933,                457600,                316395,,,                 13403,,                 29991,,                  6822,,                 -2979,                 -2979,                 33593,                349988,,,                 74671,                275317,                275317,,,,,,                 95631,                370948,,                274711,                    606,,                368684,                  2264,,                              3.67,,                              3.50,,,              1747301,,                 74671,,                              0,                 86338,                  8619,                   -772,                 -1446,
