證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 非控制權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2368,2015年第3季,,,              4848259,              4848259,,,              4234730,              4234730,                613529,                              0,                              0,                613529,,,                173881,,                170331,,                 91728,                435940,,                -18168,                159421,,,                  8592,,               -100256,,                 53593,               -145257,                 14164,,                 35795,                -21631,,                              0,                -21631,,,                              0,                              0,                              0,,                 37398,                 37398,                 37398,                 15767,,                -21631,,                 15767,,                             -0.04,                             -0.04,,,,,,
2368,2015年第2季,,,              4480851,              4480851,,,              4104963,              4104963,                375888,,,                375888,,,                177181,,                162551,,                 94496,                434228,,                 13327,                -45013,,,                  9345,,                  9816,,                 53913,                -34752,                -79765,,                  7876,                -87641,,,                -87641,,,                              0,                              0,                              0,,                -17964,                -17964,                -17964,               -105605,,                -87641,,               -105605,,                             -0.16,                             -0.16,,,,,,
2368,2015年01月01日至2015年09月30日,,,             14482963,             14482963,,,             12684209,             12684209,              1798754,                              0,                              0,              1798754,,,                531765,,                552635,,                285608,              1370008,,                 -6119,                422627,,,                 26630,,               -110428,,                168419,               -252217,                170410,,                 30621,                139789,,                              0,                139789,,,                              0,                              0,                              0,,                 -8967,                 -8967,                 -8967,                130822,,                139789,,                130822,,                              0.25,                              0.25,,,,,,
2368,2015年01月01日至2015年06月30日,,,              9634704,              9634704,,,              8449479,              8449479,              1185225,,,              1185225,,,                357884,,                382304,,                193880,                934068,,                 12049,                263206,,,                 18038,,                -10172,,                114826,               -106960,                156246,,                 -5174,                161420,,,                161420,,,                              0,                              0,                              0,,                -46365,                -46365,                -46365,                115055,,                161420,,                115055,,                              0.29,                              0.29,,,,,,
2368,2015年01月01日至2015年03月31日,,,              5153853,              5153853,,,              4344516,              4344516,                809337,,,                809337,,,                180703,,                219753,,                 99384,                499840,,                 -1278,                308219,,,                  8693,,                -19988,,                 60913,                -72208,                236011,,                -13050,                249061,,,                249061,,,                              0,                              0,                              0,,                -28401,                -28401,                -28401,                220660,,                249061,,                220660,,                              0.45,                              0.45,                              0,,,,,
2368,2014年第3季,,,              5371728,              5371728,,,              4376594,              4376594,                995134,                              0,                              0,                995134,,,                208982,,                190734,,                 86934,                486650,,                -25246,                483238,,,                  7120,,                 11989,,                 61826,                -42717,                440521,,                 88289,                352232,,                              0,                352232,,,                              0,                              0,                              0,,                 33252,                 33252,                 33252,                385484,,                352232,,                385484,,                              0.63,                              0.63,,,,,,
2368,2014年第2季,,,              4688831,              4688831,,,              4032772,              4032772,                656059,,,                656059,,,                179316,,                165748,,                 88662,                433726,,                -29461,                192872,,,                  9849,,                 -9556,,                 64921,                -64628,                128244,,                 53453,                 74791,,,                 74791,,,                              0,                              0,                              0,,                -33829,                -33829,                -33829,                 40962,,                 74791,,                 40962,,                              0.13,                              0.13,,,,,,
2368,2014年度,,,             20084206,             20084206,,,,             17100030,              2984176,,,              2984176,,,                784979,,                726105,,                354732,              1865816,,                -94653,              1023707,,,                 33901,,                 55818,,                253135,               -163416,                860291,,                231681,                628610,,,                628610,,,,,,,,,                393776,              1022386,,                628610,,              1022386,,                              1.13,                              1.13,,                108860,                356005,                -10865,                -60224,
2368,2014年01月01日至2014年09月30日,,,             14106178,             14106178,,,             12150981,             12150981,              1955197,                              0,                              0,              1955197,,,                545614,,                523397,,                261516,              1330527,,                -90338,                534332,,,                 25368,,                -54696,,                191218,               -220546,                313786,,                115414,                198372,,                              0,                198372,,,                356005,                 60521,                295484,,                 24591,                 24591,                320075,                518447,,                198372,,                518447,,                              0.36,                              0.36,,,,,,
2368,2014年01月01日至2014年06月30日,,,              8734450,              8734450,,,              7774387,              7774387,                960063,,,                960063,,,                336632,,                332663,,                174582,                843877,,                -65092,                 51094,,,                 18248,,                -66685,,                129392,               -177829,               -126735,,                 27125,               -153860,,,               -153860,,,                356005,                 60521,                295484,,                 -8661,                 -8661,                286823,                132963,,               -153860,,                132963,,                             -0.28,                             -0.28,,,,,,
