證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3591,2015年第3季,,                772209,,                683246,                 88963,                 88963,,,                 35222,,                 53556,,                 26223,                115001,                -26038,,,                 12363,,                 20391,,                  3768,,                   -344,                 28642,                  2604,,                  5764,                 -3160,                 -3160,,,                 61045,                              0,,                              0,                              0,                 61045,                 61045,                 57885,,                  1630,                 -4790,,                 59808,                 -1923,,                              0.01,,,,,,,
3591,2015年第2季,,                949658,,                810521,                139137,                139137,,,                 46271,,                 55677,,                 29676,                131624,                  7513,,,                 14008,,                -24573,,                  3619,,                 -1419,                -15603,                 -8090,,                 10375,                -18465,                -18465,,,                -20023,,,                   -335,                              0,                -20358,                -20358,                -38823,,                -15240,                 -3225,,                -35081,                 -3742,,                             -0.12,,,,,,,
3591,2015年01月01日至2015年09月30日,,              2683696,,              2318652,                365044,                365044,,,                140318,,                154831,,                 79601,                374750,                 -9706,,,                 48404,,                -21804,,                 11158,,                 -3024,                 12418,                  2712,,                 20723,                -18011,                -18011,,,                  7771,                              0,,                   -232,                              0,                  7539,                  7539,                -10472,,                 -9136,                 -8875,,                 -2746,                 -7726,,                             -0.07,,,,,,,
3591,2015年01月01日至2015年06月30日,,              1911487,,              1635406,                276081,                276081,,,                105096,,                101275,,                 53378,                259749,                 16332,,,                 36041,,                -42195,,                  7390,,                 -2680,                -16224,                    108,,                 14959,                -14851,                -14851,,,                -53274,,,                   -232,                              0,                -53506,                -53506,                -68357,,                -10766,                 -4085,,                -62554,                 -5803,,                             -0.08,,,,,,,
3591,2015年01月01日至2015年03月31日,,                961829,,                824885,                136944,                136944,,,                 58825,,                 45598,,                 23702,                128125,                  8819,,,                 22033,,                -17622,,                  3771,,                 -1261,                   -621,                  8198,,                  4584,                  3614,                  3614,,,                -33251,                    103,,,                              0,                -33148,                -33148,                -29534,,                  4474,                   -860,,                -27473,                 -2061,,                              0.03,,                              0.03,,,,,
3591,2014年第3季,,                826624,,                721602,                105022,                105022,,,                 40144,,                 48986,,                 32445,                121575,                -16553,,,                 11309,,                 15890,,                  3275,,                   -962,                 22962,                  6409,,                  5494,                    915,                    915,,,                 36404,                   -498,,                              0,                              0,                 35906,                 35906,                 36821,,                    962,                    -47,,                 35758,                  1063,,                              0.01,,,,,,,
3591,2014年第2季,,                789136,,                657132,                132004,                132004,,,                 36092,,                 48517,,                 32187,                116796,                 15208,,,                 10777,,                -33726,,                  3557,,                   -291,                -26797,                -11589,,                  6425,                -18014,                -18014,,,                -34805,,,                              0,                              0,                -34805,                -34805,                -52819,,                -15326,                 -2688,,                -50016,                 -2803,,                             -0.12,,,,,,,
3591,2014年度,,              2947217,,              2571560,                375657,                375657,,,                162419,,                193486,,                125741,                481646,               -105989,,,                 47369,,                 15217,,                 15976,,                 -2954,                 43656,                -62333,,                -10573,                -51760,                -51760,,,,,,,,,                111227,                 59467,,                -42958,                 -8802,,                 63693,                 -4226,,                             -0.34,,,                 15976,                108666,                   -551,                  3112,                              0
3591,2014年01月01日至2014年09月30日,,              2286156,,              1967776,                318380,                318380,,,                108880,,                145549,,                 95044,                349473,                -31093,,,                 35434,,                 10777,,                 12355,,                 -1552,                 32304,                  1211,,                 14696,                -13485,                -13485,,,                 11121,                   -498,,                              0,                              0,                 10623,                 10623,                 -2862,,                 -7974,                 -5511,,                  1523,                 -4385,,                             -0.06,,,,,,,
3591,2014年01月01日至2014年06月30日,,              1459532,,              1246174,                213358,                213358,,,                 68736,,                 96563,,                 62599,                227898,                -14540,,,                 24125,,                 -5113,,                  9080,,                   -590,                  9342,                 -5198,,                  9202,                -14400,                -14400,,,                -25283,,,                              0,                              0,                -25283,                -25283,                -39683,,                 -8936,                 -5464,,                -34235,                 -5448,,                             -0.07,,,,,,,
