證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入
4722,2013年第3季,,,,              1215720,                  3106,                    547,              1212067,              1212067,,              1065941,                146126,                146126,,,                 69396,,                 21622,,                  8045,                 99063,                 47063,,,,                    906,                    906,,                  8634,,                  4367,                  5173,                 52236,,                  9541,                 42695,                 42695,,,,,,,                -15273,                 27422,,                 42695,,                 27422,,                              0.48,                              0.48,,                              0.48,                              0.48,                 -3636,                -10836,,                    801,
4722,2013年第2季,,,,              1234118,                  5490,                    811,              1227817,              1227817,,              1086527,                141290,                141290,,,                 65174,,                 34077,,                  8706,                107957,                 33333,,,,                    698,                    698,,                 10508,,                  3741,                  7465,                 40798,,                 16053,                 24745,                 24745,,,,,,,                 41779,                 66524,,                 24745,,                 66524,,                              0.28,                              0.28,,                              0.28,                              0.28,                  5277,                 34864,,                 -1638,
4722,2013年度,,,,              4872659,                 12904,                  1576,              4858179,              4858179,,              4303531,                554648,                554648,,,                269555,,                 99946,,                 32722,                402223,                152425,,,,                  2848,                  2848,,                 44939,,                 16393,                 31394,                183819,,                 43781,                140038,                140038,,,,,,,                 46456,                186494,,                140038,,                186494,,                              1.63,                              1.63,,                              1.62,                              1.62,                 15467,                 35895,                 -1525,                  3381,
4722,2013年07月01日至2013年09月30日,,,,              1215720,                  3106,                    547,              1212067,              1212067,,              1065941,                146126,                146126,,,                 69396,,                 21622,,                  8045,                 99063,                 47063,,,,                    906,                    906,,                  8634,,                  4367,                  5173,                 52236,,                  9541,                 42695,                 42695,,,,,,,                -15273,                 27422,,                 42695,,                 27422,,                              0.48,                              0.48,,                              0.48,                              0.48,                 -3636,                -10836,,                    801,
4722,2013年04月01日至2013年06月30日,,,,              1234118,                  5490,                    811,              1227817,              1227817,,              1086527,                141290,                141290,,,                 65174,,                 34077,,                  8706,                107957,                 33333,,,,                    698,                    698,,                 10508,,                  3741,                  7465,                 40798,,                 16053,                 24745,                 24745,,,,,,,                 41779,                 66524,,                 24745,,                 66524,,                              0.28,                              0.28,,                              0.28,                              0.28,                  5277,                 34864,,                 -1638,
4722,2013年01月01日至2013年12月31日,,,,              4872659,                 12904,                  1576,              4858179,              4858179,,              4303531,                554648,                554648,,,                269555,,                 99946,,                 32722,                402223,                152425,,,,                  2848,                  2848,,                 44939,,                 16393,                 31394,                183819,,                 43781,                140038,                140038,,,,,,,                 46456,                186494,,                140038,,                186494,,                              1.63,                              1.63,,                              1.62,                              1.62,                 15467,                 35895,                 -1525,                  3381,
4722,2013年01月01日至2013年09月30日,,,,              3604140,                  9311,                  1427,              3593402,              3593402,,              3174546,                418856,                418856,,,                205520,,                 75983,,                 24890,                306393,                112463,,,,                  1987,                  1987,,                 31783,,                 12141,                 21629,                134092,,                 31353,                102739,                102739,,,,,,,                 42023,                144762,,                102739,,                144762,,                              1.20,                              1.20,,                              1.20,                              1.20,                 10652,                 32904,,                  1533,
4722,2013年01月01日至2013年06月30日,,,,              2388420,                  6205,                    880,              2381335,              2381335,,              2108605,                272730,                272730,,,                136124,,                 54361,,                 16845,                207330,                 65400,,,,                  1081,                  1081,,                 23149,,                  7774,                 16456,                 81856,,                 21812,                 60044,                 60044,,,,,,,                 57296,                117340,,                 60044,,                117340,,                              0.71,                              0.71,,                              0.71,                              0.71,                 14288,                 43740,,                    732,
4722,2013年01月01日至2013年03月31日,,,,              1154302,                    715,                     69,              1153518,              1153518,,              1022078,                131440,                131440,,,                 70950,,                 20284,,                  8139,                 99373,                 32067,,,,                    383,                    383,,                 12641,,                  4033,                  8991,                 41058,,                  5759,                 35299,                 35299,,,,,,,                 15517,                 50816,,                 35299,,                 50816,,,                              0.44,,,                              0.44,                  9011,                  8876,,                  2370,
4722,2012年07月01日至2012年09月30日,,,,              1248258,                  2860,                    683,              1244715,              1244715,,              1086589,                158126,                158126,,,                 67344,,                 25206,,                  6342,                 98892,                 59234,,,,                     56,                     56,,                 10982,,                  5128,                  5910,                 65144,,                 11640,                 53504,                 53504,,,,,,,                  6030,                 59534,,                 53504,,                 59534,,                              0.73,                              0.73,,                              0.73,                              0.73,                 -7085,                 14454,,                  1339,
4722,2012年04月01日至2012年06月30日,,,,              1270447,                  1522,                    512,              1268413,              1268413,,              1117989,                150424,                150424,,,                 69950,,                 29037,,                  6632,                105619,                 44805,,,,                    126,                    126,,                  3424,,                  4740,                 -1190,                 43615,,                  9168,                 34447,                 34447,,,,,,,                  3750,                 38197,,                 34447,,                 38197,,                              0.47,                              0.47,,                              0.47,                              0.47,                  2815,                  1727,,                    792,
4722,2012年01月01日至2012年12月31日,,,,              4863341,                  5174,                  1782,              4856385,              4856385,,              4298843,                557542,                557542,,,                262741,,                102234,,                 26291,                391266,                166276,,,,                    317,                    317,,                 79592,,                 19817,                 60092,                226368,,                 40628,                185740,                185740,,,,,,,                -42591,                143149,,                185740,,                143149,,                              2.54,                              2.54,,                              2.53,                              2.53,                -10306,                -39833,                 -4847,                -12395,
4722,2012年01月01日至2012年09月30日,,,,              3667496,                  4542,                  1274,              3661680,              3661680,,              3235952,                425728,                425728,,,                191454,,                 78007,,                 18630,                288091,                137637,,,,                    226,                    226,,                 13163,,                 14761,                 -1372,                136265,,                 24694,                111571,                111571,,,,,,,                  2229,                113800,,                111571,,                113800,,                              1.52,                              1.52,,                              1.52,                              1.52,                -12459,                 15315,,                    627,
4722,2012年01月01日至2012年06月30日,,,,              2419238,                  1682,                    591,              2416965,              2416965,,              2149363,                267602,                267602,,,                124110,,                 52801,,                 12288,                189199,                 78403,,,,                    170,                    170,,                  2181,,                  9633,                 -7282,                 71121,,                 13054,                 58067,                 58067,,,,,,,                 -3801,                 54266,,                 58067,,                 54266,,                              0.79,                              0.79,,                              0.79,                              0.79,                 -5374,                    861,,                   -712,
4722,2012年01月01日至2012年03月31日,,,,              1148791,                    160,                     79,              1148552,              1148552,,              1031374,                117178,                117178,,,                 54160,,                 23764,,                  5656,                 83580,                 33598,,,,                     44,                     44,,                 -1243,,                  4893,                 -6092,                 27506,,                  3886,                 23620,                 23620,,,,,,,                 -7551,                 16069,,                 23620,,                 16069,,                              0.32,                              0.32,,                              0.32,                              0.32,                 -8189,                   -866,,                 -1504,              1148791
