證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 與可能重分類之項目相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 財務成本,　　　 財務成本淨額,　　　 利息收入,　　　　 利息收入合計
2483,2015年第3季,,                404226,,                296486,                107740,                107740,,,                 22592,,                 34211,,                 22889,                 79692,                 28048,,,                 12520,,                              0,                              0,                 35917,                  1594,                    911,,                              0,                              0,                 36600,,                  5521,                  5521,                 54641,                 82689,,                 13646,                 69043,                 69043,,,                 25253,                -17720,                  7533,                  7533,                 76576,,                 68182,                    861,,                 77330,                   -754,,                              0.61,,                              0.61,,,,,,,,,,,,
2483,2015年第2季,,                407783,,                299360,                108423,                108423,,,                 24704,,                 32661,,                 21350,                 78715,                 29708,,,                    743,,                 74848,                  3050,                 -1699,                 -6478,                  2013,,                 11240,                 11240,                 56468,,                  2613,                  2613,                 59824,                 89532,,                 11201,                 78331,                 78331,,,                 -6980,                 -9208,                -16188,                -16188,                 62143,,                 79066,                   -735,,                 62854,                   -711,,                              0.71,,                              0.71,                    743,                              0,,,,,,,,,,
2483,2015年01月01日至2015年09月30日,,              1177594,,                864153,                313441,                313441,,,                 68580,,                 97492,,                 63520,                229592,                 83849,,,                 18214,,                 74848,                  7220,                 19975,                   -434,                  4677,,                 11240,                 11240,                 85692,,                 10431,                 10431,                114337,                198186,,                 27822,                170364,                170364,,,                 10820,                 42898,                 53718,                 53718,                224082,,                169985,                    379,,                225257,                 -1175,,                              1.53,,                              1.52,,,,,,,,,,,,
2483,2015年01月01日至2015年06月30日,,                773368,,                567667,                205701,                205701,,,                 45988,,                 63281,,                 40631,                149900,                 55801,,,                  5694,,                 74848,                  7220,                -15942,                 -2028,                  3766,,                 11240,                 11240,                 49092,,                  4910,                  4910,                 59696,                115497,,                 14176,                101321,                101321,,,                -14433,                 60618,                 46185,                 46185,                147506,,                101803,                   -482,,                147927,                   -421,,                              0.92,,                              0.91,                  5694,                              0,,,,,,,,,,
2483,2015年01月01日至2015年03月31日,,                365585,,                268307,                 97278,                 97278,,,                 21284,,                 30620,,                 19281,                 71185,                 26093,,,                  4951,,,                  4170,                -14243,                  4450,                  1753,,,,                 -7376,,                  2297,                  2297,                   -128,                 25965,,                  2975,                 22990,                 22990,,,                 -7453,                 69826,                 62373,                 62373,                 85363,,                 22737,                    253,,                 85073,                    290,,                              0.20,,                              0.20,                  4951,                              0,,                              0,,,,,,,,
2483,2014年第3季,,                438908,,                320739,                118169,                118169,,,                 24985,,                 30618,,                 18872,                 74475,                 43694,,,                 10861,,                              0,                   -615,                  3525,                  1244,                    306,,                              0,                              0,                  3848,,                  3294,                  3294,                 18003,                 61697,,                  5898,                 55799,                 55799,,,                  7902,                 -4722,                  3180,                  3180,                 58979,,                 55801,                     -2,,                 60763,                 -1784,,                              0.50,,                              0.50,,,,,,,,,,,,
2483,2014年第2季,,                446809,,                332515,                114294,                114294,,,                 23479,,                 30969,,                 19650,                 74098,                 40196,,,                  2027,,                 12770,                  1150,                 -7034,                  2083,                    539,,                              0,                              0,                  8430,,                  3554,                  3554,                 14011,                 54207,,                  3072,                 51135,                 51135,,,                -16616,                    904,                -13736,                -13736,                 37399,,                 50919,                    216,,                 37142,                    257,,                              0.46,,                              0.46,                  2027,                 -1976,,,,,,,,,,
2483,2014年度,,              1634356,,              1231539,                402817,                402817,,,                 94804,,                119705,,                 76039,                290548,                112269,,,                 20866,,                 12770,                  4524,                 18034,                 21377,                  6172,,,,                 50533,,,                 12967,                 84366,                196635,,                 13506,                183129,                183129,,,,,,                 28961,                212090,,                181319,                  1810,,                210465,                  1625,,                              1.63,,                              1.62,,,,,                 29044,                  3633,                 -4477,                   -761,,,,
2483,2014年01月01日至2014年09月30日,,              1262415,,                950953,                311462,                311462,,,                 68420,,                 90989,,                 56160,                215569,                 95893,,,                 17719,,                 12770,                  4524,                  6300,                 10783,                  1770,,                              0,                              0,                 32607,,                 10637,                 10637,                 60963,                156856,,                 11370,                145486,                145486,,,                  2880,                 -2243,                    637,                    637,                146123,,                144355,                  1131,,                146761,                   -638,,                              1.30,,                              1.29,,,,,,,,,,,,
2483,2014年01月01日至2014年06月30日,,                823507,,                630214,                193293,                193293,,,                 43435,,                 60371,,                 37288,                141094,                 52199,,,                  6858,,                 12770,                  5139,                  2775,                  9539,                  1464,,                              0,                              0,                 28759,,                  7343,                  7343,                 42960,                 95159,,                  5472,                 89687,                 89687,,,                 -5022,                  2479,                 -2543,                 -2543,                 87144,,                 88554,                  1133,,                 85998,                  1146,,                              0.80,,                              0.79,                  6858,                              0,,,,,,,,,,
