證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1612,2013年第3季,,,,              1095895,              1095895,                    295,                  2606,              1092994,              1092994,,,              1056182,              1056182,              1056182,                 36812,                 36812,,,                 45521,,                 10804,                 56325,                -19513,,,                 28548,,                  7422,,                    599,,                 11383,                 46754,                 27241,,                    247,                 26994,                 26994,,,,,,,,                  4860,                 31854,,                 28660,                 -1666,,                 33520,                 -1666,,                              0.09,,                              0.09,                 -2436,                 24122,,,                -16826,
1612,2013年第2季,,,,              1005118,              1005118,                    254,                  3256,              1001608,              1001608,,,                992961,                992961,                992961,                  8647,                  8647,,,                 46311,,                  3948,                 50259,                -41612,,,                  7595,,                  2321,,                    494,,                 14087,                 23509,                -18103,,                 -2385,                -15718,                -15718,,,,,,,,                -49486,                -65204,,                -14609,                 -1109,,                -64095,                 -1109,,                             -0.05,,                             -0.05,                    952,                -14783,,,                -35655,
1612,2013年度,,,,              4301522,              4301522,                  1556,                 16130,              4283836,              4283836,,,              4169076,              4169076,              4169076,                114760,                114760,,,                173891,,                 58172,                232063,               -117303,,,                 55763,,                155750,,                  2134,,                -56738,                152641,                 35338,,                 -7781,                 43119,                 43119,,,,,,,,                -20296,                 22823,,                 51365,                 -8246,,                 30342,                 -7519,,                              0.16,,                              0.16,                  4265,                 77090,                -18356,,                -87508,                 -4213
1612,2013年07月01日至2013年09月30日,,,,              1095895,              1095895,                    295,                  2606,              1092994,              1092994,,,              1056182,              1056182,              1056182,                 36812,                 36812,,,                 45521,,                 10804,                 56325,                -19513,,,                 28548,,                  7422,,                    599,,                 11383,                 46754,                 27241,,                    247,                 26994,                 26994,,,,,,,,                  4860,                 31854,,                 28660,                 -1666,,                 33520,                 -1666,,                              0.09,,                              0.09,                 -2436,                 24122,,,                -16826,
1612,2013年04月01日至2013年06月30日,,,,              1005118,              1005118,                    254,                  3256,              1001608,              1001608,,,                992961,                992961,                992961,                  8647,                  8647,,,                 46311,,                  3948,                 50259,                -41612,,,                  7595,,                  2321,,                    494,,                 14087,                 23509,                -18103,,                 -2385,                -15718,                -15718,,,,,,,,                -49486,                -65204,,                -14609,                 -1109,,                -64095,                 -1109,,                             -0.05,,                             -0.05,                    952,                -14783,,,                -35655,
1612,2013年01月01日至2013年12月31日,,,,              4301523,              4301523,                  1557,                 16130,              4283836,              4283836,,,              4169076,              4169076,              4169076,                114760,                114760,,,                173891,,                 58172,                232063,               -117303,,,                 55763,,                155750,,                  2134,,                -56738,                152641,                 35338,,                 -7781,                 43119,                 43119,,,,,,,,                -20296,                 22823,,                 51365,                 -8246,,                 30342,                 -7519,,                              0.16,,                              0.16,                  4265,                 77090,                -18356,,                -87508,                 -4213
1612,2013年01月01日至2013年09月30日,,,,              3135042,              3135042,                  1270,                 13018,              3120754,              3120754,,,              3053130,              3053130,              3053130,                 67624,                 67624,,,                135281,,                 23812,                159093,                -91469,,,                 43184,,                 58647,,                  1594,,                 21100,                121337,                 29868,,                 -2384,                 32252,                 32252,,,,,,,,                -21139,                 11113,,                 36900,                 -4648,,                 15761,                 -4648,,                              0.11,,                              0.11,                  3049,                 61484,,,                -85672,
1612,2013年01月01日至2013年06月30日,,,,              2039147,              2039147,                    975,                 10412,              2027760,              2027760,,,              1996948,              1996948,              1996948,                 30812,                 30812,,,                 89760,,                 13008,                102768,                -71956,,,                 14636,,                 51225,,                    995,,                  9717,                 74583,                  2627,,                 -2631,                  5258,                  5258,,,,,,,,                -25999,                -20741,,                  8240,                 -2982,,                -17759,                 -2982,,                              0.03,,                              0.03,                  5485,                 37362,,,                -68846,
1612,2013年01月01日至2013年03月31日,,,,              1034029,              1034029,                    721,                  7156,              1026152,              1026152,,,              1003987,              1003987,              1003987,                 22165,                 22165,,,                 43449,,                  9060,                 52509,                -30344,,,                  7041,,                 48904,,                    501,,                 -4370,                 51074,                 20730,,                   -246,                 20976,                 20976,,,,,,,,                 23487,                 44463,,                 22849,                 -1873,,                 46336,                 -1873,,                              0.06,,                              0.06,                  4533,                 52145,,,                -33191,
1612,2012年07月01日至2012年09月30日,,,,              1247952,              1247952,                    448,                  6258,              1241246,              1241246,,,              1143812,              1143812,              1143812,                 97434,                 97434,,,                 50108,,                    991,                 51099,                 46335,,,                 24979,,                  8043,,                    466,,                 16497,                 49053,                 95388,,                 13502,                 81886,                 81886,,,,,,,,                 -2969,                 78917,,                 82354,                   -468,,                 79385,                   -468,,                              0.25,,                              0.25,                  3753,                  3228,,,                 -9950,
1612,2012年04月01日至2012年06月30日,,,,              1411464,              1411464,                    310,                  5684,              1405470,              1405470,,,              1330033,              1330033,              1330033,                 75437,                 75437,,,                 52203,,                    781,                 52984,                 22453,,,                  8024,,                -31705,,                    447,,                 36265,                 12137,                 34590,,                 10039,                 24551,                 24551,,,,,,,,                -76221,                -51670,,                 25433,                   -882,,                -50788,                   -882,,                              0.08,,                              0.08,                 -5254,                -16209,,,                -54758,
1612,2012年01月01日至2012年12月31日,,,,              5336705,              5336705,                  2169,                 24502,              5310034,              5310034,,,              4980437,              4980437,              4980437,                329597,                329597,,,                193091,,                  3149,                196240,                133357,,,                 68740,,                -18794,,                  1892,,                -73049,                -24995,                108362,,                 24058,                 84304,                 84304,,,,,,,,                -14201,                 70103,,                 88486,                 -4182,,                 74285,                 -4182,,                              0.27,,                              0.27,                 -7192,                 68616,                -15092,,                -63744,                 -3211
1612,2012年01月01日至2012年09月30日,,,,              4165587,              4165587,                    804,                 16253,              4148530,              4148530,,,              3849462,              3849462,              3849462,                299068,                299068,,,                150746,,                  2578,                153324,                145744,,,                 39695,,                 12098,,                  1328,,                 56526,                106991,                252735,,                 38210,                214525,                214525,,,,,,,,                -36656,                177869,,                215883,                 -1358,,                179227,                 -1358,,                              0.67,,                              0.67,                 -5968,                  9617,,,                -40305,
1612,2012年01月01日至2012年06月30日,,,,              2917635,              2917635,                    356,                  9995,              2907284,              2907284,,,              2705650,              2705650,              2705650,                201634,                201634,,,                100638,,                  1587,                102225,                 99409,,,                 14716,,                  4055,,                    862,,                 40029,                 57938,                157347,,                 24708,                132639,                132639,,,,,,,,                -33687,                 98952,,                133529,                   -890,,                 99842,                   -890,,                              0.41,,                              0.41,                 -9721,                  6389,,,                -30355,
1612,2012年01月01日至2012年03月31日,,,,              1506171,              1506171,                     46,                  4311,              1501814,              1501814,,,              1375617,              1375617,              1375617,                126197,                126197,,,                 48435,,                    806,                 49241,                 76956,,,                  6692,,                 35760,,                    415,,                  3764,                 45801,                122757,,                 14669,                108088,                108088,,,,,,,,                 42534,                150622,,                108096,                     -8,,                150630,                     -8,,                              0.33,,                              0.33,                 -4467,                 22598,,,                 24403,
