證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位稅後損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 其他收入－其他
2428,2015年第3季,,              1396948,,                990537,                406411,                406411,,,                 57420,,                 73119,,                 20582,                151121,                255290,,,                 16654,,                 74641,,                    943,                 90352,                345642,,                 75898,                269744,,                              0,                              0,                269744,,,                 94940,                 -2194,                 16140,                 76606,                 76606,                346350,,                269020,                    724,,                345626,                    724,,                              2.11,                              2.11,,                              2.09,                              2.09,,,,,,,,,,,,
2428,2015年第2季,,              1297383,,                956929,                340454,                340454,,,                 39335,,                 73971,,                 18789,                132095,                208359,,,                 12280,,                    583,,                  1652,                 11211,                219570,,                 87586,                131984,,                              0,                              0,                131984,,,                -20541,                  1155,                 -3492,                -15894,                -15894,                116090,,                134198,                 -2214,,                118304,                 -2214,,                              1.05,                              1.05,,                              1.04,                              1.04,,,,,,,,,,,,
2428,2015年第1季,,              1102413,,                797430,                304983,                304983,,,                 38898,,                 73790,,                 20204,                132892,                172091,,,                 15969,,                -10704,,                    657,                  4608,                176699,,                 40000,                136699,,                              0,                              0,                136699,,,                -50860,                  1727,                 -8646,                -40487,                -40487,                 96212,,                138854,                 -2155,,                 98367,                 -2155,,                              1.09,                              1.09,,                              1.08,                              1.08,,,,,,,,,,,,
2428,2015年01月01日至2015年09月30日,,              3796744,,              2744896,              1051848,              1051848,,,                135653,,                220880,,                 59575,                416108,                635740,,,                 44903,,                 64520,,                  3252,                106171,                741911,,                203484,                538427,,                              0,                              0,                538427,,,                 23539,                    688,                  4002,                 20225,                 20225,                558652,,                542072,                 -3645,,                562297,                 -3645,,                              4.26,                              4.26,,                              4.21,                              4.21,,,,,,,,,,,,
2428,2015年01月01日至2015年06月30日,,              2399796,,              1754359,                645437,                645437,,,                 78233,,                147761,,                 38993,                264987,                380450,,,                 28249,,                -10121,,                  2309,                 15819,                396269,,                127586,                268683,,                              0,                              0,                268683,,,                -71401,                  2882,                -12138,                -56381,                -56381,                212302,,                273052,                 -4369,,                216671,                 -4369,,                              2.15,                              2.15,,                              2.12,                              2.12,,,,,,,,,,,,
2428,2014年第3季,,              1230908,,                903262,                327646,                327646,,,                 37888,,                 69190,,                 22407,                129485,                198161,,,                  9035,,                 31176,,                    538,                 39673,                237834,,                 46850,                190984,,                    -11,                    -11,                190973,,,                 38787,                   -173,                  6595,                 32019,                 32019,                222992,,                180696,                 10277,,                219340,                  3652,,                              1.42,                              1.42,,                              1.41,                              1.41,,,,,,,,,,,,
2428,2014年第2季,,              1133381,,                841860,                291521,                291521,,,                 40142,,                 67651,,                 21214,                129007,                162514,,,                 13351,,                 -8568,,                  1232,                  3551,                166065,,                 55387,                110678,,                   -210,                   -210,                110468,,,                -55944,                    654,                 -9511,                -45779,                -45779,                 64689,,                106432,                  4036,,                 61387,                  3302,,                              0.84,                              0.84,,                              0.83,                              0.83,,,,,,,,,,,,
2428,2014年第1季,,              1005005,,                725421,                279584,                279584,,,                 32524,,                 61685,,                 19294,                113503,                166081,,,                 17772,,                 16593,,                  1757,                 32608,                198689,,                 45637,                153052,,                    607,                    607,                153659,,,                 25324,                    394,                  4303,                 21415,                 21415,                175074,,                151995,                  1664,,                173068,                  2006,,                              1.20,                              1.20,,                              1.17,                              1.17,,,,,,,,,,,,
2428,2014年度,,              4555972,,              3322809,              1233163,              1233163,,,                162726,,                268423,,                 88398,                519547,                713616,,,                 57672,,                 67159,,                  4866,                119965,                833581,,                198422,                635159,,                    386,                    386,                635545,,,,,,,                123367,                758912,,                618721,                 16824,,                749105,                  9807,,                              4.87,                              4.87,,                              4.80,                              4.80,                145538,                  2570,                 24741,                              0.00,                              0.00,,,,,,,
2428,2014年01月01日至2014年09月30日,,              3369294,,              2470543,                898751,                898751,,,                110554,,                198526,,                 62915,                371995,                526756,,,                 40158,,                 39201,,                  3527,                 75832,                602588,,                147874,                454714,,                    386,                    386,                455100,,,                  8167,                    875,                  1387,                  7655,                  7655,                462755,,                439123,                 15977,,                453795,                  8960,,                              3.46,                              3.46,,                              3.41,                              3.41,,,,,,,,,,,,
