證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
3686,2015年第3季,,                388362,,                484500,                -96138,                -96138,,,                  1249,,                 14469,,                  4067,                 19785,               -115923,,,                  2499,,                  6915,,                    921,,                              0,                  8493,               -107430,,                  5422,               -112852,               -112852,               -112852,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,,,,                              0,                              0,                              0,,
3686,2015年第2季,,                372066,,                507186,               -135120,               -135120,,,                  1502,,                 13711,,                  4717,                 19930,               -155050,,,                  3029,,                   -923,,                  1266,,                              0,                    840,               -154210,,                  3188,               -157398,               -157398,               -157398,,                             -0.45,                             -0.45,,                             -0.45,                             -0.45,,,,                              0,                              0,                              0,,
3686,2015年度,,              1575121,,              2029895,               -454774,               -454774,,,                  4447,,                 56006,,                 17560,                 78013,               -532787,,,                 10300,,                  2032,,                  4396,,                              0,                  7936,               -524851,,                 78987,               -603838,               -603838,               -603838,,                             -1.73,                             -1.73,,                             -1.73,                             -1.73,,,,,,,,
3686,2015年01月01日至2015年09月30日,,              1152106,,              1503305,               -351199,               -351199,,,                  3407,,                 42975,,                 13547,                 59929,               -411128,,,                  7506,,                  3143,,                  3648,,                              0,                  7001,               -404127,,                  1790,               -405917,               -405917,               -405917,,                             -1.16,                             -1.16,,                             -1.16,                             -1.16,,,,                              0,                              0,                              0,,
3686,2015年01月01日至2015年06月30日,,                763744,,              1018805,               -255061,               -255061,,,                  2158,,                 28506,,                  9481,                 40145,               -295206,,,                  5007,,                 -3772,,                  2727,,                              0,                 -1492,               -296698,,                 -3632,               -293066,               -293066,               -293066,,                             -0.84,                             -0.84,,                             -0.84,                             -0.84,,,,                              0,                              0,                              0,,
3686,2015年01月01日至2015年03月31日,,                391678,,                511619,               -119941,               -119941,,,                    656,,                 14795,,                  4764,                 20215,               -140156,,,                  1978,,                 -2849,,                  1461,,                              0,                 -2332,               -142488,,                 -6820,               -135668,               -135668,               -135668,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,,,,                              0,                              0,                              0,,
3686,2014年第3季,,                445845,,                583291,               -137446,               -137446,,,                    686,,                 13933,,                  4720,                 19339,               -156785,,,                  1008,,                  3758,,                  6820,,                 13733,                 11679,               -145106,,                              0,               -145106,               -145106,               -144878,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,,,,                    228,                    228,                    228,,
3686,2014年第2季,,                503671,,                601457,                -97786,                -97786,,,                    402,,                 17258,,                  5521,                 23181,               -120967,,,                  2902,,                 -4101,,                  6890,,                 -8332,                -16421,               -137388,,                -23019,               -114369,               -114369,               -116049,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,,,                 -1680,                 -1680,                 -1680,,
3686,2014年度,,              1853771,,              2251773,               -398002,               -398002,,,                  2850,,                 63151,,                 20140,                 86141,               -484143,,,                  8148,,                 29242,,                 23425,,                 -9386,                  4579,               -479564,,                 57536,               -537100,               -537100,               -537100,,                             -1.55,                             -1.55,,                             -1.55,                             -1.55,,,,,,,,
3686,2014年01月01日至2014年09月30日,,              1383207,,              1681632,               -298425,               -298425,,,                  2184,,                 51043,,                 15672,                 68899,               -367324,,,                  5222,,                   -342,,                 21969,,                 -1652,                -18741,               -386065,,                -31084,               -354981,               -354981,               -353836,,                             -1.03,                             -1.03,,                             -1.03,                             -1.03,,,,                  1145,                  1145,                  1145,,
3686,2014年01月01日至2014年06月30日,,                937362,,              1098341,               -160979,               -160979,,,                  1498,,                 37110,,                 10952,                 49560,               -210539,,,                  4214,,                 -4100,,                 15149,,                -15385,                -30420,               -240959,,                -31084,               -209875,               -209875,               -208958,,                             -0.61,                             -0.61,,                             -0.61,                             -0.61,,,,                    917,                    917,                    917,,
