證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
5607,2013年07月01日至2013年09月30日,,                317232,,                151476,                165756,                165756,,,                 21665,,                 61154,                 82819,                 82937,,,                 12014,,                   -362,,                 15119,                 -3467,                 79470,,                      5,                 79465,                 79465,,,,,                              0,                 79465,,                 66042,                 13423,,                 66042,                 13423,,                              0.38,                              0.38,,,,,,,                              0,
5607,2013年04月01日至2013年06月30日,,                306171,,                151734,                154437,                154437,,,                 21427,,                 60303,                 81730,                 72707,,,                  2383,,                   -372,,                 15466,                -13455,                 59252,,                     17,                 59235,                 59235,,,,,                 -2213,                 57022,,                 43805,                 15430,,                 41592,                 15430,,                              0.26,                              0.26,,,,,,,                 -2213,
5607,2013年01月01日至2013年12月31日,,              1225584,,                605216,                620368,                620368,,,                 89046,,                248434,                337480,                282888,,,                 17128,,                 -1141,,                 60841,                -44854,                238034,,                     65,                237969,                237969,,,,,                 -9215,                228754,,                183594,                 54375,,                176661,                 52093,,                              1.08,                              1.08,,,,,,,                 -8853,                   -362
5607,2013年01月01日至2013年09月30日,,                914808,,                449305,                465503,                465503,,,                 62900,,                181447,                244347,                221156,,,                 15542,,                   -969,,                 46515,                -31942,                189214,,                     40,                189174,                189174,,,,,                 16048,                205222,,                146921,                 42253,,                162969,                 42253,,                              0.86,                              0.86,,,,,,,                 16048,
5607,2013年01月01日至2013年06月30日,,                597576,,                297829,                299747,                299747,,,                 41235,,                120293,                161528,                138219,,,                  3528,,                   -607,,                 31396,                -28475,                109744,,                     35,                109709,                109709,,,,,                 16048,                125757,,                 80879,                 28830,,                 96927,                 28830,,                              0.48,                              0.48,,,,,,,                 16048,
5607,2013年01月01日至2013年03月31日,,                291405,,                146095,                145310,                145310,,,                 19808,,                 59990,                 79798,                 65512,,,                  1145,,                   -235,,                 15930,                -15020,                 50492,,                     18,                 50474,                 50474,,,,,                 18261,                 68735,,                 37074,                 13400,,                 55335,                 13400,,                              0.22,                              0.22,,,,,,,                 18261,
5607,2012年07月01日至2012年09月30日,,                322662,,                172638,                150024,                150024,,,                 23574,,                 64351,                 87925,                 62099,,,                 15110,,                   -397,,                 17352,                 -2639,                 59460,,                              0,                 59460,                 59460,,,,,                 12174,                 71634,,                 50298,                  9162,,                 62472,                  9162,,                              0.30,                              0.30,,,,,,,                 12174,
5607,2012年04月01日至2012年06月30日,,                313930,,                167329,                146601,                146601,,,                 27890,,                 64425,                 92315,                 54286,,,                    654,,                   -540,,                 17614,                -17500,                 36786,,                              0,                 36786,                 36786,,,,,                -37628,                   -842,,                 26144,                 10642,,                -11484,                 10642,,                              0.15,                              0.15,,,,,,,                -37628,
5607,2012年01月01日至2012年12月31日,,              1211873,,                676910,                534963,                534963,,,                 99244,,                262331,                361575,                173388,,,                 19027,,                 -2413,,                 69686,                -53072,                120316,,                              0,                120316,                120316,,,,,                 20645,                140961,,                 91076,                 29240,,                112749,                 28212,,                              0.54,                              0.54,,,,,,,                 25454,                 -4809
5607,2012年01月01日至2012年09月30日,,                890075,,                494039,                396036,                396036,,,                 71214,,                191849,                263063,                132973,,,                 17618,,                 -1357,,                 52913,                -36652,                 96321,,                              0,                 96321,                 96321,,,,,                 40395,                136716,,                 73965,                 22356,,                114360,                 22356,,                              0.44,                              0.44,,,,,,,                 40395,
5607,2012年01月01日至2012年06月30日,,                567413,,                321401,                246012,                246012,,,                 47640,,                127498,                175138,                 70874,,,                  2508,,                   -960,,                 35561,                -34013,                 36861,,                              0,                 36861,                 36861,,,,,                 28221,                 65082,,                 23667,                 13194,,                 51888,                 13194,,                              0.14,                              0.14,,,,,,,                 28221,
5607,2012年01月01日至2012年03月31日,,                253483,,                154072,                 99411,                 99411,,,                 19750,,                 63073,                 82823,                 16588,,,                  1854,,                   -420,,                 17947,                -16513,                     75,,                              0,                     75,                     75,,,,,                 65849,                 65924,,                 -2477,                  2552,,                 63372,                  2552,,                             -0.01,                             -0.01,,,,,,,                 65849,
