證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 勞務收入,　　　　 勞務收入淨額,　　 其他綜合損益
2527,2014年01月01日至2014年03月31日,,,                 11376,,                 26666,,,                139366,                139366,,                  8557,                185965,,,                  8773,,                 11196,,                101840,                101840,,                  3968,                125777,                 60188,                 60188,,,                  1427,,                 42629,                 44056,                 16132,,,                  4270,,                     46,,                  5232,,                    601,                   -315,                 15817,,                  6422,                  9395,                  9395,,,                    389,                522088,                     66,                522411,                522411,                531806,,                 10807,                 -1412,,                533218,                 -1412,,,                              0.04,,,                              0.04,,,,,,,,
2527,2013年第3季,,,                 10246,,                 31939,,,                165466,                165466,,                  8693,                216344,,,                 19307,,                 12994,,                162780,                162780,,                  2487,                197568,                 18776,                 18776,,,                  1447,,                 51653,                 53100,                -34324,,,                 91996,,                     29,,                 14506,,                  1112,                 78631,                 44307,,                 25821,                 18486,                 18486,,,,,,,                286425,                304911,,                 20427,                 -1941,,                306852,                 -1941,,                              0.08,                              0.08,,                              0.08,                              0.08,,,                   -360,                286720,                    -65,,,
2527,2013年第2季,,,                  1275,,                 32967,,,                 10759,                 10759,,                  8283,                 53284,,,                  1538,,                 11335,,                 10353,                 10353,,                  2569,                 25795,                 27489,                 27489,,,                  1342,,                 51483,                 52825,                -25336,,,                  1169,,                -16041,,                 16474,,                    306,                -31040,                -56376,,                  8350,                -64726,                -64726,,,,,,,                 56188,                 -8538,,                -63430,                 -1296,,                 -7242,                 -1296,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,                    648,                 55633,                     93,,,
2527,2013年度,,,              1984167,,                120041,,,                250534,                250534,,                 36583,              2391325,,,                810330,,               -170042,,              1120150,              1120150,,                 10474,              1770912,                620413,                620413,,,                 11011,,                217969,                228980,                312805,,,                115011,,                -15872,,                 60045,,                  2888,                 41982,                354787,,                 32847,                321940,                321940,,,,,,,                215320,                537260,,                329610,                 -7670,,                544930,                 -7670,,                              1.26,                              1.26,,                              1.25,                              1.25,,                -78628,                  1456,                213971,                    107,,,
2527,2013年07月01日至2013年09月30日,,,                 10246,,                 31939,,,                165466,                165466,,                  8693,                216344,,,                 19307,,                 12994,,                162780,                162780,,                  2487,                197568,                 18776,                 18776,,,                  1447,,                 51653,                 53100,                -34324,,,                 91996,,                     29,,                 14506,,                  1112,                 78631,                 44307,,                 25821,                 18486,                 18486,,,,,,,                286425,                304911,,                 20427,                 -1941,,                306852,                 -1941,,                              0.08,                              0.08,,                              0.08,                              0.08,,,                   -360,                286720,                    -65,,                  8693,
2527,2013年04月01日至2013年06月30日,,,                  1275,,                 32967,,,                 10759,                 10759,,                  8283,                 53284,,,                  1538,,                 11335,,                 10353,                 10353,,                  2569,                 25795,                 27489,                 27489,,,                  1342,,                 51483,                 52825,                -25336,,,                  1169,,                -16041,,                 16474,,                    306,                -31040,                -56376,,                  8350,                -64726,                -64726,,,,,,,                 56188,                 -8538,,                -63430,                 -1296,,                 -7242,                 -1296,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,                    648,                 55633,                     93,,,
2527,2013年01月01日至2013年12月31日,,,              1984167,,                120041,,,                250534,                250534,,                 36583,              2391325,,,                810330,,               -170042,,              1120150,              1120150,,                 10474,              1770912,                620413,                620413,,,                 11011,,                217969,                228980,                312805,,,                115011,,                -15872,,                 60045,,                  2888,                 41982,                354787,,                 32847,                321940,                321940,,,,,,,                215320,                537260,,                329610,                 -7670,,                544930,                 -7670,,                              1.26,                              1.26,,                              1.25,                              1.25,,                -78628,                  1456,                213971,                    107,,,
2527,2013年01月01日至2013年09月30日,,,                 39185,,                 91966,,,                176225,                176225,,                 25587,                332963,,,                 63509,,                 34815,,                173133,                173133,,                  7076,                278533,                 54430,                 54430,,,                  4528,,                146951,                151479,                -97049,,,                 94140,,                -15983,,                 45414,,                  1755,                 34498,                -62551,,                 40768,               -103319,               -103319,,,,,,,                283429,                180110,,                -97840,                 -5479,,                185589,                 -5479,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,,,                  1016,                282441,                     28,,                 25587,
2527,2013年01月01日至2013年06月30日,,,                 28939,,                 60027,,,                 10759,                 10759,,                 16894,                116619,,,                 44202,,                 21821,,                 10353,                 10353,,                  4589,                 80965,                 35654,                 35654,,,                  3081,,                 95298,                 98379,                -62725,,,                  2144,,                -16012,,                 30908,,                    643,                -44133,               -106858,,                 14947,               -121805,               -121805,,,,,,,                 -2996,               -124801,,               -118267,                 -3538,,               -121263,                 -3538,,                             -0.45,                             -0.45,,                             -0.45,                             -0.45,,,                  1376,                 -4279,                     93,,,
2527,2013年01月01日至2013年03月31日,,,                 27664,,                 27060,,,                              0,                              0,,                  8611,                 63335,,,                 42664,,                 10486,,                              0,                              0,,                  2020,                 55170,                  8165,                  8165,,,                  1739,,                 43815,                 45554,                -37389,,,                    975,,                     29,,                 14434,,                    337,                -13093,                -50482,,                  6597,                -57079,                -57079,,,,,,,                -59184,               -116263,,                -54837,                 -2242,,               -114021,                 -2242,,,                             -0.21,,,                             -0.21,,,                    728,                -59912,                              0,,,                              0
2527,2012年07月01日至2012年09月30日,,,                 14372,,                 28415,,,                  1208,                  1208,,                  1033,                 45028,,,                 15119,,                 11884,,                  1064,                  1064,,                  1273,                 29340,                 15688,                 15688,,,                  1083,,                 45894,                 46977,                -31289,,,                 62446,,                   -170,,                 13606,,                    -46,                 48624,                 17335,,                    473,                 16862,                 16862,,,,,,,                 97774,                114636,,                 19746,                 -2884,,                117520,                 -2884,,                              0.08,                              0.08,,                              0.08,                              0.08,,,                   -687,                 98461,                              0,,                  1033,
2527,2012年04月01日至2012年06月30日,,,              1466133,,                 25436,,,                  2911,                  2911,,                 13015,              1507495,,,                859416,,                 10195,,                314882,                314882,,                  1265,              1185758,                321737,                321737,,,                  3718,,                 57382,                 61100,                260637,,,                  8685,,                -46105,,                 13271,,                   -410,                -51101,                209536,,                 23437,                186099,                186099,,,,,,,               -394004,               -207905,,                187277,                 -1178,,               -206727,                 -1178,,                              0.72,                              0.72,,                              0.71,                              0.71,,,                    193,               -394197,                              0,,,
2527,2012年01月01日至2012年12月31日,,,              1461176,,                108189,,,                 49969,                 49969,,                 17731,              1637065,,,                893513,,                -55700,,                325690,                325690,,                  5438,              1168941,                468124,                468124,,,                  6754,,                209319,                216073,                357131,,,                103296,,                -61516,,                 53257,,                    519,                -10958,                346173,,                 37264,                308909,                308909,,,,,,,                211292,                520201,,                244235,                 64674,,                455527,                 64674,,                              0.93,                              0.93,,                              0.93,                              0.93,,                105080,                   -826,                212118,                              0,,,
2527,2012年01月01日至2012年09月30日,,,              1490883,,                 79861,,,                 14798,                 14798,,                 18842,              1604384,,,                887110,,                 30832,,                325690,                325690,,                  4369,              1248001,                356383,                356383,,,                  5818,,                144753,                150571,                205812,,,                 75542,,                -46275,,                 39095,,                   -670,                -10498,                195314,,                 28457,                166857,                166857,,,,,,,                -11389,                155468,,                171577,                 -4720,,                160188,                 -4720,,                              0.66,                              0.66,,                              0.65,                              0.65,,,                   -977,                -10412,                              0,,                 18842,
2527,2012年01月01日至2012年06月30日,,,              1476511,,                 51446,,,                 13590,                 13590,,                 17809,              1559356,,,                871991,,                 18948,,                324626,                324626,,                  3096,              1218661,                340695,                340695,,,                  4735,,                 98859,                103594,                237101,,,                 13096,,                -46105,,                 25489,,                   -624,                -59122,                177979,,                 27984,                149995,                149995,,,,,,,               -109163,                 40832,,                151831,                 -1836,,                 42668,                 -1836,,                              0.58,                              0.58,,                              0.58,                              0.58,,,                   -290,               -108873,                              0,,,
2527,2012年01月01日至2012年03月31日,,,                 10378,,                 26010,,,                 10679,                 10679,,                  4794,                 51861,,,                 12575,,                  8753,,                  9744,                  9744,,                  1831,                 32903,                 18958,                 18958,,,                  1017,,                 41477,                 42494,                -23536,,,                  4411,,                              0,,                 12218,,                   -214,                 -8021,                -31557,,                  4547,                -36104,                -36104,,,,,,,                284841,                248737,,                -35446,                   -658,,                249395,                   -658,,,                             -0.14,,,                             -0.14,,,                   -483,                285324,,,,                              0
