證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1469,2015年第3季,,                118498,,                109254,                  9244,                  9244,,,                  5867,,                  8656,                 14523,                 -5279,,,                  1643,,                  1647,,                    820,                  2470,                 -2809,,                    165,                 -2974,                 -2974,,,               -105040,               -105040,               -105040,               -108014,,                 -2974,                              0,,               -108014,                              0,,                             -0.02,                             -0.02,,,
1469,2015年第2季,,                147371,,                110080,                 37291,                 37291,,,                  5473,,                  7677,                 13150,                 24141,,,                  1613,,                 -3861,,                    658,                 -2906,                 21235,,                  2899,                 18336,                 18336,,,                 49763,                 49763,                 49763,                 68099,,                 18336,                              0,,                 68099,                              0,,                              0.15,                              0.15,,,
1469,2015年01月01日至2015年09月30日,,                341664,,                292366,                 49298,                 49298,,,                 14977,,                 26046,                 41023,                  8275,,,                  5131,,                 -4348,,                  2044,                 -1261,                  7014,,                  1937,                  5077,                  5077,,,                 12340,                 12340,                 12340,                 17417,,                  5077,                              0,,                 17417,                              0,,                              0.04,                              0.04,,,
1469,2015年01月01日至2015年06月30日,,                223166,,                183112,                 40054,                 40054,,,                  9110,,                 17390,                 26500,                 13554,,,                  3488,,                 -5995,,                  1224,                 -3731,                  9823,,                  1772,                  8051,                  8051,,,                117380,                117380,                117380,                125431,,                  8051,                              0,,                125431,                              0,,                              0.06,                              0.06,,,
1469,2015年01月01日至2015年03月31日,,                 75795,,                 73032,                  2763,                  2763,,,                  3637,,                  9713,                 13350,                -10587,,,                  1875,,                 -2134,,                    566,                   -825,                -11412,,                 -1127,                -10285,                -10285,,,                 67617,                 67617,                 67617,                 57332,,                -10285,,,                 57332,,,                             -0.08,                             -0.08,,,
1469,2014年第3季,,                142837,,                124744,                 18093,                 18093,,,                  6275,,                  9530,                 15805,                  2288,,,                  1539,,                  1772,,                    581,                  2730,                  5018,,                  1159,                  3859,                  3859,,,                 37205,                 37205,                 37205,                 41064,,                  3859,                              0,,                 41064,                              0,,                              0.03,                              0.03,,,
1469,2014年第2季,,                141890,,                120579,                 21311,                 21311,,,                  5593,,                  6810,                 12403,                  8908,,,                  1508,,                 -2492,,                    479,                 -1463,                  7445,,                   -165,                  7610,                  7610,,,                155906,                155906,                155906,                163516,,                  7610,                              0,,                163516,                              0,,                              0.06,                              0.06,,,
1469,2014年度,,                474885,,                430000,                 44885,                 44885,,,                 21241,,                 32904,                 54145,                 -9260,,,                  6722,,                  4287,,                  2154,                  8855,                   -405,,                   -338,                    -67,                    -67,,,,,                198960,                198893,,                    -67,                              0,,                198893,                              0,,                              0.00,                              0.00,                201727,                 -3334,                   -567
1469,2014年01月01日至2014年09月30日,,                393249,,                349758,                 43491,                 43491,,,                 15430,,                 23839,                 39269,                  4222,,,                  4673,,                    606,,                  1631,                  3648,                  7870,,                    507,                  7363,                  7363,,,                193111,                193111,                193111,                200474,,                  7363,                              0,,                200474,                              0,,                              0.06,                              0.06,,,
1469,2014年01月01日至2014年06月30日,,                250412,,                225014,                 25398,                 25398,,,                  9155,,                 14309,                 23464,                  1934,,,                  3134,,                 -1166,,                  1050,                    918,                  2852,,                   -652,                  3504,                  3504,,,                155906,                155906,                155906,                159410,,                  3504,                              0,,                159410,                              0,,                              0.03,                              0.03,,,
1469,2014年01月01日至2014年03月31日,,                108522,,                104435,                  4087,                  4087,,,                  3562,,                  7499,                 11061,                 -6974,,,                  1626,,                  1326,,                    571,                  2381,                 -4593,,                   -487,                 -4106,                 -4106,,,                              0,                              0,                              0,                 -4106,,                 -4106,,,                 -4106,,,                             -0.03,                             -0.03,,,
1469,2013年第3季,,                158440,,                142761,                 15679,                 15679,,,                  5779,,                  9145,                 14924,                    755,,,                  1348,,                 -4085,,                    772,                 -3509,                 -2754,,                 -4278,                  1524,                  1524,,,,,                              0,                  1524,,                  1524,                              0,,                  1524,                              0,,                              0.01,                              0.01,                              0,,
1469,2013年第2季,,                155974,,                141386,                 14588,                 14588,,,                  5763,,                  8519,                 14282,                    306,,,                  1248,,                 -2487,,                  1203,                 -2442,                 -2136,,                   -227,                 -1909,                 -1909,,,,,                              0,                 -1909,,                 -1907,                     -2,,                 -1907,                     -2,,                             -0.02,                             -0.02,                              0,,
1469,2013年度,,                515311,,                472937,                 42374,                 42374,,,                 19952,,                 29776,                 49728,                 -7354,,,                  5814,,                 15890,,                  4162,                 17542,                 10188,,                  2652,                  7536,                  7536,,,,,                  2161,                  9697,,                  7535,                      1,,                  9696,                      1,,                              0.06,                              0.06,                              0,                  2604,                    443
1469,2013年07月01日至2013年09月30日,,                158440,,                142761,                 15679,                 15679,,,                  5779,,                  9145,                 14924,                    755,,,                  1348,,                 -4085,,                    772,                 -3509,                 -2754,,                 -4278,                  1524,                  1524,,,,,,                  1524,,                  1524,                              0,,                  1524,                              0,,                              0.01,                              0.01,,,
1469,2013年04月01日至2013年06月30日,,                155974,,                141386,                 14588,                 14588,,,                  5763,,                  7312,                 13075,                  1513,,,                     41,,                 -2487,,                  1203,                 -3649,                 -2136,,                   -227,                 -1909,                 -1909,,,,,,                 -1909,,                 -1907,                     -2,,                 -1907,                     -2,,                             -0.02,                             -0.02,,,
1469,2013年01月01日至2013年12月31日,,                515311,,                472937,                 42374,                 42374,,,                 19952,,                 29776,                 49728,                 -7354,,,                  5814,,                 15890,,                  4162,                 17542,                 10188,,                  2652,                  7536,                  7536,,,,,                  2161,                  9697,,                  7535,                      1,,                  9696,                      1,,                              0.06,                              0.06,,                  2604,                    443
1469,2013年01月01日至2013年09月30日,,                409070,,                369563,                 39507,                 39507,,,                 15842,,                 25575,                 41417,                 -1910,,,                  3836,,                 13624,,                  3109,                 14351,                 12441,,                  2402,                 10039,                 10039,,,,,                              0,                 10039,,                 10037,                      2,,                 10037,                      2,,                              0.08,                              0.08,                              0,,
1469,2013年01月01日至2013年06月30日,,                250630,,                226802,                 23828,                 23828,,,                 10063,,                 16430,                 26493,                 -2665,,,                  2488,,                 17709,,                  2337,                 17860,                 15195,,                  6680,                  8515,                  8515,,,,,                              0,                  8515,,                  8513,                      2,,                  8513,                      2,,                              0.07,                              0.07,                              0,,
1469,2013年01月01日至2013年03月31日,,                 94656,,                 85416,                  9240,                  9240,,,                  4300,,                  7911,                 12211,                 -2971,,,                  1240,,                 20196,,                  1134,                 20302,                 17331,,                  6907,                 10424,                 10424,,,,,,                 10424,,                 10420,                      4,,                 10420,                      4,,                              0.08,                              0.08,,,
