證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換利益,　　　 處分不動產、廠房及設備損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 處分不動產、廠房及設備利益
9938,2013年度,,,,              8106861,,              5611372,              2495489,              2495489,,,                750137,,                440235,,                188074,              1378446,              1117043,,,,                 48652,                 46611,                 95263,,,                 20921,,                -41913,,                 46519,                 46519,,                    542,                  7373,              1124416,,                333792,                790624,                790624,,,,,,                279606,              1070230,,                705491,                 85133,,                935174,                135056,,                              2.37,,                              2.36,                 -8137,                 12855,                325372,                  1285,                -47051,,,,
9938,2013年07月01日至2013年09月30日,,,              2023916,              2023916,,              1419537,                604379,                604379,,,                193311,,                114004,,                 50703,                358018,                246361,,,,                 12983,                  7866,                 20849,,,                  9724,                 12602,                -22462,,                 11846,                 11846,,                     78,                -13381,                232980,,                 54118,                178862,                178862,,,,,,                -76990,                101872,,                159743,                 19119,,                 97803,                  4069,,                              0.54,,                              0.54,,                    839,                -89676,,,                -12686,,,                    703
9938,2013年04月01日至2013年06月30日,,,,              2139944,,              1425524,                714420,                714420,,,                192514,,                107245,,                 52787,                352546,                361874,,,,                 11652,                 29981,                 41633,,,                  6318,,                -15739,,                 10277,                 10277,,                    612,                 16229,                378103,,                125196,                252907,                252907,,,,,,                 93311,                346218,,                223491,                 29416,,                295273,                 50945,,                              0.75,,                              0.75,                   -256,                  9406,                108013,,,                 14702,                    612,,                    241
9938,2013年01月01日至2013年12月31日,,,,              8106861,,              5611372,              2495489,              2495489,,,                750137,,                440235,,                188074,              1378446,              1117043,,,,                 48652,                 45302,                 93954,,,                 20921,                  8137,                -40604,,                 46519,                 46519,,                    542,                  7373,              1124416,,                333792,                790624,                790624,,,,,,                279606,              1070230,,                705491,                 85133,,                935174,                135056,,                              2.37,,                              2.36,,                 12855,                325372,                  1285,                -47051,,,,                  1309
9938,2013年01月01日至2013年09月30日,,,              5791434,              5791434,,              3970922,              1820512,              1820512,,,                551303,,                320164,,                141836,              1013303,                807209,,,,                 39370,                 42700,                 82070,,,                 33080,,                -43176,,                 33420,                 33420,,                   -203,                  5271,                812480,,                237211,                575269,                575269,,,,,,                176876,                752145,,                510377,                 64892,,                662200,                 89945,,                              1.71,,                              1.71,                -10096,,                207973,,,                 31097,,,
9938,2013年01月01日至2013年06月30日,,,,              3767518,,              2551385,              1216133,              1216133,,,                357992,,                206160,,                 91133,                655285,                560848,,,,                 26387,                 34131,                 60518,,,                 22517,,                -20011,,                 21574,                 21574,,                   -281,                 18652,                579500,,                183093,                396407,                396407,,,,,,                253866,                650273,,                350634,                 45773,,                564397,                 85876,,                              1.18,,                              1.17,                  2506,,                297649,,,                 43783,                   -281,,
9938,2013年01月01日至2013年03月31日,,,,              1627574,,              1125861,                501713,                501713,,,                165478,,                 98915,,                 38346,                302739,                198974,,,,                 14735,                  3909,                 18644,,,                  6793,,                 -4031,,                 11297,                 11297,,                   -893,                  2423,                201397,,                 57897,                143500,                143500,,,,,,                160555,                304055,,                127143,                 16357,,                269124,                 34931,,                              0.43,,                              0.43,                  2762,,                189636,,,                 29081,,                    893,
9938,2012年07月01日至2012年09月30日,,,              1672271,              1672271,,              1185692,                486579,                486579,,,                168998,,                 96844,,                 50076,                315918,                170661,,,,                 18596,                  9439,                 28035,,,                              0,                  5474,                -22943,,                 12027,                 12027,,                    156,                 -6779,                163882,,                 41604,                122278,                122278,,,,,,                -87677,                 34601,,                109108,                 13170,,                 34361,                    240,,                              0.37,,                              0.37,,                 22103,               -102987,,,                -15310,,,                  4634
9938,2012年04月01日至2012年06月30日,,,,              1687939,,              1205731,                482208,                482208,,,                169137,,                 84962,,                 41870,                295969,                186239,,,,                 17168,                  4111,                 21279,,,                 12526,,                -14955,,                 12905,                 12905,,                    338,                 -6243,                179996,,                 77623,                102373,                102373,,,,,,                 37383,                139756,,                 90547,                 11826,,                123337,                 16419,,                              0.30,,                              0.30,                 -2187,                    560,                 44099,,,                  6716,                    338,,                    318
9938,2012年01月01日至2012年12月31日,,,,              6980922,,              4981325,              1999597,              1999597,,,                675307,,                376746,,                184626,              1236679,                762918,,,,                 69934,                 27903,                 97837,,,                 46927,                 14724,                -81171,,                 52693,                 52693,,                    243,                -35784,                727134,,                204667,                522467,                522467,,,,,,               -287052,                235415,,                458319,                 64148,,                258349,                -22934,,                              1.53,,                              1.53,,                 24963,               -284758,                -42665,                 40371,,,,                  5443
9938,2012年01月01日至2012年09月30日,,,              4894529,              4894529,,              3478926,              1415603,              1415603,,,                489622,,                272611,,                129454,                891687,                523916,,,,                 52346,                 17093,                 69439,,,                 19829,                 11662,                -52453,,                 41200,                 41200,,                   -297,                -24511,                499405,,                151599,                347806,                347806,,,,,,               -199768,                148038,,                307948,                 39858,,                150977,                 -2939,,                              1.03,,                              1.03,,                 26006,               -231919,,,                -32151,,,                  5044
9938,2012年01月01日至2012年06月30日,,,,              3222258,,              2293234,                929024,                929024,,,                320624,,                175767,,                 79378,                575769,                353255,,,,                 33750,                  7952,                 41702,,,                 20127,,                -29808,,                 29173,                 29173,,                   -453,                -17732,                335523,,                109995,                225528,                225528,,,,,,               -112091,                113437,,                198840,                 26688,,                116616,                 -3179,,                              0.66,,                              0.66,                 -6188,                  3903,               -128932,,,                -16841,                   -453,,                    410
9938,2012年01月01日至2012年03月31日,,,,              1534319,,              1087503,                446816,                446816,,,                151487,,                 90805,,                 37508,                279800,                167016,,,,                 16582,                  3841,                 20423,,,                  7601,,                -14853,,                 16268,                 16268,,                   -791,                -11489,                155527,,                 32372,                123155,                123155,,,,,,               -149474,                -26319,,                108293,                 14862,,                 -6721,                -19598,,                              0.34,,                              0.34,                 -4001,                  3343,               -173031,,,                -23557,,                    791,                     92
