證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 銷貨成本,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 其他收入－其他,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2443,2015年第3季,,,,                163346,                              0,                              0,                163346,                163346,,,                173781,                173781,                -10435,                              0,                              0,                -10435,,,                  7282,,                 48767,,                  3106,                 59155,                -69590,,,                  6627,,                -11381,,                    182,                 -4936,                -74526,,                     27,                -74553,                -74553,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 29663,                   -648,                 29015,                 29015,                -45538,,                -72500,                 -2053,,                -43485,                 -2053,,                             -0.50,                             -0.50,,                             -0.50,                              0.00,                             -0.50,,,,,,,,,,,,,,,,,
2443,2015年第2季,,,,                106011,,,                106011,                106011,,,                123618,                123618,                -17607,                              0,                              0,                -17607,,,                  6023,,                 48273,,                  3855,                 58151,                -75758,,,                  6322,,                  9506,,                    198,                 15630,                -60128,,                -15962,                -44166,                -44166,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -6504,                 -1599,                 -8103,                 -8103,                -52269,,                -42714,                 -1452,,                -50817,                 -1452,,                             -0.29,                             -0.29,,                             -0.29,,                             -0.29,                106011,                123618,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,
2443,2015年01月01日至2015年09月30日,,,,                332612,                              0,                              0,                332612,                332612,,,                364538,                364538,                -31926,                              0,                              0,                -31926,,,                 17426,,                153175,,                 10601,                181202,               -213128,,,                 19968,,                -19250,,                    594,                    124,               -213004,,                -15405,               -197599,               -197599,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -18725,                 -1297,                -20022,                -20022,               -217621,,               -192866,                 -4733,,               -212888,                 -4733,,                             -1.32,                             -1.32,,                             -1.32,                              0.00,                             -1.32,,,,,,,,,,,,,,,,,
2443,2015年01月01日至2015年06月30日,,,,                169266,,,                169266,                169266,,,                190757,                190757,                -21491,                              0,                              0,                -21491,,,                 10144,,                104408,,                  7495,                122047,               -143538,,,                 13341,,                 -7869,,                    412,                  5060,               -138478,,                -15432,               -123046,               -123046,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -48388,                   -649,                -49037,                -49037,               -172083,,               -120366,                 -2680,,               -169403,                 -2680,,                             -0.83,                             -0.83,,                             -0.83,,                             -0.83,                169266,                190757,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,
2443,2015年01月01日至2015年03月31日,,,,                 63255,,,                 63255,                 63255,,,                 67139,                 67139,                 -3884,,,                 -3884,,,                  4121,,                 56135,,                  3640,                 63896,                -67780,,,                  7019,,                -17375,,                    214,                -10570,                -78350,,                    530,                -78880,                -78880,,,,,,,,,,,,,,                -41884,                    950,                -40934,                -40934,               -119814,,                -77652,                 -1228,,               -118586,                 -1228,,                             -0.53,                             -0.53,,                             -0.53,,                             -0.53,                 63255,                 67139,,,,,,,,,,,,,,,
2443,2014年第3季,,,,                 74471,                              0,                              0,                 74471,                 74471,,,                 54768,                 54768,                 19703,                              0,                              0,                 19703,,,                  3795,,                 48157,,                  2927,                 54879,                -35176,,,                 12884,,                 38463,,                    128,                 51219,                 16043,,                 49502,                -33459,                -33459,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -3766,                 -1564,                 -5330,                 -5330,                -38789,,                -28123,                 -5336,,                -33453,                 -5336,,                             -0.19,                             -0.19,,                             -0.19,                              0.00,                             -0.19,,,,,,,,,,,,,,,,,
2443,2014年第2季,,,,                 88660,,,                 88660,                 88660,,,                 72247,                 72247,                 16413,                              0,                              0,                 16413,,,                  5622,,                 30945,,                  5448,                 42015,                -25602,,,                 10206,,                  6340,,                     53,                 16493,                 -9109,,                 64475,                -73584,                -73584,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -14224,                  1288,                -12936,                -12936,                -86520,,                -72668,                   -916,,                -85604,                   -916,,                             -0.51,                             -0.51,,                             -0.51,,                             -0.51,                 88660,                 72247,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,
2443,2014年度,,,,                347360,,,                347360,                347360,,,                294721,                294721,                 52639,,,                 52639,,,                 15120,,                160585,,                 14298,                190003,               -137364,,,                 53543,,                 71259,,                    412,                124390,                -12974,,                115072,               -128046,               -128046,,,,,,,,,,,,,,,,,                 37729,                -90317,,               -124892,                 -3154,,                -87163,                 -3154,,                             -0.86,                             -0.86,,                             -0.86,,                             -0.86,                347360,                294721,,                              0,,,,,,,,                 53543,,                              0,                 37223,                    506,                              0
2443,2014年01月01日至2014年09月30日,,,,                257949,                              0,                              0,                257949,                257949,,,                196974,                196974,                 60975,                              0,                              0,                 60975,,,                 14367,,                111418,,                 11457,                137242,                -76267,,,                 31962,,                 43189,,                    181,                 74970,                 -1297,,                112630,               -113927,               -113927,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  7316,                    245,                  7561,                  7561,               -106366,,               -110930,                 -2997,,               -103369,                 -2997,,                             -0.76,                             -0.76,,                             -0.76,                              0.00,                             -0.76,,,,,,,,,,,,,,,,,
2443,2014年01月01日至2014年06月30日,,,,                183478,,,                183478,                183478,,,                142206,                142206,                 41272,                              0,                              0,                 41272,,,                 10572,,                 63261,,                  8530,                 82363,                -41091,,,                 19078,,                  4726,,                     53,                 23751,                -17340,,                 63128,                -80468,                -80468,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 11082,                  1809,                 12891,                 12891,                -67577,,                -82807,                  2339,,                -69916,                  2339,,                             -0.57,                             -0.57,,                             -0.57,,                             -0.57,                183478,                142206,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,
