證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
1808,2014年第3季,,,,                 38331,                 38331,,,              2016636,              2016636,              2016636,,                  5053,              2060020,,              1648739,                411281,                411281,,,                 96689,,                 33581,                130270,                281011,,,                  2319,,                  4454,,                 19961,                -13188,                267823,,                 10378,                257445,                257445,,                              0,                              0,                257445,,                              1.44,,                              1.09
1808,2014年第2季,,,,                 34613,                 34613,,,                366493,                366493,                366493,,                  7327,                408433,,                308461,                 99972,                 99972,,,                 39157,,                 30360,                 69517,                 30455,,,                  2240,,                  1347,,                 17902,                -14315,                 16140,,                    930,                 15210,                 15210,,                              0,                              0,                 15210,,                              0.09,,                              0.09
1808,2014年度,,,,                175610,                175610,,,              4398742,              4398742,              4398742,,                 22324,              4596676,,              3525834,              1070842,              1070842,,,                262795,,                 93788,                356583,                714259,,,                 10240,,                 36120,,                 83810,                -37450,                676809,,                  8261,                668548,                668548,,                              0,                              0,                668548,,                              3.73,,                              2.86
1808,2014年01月01日至2014年09月30日,,,,                129744,                129744,,,              2583849,              2583849,              2583849,,                 15344,              2728937,,              2131580,                597357,                597357,,,                173309,,                 90126,                263435,                333922,,,                  5174,,                  8682,,                 50629,                -36773,                297149,,                 12228,                284921,                284921,,                              0,                              0,                284921,,                              1.60,,                              1.26
1808,2014年01月01日至2014年06月30日,,,,                 91413,                 91413,,,                567213,                567213,                567213,,                 10291,                668917,,                482841,                186076,                186076,,,                 76620,,                 56545,                133165,                 52911,,,                  2855,,                  4228,,                 30668,                -23585,                 29326,,                  1850,                 27476,                 27476,,                              0,                              0,                 27476,,                              0.16,,                              0.16
1808,2014年01月01日至2014年03月31日,,,,                 56800,                 56800,,,                200720,                200720,                200720,,                  2964,                260484,,                174380,                 86104,                 86104,,,                 37463,,                 26185,                 63648,                 22456,,,                    615,,                  2881,,                 12766,                 -9270,                 13186,,                    920,                 12266,                 12266,,,,                 12266,,                              0.07,,                              0.07
1808,2013年第3季,,,,                 81948,                 81948,,,                              0,                              0,                              0,,                  3554,                 85502,,                 28759,                 56743,                 56743,,,                 31722,,                 20912,                 52634,                  4109,,,                    272,,                  7763,,                 16163,                 -8128,                 -4019,,                              0,                 -4019,                 -4019,,                              0,                              0,                 -4019,,                             -0.02,,                             -0.02
1808,2013年第2季,,,,                 69613,                 69613,,,                              0,                              0,                              0,,                  3931,                 73544,,                 26536,                 47008,                 47008,,,                 22058,,                 16321,                 38379,                  8629,,,                    675,,                  3503,,                 17807,                -13629,                 -5000,,                 13496,                -18496,                -18496,,                              0,                              0,                -18496,,                             -0.13,,                             -0.13
1808,2013年度,,,,                333749,                333749,,,                486833,                486833,                486833,,                 14129,                834711,,                483689,                351022,                351022,,,                174264,,                 89493,                263757,                 87265,,,                  4446,,                 47100,,                 51202,                    344,                 87609,,                 31250,                 56359,                 56359,,                              0,                              0,                 56359,,                              0.36,,                              0.36
1808,2013年07月01日至2013年09月30日,,,,                 81948,                 81948,,,                              0,                              0,                              0,,                  3554,                 85502,,                 28759,                 56743,                 56743,,,                 31722,,                 20912,                 52634,                  4109,,,                    272,,                  7763,,                 16163,                 -8128,                 -4019,,                              0,                 -4019,                 -4019,,,,                 -4019,,                             -0.02,,                             -0.02
1808,2013年04月01日至2013年06月30日,,,,                 69613,                 69613,,,                              0,                              0,                              0,,                  3931,                 73544,,                 26536,                 47008,                 47008,,,                 22058,,                 16321,                 38379,                  8629,,,                    675,,                  3503,,                 17807,                -13629,                 -5000,,                 13496,                -18496,                -18496,,,,                -18496,,                             -0.13,,                             -0.13
1808,2013年01月01日至2013年12月31日,,,,                333749,                333749,,,                486833,                486833,                486833,,                 14129,                834711,,                483689,                351022,                351022,,,                174264,,                 89493,                263757,                 87265,,,                  4446,,                 47100,,                 51202,                    344,                 87609,,                 31250,                 56359,                 56359,,,,                 56359,,                              0.36,,                              0.36
1808,2013年01月01日至2013年09月30日,,,,                240235,                240235,,,                    110,                    110,                    110,,                 11219,                251564,,                 89660,                161904,                161904,,,                 93395,,                 52425,                145820,                 16084,,,                  2756,,                 27508,,                 43457,                -13193,                  2891,,                 13496,                -10605,                -10605,,                              0,                              0,                -10605,,                             -0.07,,                             -0.07
